public|allele_nicknames|allele_nicknames_pkey|CREATE UNIQUE INDEX allele_nicknames_pkey ON public.allele_nicknames USING btree (base_code, allele_code)
public|bruker_mounts|bruker_mounts_pkey|CREATE UNIQUE INDEX bruker_mounts_pkey ON public.bruker_mounts USING btree (id)
public|bruker_mounts|ix_bm_mount_date|CREATE INDEX ix_bm_mount_date ON public.bruker_mounts USING btree (mount_date)
public|bruker_mounts|ix_bm_selection_id|CREATE INDEX ix_bm_selection_id ON public.bruker_mounts USING btree (selection_id)
public|bruker_mounts|ix_bruker_mounts_selection_date|CREATE INDEX ix_bruker_mounts_selection_date ON public.bruker_mounts USING btree (selection_id, mount_date)
public|clutch_containers|clutch_containers_pkey|CREATE UNIQUE INDEX clutch_containers_pkey ON public.clutch_containers USING btree (container_id)
public|clutch_containers|idx_cc_clutch|CREATE INDEX idx_cc_clutch ON public.clutch_containers USING btree (clutch_id)
public|clutch_containers|idx_cc_clutch_id|CREATE INDEX idx_cc_clutch_id ON public.clutch_containers USING btree (clutch_id)
public|clutch_containers|idx_cc_created_desc|CREATE INDEX idx_cc_created_desc ON public.clutch_containers USING btree (created_at DESC)
public|clutch_containers|idx_cc_selection|CREATE INDEX idx_cc_selection ON public.clutch_containers USING btree (selection_label)
public|clutch_containers|idx_clutch_containers_container_id|CREATE INDEX idx_clutch_containers_container_id ON public.clutch_containers USING btree (container_id)
public|clutch_containers|idx_clutch_containers_source_container_id|CREATE INDEX idx_clutch_containers_source_container_id ON public.clutch_containers USING btree (source_container_id)
public|clutch_genotype_options|clutch_genotype_options_clutch_id_allele_code_transgene_bas_key|CREATE UNIQUE INDEX clutch_genotype_options_clutch_id_allele_code_transgene_bas_key ON public.clutch_genotype_options USING btree (clutch_id, allele_code, transgene_base_code)
public|clutch_genotype_options|clutch_genotype_options_pkey|CREATE UNIQUE INDEX clutch_genotype_options_pkey ON public.clutch_genotype_options USING btree (id)
public|clutch_genotype_options|idx_cgo_clutch|CREATE INDEX idx_cgo_clutch ON public.clutch_genotype_options USING btree (clutch_id)
public|clutch_instance_seq|clutch_instance_seq_pkey|CREATE UNIQUE INDEX clutch_instance_seq_pkey ON public.clutch_instance_seq USING btree (cross_instance_id)
public|clutch_instances|clutch_instances_pkey|CREATE UNIQUE INDEX clutch_instances_pkey ON public.clutch_instances USING btree (id)
public|clutch_instances|ix_ci_cross_instance_id|CREATE INDEX ix_ci_cross_instance_id ON public.clutch_instances USING btree (cross_instance_id)
public|clutch_instances|ix_clutch_instances_annotated_at|CREATE INDEX ix_clutch_instances_annotated_at ON public.clutch_instances USING btree (annotated_at)
public|clutch_instances|ix_clutch_instances_code|CREATE INDEX ix_clutch_instances_code ON public.clutch_instances USING btree (clutch_instance_code)
public|clutch_instances|ix_clutch_instances_created_at|CREATE INDEX ix_clutch_instances_created_at ON public.clutch_instances USING btree (created_at)
public|clutch_instances|ix_clutch_instances_cross_instance_id|CREATE INDEX ix_clutch_instances_cross_instance_id ON public.clutch_instances USING btree (cross_instance_id)
public|clutch_instances|uq_clutch_instances_code|CREATE UNIQUE INDEX uq_clutch_instances_code ON public.clutch_instances USING btree (clutch_instance_code)
public|clutch_instances|uq_clutch_instances_run_seq|CREATE UNIQUE INDEX uq_clutch_instances_run_seq ON public.clutch_instances USING btree (cross_instance_id, seq)
public|clutch_plan_treatments|clutch_plan_treatments_pkey|CREATE UNIQUE INDEX clutch_plan_treatments_pkey ON public.clutch_plan_treatments USING btree (id)
public|clutch_plan_treatments|idx_clutch_plan_treatments_clutch_id|CREATE INDEX idx_clutch_plan_treatments_clutch_id ON public.clutch_plan_treatments USING btree (clutch_id)
public|clutch_plans|clutch_plans_pkey|CREATE UNIQUE INDEX clutch_plans_pkey ON public.clutch_plans USING btree (id)
public|clutch_plans|ix_clutch_plans_clutch_code|CREATE INDEX ix_clutch_plans_clutch_code ON public.clutch_plans USING btree (clutch_code)
public|clutch_plans|ix_clutch_plans_id|CREATE INDEX ix_clutch_plans_id ON public.clutch_plans USING btree (id)
public|clutch_plans|ix_cp_id_code|CREATE INDEX ix_cp_id_code ON public.clutch_plans USING btree (id, clutch_code)
public|clutch_plans|uq_clutch_plans_clutch_code|CREATE UNIQUE INDEX uq_clutch_plans_clutch_code ON public.clutch_plans USING btree (clutch_code)
public|clutch_treatments|clutch_treatments_pkey|CREATE UNIQUE INDEX clutch_treatments_pkey ON public.clutch_treatments USING btree (id)
public|clutch_treatments|idx_ct_clutch|CREATE INDEX idx_ct_clutch ON public.clutch_treatments USING btree (clutch_id)
public|clutches|clutches_pkey|CREATE UNIQUE INDEX clutches_pkey ON public.clutches USING btree (id)
public|clutches|idx_clutches_batch|CREATE INDEX idx_clutches_batch ON public.clutches USING btree (batch_label)
public|clutches|idx_clutches_created_desc|CREATE INDEX idx_clutches_created_desc ON public.clutches USING btree (created_at DESC)
public|clutches|idx_clutches_cross_id|CREATE INDEX idx_clutches_cross_id ON public.clutches USING btree (cross_id)
public|clutches|idx_clutches_cross_instance_id|CREATE INDEX idx_clutches_cross_instance_id ON public.clutches USING btree (cross_instance_id)
public|clutches|idx_clutches_planned_cross_id|CREATE INDEX idx_clutches_planned_cross_id ON public.clutches USING btree (planned_cross_id)
public|clutches|idx_clutches_run_id|CREATE INDEX idx_clutches_run_id ON public.clutches USING btree (run_id)
public|clutches|idx_clutches_seed|CREATE INDEX idx_clutches_seed ON public.clutches USING btree (seed_batch_id)
