plate_id_fk,full_path,plate_folder,fish_folder_name,roi_name,roi_anatomy_name,note
aang,/clusterfs/vast/abcabc/Aang_Foundation/Denoising/20251028_peroxi/roi1_560_10ms,aang,20251028_peroxi,roi1_560_10ms,,
aang,/clusterfs/vast/abcabc/Aang_Foundation/Denoising/20251028_peroxi/roi1_560_76ms,aang,20251028_peroxi,roi1_560_76ms,,
aang,/clusterfs/vast/abcabc/Aang_Foundation/Denoising/20251029_mem-histone/fish1_roi1,aang,20251029_mem-histone,fish1_roi1,,
aang,/clusterfs/vast/abcabc/Aang_Foundation/Denoising/20251029_mem-histone/fish3_roi1,aang,20251029_mem-histone,fish3_roi1,,
aang,/clusterfs/vast/abcabc/Aang_Foundation/Denoising/20251029_mem-histone/fish4_roi1,aang,20251029_mem-histone,fish4_roi1,,
aang,/clusterfs/vast/abcabc/Aang_Foundation/Denoising/20251029_mem-histone/fish5_roi1,aang,20251029_mem-histone,fish5_roi1,,
aang,/clusterfs/vast/abcabc/Aang_Foundation/Denoising/20251029_mem-histone/fish5_roi2,aang,20251029_mem-histone,fish5_roi2,,
aang,/clusterfs/vast/abcabc/Aang_Foundation/Denoising/20251029_mem-histone/fish5_roi3,aang,20251029_mem-histone,fish5_roi3,,
aang,/clusterfs/vast/abcabc/Aang_Foundation/Denoising/20251029_peroxi/fish1_roi1,aang,20251029_peroxi,fish1_roi1,,
aang,/clusterfs/vast/abcabc/Aang_Foundation/Denoising/20251029_peroxi/fish3_roi1,aang,20251029_peroxi,fish3_roi1,,
aang,/clusterfs/vast/abcabc/Aang_Foundation/20250721_72hpf_mrna_mSG_organelle_LLS-SIM/er_roi1,aang,er_roi1,er_roi1,,
aang,/clusterfs/vast/abcabc/Aang_Foundation/20250721_72hpf_mrna_mSG_organelle_LLS-SIM/er_roi2,aang,er_roi2,er_roi2,,
aang,/clusterfs/vast/abcabc/Aang_Foundation/20250721_72hpf_mrna_mSG_organelle_LLS-SIM/er_roi3,aang,er_roi3,er_roi3,,
aang,/clusterfs/vast/abcabc/Aang_Foundation/20251002_mem_mito/fish10_24hpf_roi1,aang,fish10_24hpf_roi1,fish10_24hpf_roi1,,
aang,/clusterfs/vast/abcabc/Aang_Foundation/20251002_mem_mito/fish10_24hpf_roi2,aang,fish10_24hpf_roi2,fish10_24hpf_roi2,,
aang,/clusterfs/vast/abcabc/Aang_Foundation/20251002_mem_mito/fish11_24hpf_roi1,aang,fish11_24hpf_roi1,fish11_24hpf_roi1,,
aang,/clusterfs/vast/abcabc/Aang_Foundation/20251002_mem_mito/fish11_24hpf_roi2,aang,fish11_24hpf_roi2,fish11_24hpf_roi2,,
aang,/clusterfs/vast/abcabc/Aang_Foundation/20251002_mem_mito/fish11_24hpf_roi3,aang,fish11_24hpf_roi3,fish11_24hpf_roi3,,
aang,/clusterfs/vast/abcabc/Aang_Foundation/20251002_mem_mito/fish12_24hpf_roi1,aang,fish12_24hpf_roi1,fish12_24hpf_roi1,,
aang,/clusterfs/vast/abcabc/Aang_Foundation/20251002_mem_mito/fish12_24hpf_roi2,aang,fish12_24hpf_roi2,fish12_24hpf_roi2,,
aang,/clusterfs/vast/abcabc/Aang_Foundation/20251002_mem_mito/fish12_24hpf_roi3,aang,fish12_24hpf_roi3,fish12_24hpf_roi3,,
aang,/clusterfs/vast/abcabc/Aang_Foundation/20251002_mem_mito/fish12_24hpf_roi4,aang,fish12_24hpf_roi4,fish12_24hpf_roi4,,
aang,/clusterfs/vast/abcabc/Aang_Foundation/20251027_mem-histone/fish1_120hpf_roi1,aang,fish1_120hpf_roi1,fish1_120hpf_roi1,,
aang,/clusterfs/vast/abcabc/Aang_Foundation/20251027_mem-histone/fish1_120hpf_roi2,aang,fish1_120hpf_roi2,fish1_120hpf_roi2,,
aang,/clusterfs/vast/abcabc/Aang_Foundation/20250808_mem_organelle/fish1_24hpf_mem-mchilada_lyso-mSG/roi1,aang,fish1_24hpf_mem-mchilada_lyso-mSG,roi1,,
aang,/clusterfs/vast/abcabc/Aang_Foundation/20250808_mem_organelle/fish1_24hpf_mem-mchilada_lyso-mSG/roi1_1,aang,fish1_24hpf_mem-mchilada_lyso-mSG,roi1_1,,
aang,/clusterfs/vast/abcabc/Aang_Foundation/20250808_mem_organelle/fish1_24hpf_mem-mchilada_lyso-mSG/roi1_test,aang,fish1_24hpf_mem-mchilada_lyso-mSG,roi1_test,,
aang,/clusterfs/vast/abcabc/Aang_Foundation/20250808_mem_organelle/fish1_24hpf_mem-mchilada_lyso-mSG/roi2,aang,fish1_24hpf_mem-mchilada_lyso-mSG,roi2,,
aang,/clusterfs/vast/abcabc/Aang_Foundation/20250808_mem_organelle/fish1_24hpf_mem-mchilada_lyso-mSG/roi3,aang,fish1_24hpf_mem-mchilada_lyso-mSG,roi3,,
aang,/clusterfs/vast/abcabc/Aang_Foundation/20250722_mem-halo_er-mSG/fish1_24hpf_roi1,aang,fish1_24hpf_roi1,fish1_24hpf_roi1,,
aang,/clusterfs/vast/abcabc/Aang_Foundation/20250723_er-mSG_mem-mChilada/fish1_24hpf_roi1,aang,fish1_24hpf_roi1,fish1_24hpf_roi1,,
aang,/clusterfs/vast/abcabc/Aang_Foundation/20250805_mito_mem-halo/fish1_24hpf_roi1,aang,fish1_24hpf_roi1,fish1_24hpf_roi1,,
aang,/clusterfs/vast/abcabc/Aang_Foundation/20250819_mem_mito/fish1_24hpf_roi1,aang,fish1_24hpf_roi1,fish1_24hpf_roi1,,
aang,/clusterfs/vast/abcabc/Aang_Foundation/20250821_mem_mito/fish1_24hpf_roi1,aang,fish1_24hpf_roi1,fish1_24hpf_roi1,,
aang,/clusterfs/vast/abcabc/Aang_Foundation/20250826_mem_actin/fish1_24hpf_roi1,aang,fish1_24hpf_roi1,fish1_24hpf_roi1,,
aang,/clusterfs/vast/abcabc/Aang_Foundation/20250828_mem_actin/fish1_24hpf_roi1,aang,fish1_24hpf_roi1,fish1_24hpf_roi1,,
aang,/clusterfs/vast/abcabc/Aang_Foundation/20250903_lifeact-mSG/fish1_24hpf_roi1,aang,fish1_24hpf_roi1,fish1_24hpf_roi1,,
aang,/clusterfs/vast/abcabc/Aang_Foundation/20250904_lifeact-mSG/fish1_24hpf_roi1,aang,fish1_24hpf_roi1,fish1_24hpf_roi1,,
aang,/clusterfs/vast/abcabc/Aang_Foundation/20250908_mem-mito/fish1_24hpf_roi1,aang,fish1_24hpf_roi1,fish1_24hpf_roi1,,
aang,/clusterfs/vast/abcabc/Aang_Foundation/20250919_mem-mito/fish1_24hpf_roi1,aang,fish1_24hpf_roi1,fish1_24hpf_roi1,,
aang,/clusterfs/vast/abcabc/Aang_Foundation/20250924_mem-mito/fish1_24hpf_roi1,aang,fish1_24hpf_roi1,fish1_24hpf_roi1,,
aang,/clusterfs/vast/abcabc/Aang_Foundation/20251001_mem-histone/fish1_24hpf_roi1,aang,fish1_24hpf_roi1,fish1_24hpf_roi1,,
aang,/clusterfs/vast/abcabc/Aang_Foundation/20251002_mem_mito/fish1_24hpf_roi1,aang,fish1_24hpf_roi1,fish1_24hpf_roi1,,
aang,/clusterfs/vast/abcabc/Aang_Foundation/20251006_mem_histone/fish1_24hpf_roi1,aang,fish1_24hpf_roi1,fish1_24hpf_roi1,,
aang,/clusterfs/vast/abcabc/Aang_Foundation/20251010_mem-mito/fish1_24hpf_roi1,aang,fish1_24hpf_roi1,fish1_24hpf_roi1,,
aang,/clusterfs/vast/abcabc/Aang_Foundation/20251021_mem-mito/fish1_24hpf_roi1,aang,fish1_24hpf_roi1,fish1_24hpf_roi1,,
aang,/clusterfs/vast/abcabc/Aang_Foundation/20251021_mem-mito_v2/fish1_24hpf_roi1,aang,fish1_24hpf_roi1,fish1_24hpf_roi1,,
aang,/clusterfs/vast/abcabc/Aang_Foundation/20251023_mem-mito/fish1_24hpf_roi1,aang,fish1_24hpf_roi1,fish1_24hpf_roi1,,
aang,/clusterfs/vast/abcabc/Aang_Foundation/20251028_mem-mito/fish1_24hpf_roi1,aang,fish1_24hpf_roi1,fish1_24hpf_roi1,,
aang,/clusterfs/vast/abcabc/Aang_Foundation/20251028_mem-peroxi/fish1_24hpf_roi1,aang,fish1_24hpf_roi1,fish1_24hpf_roi1,,
aang,/clusterfs/vast/abcabc/Aang_Foundation/20251028_mem-peroxi2/fish1_24hpf_roi1,aang,fish1_24hpf_roi1,fish1_24hpf_roi1,,
aang,/clusterfs/vast/abcabc/Aang_Foundation/20251105_mem-mito/fish1_24hpf_roi1,aang,fish1_24hpf_roi1,fish1_24hpf_roi1,,
aang,/clusterfs/vast/abcabc/Aang_Foundation/20251107_mem-mito/fish1_24hpf_roi1,aang,fish1_24hpf_roi1,fish1_24hpf_roi1,,
aang,/clusterfs/vast/abcabc/Aang_Foundation/20250828_mem_actin/fish1_24hpf_roi1-2,aang,fish1_24hpf_roi1-2,fish1_24hpf_roi1-2,,
aang,/clusterfs/vast/abcabc/Aang_Foundation/20251107_mem-mito/fish1_24hpf_roi1-2,aang,fish1_24hpf_roi1-2,fish1_24hpf_roi1-2,,
aang,/clusterfs/vast/abcabc/Aang_Foundation/20251017_nuclear_envelope/fish1_24hpf_roi1_test,aang,fish1_24hpf_roi1_test,fish1_24hpf_roi1_test,,
aang,/clusterfs/vast/abcabc/Aang_Foundation/20251017_nuclear_envelope/fish1_24hpf_roi1_test_SIM,aang,fish1_24hpf_roi1_test_SIM,fish1_24hpf_roi1_test_SIM,,
aang,/clusterfs/vast/abcabc/Aang_Foundation/20250722_mem-halo_er-mSG/fish1_24hpf_roi2,aang,fish1_24hpf_roi2,fish1_24hpf_roi2,,
aang,/clusterfs/vast/abcabc/Aang_Foundation/20250805_mito_mem-halo/fish1_24hpf_roi2,aang,fish1_24hpf_roi2,fish1_24hpf_roi2,,
aang,/clusterfs/vast/abcabc/Aang_Foundation/20250819_mem_ER/fish1_24hpf_roi2,aang,fish1_24hpf_roi2,fish1_24hpf_roi2,,
aang,/clusterfs/vast/abcabc/Aang_Foundation/20250819_mem_mito/fish1_24hpf_roi2,aang,fish1_24hpf_roi2,fish1_24hpf_roi2,,
