plate_code,slot_code,roi_code,roi_index,roi_name,roi_dir,date_imaged,notes
aang,fish3_120hpf_roi1,fish3_120hpf_roi1_1,1,fish3_120hpf_roi1,/clusterfs/vast/abcabc/Aang_Foundation/20251027_mem-histone/fish3_120hpf_roi1,,nan
aang,fish3_120hpf_roi2,fish3_120hpf_roi2_1,1,fish3_120hpf_roi2,/clusterfs/vast/abcabc/Aang_Foundation/20251027_mem-histone/fish3_120hpf_roi2,,nan
aang,fish3_120hpf_roi3,fish3_120hpf_roi3_1,1,fish3_120hpf_roi3,/clusterfs/vast/abcabc/Aang_Foundation/20251027_mem-histone/fish3_120hpf_roi3,,nan
aang,fish3_120hpf_roi4,fish3_120hpf_roi4_1,1,fish3_120hpf_roi4,/clusterfs/vast/abcabc/Aang_Foundation/20251027_mem-histone/fish3_120hpf_roi4,,nan
aang,fish3_120hpf_roi5,fish3_120hpf_roi5_1,1,fish3_120hpf_roi5,/clusterfs/vast/abcabc/Aang_Foundation/20251027_mem-histone/fish3_120hpf_roi5,,nan
aang,fish3_120hpf_roi6,fish3_120hpf_roi6_1,1,fish3_120hpf_roi6,/clusterfs/vast/abcabc/Aang_Foundation/20251027_mem-histone/fish3_120hpf_roi6,,nan
aang,fish3_120hpf_roi7,fish3_120hpf_roi7_1,1,fish3_120hpf_roi7,/clusterfs/vast/abcabc/Aang_Foundation/20251027_mem-histone/fish3_120hpf_roi7,,nan
aang,fish3_24hpf_mem-mchilada_mito-mSG,fish3_24hpf_mem-mchilada_mito-mSG_1,1,roi1,/clusterfs/vast/abcabc/Aang_Foundation/20250808_mem_organelle/fish3_24hpf_mem-mchilada_mito-mSG/roi1,,nan
aang,fish3_24hpf_mem-mchilada_mito-mSG,fish3_24hpf_mem-mchilada_mito-mSG_2,2,roi2,/clusterfs/vast/abcabc/Aang_Foundation/20250808_mem_organelle/fish3_24hpf_mem-mchilada_mito-mSG/roi2,,nan
aang,fish3_24hpf_mem-mchilada_mito-mSG,fish3_24hpf_mem-mchilada_mito-mSG_3,3,roi3,/clusterfs/vast/abcabc/Aang_Foundation/20250808_mem_organelle/fish3_24hpf_mem-mchilada_mito-mSG/roi3,,nan
aang,fish3_24hpf_mem-mchilada_mito-mSG,fish3_24hpf_mem-mchilada_mito-mSG_4,4,roi4,/clusterfs/vast/abcabc/Aang_Foundation/20250808_mem_organelle/fish3_24hpf_mem-mchilada_mito-mSG/roi4,,nan
aang,fish3_24hpf_roi1,fish3_24hpf_roi1_1,1,fish3_24hpf_roi1,/clusterfs/vast/abcabc/Aang_Foundation/20250805_mito_mem-halo/fish3_24hpf_roi1,,nan
aang,fish3_24hpf_roi1,fish3_24hpf_roi1_2,2,fish3_24hpf_roi1,/clusterfs/vast/abcabc/Aang_Foundation/20250819_mem_mito/fish3_24hpf_roi1,,nan
aang,fish3_24hpf_roi1,fish3_24hpf_roi1_3,3,fish3_24hpf_roi1,/clusterfs/vast/abcabc/Aang_Foundation/20250821_mem_mito/fish3_24hpf_roi1,,nan
aang,fish3_24hpf_roi1,fish3_24hpf_roi1_4,4,fish3_24hpf_roi1,/clusterfs/vast/abcabc/Aang_Foundation/20250826_mem_actin/fish3_24hpf_roi1,,nan
aang,fish3_24hpf_roi1,fish3_24hpf_roi1_5,5,fish3_24hpf_roi1,/clusterfs/vast/abcabc/Aang_Foundation/20250924_mem-mito/fish3_24hpf_roi1,,nan
aang,fish3_24hpf_roi1,fish3_24hpf_roi1_6,6,fish3_24hpf_roi1,/clusterfs/vast/abcabc/Aang_Foundation/20251002_mem_mito/fish3_24hpf_roi1,,nan
aang,fish3_24hpf_roi1,fish3_24hpf_roi1_7,7,fish3_24hpf_roi1,/clusterfs/vast/abcabc/Aang_Foundation/20251006_mem_histone/fish3_24hpf_roi1,,nan
aang,fish3_24hpf_roi1,fish3_24hpf_roi1_8,8,fish3_24hpf_roi1,/clusterfs/vast/abcabc/Aang_Foundation/20251010_mem-mito/fish3_24hpf_roi1,,nan
aang,fish3_24hpf_roi1,fish3_24hpf_roi1_9,9,fish3_24hpf_roi1,/clusterfs/vast/abcabc/Aang_Foundation/20251021_mem-mito/fish3_24hpf_roi1,,nan
aang,fish3_24hpf_roi1,fish3_24hpf_roi1_10,10,fish3_24hpf_roi1,/clusterfs/vast/abcabc/Aang_Foundation/20251023_mem-mito/fish3_24hpf_roi1,,nan
aang,fish3_24hpf_roi1,fish3_24hpf_roi1_11,11,fish3_24hpf_roi1,/clusterfs/vast/abcabc/Aang_Foundation/20251105_mem-mito/fish3_24hpf_roi1,,nan
aang,fish3_24hpf_roi1,fish3_24hpf_roi1_12,12,fish3_24hpf_roi1,/clusterfs/vast/abcabc/Aang_Foundation/20251107_mem-mito/fish3_24hpf_roi1,,nan
aang,fish3_24hpf_roi1_test,fish3_24hpf_roi1_test_1,1,fish3_24hpf_roi1_test,/clusterfs/vast/abcabc/Aang_Foundation/20250924_mem-mito/fish3_24hpf_roi1_test,,nan
aang,fish3_24hpf_roi2,fish3_24hpf_roi2_1,1,fish3_24hpf_roi2,/clusterfs/vast/abcabc/Aang_Foundation/20250805_mito_mem-halo/fish3_24hpf_roi2,,nan
aang,fish3_24hpf_roi2,fish3_24hpf_roi2_2,2,fish3_24hpf_roi2,/clusterfs/vast/abcabc/Aang_Foundation/20250821_mem_mito/fish3_24hpf_roi2,,nan
aang,fish3_24hpf_roi2,fish3_24hpf_roi2_3,3,fish3_24hpf_roi2,/clusterfs/vast/abcabc/Aang_Foundation/20250826_mem_actin/fish3_24hpf_roi2,,nan
aang,fish3_24hpf_roi2,fish3_24hpf_roi2_4,4,fish3_24hpf_roi2,/clusterfs/vast/abcabc/Aang_Foundation/20251002_mem_mito/fish3_24hpf_roi2,,nan
aang,fish3_24hpf_roi2,fish3_24hpf_roi2_5,5,fish3_24hpf_roi2,/clusterfs/vast/abcabc/Aang_Foundation/20251006_mem_histone/fish3_24hpf_roi2,,nan
aang,fish3_24hpf_roi2,fish3_24hpf_roi2_6,6,fish3_24hpf_roi2,/clusterfs/vast/abcabc/Aang_Foundation/20251010_mem-mito/fish3_24hpf_roi2,,nan
aang,fish3_24hpf_roi2,fish3_24hpf_roi2_7,7,fish3_24hpf_roi2,/clusterfs/vast/abcabc/Aang_Foundation/20251021_mem-mito/fish3_24hpf_roi2,,nan
aang,fish3_24hpf_roi2,fish3_24hpf_roi2_8,8,fish3_24hpf_roi2,/clusterfs/vast/abcabc/Aang_Foundation/20251105_mem-mito/fish3_24hpf_roi2,,nan
aang,fish3_24hpf_roi2,fish3_24hpf_roi2_9,9,fish3_24hpf_roi2,/clusterfs/vast/abcabc/Aang_Foundation/20251107_mem-mito/fish3_24hpf_roi2,,nan
aang,fish3_24hpf_roi3,fish3_24hpf_roi3_1,1,fish3_24hpf_roi3,/clusterfs/vast/abcabc/Aang_Foundation/20250924_mem-mito/fish3_24hpf_roi3,,nan
aang,fish3_24hpf_roi4,fish3_24hpf_roi4_1,1,fish3_24hpf_roi4,/clusterfs/vast/abcabc/Aang_Foundation/20250924_mem-mito/fish3_24hpf_roi4,,nan
aang,fish3_24hpf_roi5,fish3_24hpf_roi5_1,1,fish3_24hpf_roi5,/clusterfs/vast/abcabc/Aang_Foundation/20250924_mem-mito/fish3_24hpf_roi5,,nan
aang,fish3_24hpf_roi6,fish3_24hpf_roi6_1,1,fish3_24hpf_roi6,/clusterfs/vast/abcabc/Aang_Foundation/20250924_mem-mito/fish3_24hpf_roi6,,nan
aang,fish3_24hpf_roi7,fish3_24hpf_roi7_1,1,fish3_24hpf_roi7,/clusterfs/vast/abcabc/Aang_Foundation/20250924_mem-mito/fish3_24hpf_roi7,,nan
aang,fish3_48hpf_roi1,fish3_48hpf_roi1_1,1,fish3_48hpf_roi1,/clusterfs/vast/abcabc/Aang_Foundation/20250722_mrna_mito-mSG_mem-mChilada/fish3_48hpf_roi1,,nan
aang,fish3_48hpf_roi1,fish3_48hpf_roi1_2,2,fish3_48hpf_roi1,/clusterfs/vast/abcabc/Aang_Foundation/20250827_mem_actin/fish3_48hpf_roi1,,nan
aang,fish3_48hpf_roi1,fish3_48hpf_roi1_3,3,fish3_48hpf_roi1,/clusterfs/vast/abcabc/Aang_Foundation/20250917_mem-mito/fish3_48hpf_roi1,,nan
aang,fish3_48hpf_roi1,fish3_48hpf_roi1_4,4,fish3_48hpf_roi1,/clusterfs/vast/abcabc/Aang_Foundation/20250925_mem-mito/fish3_48hpf_roi1,,nan
aang,fish3_48hpf_roi1,fish3_48hpf_roi1_5,5,fish3_48hpf_roi1,/clusterfs/vast/abcabc/Aang_Foundation/20250926_mem-mito/fish3_48hpf_roi1,,nan
aang,fish3_48hpf_roi1,fish3_48hpf_roi1_6,6,fish3_48hpf_roi1,/clusterfs/vast/abcabc/Aang_Foundation/20251007_mem_histone/fish3_48hpf_roi1,,nan
aang,fish3_48hpf_roi1,fish3_48hpf_roi1_7,7,fish3_48hpf_roi1,/clusterfs/vast/abcabc/Aang_Foundation/20251009_mem-mito/fish3_48hpf_roi1,,nan
aang,fish3_48hpf_roi1,fish3_48hpf_roi1_8,8,fish3_48hpf_roi1,/clusterfs/vast/abcabc/Aang_Foundation/20251015_mem-histone/fish3_48hpf_roi1,,nan
aang,fish3_48hpf_roi1,fish3_48hpf_roi1_9,9,fish3_48hpf_roi1,/clusterfs/vast/abcabc/Aang_Foundation/20251022_mem-mito/fish3_48hpf_roi1,,nan
aang,fish3_48hpf_roi1,fish3_48hpf_roi1_10,10,fish3_48hpf_roi1,/clusterfs/vast/abcabc/Aang_Foundation/20251106_mem-mito/fish3_48hpf_roi1,,nan
aang,fish3_48hpf_roi2,fish3_48hpf_roi2_1,1,fish3_48hpf_roi2,/clusterfs/vast/abcabc/Aang_Foundation/20250722_mrna_mito-mSG_mem-mChilada/fish3_48hpf_roi2,,nan
aang,fish3_48hpf_roi2,fish3_48hpf_roi2_2,2,fish3_48hpf_roi2,/clusterfs/vast/abcabc/Aang_Foundation/20250827_mem_actin/fish3_48hpf_roi2,,nan
aang,fish3_48hpf_roi2,fish3_48hpf_roi2_3,3,fish3_48hpf_roi2,/clusterfs/vast/abcabc/Aang_Foundation/20250917_mem-mito/fish3_48hpf_roi2,,nan
aang,fish3_48hpf_roi2,fish3_48hpf_roi2_4,4,fish3_48hpf_roi2,/clusterfs/vast/abcabc/Aang_Foundation/20250925_mem-mito/fish3_48hpf_roi2,,nan
aang,fish3_48hpf_roi2,fish3_48hpf_roi2_5,5,fish3_48hpf_roi2,/clusterfs/vast/abcabc/Aang_Foundation/20250926_mem-mito/fish3_48hpf_roi2,,nan
aang,fish3_48hpf_roi2,fish3_48hpf_roi2_6,6,fish3_48hpf_roi2,/clusterfs/vast/abcabc/Aang_Foundation/20251009_mem-mito/fish3_48hpf_roi2,,nan
aang,fish3_48hpf_roi2,fish3_48hpf_roi2_7,7,fish3_48hpf_roi2,/clusterfs/vast/abcabc/Aang_Foundation/20251015_mem-histone/fish3_48hpf_roi2,,nan
aang,fish3_48hpf_roi2,fish3_48hpf_roi2_8,8,fish3_48hpf_roi2,/clusterfs/vast/abcabc/Aang_Foundation/20251022_mem-mito/fish3_48hpf_roi2,,nan
aang,fish3_48hpf_roi2,fish3_48hpf_roi2_9,9,fish3_48hpf_roi2,/clusterfs/vast/abcabc/Aang_Foundation/20251106_mem-mito/fish3_48hpf_roi2,,nan
aang,fish3_48hpf_roi3,fish3_48hpf_roi3_1,1,fish3_48hpf_roi3,/clusterfs/vast/abcabc/Aang_Foundation/20250722_mrna_mito-mSG_mem-mChilada/fish3_48hpf_roi3,,nan
aang,fish3_48hpf_roi3,fish3_48hpf_roi3_2,2,fish3_48hpf_roi3,/clusterfs/vast/abcabc/Aang_Foundation/20250917_mem-mito/fish3_48hpf_roi3,,nan
aang,fish3_48hpf_roi3,fish3_48hpf_roi3_3,3,fish3_48hpf_roi3,/clusterfs/vast/abcabc/Aang_Foundation/20250925_mem-mito/fish3_48hpf_roi3,,nan
aang,fish3_48hpf_roi3,fish3_48hpf_roi3_4,4,fish3_48hpf_roi3,/clusterfs/vast/abcabc/Aang_Foundation/20250926_mem-mito/fish3_48hpf_roi3,,nan
aang,fish3_48hpf_roi3,fish3_48hpf_roi3_5,5,fish3_48hpf_roi3,/clusterfs/vast/abcabc/Aang_Foundation/20251009_mem-mito/fish3_48hpf_roi3,,nan
aang,fish3_48hpf_roi3,fish3_48hpf_roi3_6,6,fish3_48hpf_roi3,/clusterfs/vast/abcabc/Aang_Foundation/20251106_mem-mito/fish3_48hpf_roi3,,nan
aang,fish3_48hpf_roi4,fish3_48hpf_roi4_1,1,fish3_48hpf_roi4,/clusterfs/vast/abcabc/Aang_Foundation/20250722_mrna_mito-mSG_mem-mChilada/fish3_48hpf_roi4,,nan
aang,fish3_48hpf_roi4,fish3_48hpf_roi4_2,2,fish3_48hpf_roi4,/clusterfs/vast/abcabc/Aang_Foundation/20250917_mem-mito/fish3_48hpf_roi4,,nan
aang,fish3_48hpf_roi4,fish3_48hpf_roi4_3,3,fish3_48hpf_roi4,/clusterfs/vast/abcabc/Aang_Foundation/20250925_mem-mito/fish3_48hpf_roi4,,nan
aang,fish3_48hpf_roi4,fish3_48hpf_roi4_4,4,fish3_48hpf_roi4,/clusterfs/vast/abcabc/Aang_Foundation/20250926_mem-mito/fish3_48hpf_roi4,,nan
aang,fish3_48hpf_roi4,fish3_48hpf_roi4_5,5,fish3_48hpf_roi4,/clusterfs/vast/abcabc/Aang_Foundation/20251009_mem-mito/fish3_48hpf_roi4,,nan
aang,fish3_72hpf_roi1,fish3_72hpf_roi1_1,1,fish3_72hpf_roi1,/clusterfs/vast/abcabc/Aang_Foundation/20250912_mem-mito/fish3_72hpf_roi1,,nan
aang,fish3_72hpf_roi1,fish3_72hpf_roi1_2,2,fish3_72hpf_roi1,/clusterfs/vast/abcabc/Aang_Foundation/20250915_mem-mito/fish3_72hpf_roi1,,nan
aang,fish3_72hpf_roi1,fish3_72hpf_roi1_3,3,fish3_72hpf_roi1,/clusterfs/vast/abcabc/Aang_Foundation/20250918_mem-mito/fish3_72hpf_roi1,,nan
aang,fish3_72hpf_roi1,fish3_72hpf_roi1_4,4,fish3_72hpf_roi1,/clusterfs/vast/abcabc/Aang_Foundation/20251020_mem-histone/fish3_72hpf_roi1,,nan
aang,fish3_72hpf_roi10,fish3_72hpf_roi10_1,1,fish3_72hpf_roi10,/clusterfs/vast/abcabc/Aang_Foundation/20250912_mem-mito/fish3_72hpf_roi10,,nan
aang,fish3_72hpf_roi10,fish3_72hpf_roi10_2,2,fish3_72hpf_roi10,/clusterfs/vast/abcabc/Aang_Foundation/20250918_mem-mito/fish3_72hpf_roi10,,nan
aang,fish3_72hpf_roi11,fish3_72hpf_roi11_1,1,fish3_72hpf_roi11,/clusterfs/vast/abcabc/Aang_Foundation/20250912_mem-mito/fish3_72hpf_roi11,,nan
aang,fish3_72hpf_roi11,fish3_72hpf_roi11_2,2,fish3_72hpf_roi11,/clusterfs/vast/abcabc/Aang_Foundation/20250918_mem-mito/fish3_72hpf_roi11,,nan
aang,fish3_72hpf_roi12,fish3_72hpf_roi12_1,1,fish3_72hpf_roi12,/clusterfs/vast/abcabc/Aang_Foundation/20250912_mem-mito/fish3_72hpf_roi12,,nan
aang,fish3_72hpf_roi2,fish3_72hpf_roi2_1,1,fish3_72hpf_roi2,/clusterfs/vast/abcabc/Aang_Foundation/20250912_mem-mito/fish3_72hpf_roi2,,nan
aang,fish3_72hpf_roi2,fish3_72hpf_roi2_2,2,fish3_72hpf_roi2,/clusterfs/vast/abcabc/Aang_Foundation/20250915_mem-mito/fish3_72hpf_roi2,,nan
aang,fish3_72hpf_roi2,fish3_72hpf_roi2_3,3,fish3_72hpf_roi2,/clusterfs/vast/abcabc/Aang_Foundation/20250918_mem-mito/fish3_72hpf_roi2,,nan
aang,fish3_72hpf_roi2,fish3_72hpf_roi2_4,4,fish3_72hpf_roi2,/clusterfs/vast/abcabc/Aang_Foundation/20251020_mem-histone/fish3_72hpf_roi2,,nan
aang,fish3_72hpf_roi3,fish3_72hpf_roi3_1,1,fish3_72hpf_roi3,/clusterfs/vast/abcabc/Aang_Foundation/20250912_mem-mito/fish3_72hpf_roi3,,nan
aang,fish3_72hpf_roi3,fish3_72hpf_roi3_2,2,fish3_72hpf_roi3,/clusterfs/vast/abcabc/Aang_Foundation/20250915_mem-mito/fish3_72hpf_roi3,,nan
aang,fish3_72hpf_roi3,fish3_72hpf_roi3_3,3,fish3_72hpf_roi3,/clusterfs/vast/abcabc/Aang_Foundation/20250918_mem-mito/fish3_72hpf_roi3,,nan
aang,fish3_72hpf_roi3,fish3_72hpf_roi3_4,4,fish3_72hpf_roi3,/clusterfs/vast/abcabc/Aang_Foundation/20251020_mem-histone/fish3_72hpf_roi3,,nan
aang,fish3_72hpf_roi4,fish3_72hpf_roi4_1,1,fish3_72hpf_roi4,/clusterfs/vast/abcabc/Aang_Foundation/20250912_mem-mito/fish3_72hpf_roi4,,nan
aang,fish3_72hpf_roi4,fish3_72hpf_roi4_2,2,fish3_72hpf_roi4,/clusterfs/vast/abcabc/Aang_Foundation/20250915_mem-mito/fish3_72hpf_roi4,,nan
aang,fish3_72hpf_roi4,fish3_72hpf_roi4_3,3,fish3_72hpf_roi4,/clusterfs/vast/abcabc/Aang_Foundation/20250918_mem-mito/fish3_72hpf_roi4,,nan
aang,fish3_72hpf_roi5,fish3_72hpf_roi5_1,1,fish3_72hpf_roi5,/clusterfs/vast/abcabc/Aang_Foundation/20250912_mem-mito/fish3_72hpf_roi5,,nan
