clutch_code,clutch_date,mount_id,mom_genotype_text,dad_genotype_text,mom_genotype_code,dad_genotype_code,additional_plasmids_raw,additional_rnas_raw,additional_proteins_raw,additional_dyes_raw,imaged_locations_raw,data_location,notes
LG_CLUTCH_20250326_nan,2025-03-26,nan,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),,,nan,mScarlet3-S2:H2B,nan,nan,"skin, spinal_cord, muscle",U:\Data\20240911_Korra_Foundation\20250324_mem_histone\fish4_24hpf,nan
LG_CLUTCH_20250327_nan,2025-03-27,nan,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:<exorh:GFP>mKate2/mCitrine/Electra2/mKOK/mTFP1 (F1 of allele 313),,,nan,phiC,nan,nan,"skin, spinal_cord, muscle",U:\Data\20240911_Korra_Foundation\20250327_mem_skittles\fish5_48hpf,nan
LG_CLUTCH_20250327_nan,2025-03-27,nan,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:<exorh:GFP>mKate2/mCitrine/Electra2/mKOK/mTFP1 (F1 of allele 313),,,nan,phiC,nan,nan,"eye, brain",U:\Data\20240911_Korra_Foundation\20250327_mem_skittles\fish1_24hpf,nan
LG_CLUTCH_20250327_nan,2025-03-27,nan,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:<exorh:GFP>mKate2/mCitrine/Electra2/mKOK/mTFP1 (F1 of allele 313),,,nan,phiC,nan,nan,"eye, brain",U:\Data\20240911_Korra_Foundation\20250327_mem_skittles\fish2_24hpf,nan
LG_CLUTCH_20250328_nan,2025-03-28,nan,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:<exorh:GFP>mKate2/mCitrine/Electra2/mKOK/mTFP1 (F1 of allele 313),,,nan,phiC,nan,nan,brain,U:\Data\20240911_Korra_Foundation\20250327_mem_skittles\fish3_48hpf,nan
LG_CLUTCH_20250328_nan,2025-03-28,nan,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:<exorh:GFP>mKate2/mCitrine/Electra2/mKOK/mTFP1 (F1 of allele 313),,,nan,phiC,nan,nan,brain,U:\Data\20240911_Korra_Foundation\20250327_mem_skittles\fish4_48hpf,nan
LG_CLUTCH_20250331_nan,2025-03-31,nan,casper/rnf,ef1a:2xLynk:tdmSG(J) (F1 of allele 308),,,nan,mScarlet3-S2:H2B,nan,nan,nan,nan,nan
LG_CLUTCH_20250401_nan,2025-04-01,nan,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),,,nan,mScarlet3-S2:H2B,nan,nan,"hindbrain, brain, skin, spinal_cord, muscle, tail",U:\Data\20240911_Korra_Foundation\20250401_mem_histone\fish1_24hpf,nan
LG_CLUTCH_20250403_nan,2025-04-03,nan,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),,,nan,mScarlet3-S2:H2B,nan,nan,"skin, spinal_cord, muscle, notochord, blood vessel",U:\Data\20240911_Korra_Foundation\20250401_mem_histone\fish2_72hpf,nan
LG_CLUTCH_20250404_nan,2025-04-04,nan,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:<exorh:GFP>mKate2/mCitrine/Electra2/mKOK/mTFP1 (F1 of allele 313),,,nan,phiC-NLS,nan,nan,"skin, spinal_cord, muscle",U:\Data\20240911_Korra_Foundation\20250401_mem_skittles\fish1_24hpf\roi1,nan
LG_CLUTCH_20250407_nan,2025-04-07,nan,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:<exorh:GFP>mKate2/mCitrine/Electra2/mKOK/mTFP1 (F1 of allele 313),,,nan,"phiC-NLS, phiC",nan,nan,"skin, spinal_cord, muscle, notochord",U:\Data\20240911_Korra_Foundation\20250401_mem_skittles\fish1_96hpf,nan
LG_CLUTCH_20250408_nan,2025-04-08,nan,casper/rnf,casper/rnf,,,nan,"LAMP1:mSG, 2xLynk:mChilada",nan,nan,"skin, spinal_cord, muscle",nan,nan
LG_CLUTCH_20250408_nan,2025-04-08,nan,casper/rnf,casper/rnf,,,nan,"LAMP1:mSG, 2xLynk:mChilada",nan,nan,"skin, spinal_cord, muscle",nan,nan
LG_CLUTCH_20250410_nan,2025-04-10,nan,casper/rnf,casper/rnf,,,nan,"LAMP1:mSG, 2xLynk:mChilada",nan,nan,"hindbrain, brain, skin, spinal_cord, muscle","U:\Data\20240911_Korra_Foundation\20250410_organelle\fish1-fish3, lysosome",nan
LG_CLUTCH_20250411_nan,2025-04-11,nan,casper/rnf,casper/rnf,,,nan,"2xCox8A:mSG, 2xLynk:mChilada",nan,nan,"hindbrain, brain, skin, spinal_cord, muscle","U:\Data\20240911_Korra_Foundation\20250410_organelle\fish4-5,, mitochondria",nan
LG_CLUTCH_20250414_nan,2025-04-14,nan,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),,,nan,mScarlet3-S2:H2B,nan,nan,"skin, muscle, tail, blood vessel, notochord",U:\Data\20240911_Korra_Foundation\20250414_mem_histone\fish1_72hpf,nan
LG_CLUTCH_20250415_nan,2025-04-15,nan,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),,,nan,mScarlet3-S2:H2B,nan,nan,"hindbrain, brain, spinal_cord, skin",nan,nan
LG_CLUTCH_20250418_nan,2025-04-18,nan,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),,,nan,mScarlet3-S2:H2B,nan,nan,nan,U:\Data\20240911_Korra_Foundation\20250418_mem_histone\fish1_newLLStest,nan
LG_CLUTCH_20250421_nan,2025-04-21,nan,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),,,nan,mScarlet3-S2:H2B,nan,nan,"skin, muscle, tail, blood vessel, notochord",U:\Data\20240911_Korra_Foundation\20250421_mem_histone\fish1_72hpf,nan
LG_CLUTCH_20250422_nan,2025-04-22,nan,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),,,nan,mScarlet3-S2:H2B,nan,nan,"hindbrain, spinal_cord, skin, muscle, notochord",U:\Data\20240911_Korra_Foundation\20250421_mem_histone\fish2_24hpf,nan
LG_CLUTCH_20250422_nan,2025-04-22,nan,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),,,nan,mScarlet3-S2:H2B,nan,nan,"hindbrain, spinal_cord, skin, muscle, notochord, tail",U:\Data\20240911_Korra_Foundation\20250421_mem_histone\fish3_24hpf,nan
LG_CLUTCH_20250423_nan,2025-04-23,nan,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),,,nan,mScarlet3-S2:H2B,nan,nan,"spinal_cord, skin, muscle, notochord, tail",U:\Data\20240911_Korra_Foundation\20250421_mem_histone\fish4_48hpf,nan
LG_CLUTCH_20250424_nan,2025-04-24,nan,casper/rnf,casper/rnf,,,ef1a:mGold2s,nan,nan,nan,nan,U:\Data\20240911_Korra_Foundation\20250424_mGold2_cytosolic,nan
LG_CLUTCH_20250424_nan,2025-04-24,nan,casper/rnf,casper/rnf,,,ef1a:mGold2t,nan,nan,nan,nan,U:\Data\20240911_Korra_Foundation\20250424_mGold2_cytosolic,nan
LG_CLUTCH_20250424_nan,2025-04-24,nan,casper/rnf,casper/rnf,,,ef1a:mGold2t,nan,nan,nan,"hindbrain, spinal_cord, skin, muscle, notochord, tail",U:\Data\20240911_Korra_Foundation\20250424_mGold2_cytosolic\141_largeFOV,nan
LG_CLUTCH_20250428_nan,2025-04-28,nan,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),,,nan,mScarlet3-S2:H2B,nan,nan,"spinal_cord, skin, muscle, tail, notochord, hindbrain, blood vessel",X:\abcabc\Korra_Foundation\20250428_mem_histone\fish1_72hpf,nan
LG_CLUTCH_20250429_nan,2025-04-29,nan,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),,,ef1a:mGold2s,nan,nan,nan,brain,X:\abcabc\Korra_Foundation\20250429_mem_cytosol\fish1_24hpf,nan
LG_CLUTCH_20250430_nan,2025-04-30,nan,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),,,ef1a:mGold2s,nan,nan,nan,"hindbrain, spinal_cord, skin, muscle",X:\abcabc\Korra_Foundation\20250429_mem_cytosol\fish2_48hpf,nan
LG_CLUTCH_20250430_nan,2025-04-30,nan,membrane Halo,membrane Halo,,,ef1a:mGold2s,nan,nan,nan,"spinal_cord, skin, muscle, notochord, hindbrain",X:\abcabc\Korra_Foundation\20250429_mem_cytosol\fish3_mem-halo_24hpf,nan
LG_CLUTCH_20250501_nan,2025-05-01,nan,membrane Halo,membrane Halo,,,ef1a:mGold2s,nan,nan,nan,"hindbrain, spinal_cord, skin, muscle, notochord, blood vessel",X:\abcabc\Korra_Foundation\20250429_mem_cytosol\fish4_mem-halo_48hpf,nan
LG_CLUTCH_20250505_nan,2025-05-05,nan,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),,,nan,mScarlet3-S2:H2B,nan,nan,"spinal_cord, skin, muscle, tail",X:\abcabc\Korra_Foundation\20250505_fish_transplant\0505_fish1_14somite,nan
LG_CLUTCH_20250506_nan,2025-05-06,nan,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),,,nan,"LAMP1:mSG, 2xLynk:mScarlet3-S2",nan,nan,"spinal_cord, skin, muscle, tail",X:\abcabc\Korra_Foundation\20250505_fish_transplant\0506_fish1_memSG_lamp-SG_transmSC_14somite,nan
LG_CLUTCH_20250506_nan,2025-05-06,nan,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),,,nan,"Vimentin:Halo, 2xLynk:mScarlet3-S2",nan,nan,"spinal_cord, skin, muscle, tail",X:\abcabc\Korra_Foundation\20250505_fish_transplant\0506_fish2_memSG_vemHalo_transmSC,nan
LG_CLUTCH_20250507_nan,2025-05-07,nan,casper/rnf,casper/rnf,,,nan,"Lifeact:Halo, 2xLynk:mSG",nan,nan,"spinal_cord, skin, muscle, tail",X:\abcabc\Korra_Foundation\20250505_fish_transplant\0507_fish1_mchilada_mitoHalo_transmSG,nan
LG_CLUTCH_20250508_nan,2025-05-08,nan,casper/rnf,casper/rnf,,,nan,"2xLynk:mChilada, 2xLynk:mSG",nan,nan,"spinal_cord, skin, muscle, tail",X:\abcabc\Korra_Foundation\20250505_fish_transplant\0508_fish1_mem-mchilada_transmSG,nan
LG_CLUTCH_20250508_nan,2025-05-08,nan,casper/rnf,casper/rnf,,,nan,"2xLynk:mChilada, 2xLynk:mSG",nan,nan,"spinal_cord, skin, muscle, tail",X:\abcabc\Korra_Foundation\20250505_fish_transplant\0508_fish2_mem-mchilada_transmSG,nan
LG_CLUTCH_20250509_nan,2025-05-09,nan,casper/rnf,casper/rnf,,,nan,"2xLynk:mChilada, 2xLynk:mSG, Lifeact:Halo",nan,nan,"spinal_cord, skin, muscle, tail",X:\abcabc\Korra_Foundation\20250505_fish_transplant\0509_fish1_transmSG_lifeactHalo,nan
LG_CLUTCH_20250509_nan,2025-05-09,nan,casper/rnf,casper/rnf,,,nan,"2xLynk:mChilada, 2xLynk:mSG, Lifeact:Halo",nan,nan,"spinal_cord, skin, muscle, tail",nan,nan
LG_CLUTCH_20250513_nan,2025-05-13,nan,nan,nan,,,nan,phiC-NLS,nan,nan,"spinal_cord, skin, muscle, tail",X:\abcabc\Korra_Foundation\20250513_skittles(fish1-3),nan
LG_CLUTCH_20250514_nan,2025-05-14,nan,nan,nan,,,nan,phiC-NLS,nan,nan,"spinal_cord, skin, muscle, tail","X:\abcabc\Korra_Foundation\20250513_skittles (fish4,5)",nan
LG_CLUTCH_20250515_nan,2025-05-15,nan,nan,nan,,,nan,phiC-NLS,nan,nan,"spinal_cord, skin, muscle, tail, hindbrain, ear",X:\abcabc\Korra_Foundation\20250513_skittles (fish12-16),nan
LG_CLUTCH_20250520_nan,2025-05-20,nan,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),,,nan,mScarlet3-S2:H2B,nan,nan,"skin, muscle, tail",X:\abcabc\Korra_Foundation\20250520_mem_histone\fish4,nan
LG_CLUTCH_20250520_nan,2025-05-20,nan,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),,,nan,mScarlet3-S2:H2B,nan,nan,"skin, muscle, tail",X:\abcabc\Korra_Foundation\20250520_mem_histone\fish5,nan
LG_CLUTCH_20250520_nan,2025-05-20,nan,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),,,nan,mScarlet3-S2:H2B,nan,nan,"skin, muscle, tail, hindbrain, spinal_cord",X:\abcabc\Korra_Foundation\20250520_mem_histone\fish2,nan
LG_CLUTCH_20250521_nan,2025-05-21,nan,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),,,nan,mScarlet3-S2:H2B,nan,nan,"skin, muscle, spinal_cord, notochord",X:\abcabc\Korra_Foundation\20250520_mem_histone\fish2,nan
LG_CLUTCH_20250521_nan,2025-05-21,nan,Dennis (F2 of allele 318),Abe (F2 of allele 309),,,nan,phiC-NLS,nan,nan,skittles test,X:\abcabc\Korra_Foundation\20250521_skittles_no-membrane,nan
LG_CLUTCH_20250522_nan,2025-05-22,nan,nan,nan,,,nan,nan,nan,nan,"spinal_cord, skin, muscle, tail, hindbrain, ear, brain, notochord",X:\abcabc\Korra_Foundation\20250522_skittlez,nan
LG_CLUTCH_20250523_nan,2025-05-23,nan,ef1a:2xLynk:tdmSG(J) (F2 of allele 302),ef1a:2xLynk:tdmSG(J) (F2 of allele 302),,,nan,mScarlet3-S2:H2B,nan,nan,"skin, hindbrain, ear, brain, notochord",X:\abcabc\Korra_Foundation\20250523_mem_histone\fish5,nan
LG_CLUTCH_20250523_nan,2025-05-23,nan,ef1a:2xLynk:tdmSG(J) (F2 of allele 302),ef1a:2xLynk:tdmSG(J) (F2 of allele 302),,,nan,mScarlet3-S2:H2B,nan,nan,"spinal_cord, skin, muscle, hindbrain, notochord, brain, tail",X:\abcabc\Korra_Foundation\20250523_mem_histone\fish1-4,nan
LG_CLUTCH_20250528_nan,2025-05-28,nan,nan,nan,,,nan,nan,nan,nan,skittles test,X:\abcabc\Korra_Foundation\20250528_skittlez\fish1,nan
LG_CLUTCH_20250528_nan,2025-05-28,nan,ef1a:2xLynk:tdmSG(J) (F2 of allele 302),ef1a:2xLynk:tdmSG(J) (F2 of allele 302),,,nan,mScarlet3-S2:H2B,nan,nan,"skin, brain",X:\abcabc\Korra_Foundation\20250528_mem-histone\fish2,nan
LG_CLUTCH_20250528_nan,2025-05-28,nan,ef1a:2xLynk:tdmSG(J) (F2 of allele 302),ef1a:2xLynk:tdmSG(J) (F2 of allele 302),,,nan,mScarlet3-S2:H2B,nan,nan,"spinal_cord, skin, muscle, hindbrain",X:\abcabc\Korra_Foundation\20250528_mem-histone\fish3,nan
LG_CLUTCH_20250529_nan,2025-05-29,nan,ef1a:2xLynk:tdmSG(J) (F2 of allele 302),ef1a:2xLynk:tdmSG(J) (F2 of allele 302),,,nan,mScarlet3-S2:H2B,nan,nan,"spinal_cord, skin, muscle, hindbrain",X:\abcabc\Korra_Foundation\20250528_mem-histone\fish1,nan
LG_CLUTCH_20250529_nan,2025-05-29,nan,Jim (F2 of allele 316),Ben (F2 of allele 310),,,nan,"phiC-NLS, 2xLynk:mSG, mChilada:H2B",nan,nan,"spinal_cord, skin, muscle, hindbrain, notochord, brain, tail, eye",X:\abcabc\Korra_Foundation\20250529_skittlez,nan
LG_CLUTCH_20250530_nan,2025-05-30,nan,ef1a:2xLynk:tdmSG(J) (F2 of allele 302),ef1a:2xLynk:tdmSG(J) (F2 of allele 302),,,nan,mScarlet3-S2:H2B,nan,nan,"spinal_cord, skin, muscle, hindbrain, tail, neuromast",X:\abcabc\Korra_Foundation\20250530_mem-histone\,nan
LG_CLUTCH_20250602_nan,2025-06-02,nan,casper/rnf,ef1a:2xLynk:tdmSG(J) (F2 of allele 302),,,nan,nan,nan,nan,"spinal_cord, skin, muscle, neuromast, notochord, blood vessel",X:\abcabc\Korra_Foundation\20250602_mem,nan
LG_CLUTCH_20250603_nan,2025-06-03,nan,Liam (F2 of allele 321),Chris (F1 of allele 317),,,nan,"phiC-NLS, 2xLynk:mSG",nan,nan,"spinal_cord, skin, muscle, hindbrain, brain, tail",X:\abcabc\Korra_Foundation\20250603_skittlez,nan
LG_CLUTCH_20250605_nan,2025-06-05,nan,Dennis (F2 of allele 318),Abe (F2 of allele 309),,,nan,"phiC-NLS, 2xLynk:mSG",nan,nan,"spinal_cord, skin, muscle, hindbrain, brain, eye, tail",X:\abcabc\Korra_Foundation\20250605_skittlez,nan
LG_CLUTCH_20250606_nan,2025-06-06,nan,Jim (F2 of allele 316),Ben (F2 of allele 310),,,nan,"phiC-NLS, 2xLynk:mSG",nan,nan,"spinal_cord, skin, muscle, hindbrain, brain, eye, tail",X:\abcabc\Korra_Foundation\20250606_skittlez,nan
LG_CLUTCH_20250609_nan,2025-06-09,nan,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),,,nan,mScarlet3-S2:H2B,nan,nan,"spinal_cord, skin, muscle, hindbrain, tail, neuromast, blood vessel",X:\abcabc\Korra_Foundation\20250609_mem-histone\fish11_72hpf_roi1,nan
LG_CLUTCH_20250610_nan,2025-06-10,nan,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),,,nan,mScarlet3-S2:H2B,nan,nan,"brain, eye, tail",X:\abcabc\Korra_Foundation\20250609_mem-histone\fish2_24hpf_roi1-2,nan
LG_CLUTCH_20250610_nan,2025-06-10,nan,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),,,nan,mScarlet3-S2:H2B,nan,nan,"spinal_cord, skin, muscle, hindbrain, brain, notochord",X:\abcabc\Korra_Foundation\20250609_mem-histone\fish3-6\,nan
LG_CLUTCH_20250612_nan,2025-06-12,nan,Dennis (F2 of allele 318),Abe (F2 of allele 309),,,nan,"phiC-NLS, 2xLynk:mSG",nan,nan,"spinal_cord, skin, muscle, hindbrain, brain, tail, ear",X:\abcabc\Korra_Foundation\20250612_skittlez,nan
LG_CLUTCH_20250613_nan,2025-06-13,nan,Jim (F2 of allele 316),Dennis (F2 of allele 318),,,nan,"phiC-NLS, 2xLynk:mSG",this cross is very good,nan,"spinal_cord, skin, muscle, hindbrain, brain, tail, ear, eye",X:\abcabc\Korra_Foundation\20250613_skittlez,nan
LG_CLUTCH_20250616_nan,2025-06-16,nan,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),,,nan,mScarlet3-S2:H2B,nan,nan,"ear, muscle, skin, blood vessel",X:\abcabc\Korra_Foundation\20250616_mem-histone\fish1,nan
LG_CLUTCH_20250617_nan,2025-06-17,nan,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),,,nan,mScarlet3-S2:H2B,nan,nan,"ear, muscle, skin, brain, hindbrain",X:\abcabc\Korra_Foundation\20250616_mem-histone\fish_24hpf,nan
LG_CLUTCH_20250618_nan,2025-06-18,nan,Ben (F2 of allele 310),Abe (F2 of allele 309),,,nan,"phiC-NLS, 2xLynk:mSG",nan,nan,"spinal_cord, skin, muscle, hindbrain, brain, tail, ear, eye",X:\abcabc\Korra_Foundation\20250618_skittlez,nan
LG_CLUTCH_20250619_nan,2025-06-19,nan,Dennis (F2 of allele 318),Abe (F2 of allele 309),,,nan,"phiC-NLS, 2xLynk:mSG",nan,nan,"spinal_cord, skin, muscle, hindbrain, brain, tail, ear, eye",X:\abcabc\Korra_Foundation\20250619_skittlez,nan
LG_CLUTCH_20250624_nan,2025-06-24,nan,Ken (F2 of allele 320),Isaac (F2 of allele 314),,,nan,"phiC-NLS, 2xLynk:mSG",nan,nan,"hindbrain, brain, spinal_cord, skin",X:\abcabc\Korra_Foundation\20250624_skittlez_Issac_x_Ken,nan
LG_CLUTCH_20250624_nan,2025-06-24,nan,Liam (F2 of allele 321),Chris (F1 of allele 317),,,nan,"phiC-NLS, 2xLynk:mSG",nan,nan,"hindbrain, brain, spinal_cord, skin, muscle, eye",X:\abcabc\Korra_Foundation\20250624_skittlez_Chris_x_Liam,nan
LG_CLUTCH_20250625_nan,2025-06-25,nan,Ben (F2 of allele 310),Abe (F2 of allele 309),,,nan,"phiC-NLS, 2xLynk:mSG","this cross is high in 514, which causes difficulty for mSG channel",nan,"hindbrain, brain, spinal_cord, skin, muscle",X:\abcabc\Korra_Foundation\20250624_skittlez_Chris_x_Liam,nan
LG_CLUTCH_20250626_nan,2025-06-26,nan,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),,,nan,mScarlet3-S2:H2B,nan,nan,"brain, skin, muscle, hindbrain",X:\abcabc\Korra_Foundation\20250626_mem-histone\fish1_48hpf_brain,nan
LG_CLUTCH_20250626_nan,2025-06-26,nan,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),,,nan,mScarlet3-S2:H2B,nan,nan,"hindbrain, spinal_cord, skin, muscle, tail, blood vessel",X:\abcabc\Korra_Foundation\20250626_mem-histone\fish3_48hpf_hindbrain-to-tail,nan
LG_CLUTCH_20250627_nan,2025-06-27,nan,Jim (F2 of allele 316),Ben (F2 of allele 310),,,nan,"phiC-NLS, 2xLynk:mSG",nan,nan,"brain, skin, muscle, hindbrain, spinal_cord",X:\abcabc\Korra_Foundation\20250627_skittlez and 20250625_skittlez,nan
LG_CLUTCH_20250715_nan,2025-07-15,nan,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),,,ef1a-extended:2xCox8A:mScarlet3S2,ef1a-extended:Halo:sec61b,nan,JF 635,"brain, skin, muscle, hindbrain, spinal_cord",X:\abcabc\Korra_Foundation\20250715_mem_organelle,nan
LG_CLUTCH_20250715_nan,2025-07-15,nan,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),,,ef1a-extended:2xCox8A:Halo,ef1a-extended:mScarlet3S2:sec61b,nan,JF 635,"brain, skin, muscle, hindbrain, spinal_cord",X:\abcabc\Korra_Foundation\20250715_mem_organelle,nan
LG_CLUTCH_20250716_nan,2025-07-16,nan,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),,,ef1a-extended:2xCox8A:mScarlet3S2,ef1a-extended:Halo:sec61b,nan,JF 635,"brain, skin, muscle, hindbrain, spinal_cord",X:\abcabc\Korra_Foundation\20250715_mem_organelle,nan
LG_CLUTCH_20250717_nan,2025-07-17,nan,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),,,ef1a-extended:2xCox8A:mScarlet3S2,ef1a-extended:Halo:sec61b,nan,JF 635,"skin, muscle, spinal_cord, notochord, neuromast",X:\abcabc\Korra_Foundation\20250715_mem_organelle,nan
LG_CLUTCH_20250722_nan,2025-07-22,nan,membrane Halo,membrane Halo,,,nan,mSG:sec61b,nan,JF 635,"skin, muscle, spinal_cord",X:\abcabc\Aang_Foundation\20250722_mem-halo_er-mSG,nan
LG_CLUTCH_20250722_nan,2025-07-22,nan,membrane mChilada,membrane mChilada,,,nan,2xCox8A:mSG,nan,nan,"skin, muscle, spinal_cord",X:\abcabc\Aang_Foundation\20250722_mrna_mito-mSG_mem-mChilada,nan
LG_CLUTCH_20250723_nan,2025-07-23,nan,membrane Halo,membrane Halo,,,nan,mSG:sec61b,nan,JF 635,"skin, muscle, spinal_cord",X:\abcabc\Korra_Foundation\20250723_mem-halo_ER-mSG\fish3_48hpf,nan
LG_CLUTCH_20250724_nan,2025-07-24,nan,membrane mChilada,membrane mChilada,,,nan,mSG:sec61b,nan,nan,"skin, muscle, spinal_cord, neuromast, hindbrain","X:\abcabc\Korra_Foundation\20250724_mem-mchilada_er-mSG, X:\abcabc\Aang_Foundation\20250723_er-mSG_mem-mChilada",nan
LG_CLUTCH_20250728_nan,2025-07-28,nan,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),,,nan,tdmChilada:PCNA,nan,nan,"skin, muscle, spinal_cord, notochord, neuromast, hindbrain",X:\abcabc\Korra_Foundation\20250728_mem-histone,nan
LG_CLUTCH_20250801_nan,2025-08-01,nan,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),,,nan,tdmChilada:PCNA,nan,nan,"skin, muscle, spinal_cord, hindbrain",X:\abcabc\Korra_Foundation\20250801_mem-PCNA,nan
LG_CLUTCH_20250804_nan,2025-08-04,nan,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),,,nan,tdmChilada:PCNA,nan,nan,"skin, muscle, spinal_cord, notochord, neuromast",X:\abcabc\Korra_Foundation\20250801_mem-PCNA\fish3_72hpf_roi1,nan
LG_CLUTCH_20250805_nan,2025-08-05,nan,nan,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),,,nan,nan,nan,nan,"skin, muscle, spinal_cord, hindbrain",X:\abcabc\Korra_Foundation\20250805_mem-histone,nan
LG_CLUTCH_20250805_nan,2025-08-05,nan,membrane Halo,membrane Halo,,,nan,2xCox8A:mSG,nan,nan,"skin, muscle, spinal_cord",X:\abcabc\Aang_Foundation\20250805_mito_mem-halo,nan
LG_CLUTCH_20250806_nan,2025-08-06,nan,membrane Halo,membrane Halo,,,nan,Lifeact:mSG,nan,nan,"skin, muscle, spinal_cord",X:\abcabc\Aang_Foundation\20250805_lifeact_mem-halo,nan
LG_CLUTCH_20250807_nan,2025-08-07,nan,heatshock PhiC,heatshock PhiC,,,ef1a-extended:TNG46:mStayGold,nan,nan,nan,nan,nan,nan
LG_CLUTCH_20250807_nan,2025-08-07,nan,heatshock PhiC,heatshock PhiC,,,ef1a-extended:mScarlet3S2:sec61b,nan,nan,nan,nan,nan,nan
LG_CLUTCH_20250808_nan,2025-08-08,nan,membrane mChilada,membrane mChilada,,,nan,2xCox8A:mSG,nan,nan,"skin, muscle, spinal_cord, hindbrain",X:\abcabc\Aang_Foundation\20250808_mem_organelle,nan
LG_CLUTCH_20250808_nan,2025-08-08,nan,membrane mChilada,membrane mChilada,,,nan,LAMP1:mSG,nan,nan,"skin, muscle, spinal_cord, hindbrain",X:\abcabc\Aang_Foundation\20250808_mem_organelle,nan
