plate_code,slot_code,legacy_fish_label,fish_code,imaging_nickname,timepoint,notes
aang,fish3_48hpf_roi3,fish3_48hpf_roi3,,,,
aang,fish3_48hpf_roi4,fish3_48hpf_roi4,,,,
aang,fish3_72hpf_roi1,fish3_72hpf_roi1,,,,
aang,fish3_72hpf_roi10,fish3_72hpf_roi10,,,,
aang,fish3_72hpf_roi11,fish3_72hpf_roi11,,,,
aang,fish3_72hpf_roi12,fish3_72hpf_roi12,,,,
aang,fish3_72hpf_roi2,fish3_72hpf_roi2,,,,
aang,fish3_72hpf_roi3,fish3_72hpf_roi3,,,,
aang,fish3_72hpf_roi4,fish3_72hpf_roi4,,,,
aang,fish3_72hpf_roi5,fish3_72hpf_roi5,,,,
aang,fish3_72hpf_roi6,fish3_72hpf_roi6,,,,
aang,fish3_72hpf_roi7,fish3_72hpf_roi7,,,,
aang,fish3_72hpf_roi8,fish3_72hpf_roi8,,,,
aang,fish3_72hpf_roi9,fish3_72hpf_roi9,,,,
aang,fish3_96hpf_roi1,fish3_96hpf_roi1,,,,
aang,fish3_96hpf_roi2,fish3_96hpf_roi2,,,,
aang,fish3_96hpf_roi3,fish3_96hpf_roi3,,,,
aang,fish3_96hpf_roi4,fish3_96hpf_roi4,,,,
aang,fish4_24hpf_mem-mchilada_mito-mSG,fish4_24hpf_mem-mchilada_mito-mSG,,,,
aang,fish4_24hpf_roi1,fish4_24hpf_roi1,,,,
aang,fish4_24hpf_roi2,fish4_24hpf_roi2,,,,
aang,fish4_24hpf_roi3,fish4_24hpf_roi3,,,,
aang,fish4_24hpf_roi4,fish4_24hpf_roi4,,,,
aang,fish4_48hpf_roi1,fish4_48hpf_roi1,,,,
aang,fish4_48hpf_roi2,fish4_48hpf_roi2,,,,
aang,fish4_48hpf_roi3,fish4_48hpf_roi3,,,,
aang,fish4_48hpf_roi4,fish4_48hpf_roi4,,,,
aang,fish4_48hpf_roi5,fish4_48hpf_roi5,,,,
aang,fish4_48hpf_roi6,fish4_48hpf_roi6,,,,
aang,fish4_48hpf_roi7,fish4_48hpf_roi7,,,,
aang,fish4_48hpf_roi8,fish4_48hpf_roi8,,,,
aang,fish4_72hpf_roi1,fish4_72hpf_roi1,,,,
aang,fish4_72hpf_roi2,fish4_72hpf_roi2,,,,
aang,fish4_72hpf_roi3,fish4_72hpf_roi3,,,,
aang,fish4_72hpf_roi4,fish4_72hpf_roi4,,,,
aang,fish4_72hpf_roi5,fish4_72hpf_roi5,,,,
aang,fish4_72hpf_roi6,fish4_72hpf_roi6,,,,
aang,fish5_24hpf_roi1,fish5_24hpf_roi1,,,,
aang,fish5_24hpf_roi2,fish5_24hpf_roi2,,,,
aang,fish5_24hpf_roi3,fish5_24hpf_roi3,,,,
aang,fish5_24hpf_roi4,fish5_24hpf_roi4,,,,
aang,fish5_48hpf_roi1,fish5_48hpf_roi1,,,,
aang,fish5_48hpf_roi11,fish5_48hpf_roi11,,,,
aang,fish5_48hpf_roi12,fish5_48hpf_roi12,,,,
aang,fish5_48hpf_roi2,fish5_48hpf_roi2,,,,
aang,fish5_48hpf_roi3,fish5_48hpf_roi3,,,,
aang,fish5_48hpf_roi4,fish5_48hpf_roi4,,,,
aang,fish5_48hpf_roi5,fish5_48hpf_roi5,,,,
aang,fish5_72hpf_roi1,fish5_72hpf_roi1,,,,
aang,fish5_72hpf_roi2,fish5_72hpf_roi2,,,,
aang,fish5_72hpf_roi3,fish5_72hpf_roi3,,,,
aang,fish5_72hpf_roi4,fish5_72hpf_roi4,,,,
aang,fish6_24hpf_roi1,fish6_24hpf_roi1,,,,
aang,fish6_24hpf_roi2,fish6_24hpf_roi2,,,,
aang,fish6_24hpf_roi3,fish6_24hpf_roi3,,,,
aang,fish6_48hpf_roi1,fish6_48hpf_roi1,,,,
aang,fish6_48hpf_roi2,fish6_48hpf_roi2,,,,
aang,fish6_48hpf_roi3,fish6_48hpf_roi3,,,,
aang,fish6_48hpf_roi4,fish6_48hpf_roi4,,,,
aang,fish6_48hpf_roi5,fish6_48hpf_roi5,,,,
aang,fish6_72hpf_roi1,fish6_72hpf_roi1,,,,
aang,fish7_24hpf_roi1,fish7_24hpf_roi1,,,,
aang,fish7_24hpf_roi2,fish7_24hpf_roi2,,,,
aang,fish7_24hpf_roi3,fish7_24hpf_roi3,,,,
aang,fish7_24hpf_roi4,fish7_24hpf_roi4,,,,
aang,fish7_24hpf_roi5,fish7_24hpf_roi5,,,,
aang,fish7_48hpf_roi1,fish7_48hpf_roi1,,,,
aang,fish7_48hpf_roi2,fish7_48hpf_roi2,,,,
aang,fish8_24hpf_roi1,fish8_24hpf_roi1,,,,
aang,fish8_24hpf_roi2,fish8_24hpf_roi2,,,,
aang,fish8_24hpf_roi3,fish8_24hpf_roi3,,,,
aang,fish8_24hpf_roi4,fish8_24hpf_roi4,,,,
aang,fish8_24hpf_roi5,fish8_24hpf_roi5,,,,
aang,fish8_48hpf_roi1,fish8_48hpf_roi1,,,,
aang,fish8_48hpf_roi2,fish8_48hpf_roi2,,,,
aang,fish8_48hpf_roi3,fish8_48hpf_roi3,,,,
aang,fish9_24hpf_roi1,fish9_24hpf_roi1,,,,
aang,fish9_24hpf_roi2,fish9_24hpf_roi2,,,,
aang,fish_48hpf_roi1,fish_48hpf_roi1,,,,
aang,fish_48hpf_roi2,fish_48hpf_roi2,,,,
aang,fish_48hpf_roi3,fish_48hpf_roi3,,,,
aang,fish_48hpf_roi4,fish_48hpf_roi4,,,,
aang,mito_roi1,mito_roi1,,,,
aang,mito_roi2,mito_roi2,,,,
aang,roi1_newscripttest,roi1_newscripttest,,,,
korra,fish1,fish1,,,,
korra,fish10,fish10,,,,
korra,fish10_roi1,fish10_roi1,,,,
korra,fish10_roi2,fish10_roi2,,,,
korra,fish10_roi3,fish10_roi3,,,,
korra,fish10_roi4,fish10_roi4,,,,
korra,fish11,fish11,,,,
korra,fish11_72hpf_roi1,fish11_72hpf_roi1,,,,
korra,fish11_roi1,fish11_roi1,,,,
korra,fish11_roi1_eye,fish11_roi1_eye,,,,
korra,fish11_roi1_eye_2,fish11_roi1_eye_2,,,,
korra,fish11_roi2,fish11_roi2,,,,
korra,fish12,fish12,,,,
korra,fish12_roi1,fish12_roi1,,,,
korra,fish12_roi2,fish12_roi2,,,,
korra,fish13,fish13,,,,
korra,fish13_roi1,fish13_roi1,,,,
korra,fish13_roi2,fish13_roi2,,,,
korra,fish14,fish14,,,,
korra,fish14_roi1,fish14_roi1,,,,
korra,fish14_roi2,fish14_roi2,,,,
korra,fish14_roi3,fish14_roi3,,,,
korra,fish15,fish15,,,,
korra,fish15_roi1,fish15_roi1,,,,
korra,fish15_roi2,fish15_roi2,,,,
korra,fish15_roi3,fish15_roi3,,,,
korra,fish16,fish16,,,,
korra,fish16_roi1,fish16_roi1,,,,
korra,fish1_24hpf,fish1_24hpf,,,,
korra,fish1_24hpf_roi1,fish1_24hpf_roi1,,,,
korra,fish1_24hpf_roi1_brain,fish1_24hpf_roi1_brain,,,,
korra,fish1_24hpf_roi2,fish1_24hpf_roi2,,,,
korra,fish1_24hpf_roi3,fish1_24hpf_roi3,,,,
korra,fish1_48hpf_roi1,fish1_48hpf_roi1,,,,
