clutch_code,parent_female,parent_male,date_born,roi_count,legacy_clutch_group
LCL-0060,membrane Halo,membrane Halo,2025-08-04,12,membrane Halo|membrane Halo|2025-08-04
LCL-0061,membrane mChilada,membrane mChilada,2025-07-21,12,membrane mChilada|membrane mChilada|2025-07-21
LCL-0062,membrane mChilada,membrane mChilada,2025-08-07,21,membrane mChilada|membrane mChilada|2025-08-07
LCL-0063,,ef1a:2xLynk:tdm:Halo,2025-09-12,18,nan|ef1a:2xLynk:tdm:Halo|2025-09-12
LCL-0064,,,2025-05-13,44,nan|nan|2025-05-13
LCL-0065,,,2025-05-21,19,nan|nan|2025-05-21
LCL-0066,,,2025-05-27,2,nan|nan|2025-05-27
LCL-0067,,,2025-06-20,1,nan|nan|2025-06-20
LCL-0068,,,2025-06-25,10,nan|nan|2025-06-25
LCL-0069,,,2025-06-27,12,nan|nan|2025-06-27
LCL-0070,,,2025-07-21,5,nan|nan|2025-07-21
LCL-0071,,,2025-07-22,1,nan|nan|2025-07-22
LCL-0072,,,2025-07-23,4,nan|nan|2025-07-23
LCL-0073,,,2025-08-01,1,nan|nan|2025-08-01
LCL-0074,,,2025-10-01,31,nan|nan|2025-10-01
LCL-0075,,,2025-10-05,25,nan|nan|2025-10-05
LCL-0076,,,2025-10-07,4,nan|nan|2025-10-07
LCL-0077,,,2025-10-09,1,nan|nan|2025-10-09
LCL-0078,,,2025-10-28,2,nan|nan|2025-10-28
LCL-0079,,,2025-10-29,8,nan|nan|2025-10-29
LCL-0080,,,2025-11-04,1,nan|nan|2025-11-04
LCL-0081,,,,0,nan|nan|NaT
