date_experiment,fish,roi_rel,roi_name,roi_tiffs,roi_dir,dataset,experiment_slug,date_mount,mount_id,ZF female genotype,ZF male genotype,additional plasmids injected,additional mRNAs injected,additonal proteins injected,additonal dye and chemicals,Date born,Time mounted,Mounting Orientation,Date screened/Initial feedback,Date imaged,Time placed in scope,Start of imaging time,End of imaging time,Imaged Locations,Unique Targets with blanks,Unique Targets,Data location,parent_female,parent_male,plate_id_filled,slot_id_filled,roi_index_within_slot,roi_code,genotype_base_codes,genotype_allele_codes,treatment_plasmid_base_codes,treatment_rna_base_codes,date_born,genotype_pretty,genotype_marker_fluor_codes,genotype_marker_tag_codes,treatment_marker_fluor_codes,treatment_marker_tag_codes,all_marker_fluor_codes,genotype_marker_fusion_labels,genotype_marker_localizations,genotype_marker_fluor_loc_labels,genotype_marker_fusion_loc_labels,treatment_marker_fusion_labels,treatment_marker_localizations,treatment_marker_fluor_loc_labels,treatment_marker_fusion_loc_labels,all_unique_organelles,plate_slot_roi_id,all_fluor_organelles
20250513_skittles,fish1,roi1,roi1,42,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish1/roi1,korra,Korra_Foundation/20250513_skittles,,,,,,,,,,,,,,,,,,,,,,,20250513-plate1,20250513-plate1-slot1,1.0,20250513-plate1-slot1-roi01,,,"pDQM034,pDQM036",,,,,,,,,,,,,Electra2; mCitrine; mKOK; mKate2; mTFP1,,Electra2; mCitrine; mKOK; mKate2; mTFP1,Electra2; mCitrine; mKOK; mKate2; mTFP1,,20250513-plate1-slot1-roi1,Electra2; mCitrine; mKOK; mKate2; mTFP1
20250513_skittles,fish1,roi2,roi2,38,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish1/roi2,korra,Korra_Foundation/20250513_skittles,,,,,,,,,,,,,,,,,,,,,,,20250513-plate1,20250513-plate1-slot1,2.0,20250513-plate1-slot1-roi02,,,"pDQM034,pDQM036",,,,,,,,,,,,,Electra2; mCitrine; mKOK; mKate2; mTFP1,,Electra2; mCitrine; mKOK; mKate2; mTFP1,Electra2; mCitrine; mKOK; mKate2; mTFP1,,20250513-plate1-slot1-roi2,Electra2; mCitrine; mKOK; mKate2; mTFP1
20250513_skittles,fish1,roi2_2,roi2_2,18,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish1/roi2_2,korra,Korra_Foundation/20250513_skittles,,,,,,,,,,,,,,,,,,,,,,,20250513-plate1,20250513-plate1-slot1,3.0,20250513-plate1-slot1-roi03,,,"pDQM034,pDQM036",,,,,,,,,,,,,Electra2; mCitrine; mKOK; mKate2; mTFP1,,Electra2; mCitrine; mKOK; mKate2; mTFP1,Electra2; mCitrine; mKOK; mKate2; mTFP1,,20250513-plate1-slot1-roi3,Electra2; mCitrine; mKOK; mKate2; mTFP1
20250513_skittles,fish10,roi1,roi1,240,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish10/roi1,korra,Korra_Foundation/20250513_skittles,,,,,,,,,,,,,,,,,,,,,,,20250513-plate1,20250513-plate1-slot2,1.0,20250513-plate1-slot2-roi01,,,"pDQM034,pDQM036",,,,,,,,,,,,,Electra2; mCitrine; mKOK; mKate2; mTFP1,,Electra2; mCitrine; mKOK; mKate2; mTFP1,Electra2; mCitrine; mKOK; mKate2; mTFP1,,20250513-plate1-slot2-roi1,Electra2; mCitrine; mKOK; mKate2; mTFP1
20250513_skittles,fish11,roi1,roi1,240,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish11/roi1,korra,Korra_Foundation/20250513_skittles,,,,,,,,,,,,,,,,,,,,,,,20250513-plate1,20250513-plate1-slot3,1.0,20250513-plate1-slot3-roi01,,,"pDQM034,pDQM036",,,,,,,,,,,,,Electra2; mCitrine; mKOK; mKate2; mTFP1,,Electra2; mCitrine; mKOK; mKate2; mTFP1,Electra2; mCitrine; mKOK; mKate2; mTFP1,,20250513-plate1-slot3-roi1,Electra2; mCitrine; mKOK; mKate2; mTFP1
20250513_skittles,fish11,roi1_test,roi1_test,4,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish11/roi1_test,korra,Korra_Foundation/20250513_skittles,,,,,,,,,,,,,,,,,,,,,,,20250513-plate1,20250513-plate1-slot3,2.0,20250513-plate1-slot3-roi02,,,"pDQM034,pDQM036",,,,,,,,,,,,,Electra2; mCitrine; mKOK; mKate2; mTFP1,,Electra2; mCitrine; mKOK; mKate2; mTFP1,Electra2; mCitrine; mKOK; mKate2; mTFP1,,20250513-plate1-slot3-roi2,Electra2; mCitrine; mKOK; mKate2; mTFP1
20250513_skittles,fish12,roi1,roi1,18,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish12/roi1,korra,Korra_Foundation/20250513_skittles,,,,,,,,,,,,,,,,,,,,,,,20250513-plate1,20250513-plate1-slot4,1.0,20250513-plate1-slot4-roi01,,,"pDQM034,pDQM036",,,,,,,,,,,,,Electra2; mCitrine; mKOK; mKate2; mTFP1,,Electra2; mCitrine; mKOK; mKate2; mTFP1,Electra2; mCitrine; mKOK; mKate2; mTFP1,,20250513-plate1-slot4-roi1,Electra2; mCitrine; mKOK; mKate2; mTFP1
20250513_skittles,fish12,roi2,roi2,18,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish12/roi2,korra,Korra_Foundation/20250513_skittles,,,,,,,,,,,,,,,,,,,,,,,20250513-plate1,20250513-plate1-slot4,2.0,20250513-plate1-slot4-roi02,,,"pDQM034,pDQM036",,,,,,,,,,,,,Electra2; mCitrine; mKOK; mKate2; mTFP1,,Electra2; mCitrine; mKOK; mKate2; mTFP1,Electra2; mCitrine; mKOK; mKate2; mTFP1,,20250513-plate1-slot4-roi2,Electra2; mCitrine; mKOK; mKate2; mTFP1
20250513_skittles,fish12,roi3,roi3,18,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish12/roi3,korra,Korra_Foundation/20250513_skittles,,,,,,,,,,,,,,,,,,,,,,,20250513-plate1,20250513-plate1-slot4,3.0,20250513-plate1-slot4-roi03,,,"pDQM034,pDQM036",,,,,,,,,,,,,Electra2; mCitrine; mKOK; mKate2; mTFP1,,Electra2; mCitrine; mKOK; mKate2; mTFP1,Electra2; mCitrine; mKOK; mKate2; mTFP1,,20250513-plate1-slot4-roi3,Electra2; mCitrine; mKOK; mKate2; mTFP1
20250513_skittles,fish13,roi1,roi1,18,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish13/roi1,korra,Korra_Foundation/20250513_skittles,,,,,,,,,,,,,,,,,,,,,,,20250513-plate1,20250513-plate1-slot5,1.0,20250513-plate1-slot5-roi01,,,"pDQM034,pDQM036",,,,,,,,,,,,,Electra2; mCitrine; mKOK; mKate2; mTFP1,,Electra2; mCitrine; mKOK; mKate2; mTFP1,Electra2; mCitrine; mKOK; mKate2; mTFP1,,20250513-plate1-slot5-roi1,Electra2; mCitrine; mKOK; mKate2; mTFP1
20250513_skittles,fish13,roi2,roi2,18,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish13/roi2,korra,Korra_Foundation/20250513_skittles,,,,,,,,,,,,,,,,,,,,,,,20250513-plate1,20250513-plate1-slot5,2.0,20250513-plate1-slot5-roi02,,,"pDQM034,pDQM036",,,,,,,,,,,,,Electra2; mCitrine; mKOK; mKate2; mTFP1,,Electra2; mCitrine; mKOK; mKate2; mTFP1,Electra2; mCitrine; mKOK; mKate2; mTFP1,,20250513-plate1-slot5-roi2,Electra2; mCitrine; mKOK; mKate2; mTFP1
20250513_skittles,fish13,roi3,roi3,18,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish13/roi3,korra,Korra_Foundation/20250513_skittles,,,,,,,,,,,,,,,,,,,,,,,20250513-plate1,20250513-plate1-slot5,3.0,20250513-plate1-slot5-roi03,,,"pDQM034,pDQM036",,,,,,,,,,,,,Electra2; mCitrine; mKOK; mKate2; mTFP1,,Electra2; mCitrine; mKOK; mKate2; mTFP1,Electra2; mCitrine; mKOK; mKate2; mTFP1,,20250513-plate1-slot5-roi3,Electra2; mCitrine; mKOK; mKate2; mTFP1
20250513_skittles,fish13,roi4,roi4,18,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish13/roi4,korra,Korra_Foundation/20250513_skittles,,,,,,,,,,,,,,,,,,,,,,,20250513-plate1,20250513-plate1-slot5,4.0,20250513-plate1-slot5-roi04,,,"pDQM034,pDQM036",,,,,,,,,,,,,Electra2; mCitrine; mKOK; mKate2; mTFP1,,Electra2; mCitrine; mKOK; mKate2; mTFP1,Electra2; mCitrine; mKOK; mKate2; mTFP1,,20250513-plate1-slot5-roi4,Electra2; mCitrine; mKOK; mKate2; mTFP1
20250513_skittles,fish14,roi1_brain,roi1_brain,36,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish14/roi1_brain,korra,Korra_Foundation/20250513_skittles,,,,,,,,,,,,,,,,,,,,,,,20250513-plate1,20250513-plate1-slot6,1.0,20250513-plate1-slot6-roi01,,,"pDQM034,pDQM036",,,,,,,,,,,,,Electra2; mCitrine; mKOK; mKate2; mTFP1,,Electra2; mCitrine; mKOK; mKate2; mTFP1,Electra2; mCitrine; mKOK; mKate2; mTFP1,,20250513-plate1-slot6-roi1,Electra2; mCitrine; mKOK; mKate2; mTFP1
20250513_skittles,fish14,roi2_tailbud,roi2_tailbud,18,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish14/roi2_tailbud,korra,Korra_Foundation/20250513_skittles,,,,,,,,,,,,,,,,,,,,,,,20250513-plate1,20250513-plate1-slot6,2.0,20250513-plate1-slot6-roi02,,,"pDQM034,pDQM036",,,,,,,,,,,,,Electra2; mCitrine; mKOK; mKate2; mTFP1,,Electra2; mCitrine; mKOK; mKate2; mTFP1,Electra2; mCitrine; mKOK; mKate2; mTFP1,,20250513-plate1-slot6-roi2,Electra2; mCitrine; mKOK; mKate2; mTFP1
