date_experiment,fish,roi_rel,roi_name,roi_tiffs,roi_dir,dataset,run_key,mount_key,date_mount,date_mount_yyyymmdd,plate_id_filled,slot_id_filled,roi_index_within_slot,roi_code
20250513_skittles,fish8,roi1,roi1,48,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish8/roi1,korra,Korra_Foundation/20250513_skittles,roi1,2025-04-04,20250404.0,20250404-plate1,20250404-plate1-slot1,20,20250404-plate1-slot1-roi20
20250513_skittles,fish9,roi1,roi1,180,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish9/roi1,korra,Korra_Foundation/20250513_skittles,roi1,2025-04-04,20250404.0,20250404-plate1,20250404-plate1-slot1,21,20250404-plate1-slot1-roi21
20250520_mem_histone,fish2,roi1,roi1,2048,/clusterfs/vast/abcabc/Korra_Foundation/20250520_mem_histone/fish2/roi1,korra,Korra_Foundation/20250520_mem_histone,roi1,2025-04-04,20250404.0,20250404-plate1,20250404-plate1-slot1,22,20250404-plate1-slot1-roi22
20250521_skittles_no-membrane,fish2,roi1,roi1,60,/clusterfs/vast/abcabc/Korra_Foundation/20250521_skittles_no-membrane/fish2/roi1,korra,Korra_Foundation/20250521_skittles_no-membrane,roi1,2025-04-04,20250404.0,20250404-plate1,20250404-plate1-slot1,23,20250404-plate1-slot1-roi23
20250521_skittles_no-membrane,fish3,roi1,roi1,25,/clusterfs/vast/abcabc/Korra_Foundation/20250521_skittles_no-membrane/fish3/roi1,korra,Korra_Foundation/20250521_skittles_no-membrane,roi1,2025-04-04,20250404.0,20250404-plate1,20250404-plate1-slot1,24,20250404-plate1-slot1-roi24
20250521_skittles_no-membrane,fish4,roi1,roi1,30,/clusterfs/vast/abcabc/Korra_Foundation/20250521_skittles_no-membrane/fish4/roi1,korra,Korra_Foundation/20250521_skittles_no-membrane,roi1,2025-04-04,20250404.0,20250404-plate1,20250404-plate1-slot1,25,20250404-plate1-slot1-roi25
20250522_skittlez,fish1,roi1,roi1,72,/clusterfs/vast/abcabc/Korra_Foundation/20250522_skittlez/fish1/roi1,korra,Korra_Foundation/20250522_skittlez,roi1,2025-04-04,20250404.0,20250404-plate1,20250404-plate1-slot1,26,20250404-plate1-slot1-roi26
20250522_skittlez,fish2,roi1,roi1,72,/clusterfs/vast/abcabc/Korra_Foundation/20250522_skittlez/fish2/roi1,korra,Korra_Foundation/20250522_skittlez,roi1,2025-04-04,20250404.0,20250404-plate1,20250404-plate1-slot1,27,20250404-plate1-slot1-roi27
20250522_skittlez,fish3,roi1,roi1,72,/clusterfs/vast/abcabc/Korra_Foundation/20250522_skittlez/fish3/roi1,korra,Korra_Foundation/20250522_skittlez,roi1,2025-04-04,20250404.0,20250404-plate1,20250404-plate1-slot1,28,20250404-plate1-slot1-roi28
20250522_skittlez,fish4,roi1,roi1,36,/clusterfs/vast/abcabc/Korra_Foundation/20250522_skittlez/fish4/roi1,korra,Korra_Foundation/20250522_skittlez,roi1,2025-04-04,20250404.0,20250404-plate1,20250404-plate1-slot1,29,20250404-plate1-slot1-roi29
