roi_dir,parent_female,parent_male,genotype_pretty,genotype_base_codes,genotype_allele_codes,genotype_marker_fluor_codes,genotype_marker_tag_codes,genotype_marker_fusion_labels,genotype_marker_localizations,genotype_marker_fluor_loc_labels,genotype_marker_fusion_loc_labels,treatment_plasmid_base_codes,treatment_rna_base_codes,treatment_marker_fluor_codes,treatment_marker_tag_codes,treatment_marker_fusion_labels,treatment_marker_localizations,treatment_marker_fluor_loc_labels,treatment_marker_fusion_loc_labels,all_marker_fluor_codes,plate_id_filled,slot_id_filled,roi_index_within_slot,roi_code
/clusterfs/vast/abcabc/Korra_Foundation/20250520_mem_histone/fish4/roi1_tailbud,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301) x ef1a:2xLynk:tdmSG(J) (F2 of allele 301),pDQM005,"pDQM005:301,pDQM005:301",tdmSG,,tdmSG,,tdmSG,tdmSG,,pDQM117,mScarlet3S2,H2B,mScarlet3S2::H2B(N),histone,mScarlet3S2(histone),mScarlet3S2::H2B(N)(histone),"mScarlet3S2,tdmSG",20250520-plate1,20250520-plate1-slot3,2.0,20250520-plate1-slot3-roi02
/clusterfs/vast/abcabc/Korra_Foundation/20250520_mem_histone/fish4/roi1_tailbud_2,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301) x ef1a:2xLynk:tdmSG(J) (F2 of allele 301),pDQM005,"pDQM005:301,pDQM005:301",tdmSG,,tdmSG,,tdmSG,tdmSG,,pDQM117,mScarlet3S2,H2B,mScarlet3S2::H2B(N),histone,mScarlet3S2(histone),mScarlet3S2::H2B(N)(histone),"mScarlet3S2,tdmSG",20250520-plate1,20250520-plate1-slot3,3.0,20250520-plate1-slot3-roi03
/clusterfs/vast/abcabc/Korra_Foundation/20250520_mem_histone/fish5/roi1_tailbud,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301) x ef1a:2xLynk:tdmSG(J) (F2 of allele 301),pDQM005,"pDQM005:301,pDQM005:301",tdmSG,,tdmSG,,tdmSG,tdmSG,,pDQM117,mScarlet3S2,H2B,mScarlet3S2::H2B(N),histone,mScarlet3S2(histone),mScarlet3S2::H2B(N)(histone),"mScarlet3S2,tdmSG",20250520-plate1,20250520-plate1-slot3,4.0,20250520-plate1-slot3-roi04
/clusterfs/vast/abcabc/Korra_Foundation/20250521_skittles_no-membrane/fish2/roi1,Dennis (F2 of allele 318),Abe (F2 of allele 309),Dennis (F2 of allele 318) x Abe (F2 of allele 309),"pDQM034,pDQM036","pDQM036:318,pDQM034:309","Electra2,mCitrine,mKOK,mKate2,mTFP1",,"Electra2,mCitrine,mKOK,mKate2,mTFP1",,"Electra2,mCitrine,mKOK,mKate2,mTFP1","Electra2,mCitrine,mKOK,mKate2,mTFP1",,,,,,,,,"Electra2,mCitrine,mKOK,mKate2,mTFP1",20250521-plate1,20250521-plate1-slot2,1.0,20250521-plate1-slot2-roi01
/clusterfs/vast/abcabc/Korra_Foundation/20250521_skittles_no-membrane/fish2/roi2,Dennis (F2 of allele 318),Abe (F2 of allele 309),Dennis (F2 of allele 318) x Abe (F2 of allele 309),"pDQM034,pDQM036","pDQM036:318,pDQM034:309","Electra2,mCitrine,mKOK,mKate2,mTFP1",,"Electra2,mCitrine,mKOK,mKate2,mTFP1",,"Electra2,mCitrine,mKOK,mKate2,mTFP1","Electra2,mCitrine,mKOK,mKate2,mTFP1",,,,,,,,,"Electra2,mCitrine,mKOK,mKate2,mTFP1",20250521-plate1,20250521-plate1-slot2,2.0,20250521-plate1-slot2-roi02
/clusterfs/vast/abcabc/Korra_Foundation/20250521_skittles_no-membrane/fish3/roi1,Dennis (F2 of allele 318),Abe (F2 of allele 309),Dennis (F2 of allele 318) x Abe (F2 of allele 309),"pDQM034,pDQM036","pDQM036:318,pDQM034:309","Electra2,mCitrine,mKOK,mKate2,mTFP1",,"Electra2,mCitrine,mKOK,mKate2,mTFP1",,"Electra2,mCitrine,mKOK,mKate2,mTFP1","Electra2,mCitrine,mKOK,mKate2,mTFP1",,,,,,,,,"Electra2,mCitrine,mKOK,mKate2,mTFP1",20250521-plate1,20250521-plate1-slot2,3.0,20250521-plate1-slot2-roi03
/clusterfs/vast/abcabc/Korra_Foundation/20250521_skittles_no-membrane/fish4/roi1,Dennis (F2 of allele 318),Abe (F2 of allele 309),Dennis (F2 of allele 318) x Abe (F2 of allele 309),"pDQM034,pDQM036","pDQM036:318,pDQM034:309","Electra2,mCitrine,mKOK,mKate2,mTFP1",,"Electra2,mCitrine,mKOK,mKate2,mTFP1",,"Electra2,mCitrine,mKOK,mKate2,mTFP1","Electra2,mCitrine,mKOK,mKate2,mTFP1",,,,,,,,,"Electra2,mCitrine,mKOK,mKate2,mTFP1",20250521-plate1,20250521-plate1-slot2,4.0,20250521-plate1-slot2-roi04
/clusterfs/vast/abcabc/Korra_Foundation/20250521_skittles_no-membrane/fish4/roi2,Dennis (F2 of allele 318),Abe (F2 of allele 309),Dennis (F2 of allele 318) x Abe (F2 of allele 309),"pDQM034,pDQM036","pDQM036:318,pDQM034:309","Electra2,mCitrine,mKOK,mKate2,mTFP1",,"Electra2,mCitrine,mKOK,mKate2,mTFP1",,"Electra2,mCitrine,mKOK,mKate2,mTFP1","Electra2,mCitrine,mKOK,mKate2,mTFP1",,,,,,,,,"Electra2,mCitrine,mKOK,mKate2,mTFP1",20250521-plate1,20250521-plate1-slot2,5.0,20250521-plate1-slot2-roi05
/clusterfs/vast/abcabc/Korra_Foundation/20250522_skittlez/fish1/roi1,,,,,,,,,,,,,,,,,,,,,20250522-plate1,20250522-plate1-slot1,1.0,20250522-plate1-slot1-roi01
/clusterfs/vast/abcabc/Korra_Foundation/20250522_skittlez/fish1/roi2,,,,,,,,,,,,,,,,,,,,,20250522-plate1,20250522-plate1-slot1,2.0,20250522-plate1-slot1-roi02
