parent_female,parent_male,genotype_base_codes,genotype_allele_codes,treatment_plasmid_base_codes,treatment_rna_base_codes,n_trasngenic_parents,are_parents_same,n_genotype_base_codes,n_treatment_basecodes,n_total_base_codes,n_total_organelles,treatment_marker_fusion_labels,genotype_marker_fusion_loc_labels,all_unique_organelles,all_fluor_organelles,n_rows
ef1a:2xLynk:tdmSG(J) (F1 of allele 302),tdmScarlet3S2:H2B-tol2 (F1 of allele 324),"pDQM005,pDQM133","pDQM005:302,pDQM133:324",,MGCO-01,2,False,1,1,2,2,mStayGold::2Xcox8A(N),"tdmSG::2xLynk(N)(membrane),tdmScarlet3",membrane|mitochondria,"tdmSG(membrane),tdmScarlet3|mStayGold(mitochondria)",24
ef1a:2xLynk:tdmSG(J) (F1 of allele 301),tdmScarlet3S2:H2B-tol2 (F1 of allele 324),"pDQM005,pDQM133","pDQM005:301,pDQM133:324",,pDQM117,2,False,1,1,2,2,mScarlet3S2::H2B(N),"tdmSG::2xLynk(N)(membrane),tdmScarlet3",membrane|histone,"tdmSG(membrane),tdmScarlet3|mScarlet3S2(histone)",24
casper/rnf,tdmScarlet3S2 (F1 of allele 325),pDQM136,pDQM136:325,,MGCO-01,1,False,1,1,2,2,mStayGold::2Xcox8A(N),tdmScarlet3::2xLynk(N)(membrane),membrane|mitochondria,tdmScarlet3(membrane)|mStayGold(mitochondria),24
ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),pDQM005,"pDQM005:301,pDQM005:301",MGCO-35,MGCO-40,2,True,1,2,3,2,Halo::sec61b(N); mScarlet3S2::2Xcox8A(N),tdmSG::2xLynk(N)(membrane),membrane|ER; mitochondria,tdmSG(membrane)|Halo(ER); mScarlet3S2(mitochondria),21
ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),pDQM005,"pDQM005:301,pDQM005:301|301",,pDQM117,2,True,1,1,2,2,mScarlet3S2::H2B(N),tdmSG::2xLynk(N)(membrane),membrane|histone,tdmSG(membrane)|mScarlet3S2(histone),21
casper/rnf,ef1a:2xLynk:tdmChilada (F1 of allele 315),pDQM082,pDQM082:315,,MGCO-01,1,False,1,1,2,2,mStayGold::2Xcox8A(N),tdmChilada::2xLynk(N)(membrane),membrane|mitochondria,tdmChilada(membrane)|mStayGold(mitochondria),19
casper/rnf,ef1a:2xLynk:tdmChilada (F1 of allele 315),pDQM082,pDQM082:315,,MGCO-23,1,False,1,1,2,2,mStayGold::lifeact(N),tdmChilada::2xLynk(N)(membrane),membrane|actin,tdmChilada(membrane)|mStayGold(actin),19
Liam (F2 of allele 321),Chris (F1 of allele 317),"pDQM034,pDQM059","pDQM059:321,pDQM034:317",,pDQM117,2,False,1,1,2,1,mScarlet3S2::H2B(N),"Electra2,gfp,mCitrine,mKOK,mKate2,mTFP1",histone,"Electra2,gfp,mCitrine,mKOK,mKate2,mTFP1|mScarlet3S2(histone)",18
,ef1a:2xLynk:tdm:Halo,Swinburne,Swinburne:Swinburne,,MGCO-01,1,False,1,1,2,1,mStayGold::2Xcox8A(N),,mitochondria,mStayGold(mitochondria),18
,,,,,,0,False,0,0,0,0,,,,,14
casper,memrane tdmScarlet3S2 (F1 of allele 325),pDQM136,pDQM136:325,,MGCO-01,1,False,1,1,2,2,mStayGold::2Xcox8A(N),tdmScarlet3::2xLynk(N)(membrane),membrane|mitochondria,tdmScarlet3(membrane)|mStayGold(mitochondria),13
casper/rnf,memrane tdmScarlet3S2 (F1 of allele 325),pDQM136,pDQM136:325,,MGCO-01,1,False,1,1,2,2,mStayGold::2Xcox8A(N),tdmScarlet3::2xLynk(N)(membrane),membrane|mitochondria,tdmScarlet3(membrane)|mStayGold(mitochondria),12
