clutch_code,roi_code,plate_id_filled,slot_id_filled,date_born,parent_female,parent_male,roi_dir
LCL-0065,20250522-plate1-slot1-roi08,20250522-plate1,20250522-plate1-slot1,2025-05-21,,,/clusterfs/vast/abcabc/Korra_Foundation/20250522_skittlez/fish4/roi1
LCL-0065,20250522-plate1-slot1-roi09,20250522-plate1,20250522-plate1-slot1,2025-05-21,,,/clusterfs/vast/abcabc/Korra_Foundation/20250522_skittlez/fish4/roi2
LCL-0065,20250522-plate1-slot1-roi10,20250522-plate1,20250522-plate1-slot1,2025-05-21,,,/clusterfs/vast/abcabc/Korra_Foundation/20250522_skittlez/fish5/roi1
LCL-0065,20250522-plate1-slot1-roi11,20250522-plate1,20250522-plate1-slot1,2025-05-21,,,/clusterfs/vast/abcabc/Korra_Foundation/20250522_skittlez/fish6/roi1
LCL-0065,20250522-plate1-slot1-roi12,20250522-plate1,20250522-plate1-slot1,2025-05-21,,,/clusterfs/vast/abcabc/Korra_Foundation/20250522_skittlez/fish6/roi2
LCL-0065,20250522-plate1-slot1-roi13,20250522-plate1,20250522-plate1-slot1,2025-05-21,,,/clusterfs/vast/abcabc/Korra_Foundation/20250522_skittlez/fish7/roi1
LCL-0065,20250522-plate1-slot1-roi14,20250522-plate1,20250522-plate1-slot1,2025-05-21,,,/clusterfs/vast/abcabc/Korra_Foundation/20250522_skittlez/fish7/roi2
LCL-0065,20250522-plate1-slot1-roi15,20250522-plate1,20250522-plate1-slot1,2025-05-21,,,/clusterfs/vast/abcabc/Korra_Foundation/20250522_skittlez/fish7/roi3
LCL-0065,20250522-plate1-slot1-roi16,20250522-plate1,20250522-plate1-slot1,2025-05-21,,,/clusterfs/vast/abcabc/Korra_Foundation/20250522_skittlez/fish8/roi1
LCL-0065,20250522-plate1-slot1-roi17,20250522-plate1,20250522-plate1-slot1,2025-05-21,,,/clusterfs/vast/abcabc/Korra_Foundation/20250522_skittlez/fish8/roi2
LCL-0065,20250522-plate1-slot1-roi18,20250522-plate1,20250522-plate1-slot1,2025-05-21,,,/clusterfs/vast/abcabc/Korra_Foundation/20250522_skittlez/fish8/roi3
LCL-0065,20250522-plate1-slot1-roi19,20250522-plate1,20250522-plate1-slot1,2025-05-21,,,/clusterfs/vast/abcabc/Korra_Foundation/20250522_skittlez/fish9/roi1
LCL-0056,20250523-plate1-slot1-roi01,20250523-plate1,20250523-plate1-slot1,,ef1a:2xLynk:tdmSG(J) (F2 of allele 302),ef1a:2xLynk:tdmSG(J) (F2 of allele 302),/clusterfs/vast/abcabc/Korra_Foundation/20250523_mem_histone/fish1/roi1
LCL-0056,20250523-plate1-slot1-roi02,20250523-plate1,20250523-plate1-slot1,,ef1a:2xLynk:tdmSG(J) (F2 of allele 302),ef1a:2xLynk:tdmSG(J) (F2 of allele 302),/clusterfs/vast/abcabc/Korra_Foundation/20250523_mem_histone/fish2/roi1
