plasmid_code,plasmid_name,plasmid_nickname,resistance,plasmid_notes,used_for_injection_plasmid,used_for_injection_rna,used_for_injection_crispr,n_fluors_per_plasmid,fluor_code,tag_code,tag_pos
pDQM024,skittles2.0-5FP-mutation,skittles2.0-5FP-mutation,Amp,single base change (frame shift) in mKate2,FALSE,FALSE,FALSE,5,mScarlet,,
pDQM024,skittles2.0-5FP-mutation,skittles2.0-5FP-mutation,Amp,single base change (frame shift) in mKate2,FALSE,FALSE,FALSE,5,mKate2,,
pDQM024,skittles2.0-5FP-mutation,skittles2.0-5FP-mutation,Amp,single base change (frame shift) in mKate2,FALSE,FALSE,FALSE,5,Electra2,,
pDQM024,skittles2.0-5FP-mutation,skittles2.0-5FP-mutation,Amp,single base change (frame shift) in mKate2,FALSE,FALSE,FALSE,5,mKOK,,
pDQM024,skittles2.0-5FP-mutation,skittles2.0-5FP-mutation,Amp,single base change (frame shift) in mKate2,FALSE,FALSE,FALSE,5,mTFP1,,
pDQM025,skittles2.0-5FP-mutation,skittles2.0-5FP-mutation,Amp,single deletion (frame shift) in mTFP1,FALSE,FALSE,FALSE,5,mScarlet,,
pDQM025,skittles2.0-5FP-mutation,skittles2.0-5FP-mutation,Amp,single deletion (frame shift) in mTFP1,FALSE,FALSE,FALSE,5,mKate2,,
pDQM025,skittles2.0-5FP-mutation,skittles2.0-5FP-mutation,Amp,single deletion (frame shift) in mTFP1,FALSE,FALSE,FALSE,5,Electra2,,
pDQM025,skittles2.0-5FP-mutation,skittles2.0-5FP-mutation,Amp,single deletion (frame shift) in mTFP1,FALSE,FALSE,FALSE,5,mKOK,,
pDQM025,skittles2.0-5FP-mutation,skittles2.0-5FP-mutation,Amp,single deletion (frame shift) in mTFP1,FALSE,FALSE,FALSE,5,mTFP1,,
pDQM026,pCM268_ccdB-dhb-tdmSG-tPT2A-tdmChilada-pcna,pCM268_ccdB-dhb-tdmSG-tPT2A-tdmChilada-pcna,Amp,promoterless,FALSE,FALSE,FALSE,2,tdmSG,dhb,N
pDQM026,pCM268_ccdB-dhb-tdmSG-tPT2A-tdmChilada-pcna,pCM268_ccdB-dhb-tdmSG-tPT2A-tdmChilada-pcna,Amp,promoterless,FALSE,FALSE,FALSE,2,tdmChilada,pcna,C
pDQM027,pTwist-SP6-2xLynk:mSG(J)-iCodon,pTwist-SP6-2xLynk:mSG(J)-iCodon,Amp,for mRNA,FALSE,FALSE,FALSE,1,mSG,2xLynk,N
pDQM028,pTwist-SP6-2xLynk:mSG(B)-iCodon,pTwist-SP6-2xLynk:mSG(B)-iCodon,Amp,for mRNA,FALSE,FALSE,FALSE,1,mSG,2xLynk,N
pDQM029,pTwist-SP6-2xLynk:mBaoJin-iCodon,pTwist-SP6-2xLynk:mBaoJin-iCodon,Amp,for mRNA,FALSE,FALSE,FALSE,1,mBaoJin,2xLynk,N
pDQM030,pTwist-SP6-2xLynk:mYongHong-iCodon,pTwist-SP6-2xLynk:mYongHong-iCodon,Amp,for mRNA - clone 1,FALSE,FALSE,FALSE,1,mYongHong,2xLynk,N
pDQM031,pTwist-SP6-2xLynk:mYongHong-iCodon,pTwist-SP6-2xLynk:mYongHong-iCodon,Amp,for mRNA - clone 2,FALSE,FALSE,FALSE,1,mYongHong,2xLynk,N
pDQM032,pCM268_ccdB-mYongHong,pCM268_ccdB-mYongHong,Amp,Clone 1 - pIGLET backbone in NEB Turbo cells (for ccdB survival),FALSE,FALSE,FALSE,1,mYongHong,,
pDQM033,pCM268_ccdB-mYongHong,pCM268_ccdB-mYongHong,Amp,Clone 2 - pIGLET backbone in NEB Turbo cells (for ccdB survival),FALSE,FALSE,FALSE,1,mYongHong,,
pDQM034,skittles2.0-5FP,skittles2.0-5FP,Amp,5 FP version of skittles - clone 1,FALSE,FALSE,FALSE,5,mKate2,,
pDQM034,skittles2.0-5FP,skittles2.0-5FP,Amp,5 FP version of skittles - clone 1,FALSE,FALSE,FALSE,5,mCitrine,,
pDQM034,skittles2.0-5FP,skittles2.0-5FP,Amp,5 FP version of skittles - clone 1,FALSE,FALSE,FALSE,5,Electra2,,
pDQM034,skittles2.0-5FP,skittles2.0-5FP,Amp,5 FP version of skittles - clone 1,FALSE,FALSE,FALSE,5,mKOK,,
pDQM034,skittles2.0-5FP,skittles2.0-5FP,Amp,5 FP version of skittles - clone 1,FALSE,FALSE,FALSE,5,mTFP1,,
pDQM035,skittles2.0-5FP,skittles2.0-5FP,Amp,5 FP version of skittles - clone 4,FALSE,FALSE,FALSE,5,mKate2,,
pDQM035,skittles2.0-5FP,skittles2.0-5FP,Amp,5 FP version of skittles - clone 4,FALSE,FALSE,FALSE,5,mCitrine,,
pDQM035,skittles2.0-5FP,skittles2.0-5FP,Amp,5 FP version of skittles - clone 4,FALSE,FALSE,FALSE,5,Electra2,,
pDQM035,skittles2.0-5FP,skittles2.0-5FP,Amp,5 FP version of skittles - clone 4,FALSE,FALSE,FALSE,5,mKOK,,
pDQM035,skittles2.0-5FP,skittles2.0-5FP,Amp,5 FP version of skittles - clone 4,FALSE,FALSE,FALSE,5,mTFP1,,
pDQM036,,skittles3.0-4FP,Amp,4 FP version of skittles with SEC hsp-phiC (cryaa:mSc) - clone 3,FALSE,FALSE,FALSE,,,,
pDQM037,ef1a:dhb-tdmSG-tPT2A-tdmChilada-pcna (pCM268),ef1a:dhb-tdmSG-tPT2A-tdmChilada-pcna (pCM268),Amp,ef1a driven cdk/pcna cell cycle sensor clone 1 (pIGLET),FALSE,FALSE,FALSE,2,tdmSG,dhb,N
pDQM037,ef1a:dhb-tdmSG-tPT2A-tdmChilada-pcna (pCM268),ef1a:dhb-tdmSG-tPT2A-tdmChilada-pcna (pCM268),Amp,ef1a driven cdk/pcna cell cycle sensor clone 1 (pIGLET),FALSE,FALSE,FALSE,2,tdmChilada,pcna,C
pDQM038,ef1a:dhb-tdmSG-tPT2A-tdmChilada-pcna (pCM268),ef1a:dhb-tdmSG-tPT2A-tdmChilada-pcna (pCM268),Amp,ef1a driven cdk/pcna cell cycle sensor clone 2 (pIGLET),FALSE,FALSE,FALSE,2,tdmSG,dhb,N
pDQM038,ef1a:dhb-tdmSG-tPT2A-tdmChilada-pcna (pCM268),ef1a:dhb-tdmSG-tPT2A-tdmChilada-pcna (pCM268),Amp,ef1a driven cdk/pcna cell cycle sensor clone 2 (pIGLET),FALSE,FALSE,FALSE,2,tdmChilada,pcna,C
pDQM039,hsp:dhb-tdmSG-tPT2A-tdmChilada-pcna (pCM268),hsp:dhb-tdmSG-tPT2A-tdmChilada-pcna (pCM268),Amp,hsp driven cdk/pcna cell cycle sensor clone 2 (pIGLET),FALSE,FALSE,FALSE,2,tdmSG,dhb,N
pDQM039,hsp:dhb-tdmSG-tPT2A-tdmChilada-pcna (pCM268),hsp:dhb-tdmSG-tPT2A-tdmChilada-pcna (pCM268),Amp,hsp driven cdk/pcna cell cycle sensor clone 2 (pIGLET),FALSE,FALSE,FALSE,2,tdmChilada,pcna,C
