date_experiment,fish_label,roi_rel,roi_name,roi_tiffs,roi_dir,dataset,experiment_name,mount_row_index_scored,date_mount,mount_id,zf_female_genotype,zf_male_genotype,additional_plasmids_injected,additional_mrnas_injected,additonal_dye_and_chemicals,data_location,female_plasmid_base_code,female_allele,male_plasmid_base_code,male_allele,additional_plasmids_plasmid_base_code,additional_mrnas_plasmid_base_code
20250513_skittles,fish11,roi1,roi1,240,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish11/roi1,korra,skittles,159.0,5/13/25,,,,,phiC-NLS,,X:\abcabc\Korra_Foundation\20250513_skittles(fish1-3),,,,,,
20250513_skittles,fish11,roi1_test,roi1_test,4,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish11/roi1_test,korra,skittles,159.0,5/13/25,,,,,phiC-NLS,,X:\abcabc\Korra_Foundation\20250513_skittles(fish1-3),,,,,,
20250513_skittles,fish12,roi1,roi1,18,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish12/roi1,korra,skittles,159.0,5/13/25,,,,,phiC-NLS,,X:\abcabc\Korra_Foundation\20250513_skittles(fish1-3),,,,,,
20250513_skittles,fish12,roi2,roi2,18,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish12/roi2,korra,skittles,159.0,5/13/25,,,,,phiC-NLS,,X:\abcabc\Korra_Foundation\20250513_skittles(fish1-3),,,,,,
20250513_skittles,fish12,roi3,roi3,18,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish12/roi3,korra,skittles,159.0,5/13/25,,,,,phiC-NLS,,X:\abcabc\Korra_Foundation\20250513_skittles(fish1-3),,,,,,
20250513_skittles,fish13,roi1,roi1,18,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish13/roi1,korra,skittles,159.0,5/13/25,,,,,phiC-NLS,,X:\abcabc\Korra_Foundation\20250513_skittles(fish1-3),,,,,,
20250513_skittles,fish13,roi2,roi2,18,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish13/roi2,korra,skittles,159.0,5/13/25,,,,,phiC-NLS,,X:\abcabc\Korra_Foundation\20250513_skittles(fish1-3),,,,,,
20250513_skittles,fish13,roi3,roi3,18,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish13/roi3,korra,skittles,159.0,5/13/25,,,,,phiC-NLS,,X:\abcabc\Korra_Foundation\20250513_skittles(fish1-3),,,,,,
20250513_skittles,fish13,roi4,roi4,18,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish13/roi4,korra,skittles,159.0,5/13/25,,,,,phiC-NLS,,X:\abcabc\Korra_Foundation\20250513_skittles(fish1-3),,,,,,
20250513_skittles,fish14,roi1_brain,roi1_brain,36,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish14/roi1_brain,korra,skittles,159.0,5/13/25,,,,,phiC-NLS,,X:\abcabc\Korra_Foundation\20250513_skittles(fish1-3),,,,,,
