plasmid_code,nickname,resistance,supports_invitro_rna,notes,fusion_name
pDQM046,pTwist-SP6:2xLynk:mScarlet3,Amp,FALSE,,2xLynk::mScarlet3
pDQM047,pTwist-SP6-2xLynk:mSG(J)-iCodon,Amp,FALSE,Clone 1,2xLynk::mSG
pDQM048,pTwist-SP6-2xLynk:mSG(J)-iCodon,Amp,FALSE,Clone 2,2xLynk::mSG
pDQM049,pTwist-SP6-2xLynk:mSG(B)-iCodon,Amp,FALSE,Clone 1,2xLynk::mSG
pDQM050,pTwist-SP6-2xLynk:mSG(B)-iCodon,Amp,FALSE,Clone 2,2xLynk::mSG
pDQM051,ef1a:dhb-tdmSG-tPT2A-tdmChilada-h2b (pCM268),Amp,FALSE,Clone 1 - pIGLET,dhb::tdmSG|tdmChilada::h2b
pDQM052,ef1a:dhb-tdmSG-tPT2A-tdmChilada-h2b (pCM268),Amp,FALSE,Clone 2 - pIGLET,dhb::tdmSG|tdmChilada::h2b
pDQM053,hsp:dhb-tdmSG-tPT2A-tdmChilada-h2b (pCM268),Amp,FALSE,Clone 2 - pIGLET,dhb::tdmSG|tdmChilada::h2b
pDQM054,hsp:dhb-tdmSG-tPT2A-tdmChilada-h2b (pCM268),Amp,FALSE,Clone 3 - pIGLET,dhb::tdmSG|tdmChilada::h2b
pDQM055,AAV-dhb-tdmSG-tPT2A-tdmChilada-pcna,Amp,FALSE,Clone 3 (truncated SV40),dhb::tdmSG|tdmChilada::pcna
pDQM056,AAV-dhb-tdmSG-tPT2A-tdmChilada-pcna,Amp,FALSE,Clone 4 (truncated SV40),dhb::tdmSG|tdmChilada::pcna
pDQM057,exorh:gfp-hsp:dhb-tdmSG-tPT2A-tdmChilada-pcna (pCM268),Amp,FALSE,Clone 4 ,dhb::tdmSG|tdmChilada::pcna
pDQM058,exorh:gfp-hsp:dhb-tdmSG-tPT2A-tdmChilada-h2b (pCM268),Amp,FALSE,Clone 1,dhb::tdmSG|tdmChilada::h2b
pDQM059,skittles3.1-4FP (exorh:GFP),Amp,FALSE,Clone 3,gfp
pDQM060,ef1a:2xLynk-tdmSG-tPT2A-tdmChilada-h2b (pCM268),Amp,FALSE,Clone 3,2xLynk::tdmSG|tdmChilada::h2b
pDQM061,AAV-dhb-tdmSG-tPT2A-tdmChilada-pcna,Amp,FALSE,Clone 2,dhb::tdmSG|tdmChilada::pcna
pDQM062,AAV-dhb-tdmSG-tPT2A-tdmChilada-pcna,Amp,FALSE,Clone 3,dhb::tdmSG|tdmChilada::pcna
pDQM063,exorh skittles 2.0 5FP,Amp,FALSE,"clone 1,iCodon optimized - contains exorH:GFP-AttP-mKate2-Electra2-mCitrine-mKOK-mTFP1",GFP|mKate2|Electra2|mCitrine|mKoK|mTFP1
pDQM064,exorh skittles 2.0 5FP,Amp,FALSE,"clone 5, iCodon optimized - contains exorH:GFP-AttP-mKate2-Electra2-mCitrine-mKOK-mTFP1",GFP|mKate2|Electra2|mCitrine|mKoK|mTFP1
pDQM065,tol2-ef1a:2xLynk-tdmSG-tPT2A-tdmChilada-h2b,Amp,FALSE,clone 1,2xLynk::tdmSG|tdmChilada::h2b
pDQM066,tol2-ef1a:2xLynk-tdmSG-tPT2A-tdmChilada-h2b,Amp,FALSE,clone 2,2xLynk::tdmSG|tdmChilada::h2b
pDQM067,ef1a:2xLynk-tdmSG-tPT2A-tdmYH-h2b (pCM268),Amp,FALSE,clone 1,2xLynk::tdmSG|tdmYH::h2b
pDQM068,ef1a:2xLynk-tdmSG,Amp,FALSE,Clone 1,2xLynk::tdmSG
pDQM069,ef1a:2xLynk-tdmSG,Amp,FALSE,Clone 2,2xLynk::tdmSG
pDQM070,ef1a:2xLynk-tdmSG(introns),Amp,FALSE,Clone 2,2xLynk::tdmSG
pDQM071,ef1a:2xLynk-tdmSG(introns),Amp,FALSE,Clone 4,2xLynk::tdmSG
pDQM072,ef1a:2xLynk-tdmSG-tPT2A-tdmChilada-h2b,Amp,FALSE,Clone 2,2xLynk::tdmSG|tdmChilada::h2b
pDQM073,ef1a:2xLynk-tdmSG-tPT2A-tdmChilada-h2b,Amp,FALSE,Clone 4,2xLynk::tdmSG|tdmChilada::h2b
pDQM074,ef1a:2xLynk-tdmSG(introns),Amp,FALSE,Clone 1,2xLynk::tdmSG
pDQM075,ef1a:2xLynk-tdmSG(introns),Amp,FALSE,Clone 3,2xLynk::tdmSG
pDQM076,exorh:gfp-hsp:dhb-tdmSG-tPT2A-tdmChilada-h2b (pRL093),Amp,FALSE,Clone 1,dhb::tdmSG|tdmChilada::h2b
pDQM077,exorh:gfp-hsp:dhb-tdmSG-tPT2A-tdmChilada-h2b (pRL093),Amp,FALSE,Clone 3,dhb::tdmSG|tdmChilada::h2b
pDQM078,ef1a:2xLynk-tdmSG,Amp,FALSE,Clone 5,2xLynk::tdmSG
pDQM079,ef1a:2xLynk-mSG,Amp,FALSE,Clone 1,2xLynk::mSG
pDQM080,ef1a:2xLynk-mSG,Amp,FALSE,Clone 2,2xLynk::mSG
pDQM081,ef1a:2xLynk:mSG-tPT2A:mChilada,Amp,FALSE,Clone 4,2xLynk::mSG
pDQM082,ef1a:2xLynk:tdmChilada,Amp,FALSE,Clone 4,2xLynk::tdmChilada
pDQM083,ef1a:linker:Electra2:linker-attB,Amp,FALSE,Clone 12-1,Electra2
pDQM084,ef1a:linker:mKOK:linker-attB,Amp,FALSE,Clone 13-2,mKOK
pDQM085,ef1a:linker:mKate2:linker-attB,Amp,FALSE,Clone 14-2,mKate2
pDQM086,ef1a:linker:mCitrine:linker-attB,Amp,FALSE,Clone 43-1,mCitrine
pDQM087,ef1a:linker:mTFP1:linker-attB,Amp,FALSE,Clone 16-1,mTFP1
pDQM088,ef1a:linker:mYongHong:linker-attB,Amp,FALSE,Clone 32-1,mYongHong
pDQM089,ef1a:linker:mChilada:linker-attB,Amp,FALSE,Clone 23-3,mChilada
pDQM090,ef1a:linker:mChilada-MAGPV:linker-attB,Amp,FALSE,Clone 1,mChilada
pDQM091,ef1a:linker:mChilada-MAGPV:linker-attB,Amp,FALSE,Clone 2,mChilada
pDQM092,SP6:2xLynk:mchilada-MAGPV,Amp,FALSE,Clone 1,2xLynk::mchilada
pDQM093,SP6:2xLynk:mchilada-MAGPV,Amp,FALSE,Clone 2,2xLynk::mchilada
pDQM094,ef1a:2xLynk:tdmSG:tPT2A:tdmChilada-MAGPV:H2B,Amp,FALSE,Clone 1,2xLynk::tdmSG
pDQM095,ef1a:mSG:CDT1-tPT2A-mYH:GMN (iCodon) [FUCCI],Amp,FALSE,Clone 2,mSG|mYH
