Data location,Date born,Date imaged,Date screened/Initial feedback,End of imaging time,Imaged Locations,Mounting Orientation,Start of imaging time,Time mounted,Time placed in scope,Unique Targets,Unique Targets with blanks,ZF female genotype,ZF male genotype,additional mRNAs injected,additional plasmids injected,additonal dye and chemicals,additonal proteins injected,dataset,date_experiment,date_mount,fish,genotype_allele_codes,genotype_base_codes,mount_id,parent_female,parent_male,roi_dir,roi_name,roi_rel,roi_tiffs,treatment_plasmid_base_codes,treatment_rna_base_codes,genotype_marker_fusion_labels,genotype_marker_localizations,genotype_marker_fluor_loc_labels,genotype_marker_fusion_loc_labels,treatment_marker_fusion_labels,treatment_marker_localizations,treatment_marker_fluor_loc_labels,treatment_marker_fusion_loc_labels,all_unique_organelles,all_fluor_organelles
X:\abcabc\Aang_Foundation\20251028_mem-peroxi,2025-10-27,2025-10-28,,,,LHR,,11:00:00,,,,casper/rnf,memrane tdmScarlet3S2 (F1 of allele 325),,MGCO-49_peroxisome-A2UCOE-ef1aextra-mStayGold-SKL,,,korra,20250513_skittles,2025-10-28,fish1,pDQM136:325,pDQM136,2,casper/rnf,memrane tdmScarlet3S2 (F1 of allele 325),/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish1/roi1,roi1,roi1,42,MGCO-49,,tdmScarlet3::2xLynk(N),membrane,tdmScarlet3(membrane),tdmScarlet3::2xLynk(N)(membrane),,Peroxisome,,,"Peroxisome,membrane,peroxisome",tdmScarlet3(membrane)
X:\abcabc\Aang_Foundation\20251028_mem-peroxi2,2025-10-27,2025-10-29,,,,LHR,,11:00:00,,,,casper/rnf,memrane tdmScarlet3S2 (F1 of allele 325),,MGCO-52-peroxisome-A2UCOE-attb_entire+pDQM147-ABCDpmp70-mStayGold,,,korra,20250513_skittles,2025-10-28,fish1,pDQM136:325,pDQM136,3,casper/rnf,memrane tdmScarlet3S2 (F1 of allele 325),/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish1/roi2,roi2,roi2,38,MGCO-52,,tdmScarlet3::2xLynk(N),membrane,tdmScarlet3(membrane),tdmScarlet3::2xLynk(N)(membrane),,Peroxisome,,,"Peroxisome,membrane,peroxisome",tdmScarlet3(membrane)
X:\abcabc\Korra_Foundation\20251027_mem-histone,2025-10-21,2025-10-27,,,,DH,,12:00:00,,,,ef1a:2xLynk:tdmSG(J) (F1 of allele 302),tdmScarlet3S2:H2B-tol2 (F1 of allele 324),,,,,korra,20250513_skittles,2025-10-27,fish1,pDQM005:302,pDQM005,1,ef1a:2xLynk:tdmSG(J) (F1 of allele 302),tdmScarlet3S2:H2B-tol2 (F1 of allele 324),/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish1/roi2_2,roi2_2,roi2_2,18,,,tdmSG::2xLynk(N),membrane,tdmSG(membrane),tdmSG::2xLynk(N)(membrane),,,,,"histone,membrane",tdmSG(membrane)
X:\abcabc\Aang_Foundation\20251027_mem-histone,2025-10-21,2025-10-27,,,,DH,,12:00:00,,,,ef1a:2xLynk:tdmSG(J) (F1 of allele 302),tdmScarlet3S2:H2B-tol2 (F1 of allele 324),,,,,korra,20250513_skittles,2025-10-27,fish10,pDQM005:302,pDQM005,2,ef1a:2xLynk:tdmSG(J) (F1 of allele 302),tdmScarlet3S2:H2B-tol2 (F1 of allele 324),/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish10/roi1,roi1,roi1,240,,,tdmSG::2xLynk(N),membrane,tdmSG(membrane),tdmSG::2xLynk(N)(membrane),,,,,"histone,membrane",tdmSG(membrane)
X:\abcabc\Exploratory_fish\20251025_er,2025-10-22,2025-10-26,,,,DH,,10:00:00,,,,casper/rnf,casper/rnf,,MGCO-53-ER-A2UCOE-attb_entire+pDQM147-calnexin-mStayGold,,,korra,20250513_skittles,2025-10-24,fish11,,,1,casper/rnf,casper/rnf,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish11/roi1,roi1,roi1,240,MGCO-53,,,,,,,ER,,,ER,
X:\abcabc\Exploratory_fish\20251025_lamellipodia_F-actin,2025-10-22,2025-10-25,,,,DH,,10:00:00,,,"membrane, lamellipodia, actin",casper/rnf,tdmScarlet3S2 (F1 of allele 325),,MGCO-51-lamellipodia-A2UCOE-attb_entire+PDQM148-mStayGold-C4-cortactin,,,korra,20250513_skittles,2025-10-24,fish11,pDQM136:325,pDQM136,2,casper/rnf,tdmScarlet3S2 (F1 of allele 325),/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish11/roi1_test,roi1_test,roi1_test,4,MGCO-51,,tdmScarlet3::2xLynk(N),membrane,tdmScarlet3(membrane),tdmScarlet3::2xLynk(N)(membrane),,Lamellipodia,,,"Lamellipodia,membrane",tdmScarlet3(membrane)
X:\abcabc\Korra_Foundation\20251024_mem-histone,2025-10-21,2025-10-24,,,,DH,,10:00:00,,,"membrane, nuclei",ef1a:2xLynk:tdmSG(J) (F1 of allele 302),tdmScarlet3S2:H2B-tol2 (F1 of allele 324),,,,,korra,20250513_skittles,2025-10-24,fish12,pDQM005:302,pDQM005,3,ef1a:2xLynk:tdmSG(J) (F1 of allele 302),tdmScarlet3S2:H2B-tol2 (F1 of allele 324),/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish12/roi1,roi1,roi1,18,,,tdmSG::2xLynk(N),membrane,tdmSG(membrane),tdmSG::2xLynk(N)(membrane),,,,,"histone,membrane",tdmSG(membrane)
X:\abcabc\Aang_Foundation\20251023_mem-mito,2025-10-22,2025-10-24,,,,DH,,10:00:00,,,"membrane, mitochondria",casper/rnf,ef1a:2xLynk:tdmChilada (F1 of allele 315),2xCox8A:mSG,,,,korra,20250513_skittles,2025-10-23,fish12,pDQM082:315,pDQM082,1,casper/rnf,ef1a:2xLynk:tdmChilada (F1 of allele 315),/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish12/roi2,roi2,roi2,18,,MGCO-01,tdmChilada::2xLynk(N),membrane,tdmChilada(membrane),tdmChilada::2xLynk(N)(membrane),mStayGold::2Xcox8A(N),mitochondria,mStayGold(mitochondria),mStayGold::2Xcox8A(N)(mitochondria),"membrane,mitochondria","tdmChilada(membrane),mStayGold(mitochondria)"
X:\abcabc\Korra_Foundation\20251022_mem-histone,2025-10-21,2025-10-22,,,,DH,,10:00:00,,,"membrane, nuclei",ef1a:2xLynk:tdmSG(J) (F1 of allele 302),tdmScarlet3S2:H2B-tol2 (F1 of allele 324),,,,,korra,20250513_skittles,2025-10-22,fish12,pDQM005:302,pDQM005,1,ef1a:2xLynk:tdmSG(J) (F1 of allele 302),tdmScarlet3S2:H2B-tol2 (F1 of allele 324),/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish12/roi3,roi3,roi3,18,,,tdmSG::2xLynk(N),membrane,tdmSG(membrane),tdmSG::2xLynk(N)(membrane),,,,,"histone,membrane",tdmSG(membrane)
X:\abcabc\Aang_Foundation\20251022_mem-mito,2025-10-20,2025-10-23,,,,DH,,10:00:00,,,"membrane, mitochondria",ef1a:2xLynk:tdmChilada (F1 of allele 315),casper/rnf,2xCox8A:mSG,,,,korra,20250513_skittles,2025-10-22,fish13,pDQM082:315,pDQM082,2,ef1a:2xLynk:tdmChilada (F1 of allele 315),casper/rnf,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish13/roi1,roi1,roi1,18,,MGCO-01,tdmChilada::2xLynk(N),membrane,tdmChilada(membrane),tdmChilada::2xLynk(N)(membrane),mStayGold::2Xcox8A(N),mitochondria,mStayGold(mitochondria),mStayGold::2Xcox8A(N)(mitochondria),"membrane,mitochondria","tdmChilada(membrane),mStayGold(mitochondria)"
