Data location,Date born,Date imaged,Date screened/Initial feedback,End of imaging time,Imaged Locations,Mounting Orientation,Start of imaging time,Time mounted,Time placed in scope,Unique Targets,Unique Targets with blanks,ZF female genotype,ZF male genotype,additional mRNAs injected,additional plasmids injected,additonal dye and chemicals,additonal proteins injected,dataset,date_experiment,date_mount,fish,genotype_allele_codes,genotype_base_codes,mount_id,parent_female,parent_male,roi_dir,roi_name,roi_rel,roi_tiffs,treatment_plasmid_base_codes,treatment_rna_base_codes,genotype_marker_fusion_labels,genotype_marker_localizations,genotype_marker_fluor_loc_labels,genotype_marker_fusion_loc_labels,treatment_marker_fusion_labels,treatment_marker_localizations,treatment_marker_fluor_loc_labels,treatment_marker_fusion_loc_labels,all_unique_organelles,all_fluor_organelles
,,,,,,,,,,"casper/pIGLET 14a,1 tank started,488","casper/pIGLET 14a,1 tank started,488",tandem mem:mStayGold,tandem mem:mStayGold,,ef1a:E2Crimson (iCodon),,,korra,20250529_skittlez,2025-08-11,fish2_roi1,pDQM005:301,pDQM005,,tandem mem:mStayGold,tandem mem:mStayGold,/clusterfs/vast/abcabc/Korra_Foundation/20250529_skittlez/fish2_roi1,fish2_roi1,fish2_roi1,90,pDQM144,,tdmSG::2xLynk(N),membrane,tdmSG(membrane),tdmSG::2xLynk(N)(membrane),E2Crimson,,E2Crimson,E2Crimson,membrane,"tdmSG(membrane),E2Crimson"
,,,,,,,,,,,,tandem mem:mStayGold,tandem mem:mStayGold,,ef1a:mCardinal (iCodon),,,korra,20250529_skittlez,2025-08-11,fish2_roi2,pDQM005:301,pDQM005,,tandem mem:mStayGold,tandem mem:mStayGold,/clusterfs/vast/abcabc/Korra_Foundation/20250529_skittlez/fish2_roi2,fish2_roi2,fish2_roi2,90,pDQM145,,tdmSG::2xLynk(N),membrane,tdmSG(membrane),tdmSG::2xLynk(N)(membrane),mCardinal,,mCardinal,mCardinal,membrane,"tdmSG(membrane),mCardinal"
X:\abcabc\Aang_Foundation\20250808_mem_organelle,2025-08-07,2025-08-08,,,"skin, muscle, spinal_cord, hindbrain",DT,,,,Mitochondria,Mitochondria,membrane mChilada,membrane mChilada,2xCox8A:mSG,,,,korra,20250529_skittlez,2025-08-08,fish4_roi1,pDQM082:315,pDQM082,,membrane mChilada,membrane mChilada,/clusterfs/vast/abcabc/Korra_Foundation/20250529_skittlez/fish4_roi1,fish4_roi1,fish4_roi1,90,,MGCO-01,tdmChilada::2xLynk(N),membrane,tdmChilada(membrane),tdmChilada::2xLynk(N)(membrane),mStayGold::2Xcox8A(N),mitochondria,mStayGold(mitochondria),mStayGold::2Xcox8A(N)(mitochondria),"membrane,mitochondria","tdmChilada(membrane),mStayGold(mitochondria)"
X:\abcabc\Aang_Foundation\20250808_mem_organelle,2025-08-07,2025-08-08,,,"skin, muscle, spinal_cord, hindbrain",DT,,,,Lysosomes,Lysosomes,membrane mChilada,membrane mChilada,LAMP1:mSG,,,,korra,20250529_skittlez,2025-08-08,fish5_roi1,pDQM082:315,pDQM082,,membrane mChilada,membrane mChilada,/clusterfs/vast/abcabc/Korra_Foundation/20250529_skittlez/fish5_roi1,fish5_roi1,fish5_roi1,120,,MGCO-15,tdmChilada::2xLynk(N),membrane,tdmChilada(membrane),tdmChilada::2xLynk(N)(membrane),mStayGold::LAMP1(N),lysosome,mStayGold(lysosome),mStayGold::LAMP1(N)(lysosome),"lysosome,membrane","tdmChilada(membrane),mStayGold(lysosome)"
,,,,,,,,,,,,heatshock PhiC,heatshock PhiC,,ef1a-extended:TNG46:mStayGold,,,korra,20250529_skittlez,2025-08-07,fish5_roi2,,pDQM112,,heatshock PhiC,heatshock PhiC,/clusterfs/vast/abcabc/Korra_Foundation/20250529_skittlez/fish5_roi2,fish5_roi2,fish5_roi2,120,MGCO-30,,mScarlet,,mScarlet,mScarlet,mStayGold,Golgi,mStayGold,mStayGold,Golgi,"mScarlet,mStayGold"
,,,,,,,,,,,,heatshock PhiC,heatshock PhiC,,ef1a-extended:mScarlet3S2:sec61b,,,korra,20250529_skittlez,2025-08-07,fish6_roi1,,pDQM112,,heatshock PhiC,heatshock PhiC,/clusterfs/vast/abcabc/Korra_Foundation/20250529_skittlez/fish6_roi1,fish6_roi1,fish6_roi1,120,MGCO-36,,mScarlet,,mScarlet,mScarlet,mScarlet3S2::sec61b(N),ER,mScarlet3S2(ER),mScarlet3S2::sec61b(N)(ER),ER,"mScarlet,mScarlet3S2(ER)"
X:\abcabc\Aang_Foundation\20250805_lifeact_mem-halo,2025-08-04,2025-08-06,,,"skin, muscle, spinal_cord",,,,,Actin,Actin,membrane Halo,membrane Halo,Lifeact:mSG,,,,korra,20250529_skittlez,2025-08-06,fish7_roi1,Swinburne:Swinburne,Swinburne,,membrane Halo,membrane Halo,/clusterfs/vast/abcabc/Korra_Foundation/20250529_skittlez/fish7_roi1,fish7_roi1,fish7_roi1,72,,MGCO-23,,,,,mStayGold::lifeact(N),actin,mStayGold(actin),mStayGold::lifeact(N)(actin),"actin,membrane",mStayGold(actin)
X:\abcabc\Korra_Foundation\20250805_mem-histone,2025-08-04,2025-08-05,,,"skin, muscle, spinal_cord, hindbrain",DT,,,,,,,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),,,,,korra,20250529_skittlez,2025-08-05,fish8_roi1,pDQM005:301,pDQM005,,,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),/clusterfs/vast/abcabc/Korra_Foundation/20250529_skittlez/fish8_roi1,fish8_roi1,fish8_roi1,96,,,tdmSG::2xLynk(N),membrane,tdmSG(membrane),tdmSG::2xLynk(N)(membrane),,,,,"histone,membrane",tdmSG(membrane)
X:\abcabc\Aang_Foundation\20250805_mito_mem-halo,2025-08-04,2025-08-05,,,"skin, muscle, spinal_cord",,,,,Mitochondria,Mitochondria,membrane Halo,membrane Halo,2xCox8A:mSG,,,,korra,20250529_skittlez,2025-08-05,fish9_roi1,Swinburne:Swinburne,Swinburne,,membrane Halo,membrane Halo,/clusterfs/vast/abcabc/Korra_Foundation/20250529_skittlez/fish9_roi1,fish9_roi1,fish9_roi1,96,,MGCO-01,,,,,mStayGold::2Xcox8A(N),mitochondria,mStayGold(mitochondria),mStayGold::2Xcox8A(N)(mitochondria),"membrane,mitochondria",mStayGold(mitochondria)
X:\abcabc\Korra_Foundation\20250801_mem-PCNA\fish3_72hpf_roi1,2025-08-01,2025-08-04,,,"skin, muscle, spinal_cord, notochord, neuromast",LHDT,,,,nuclei,nuclei,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),tdmChilada:PCNA,,,,korra,20250529_skittlez,2025-08-04,fish9_roi2,pDQM005:301,pDQM005,,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),/clusterfs/vast/abcabc/Korra_Foundation/20250529_skittlez/fish9_roi2,fish9_roi2,fish9_roi2,96,,pDQM037,tdmSG::2xLynk(N),membrane,tdmSG(membrane),tdmSG::2xLynk(N)(membrane),"tdmChilada::pcna(C),tdmSG::dhb(N)",nucleus,"tdmChilada(nucleus),tdmSG","tdmChilada::pcna(C)(nucleus),tdmSG::dhb(N)","membrane,nucleus","tdmSG(membrane),tdmChilada(nucleus),tdmSG"
X:\abcabc\Korra_Foundation\20250801_mem-PCNA,2025-07-31,2025-08-01,,,"skin, muscle, spinal_cord, hindbrain",DT,,,,nuclei,nuclei,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),tdmChilada:PCNA,,,,korra,20250530_mem-histone,2025-08-01,fish1_roi1,pDQM005:301,pDQM005,,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),/clusterfs/vast/abcabc/Korra_Foundation/20250530_mem-histone/fish1_roi1,fish1_roi1,fish1_roi1,2636,,pDQM037,tdmSG::2xLynk(N),membrane,tdmSG(membrane),tdmSG::2xLynk(N)(membrane),"tdmChilada::pcna(C),tdmSG::dhb(N)",nucleus,"tdmChilada(nucleus),tdmSG","tdmChilada::pcna(C)(nucleus),tdmSG::dhb(N)","histone,membrane,nucleus","tdmSG(membrane),tdmChilada(nucleus),tdmSG"
X:\abcabc\Korra_Foundation\20250728_mem-histone,2025-07-26,2025-07-28,,,"skin, muscle, spinal_cord, notochord, neuromast, hindbrain",,,,,nuclei,nuclei,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),tdmChilada:PCNA,,,,korra,20250530_mem-histone,2025-07-28,fish1_roi1-2,pDQM005:301,pDQM005,,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),/clusterfs/vast/abcabc/Korra_Foundation/20250530_mem-histone/fish1_roi1-2,fish1_roi1-2,fish1_roi1-2,12200,,pDQM037,tdmSG::2xLynk(N),membrane,tdmSG(membrane),tdmSG::2xLynk(N)(membrane),"tdmChilada::pcna(C),tdmSG::dhb(N)",nucleus,"tdmChilada(nucleus),tdmSG","tdmChilada::pcna(C)(nucleus),tdmSG::dhb(N)","histone,membrane,nucleus","tdmSG(membrane),tdmChilada(nucleus),tdmSG"
"X:\abcabc\Korra_Foundation\20250724_mem-mchilada_er-mSG, X:\abcabc\Aang_Foundation\20250723_er-mSG_mem-mChilada",2025-07-23,2025-07-24,,,"skin, muscle, spinal_cord, neuromast, hindbrain",,,,,ER,ER,membrane mChilada,membrane mChilada,mSG:sec61b,,,,korra,20250530_mem-histone,2025-07-24,fish2_roi1,pDQM082:315,pDQM082,,membrane mChilada,membrane mChilada,/clusterfs/vast/abcabc/Korra_Foundation/20250530_mem-histone/fish2_roi1,fish2_roi1,fish2_roi1,4350,,MGCO-04,tdmChilada::2xLynk(N),membrane,tdmChilada(membrane),tdmChilada::2xLynk(N)(membrane),mStayGold::sec61b(N),ER,mStayGold(ER),mStayGold::sec61b(N)(ER),"ER,histone,membrane","tdmChilada(membrane),mStayGold(ER)"
X:\abcabc\Korra_Foundation\20250723_mem-halo_ER-mSG\fish3_48hpf,2025-07-21,2025-07-23,,,"skin, muscle, spinal_cord",,,,,ER,ER,membrane Halo,membrane Halo,mSG:sec61b,,JF 635,,korra,20250602_mem,2025-07-23,fish2_roi1,Swinburne:Swinburne,Swinburne,,membrane Halo,membrane Halo,/clusterfs/vast/abcabc/Korra_Foundation/20250602_mem/fish2_roi1,fish2_roi1,fish2_roi1,15812,,MGCO-04,,,,,mStayGold::sec61b(N),ER,mStayGold(ER),mStayGold::sec61b(N)(ER),"ER,membrane",mStayGold(ER)
X:\abcabc\Aang_Foundation\20250722_mem-halo_er-mSG,2025-07-21,2025-07-22,,,"skin, muscle, spinal_cord",,,,,,,membrane Halo,membrane Halo,mSG:sec61b,,JF 635,,korra,20250603_skittlez,2025-07-22,fish10_roi1,Swinburne:Swinburne,Swinburne,,membrane Halo,membrane Halo,/clusterfs/vast/abcabc/Korra_Foundation/20250603_skittlez/fish10_roi1,fish10_roi1,fish10_roi1,144,,MGCO-04,,,,,mStayGold::sec61b(N),ER,mStayGold(ER),mStayGold::sec61b(N)(ER),"ER,membrane",mStayGold(ER)
X:\abcabc\Aang_Foundation\20250722_mrna_mito-mSG_mem-mChilada,2025-07-21,2025-07-22,,,"skin, muscle, spinal_cord",,,,,,,membrane mChilada,membrane mChilada,2xCox8A:mSG,,,,korra,20250603_skittlez,2025-07-22,fish11_roi1,pDQM082:315,pDQM082,,membrane mChilada,membrane mChilada,/clusterfs/vast/abcabc/Korra_Foundation/20250603_skittlez/fish11_roi1,fish11_roi1,fish11_roi1,96,,MGCO-01,tdmChilada::2xLynk(N),membrane,tdmChilada(membrane),tdmChilada::2xLynk(N)(membrane),mStayGold::2Xcox8A(N),mitochondria,mStayGold(mitochondria),mStayGold::2Xcox8A(N)(mitochondria),"membrane,mitochondria","tdmChilada(membrane),mStayGold(mitochondria)"
X:\abcabc\Korra_Foundation\20250715_mem_organelle,2025-07-14,2025-07-17,,,"skin, muscle, spinal_cord, notochord, neuromast",,,,,Mitochondria,Mitochondria,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a-extended:Halo:sec61b,ef1a-extended:2xCox8A:mScarlet3S2,JF 635,,korra,20250603_skittlez,2025-07-17,fish12_roi1,pDQM005:301,pDQM005,,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),/clusterfs/vast/abcabc/Korra_Foundation/20250603_skittlez/fish12_roi1,fish12_roi1,fish12_roi1,192,MGCO-35,MGCO-40,tdmSG::2xLynk(N),membrane,tdmSG(membrane),tdmSG::2xLynk(N)(membrane),"Halo::sec61b(N),mScarlet3S2::2Xcox8A(N)","ER,mitochondria","Halo(ER),mScarlet3S2(mitochondria)","Halo::sec61b(N)(ER),mScarlet3S2::2Xcox8A(N)(mitochondria)","ER,membrane,mitochondria","tdmSG(membrane),Halo(ER),mScarlet3S2(mitochondria)"
X:\abcabc\Korra_Foundation\20250715_mem_organelle,2025-07-14,2025-07-16,,,"brain, skin, muscle, hindbrain, spinal_cord",,,,,Mitochondria,Mitochondria,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a-extended:Halo:sec61b,ef1a-extended:2xCox8A:mScarlet3S2,JF 635,,korra,20250603_skittlez,2025-07-16,fish13_roi1,pDQM005:301,pDQM005,,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),/clusterfs/vast/abcabc/Korra_Foundation/20250603_skittlez/fish13_roi1,fish13_roi1,fish13_roi1,96,MGCO-35,MGCO-40,tdmSG::2xLynk(N),membrane,tdmSG(membrane),tdmSG::2xLynk(N)(membrane),"Halo::sec61b(N),mScarlet3S2::2Xcox8A(N)","ER,mitochondria","Halo(ER),mScarlet3S2(mitochondria)","Halo::sec61b(N)(ER),mScarlet3S2::2Xcox8A(N)(mitochondria)","ER,membrane,mitochondria","tdmSG(membrane),Halo(ER),mScarlet3S2(mitochondria)"
X:\abcabc\Korra_Foundation\20250715_mem_organelle,2025-07-14,2025-07-15,,,"brain, skin, muscle, hindbrain, spinal_cord",,,,,Mitochondria,Mitochondria,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a-extended:Halo:sec61b,ef1a-extended:2xCox8A:mScarlet3S2,JF 635,,korra,20250603_skittlez,2025-07-15,fish14_roi1,pDQM005:301,pDQM005,,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),/clusterfs/vast/abcabc/Korra_Foundation/20250603_skittlez/fish14_roi1,fish14_roi1,fish14_roi1,240,MGCO-35,MGCO-40,tdmSG::2xLynk(N),membrane,tdmSG(membrane),tdmSG::2xLynk(N)(membrane),"Halo::sec61b(N),mScarlet3S2::2Xcox8A(N)","ER,mitochondria","Halo(ER),mScarlet3S2(mitochondria)","Halo::sec61b(N)(ER),mScarlet3S2::2Xcox8A(N)(mitochondria)","ER,membrane,mitochondria","tdmSG(membrane),Halo(ER),mScarlet3S2(mitochondria)"
X:\abcabc\Korra_Foundation\20250715_mem_organelle,2025-07-14,2025-07-15,,,"brain, skin, muscle, hindbrain, spinal_cord",,,,,Mitochondria,Mitochondria,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a-extended:mScarlet3S2:sec61b,ef1a-extended:2xCox8A:Halo,JF 635,,korra,20250603_skittlez,2025-07-15,fish15_roi1,pDQM005:301,pDQM005,,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),/clusterfs/vast/abcabc/Korra_Foundation/20250603_skittlez/fish15_roi1,fish15_roi1,fish15_roi1,168,MGCO-39,MGCO-36,tdmSG::2xLynk(N),membrane,tdmSG(membrane),tdmSG::2xLynk(N)(membrane),"Halo::2Xcox8A(N),mScarlet3S2::sec61b(N)","ER,mitochondria","Halo(mitochondria),mScarlet3S2(ER)","Halo::2Xcox8A(N)(mitochondria),mScarlet3S2::sec61b(N)(ER)","ER,membrane,mitochondria","tdmSG(membrane),Halo(mitochondria),mScarlet3S2(ER)"
X:\abcabc\Korra_Foundation\20250627_skittlez and 20250625_skittlez,2025-06-26,2025-06-27,,,"brain, skin, muscle, hindbrain, spinal_cord",,,,skittlez x 10,membrane,",membrane",Jim (F2 of allele 316),Ben (F2 of allele 310),"phiC-NLS, 2xLynk:mSG",,,,korra,20250603_skittlez,2025-06-27,fish16_roi1,pDQM059:316,pDQM059,,Jim (F2 of allele 316),Ben (F2 of allele 310),/clusterfs/vast/abcabc/Korra_Foundation/20250603_skittlez/fish16_roi1,fish16_roi1,fish16_roi1,120,,nan,gfp,,gfp,gfp,,,,,,gfp
X:\abcabc\Korra_Foundation\20250626_mem-histone\fish1_48hpf_brain,2025-06-24,2025-06-26,,,"brain, skin, muscle, hindbrain",VHUHE,,,,nuclei,nuclei,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),mScarlet3-S2:H2B,,,,korra,20250603_skittlez,2025-06-26,fish1_roi1_1,pDQM005:301,pDQM005,,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),/clusterfs/vast/abcabc/Korra_Foundation/20250603_skittlez/fish1_roi1_1,fish1_roi1_1,fish1_roi1_1,72,,pDQM117,tdmSG::2xLynk(N),membrane,tdmSG(membrane),tdmSG::2xLynk(N)(membrane),mScarlet3S2::H2B(N),histone,mScarlet3S2(histone),mScarlet3S2::H2B(N)(histone),"histone,membrane","tdmSG(membrane),mScarlet3S2(histone)"
X:\abcabc\Korra_Foundation\20250626_mem-histone\fish3_48hpf_hindbrain-to-tail,2025-06-24,2025-06-26,,,"hindbrain, spinal_cord, skin, muscle, tail, blood vessel",DT,,,,nuclei,nuclei,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),mScarlet3-S2:H2B,,,,korra,20250603_skittlez,2025-06-26,fish2_roi1,pDQM005:301,pDQM005,,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),/clusterfs/vast/abcabc/Korra_Foundation/20250603_skittlez/fish2_roi1,fish2_roi1,fish2_roi1,6,,pDQM117,tdmSG::2xLynk(N),membrane,tdmSG(membrane),tdmSG::2xLynk(N)(membrane),mScarlet3S2::H2B(N),histone,mScarlet3S2(histone),mScarlet3S2::H2B(N)(histone),"histone,membrane","tdmSG(membrane),mScarlet3S2(histone)"
X:\abcabc\Korra_Foundation\20250624_skittlez_Chris_x_Liam,2025-06-24,2025-06-25,,,"hindbrain, brain, spinal_cord, skin, muscle",,,,skittlez x 10,membrane,",membrane",Ben (F2 of allele 310),Abe (F2 of allele 309),"phiC-NLS, 2xLynk:mSG",,,"this cross is high in 514, which causes difficulty for mSG channel",korra,20250603_skittlez,2025-06-25,fish2_roi1_1,pDQM034:310,pDQM034,,Ben (F2 of allele 310),Abe (F2 of allele 309),/clusterfs/vast/abcabc/Korra_Foundation/20250603_skittlez/fish2_roi1_1,fish2_roi1_1,fish2_roi1_1,72,,nan,"Electra2,mCitrine,mKOK,mKate2,mTFP1",,"Electra2,mCitrine,mKOK,mKate2,mTFP1","Electra2,mCitrine,mKOK,mKate2,mTFP1",,,,,,"Electra2,mCitrine,mKOK,mKate2,mTFP1"
X:\abcabc\Korra_Foundation\20250624_skittlez_Issac_x_Ken,2025-06-23,2025-06-24,,,"hindbrain, brain, spinal_cord, skin",,,,skittlez x 4,membrane,",membrane",Ken (F2 of allele 320),Isaac (F2 of allele 314),"phiC-NLS, 2xLynk:mSG",,,,korra,20250603_skittlez,2025-06-24,fish3_roi1,pDQM059:320,pDQM059,,Ken (F2 of allele 320),Isaac (F2 of allele 314),/clusterfs/vast/abcabc/Korra_Foundation/20250603_skittlez/fish3_roi1,fish3_roi1,fish3_roi1,90,,nan,gfp,,gfp,gfp,,,,,,gfp
X:\abcabc\Korra_Foundation\20250624_skittlez_Chris_x_Liam,2025-06-23,2025-06-24,,,"hindbrain, brain, spinal_cord, skin, muscle, eye",,,,skittlez x 10,membrane,",membrane",Liam (F2 of allele 321),Chris (F1 of allele 317),"phiC-NLS, 2xLynk:mSG",,,,korra,20250603_skittlez,2025-06-24,fish4_roi1,pDQM059:321,pDQM059,,Liam (F2 of allele 321),Chris (F1 of allele 317),/clusterfs/vast/abcabc/Korra_Foundation/20250603_skittlez/fish4_roi1,fish4_roi1,fish4_roi1,126,,nan,gfp,,gfp,gfp,,,,,,gfp
X:\abcabc\Korra_Foundation\20250619_skittlez,2025-06-18,2025-06-19,,,"spinal_cord, skin, muscle, hindbrain, brain, tail, ear, eye",,,,skittlez x 5,membrane,",membrane",Dennis (F2 of allele 318),Abe (F2 of allele 309),"phiC-NLS, 2xLynk:mSG",,,,korra,20250603_skittlez,2025-06-19,fish6_roi1,pDQM036:318,pDQM036,,Dennis (F2 of allele 318),Abe (F2 of allele 309),/clusterfs/vast/abcabc/Korra_Foundation/20250603_skittlez/fish6_roi1,fish6_roi1,fish6_roi1,174,,nan,,,,,,,,,,
X:\abcabc\Korra_Foundation\20250618_skittlez,2025-06-17,2025-06-18,,,"spinal_cord, skin, muscle, hindbrain, brain, tail, ear, eye",,,,skittlez x 11 (23 ROI),membrane,",membrane",Ben (F2 of allele 310),Abe (F2 of allele 309),"phiC-NLS, 2xLynk:mSG",,,,korra,20250603_skittlez,2025-06-18,fish7_roi1,pDQM034:310,pDQM034,,Ben (F2 of allele 310),Abe (F2 of allele 309),/clusterfs/vast/abcabc/Korra_Foundation/20250603_skittlez/fish7_roi1,fish7_roi1,fish7_roi1,108,,nan,"Electra2,mCitrine,mKOK,mKate2,mTFP1",,"Electra2,mCitrine,mKOK,mKate2,mTFP1","Electra2,mCitrine,mKOK,mKate2,mTFP1",,,,,,"Electra2,mCitrine,mKOK,mKate2,mTFP1"
X:\abcabc\Korra_Foundation\20250616_mem-histone\fish_24hpf,2025-06-16,2025-06-17,,,"ear, muscle, skin, brain, hindbrain",VTUHD,,,,nuclei,nuclei,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),mScarlet3-S2:H2B,,,,korra,20250603_skittlez,2025-06-17,fish8_roi1,pDQM005:301,pDQM005,,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),/clusterfs/vast/abcabc/Korra_Foundation/20250603_skittlez/fish8_roi1,fish8_roi1,fish8_roi1,72,,pDQM117,tdmSG::2xLynk(N),membrane,tdmSG(membrane),tdmSG::2xLynk(N)(membrane),mScarlet3S2::H2B(N),histone,mScarlet3S2(histone),mScarlet3S2::H2B(N)(histone),"histone,membrane","tdmSG(membrane),mScarlet3S2(histone)"
X:\abcabc\Korra_Foundation\20250616_mem-histone\fish1,2025-06-14,2025-06-16,,,"ear, muscle, skin, blood vessel",DT,,,,nuclei,nuclei,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),mScarlet3-S2:H2B,,,,korra,20250603_skittlez,2025-06-16,fish9_roi1,pDQM005:301,pDQM005,,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),/clusterfs/vast/abcabc/Korra_Foundation/20250603_skittlez/fish9_roi1,fish9_roi1,fish9_roi1,138,,pDQM117,tdmSG::2xLynk(N),membrane,tdmSG(membrane),tdmSG::2xLynk(N)(membrane),mScarlet3S2::H2B(N),histone,mScarlet3S2(histone),mScarlet3S2::H2B(N)(histone),"histone,membrane","tdmSG(membrane),mScarlet3S2(histone)"
X:\abcabc\Korra_Foundation\20250613_skittlez,2025-06-12,2025-06-13,,,"spinal_cord, skin, muscle, hindbrain, brain, tail, ear, eye",,,,skittlez x 15,membrane,",membrane",Jim (F2 of allele 316),Dennis (F2 of allele 318),"phiC-NLS, 2xLynk:mSG",,,this cross is very good,korra,20250603_skittlez,2025-06-13,fish9_roi2,pDQM059:316,pDQM059,,Jim (F2 of allele 316),Dennis (F2 of allele 318),/clusterfs/vast/abcabc/Korra_Foundation/20250603_skittlez/fish9_roi2,fish9_roi2,fish9_roi2,48,,nan,gfp,,gfp,gfp,,,,,,gfp
X:\abcabc\Korra_Foundation\20250612_skittlez,2025-06-11,2025-06-12,,,"spinal_cord, skin, muscle, hindbrain, brain, tail, ear",,,,skittlez x 10,membrane,",membrane",Dennis (F2 of allele 318),Abe (F2 of allele 309),"phiC-NLS, 2xLynk:mSG",,,,korra,20250603_skittlez,2025-06-12,fish9_roi3,pDQM036:318,pDQM036,,Dennis (F2 of allele 318),Abe (F2 of allele 309),/clusterfs/vast/abcabc/Korra_Foundation/20250603_skittlez/fish9_roi3,fish9_roi3,fish9_roi3,48,,nan,,,,,,,,,,
X:\abcabc\Korra_Foundation\20250609_mem-histone\fish2_24hpf_roi1-2,2025-06-09,2025-06-10,,,"brain, eye, tail",VT,,,,nuclei,nuclei,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),mScarlet3-S2:H2B,,,,korra,20250605_skittlez,2025-06-10,fish10_roi1,pDQM005:301,pDQM005,,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),/clusterfs/vast/abcabc/Korra_Foundation/20250605_skittlez/fish10_roi1,fish10_roi1,fish10_roi1,72,,pDQM117,tdmSG::2xLynk(N),membrane,tdmSG(membrane),tdmSG::2xLynk(N)(membrane),mScarlet3S2::H2B(N),histone,mScarlet3S2(histone),mScarlet3S2::H2B(N)(histone),"histone,membrane","tdmSG(membrane),mScarlet3S2(histone)"
X:\abcabc\Korra_Foundation\20250609_mem-histone\fish3-6\,2025-06-09,2025-06-10,,,"spinal_cord, skin, muscle, hindbrain, brain, notochord",DT,,,,nuclei,nuclei,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),mScarlet3-S2:H2B,,,,korra,20250605_skittlez,2025-06-10,fish10_roi2,pDQM005:301,pDQM005,,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),/clusterfs/vast/abcabc/Korra_Foundation/20250605_skittlez/fish10_roi2,fish10_roi2,fish10_roi2,72,,pDQM117,tdmSG::2xLynk(N),membrane,tdmSG(membrane),tdmSG::2xLynk(N)(membrane),mScarlet3S2::H2B(N),histone,mScarlet3S2(histone),mScarlet3S2::H2B(N)(histone),"histone,membrane","tdmSG(membrane),mScarlet3S2(histone)"
