roi_dir,date_experiment,fish,roi_name,date_born,parent_female,parent_male,genotype_base_codes,genotype_allele_codes,genotype_pretty,genotype_marker_fluor_codes,genotype_marker_tag_codes,treatment_plasmid_base_codes,treatment_rna_base_codes,treatment_marker_fluor_codes,treatment_marker_tag_codes,all_marker_fluor_codes,additional plasmids injected,additional mRNAs injected,additonal proteins injected,additonal dye and chemicals,Date born,ZF female genotype,ZF male genotype,Data location
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish6/roi3,20250513_skittles,fish6,roi3,,,,,,,,,,,,,,,,,,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish6/roi4,20250513_skittles,fish6,roi4,,,,,,,,,,,,,,,,,,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish7/roi1_ear_brain,20250513_skittles,fish7,roi1_ear_brain,,,,,,,,,,,,,,,,,,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish7/roi2_brain,20250513_skittles,fish7,roi2_brain,,,,,,,,,,,,,,,,,,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish8/roi1,20250513_skittles,fish8,roi1,,,,,,,,,,,,,,,,,,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish9/roi1,20250513_skittles,fish9,roi1,,,,,,,,,,,,,,,,,,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20250522_skittlez/fish1/roi1,20250522_skittlez,fish1,roi1,2025-05-21,,,,,,,,,,,,,,,,,2025-05-21,,,X:\abcabc\Korra_Foundation\20250522_skittlez
/clusterfs/vast/abcabc/Korra_Foundation/20250522_skittlez/fish1/roi2,20250522_skittlez,fish1,roi2,2025-05-21,,,,,,,,,,,,,,,,,2025-05-21,,,X:\abcabc\Korra_Foundation\20250522_skittlez
/clusterfs/vast/abcabc/Korra_Foundation/20250522_skittlez/fish2/roi1,20250522_skittlez,fish2,roi1,2025-05-21,,,,,,,,,,,,,,,,,2025-05-21,,,X:\abcabc\Korra_Foundation\20250522_skittlez
/clusterfs/vast/abcabc/Korra_Foundation/20250522_skittlez/fish2/roi2,20250522_skittlez,fish2,roi2,2025-05-21,,,,,,,,,,,,,,,,,2025-05-21,,,X:\abcabc\Korra_Foundation\20250522_skittlez
/clusterfs/vast/abcabc/Korra_Foundation/20250522_skittlez/fish3/roi1,20250522_skittlez,fish3,roi1,2025-05-21,,,,,,,,,,,,,,,,,2025-05-21,,,X:\abcabc\Korra_Foundation\20250522_skittlez
/clusterfs/vast/abcabc/Korra_Foundation/20250522_skittlez/fish3/roi2,20250522_skittlez,fish3,roi2,2025-05-21,,,,,,,,,,,,,,,,,2025-05-21,,,X:\abcabc\Korra_Foundation\20250522_skittlez
/clusterfs/vast/abcabc/Korra_Foundation/20250522_skittlez/fish3/roi3,20250522_skittlez,fish3,roi3,2025-05-21,,,,,,,,,,,,,,,,,2025-05-21,,,X:\abcabc\Korra_Foundation\20250522_skittlez
/clusterfs/vast/abcabc/Korra_Foundation/20250522_skittlez/fish4/roi1,20250522_skittlez,fish4,roi1,2025-05-21,,,,,,,,,,,,,,,,,2025-05-21,,,X:\abcabc\Korra_Foundation\20250522_skittlez
/clusterfs/vast/abcabc/Korra_Foundation/20250522_skittlez/fish4/roi2,20250522_skittlez,fish4,roi2,2025-05-21,,,,,,,,,,,,,,,,,2025-05-21,,,X:\abcabc\Korra_Foundation\20250522_skittlez
/clusterfs/vast/abcabc/Korra_Foundation/20250522_skittlez/fish5/roi1,20250522_skittlez,fish5,roi1,2025-05-21,,,,,,,,,,,,,,,,,2025-05-21,,,X:\abcabc\Korra_Foundation\20250522_skittlez
/clusterfs/vast/abcabc/Korra_Foundation/20250522_skittlez/fish6/roi1,20250522_skittlez,fish6,roi1,2025-05-21,,,,,,,,,,,,,,,,,2025-05-21,,,X:\abcabc\Korra_Foundation\20250522_skittlez
/clusterfs/vast/abcabc/Korra_Foundation/20250522_skittlez/fish6/roi2,20250522_skittlez,fish6,roi2,2025-05-21,,,,,,,,,,,,,,,,,2025-05-21,,,X:\abcabc\Korra_Foundation\20250522_skittlez
/clusterfs/vast/abcabc/Korra_Foundation/20250522_skittlez/fish7/roi1,20250522_skittlez,fish7,roi1,2025-05-21,,,,,,,,,,,,,,,,,2025-05-21,,,X:\abcabc\Korra_Foundation\20250522_skittlez
/clusterfs/vast/abcabc/Korra_Foundation/20250522_skittlez/fish7/roi2,20250522_skittlez,fish7,roi2,2025-05-21,,,,,,,,,,,,,,,,,2025-05-21,,,X:\abcabc\Korra_Foundation\20250522_skittlez
/clusterfs/vast/abcabc/Korra_Foundation/20250522_skittlez/fish7/roi3,20250522_skittlez,fish7,roi3,2025-05-21,,,,,,,,,,,,,,,,,2025-05-21,,,X:\abcabc\Korra_Foundation\20250522_skittlez
/clusterfs/vast/abcabc/Korra_Foundation/20250522_skittlez/fish8/roi1,20250522_skittlez,fish8,roi1,2025-05-21,,,,,,,,,,,,,,,,,2025-05-21,,,X:\abcabc\Korra_Foundation\20250522_skittlez
/clusterfs/vast/abcabc/Korra_Foundation/20250522_skittlez/fish8/roi2,20250522_skittlez,fish8,roi2,2025-05-21,,,,,,,,,,,,,,,,,2025-05-21,,,X:\abcabc\Korra_Foundation\20250522_skittlez
/clusterfs/vast/abcabc/Korra_Foundation/20250522_skittlez/fish8/roi3,20250522_skittlez,fish8,roi3,2025-05-21,,,,,,,,,,,,,,,,,2025-05-21,,,X:\abcabc\Korra_Foundation\20250522_skittlez
/clusterfs/vast/abcabc/Korra_Foundation/20250522_skittlez/fish9/roi1,20250522_skittlez,fish9,roi1,2025-05-21,,,,,,,,,,,,,,,,,2025-05-21,,,X:\abcabc\Korra_Foundation\20250522_skittlez
/clusterfs/vast/abcabc/Korra_Foundation/20250528_skittlez/fish1/roi1,20250528_skittlez,fish1,roi1,2025-05-27,,,,,,,,,,,,,,,,,2025-05-27,,,X:\abcabc\Korra_Foundation\20250528_skittlez\fish1
