roi_dir,parent_female,parent_male,genotype_pretty,genotype_base_codes,genotype_allele_codes,genotype_marker_fluor_codes,genotype_marker_tag_codes,treatment_plasmid_base_codes,treatment_rna_base_codes,treatment_marker_fluor_codes,treatment_marker_tag_codes,all_marker_fluor_codes,date_born,plate_id_filled,slot_id_filled,roi_index_within_slot,roi_code
U:\Data\20240911_Korra_Foundation\20250206_mem_histone\fish2_24hpf_mChilada,casper/rnf,ef1a:2xLynk:tdmSG(J) (F1 of allele 301),pDQM005(301),pDQM005,pDQM005:301,"tdmSG,tdmStayGold",,,,,,"tdmSG,tdmStayGold",2025-02-05,SYN_20250206_plate1,SYN_20250206_plate1-slot1,1,SYN_20250206_plate1-slot1-roi01
U:\Data\20240911_Korra_Foundation\20250211_mem_histone\fish2_24hpf_mYH,casper/rnf,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),pDQM005(301),pDQM005,pDQM005:301,"tdmSG,tdmStayGold",,,,,,"tdmSG,tdmStayGold",2025-02-10,SYN_20250211_plate1,SYN_20250211_plate1-slot1,1,SYN_20250211_plate1-slot1-roi01
U:\Data\20240911_Korra_Foundation\20250211_mem_histone\fish3_24hpf_mchilada,casper/rnf,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),pDQM005(301),pDQM005,pDQM005:301,"tdmSG,tdmStayGold",,,,,,"tdmSG,tdmStayGold",2025-02-10,SYN_20250211_plate1,SYN_20250211_plate1-slot1,1,SYN_20250211_plate1-slot1-roi01
U:\Data\20240911_Korra_Foundation\20250211_mem_histone\fish4_24hpf_mYH,casper/rnf,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),pDQM005(301),pDQM005,pDQM005:301,"tdmSG,tdmStayGold",,,,,,"tdmSG,tdmStayGold",2025-02-10,SYN_20250211_plate1,SYN_20250211_plate1-slot1,1,SYN_20250211_plate1-slot1-roi01
U:\Data\20240911_Korra_Foundation\20250211_mem_histone\fish5_48hpf_mYH,casper/rnf,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),pDQM005(301),pDQM005,pDQM005:301,"tdmSG,tdmStayGold",,,,,,"tdmSG,tdmStayGold",2025-02-10,SYN_20250212_plate1,SYN_20250212_plate1-slot1,1,SYN_20250212_plate1-slot1-roi01
U:\Data\20240911_Korra_Foundation\20250211_mem_histone\fish6_48hpf_mchilada,casper/rnf,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),pDQM005(301),pDQM005,pDQM005:301,"tdmSG,tdmStayGold",,,,,,"tdmSG,tdmStayGold",2025-02-10,SYN_20250211_plate1,SYN_20250211_plate1-slot1,1,SYN_20250211_plate1-slot1-roi01
U:\Data\20240911_Korra_Foundation\20250211_mem_histone\fish7_48hpf_mYH,casper/rnf,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),pDQM005(301),pDQM005,pDQM005:301,"tdmSG,tdmStayGold",,,,,,"tdmSG,tdmStayGold",2025-02-10,SYN_20250212_plate1,SYN_20250212_plate1-slot1,1,SYN_20250212_plate1-slot1-roi01
U:\Data\20240911_Korra_Foundation\20250211_mem_histone\fish8_72hpf_mYH,casper/rnf,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),pDQM005(301),pDQM005,pDQM005:301,"tdmSG,tdmStayGold",,,,,,"tdmSG,tdmStayGold",2025-02-10,SYN_20250213_plate1,SYN_20250213_plate1-slot1,1,SYN_20250213_plate1-slot1-roi01
U:\Data\20240911_Korra_Foundation\20250218_mem_histone\fish1_24hpf_halo_jfx649,ef1a:H2B:Halo,ef1a:2xLynk:tdmSG(J) (F1 of allele 301),Swinburne(Swinburne)/pDQM005(301),"Swinburne,pDQM005","Swinburne:Swinburne,pDQM005:301","tdmSG,tdmStayGold",,,,,,"tdmSG,tdmStayGold",2025-02-17,SYN_20250218_plate1,SYN_20250218_plate1-slot1,1,SYN_20250218_plate1-slot1-roi01
U:\Data\20240911_Korra_Foundation\20250218_mem_histone\fish2_48hpf_halo_jfx649 (roi 3-9),ef1a:H2B:Halo,ef1a:2xLynk:tdmSG(J) (F1 of allele 301),Swinburne(Swinburne)/pDQM005(301),"Swinburne,pDQM005","Swinburne:Swinburne,pDQM005:301","tdmSG,tdmStayGold",,,,,,"tdmSG,tdmStayGold",2025-02-17,SYN_20250219_plate1,SYN_20250219_plate1-slot1,1,SYN_20250219_plate1-slot1-roi01
"U:\Data\20240911_Korra_Foundation\20250218_mem_histone\fish2_48hpf_halo_jfx649 (roi1,2,2-2)",ef1a:H2B:Halo,ef1a:2xLynk:tdmSG(J) (F1 of allele 301),Swinburne(Swinburne)/pDQM005(301),"Swinburne,pDQM005","Swinburne:Swinburne,pDQM005:301","tdmSG,tdmStayGold",,,,,,"tdmSG,tdmStayGold",2025-02-17,SYN_20250219_plate1,SYN_20250219_plate1-slot1,1,SYN_20250219_plate1-slot1-roi01
U:\Data\20240911_Korra_Foundation\20250218_mem_histone\fish3_72hpf_halo_jfx649,ef1a:H2B:Halo,ef1a:2xLynk:tdmSG(J) (F1 of allele 301),Swinburne(Swinburne)/pDQM005(301),"Swinburne,pDQM005","Swinburne:Swinburne,pDQM005:301","tdmSG,tdmStayGold",,,,,,"tdmSG,tdmStayGold",2025-02-17,SYN_20250220_plate1,SYN_20250220_plate1-slot1,1,SYN_20250220_plate1-slot1-roi01
U:\Data\20240911_Korra_Foundation\20250225_mem_histone\fish10_24hpf,casper/rnf,ef1a:2xLynk:tdmSG(J) (F1 of allele 301),pDQM005(301),pDQM005,pDQM005:301,"tdmSG,tdmStayGold",,,,,,"tdmSG,tdmStayGold",2025-02-26,SYN_20250227_plate1,SYN_20250227_plate1-slot1,1,SYN_20250227_plate1-slot1-roi01
U:\Data\20240911_Korra_Foundation\20250225_mem_histone\fish11_24hpf,casper/rnf,ef1a:2xLynk:tdmSG(J) (F1 of allele 301),pDQM005(301),pDQM005,pDQM005:301,"tdmSG,tdmStayGold",,,,,,"tdmSG,tdmStayGold",2025-02-26,SYN_20250227_plate1,SYN_20250227_plate1-slot1,1,SYN_20250227_plate1-slot1-roi01
U:\Data\20240911_Korra_Foundation\20250225_mem_histone\fish12_24hpf,casper/rnf,ef1a:2xLynk:tdmSG(J) (F1 of allele 301),pDQM005(301),pDQM005,pDQM005:301,"tdmSG,tdmStayGold",,,,,,"tdmSG,tdmStayGold",2025-02-26,SYN_20250227_plate1,SYN_20250227_plate1-slot1,1,SYN_20250227_plate1-slot1-roi01
U:\Data\20240911_Korra_Foundation\20250225_mem_histone\fish13_48hpf,casper/rnf,ef1a:2xLynk:tdmSG(J) (F1 of allele 301),pDQM005(301),pDQM005,pDQM005:301,"tdmSG,tdmStayGold",,,,,,"tdmSG,tdmStayGold",2025-02-26,SYN_20250228_plate1,SYN_20250228_plate1-slot1,1,SYN_20250228_plate1-slot1-roi01
U:\Data\20240911_Korra_Foundation\20250225_mem_histone\fish14_48hpf,casper/rnf,ef1a:2xLynk:tdmSG(J) (F1 of allele 301),pDQM005(301),pDQM005,pDQM005:301,"tdmSG,tdmStayGold",,,,,,"tdmSG,tdmStayGold",2025-02-26,SYN_20250228_plate1,SYN_20250228_plate1-slot1,1,SYN_20250228_plate1-slot1-roi01
U:\Data\20240911_Korra_Foundation\20250225_mem_histone\fish1_24hpf,casper/rnf,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),pDQM005(301),pDQM005,pDQM005:301,"tdmSG,tdmStayGold",,,,,,"tdmSG,tdmStayGold",2025-02-24,SYN_20250225_plate1,SYN_20250225_plate1-slot1,1,SYN_20250225_plate1-slot1-roi01
U:\Data\20240911_Korra_Foundation\20250225_mem_histone\fish2_24hpf,casper/rnf,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),pDQM005(301),pDQM005,pDQM005:301,"tdmSG,tdmStayGold",,,,,,"tdmSG,tdmStayGold",2025-02-24,SYN_20250225_plate1,SYN_20250225_plate1-slot1,1,SYN_20250225_plate1-slot1-roi01
U:\Data\20240911_Korra_Foundation\20250225_mem_histone\fish5_6_48hpf (roi1-2),casper/rnf,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),pDQM005(301),pDQM005,pDQM005:301,"tdmSG,tdmStayGold",,,,,,"tdmSG,tdmStayGold",2025-02-24,SYN_20250226_plate1,SYN_20250226_plate1-slot1,1,SYN_20250226_plate1-slot1-roi01
U:\Data\20240911_Korra_Foundation\20250225_mem_histone\fish5_6_48hpf (roi3-4),casper/rnf,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),pDQM005(301),pDQM005,pDQM005:301,"tdmSG,tdmStayGold",,,,,,"tdmSG,tdmStayGold",2025-02-24,SYN_20250226_plate1,SYN_20250226_plate1-slot1,1,SYN_20250226_plate1-slot1-roi01
U:\Data\20240911_Korra_Foundation\20250225_mem_histone\fish7_24hpf,casper/rnf,ef1a:2xLynk:tdmSG(J) (F1 of allele 301),pDQM005(301),pDQM005,pDQM005:301,"tdmSG,tdmStayGold",,,,,,"tdmSG,tdmStayGold",2025-02-26,SYN_20250227_plate1,SYN_20250227_plate1-slot1,1,SYN_20250227_plate1-slot1-roi01
U:\Data\20240911_Korra_Foundation\20250225_mem_histone\fish8_24hpf,casper/rnf,ef1a:2xLynk:tdmSG(J) (F1 of allele 301),pDQM005(301),pDQM005,pDQM005:301,"tdmSG,tdmStayGold",,,,,,"tdmSG,tdmStayGold",2025-02-26,SYN_20250227_plate1,SYN_20250227_plate1-slot1,1,SYN_20250227_plate1-slot1-roi01
