roi_dir,mount_dir_norm,date_experiment,date_mount,fish,roi_name,roi_rel,parent_female,parent_male,genotype_base_codes,genotype_allele_codes,genotype_marker_fusion_labels,genotype_marker_localizations,genotype_marker_fluor_loc_labels,genotype_marker_fusion_loc_labels,treatment_plasmid_base_codes,treatment_rna_base_codes,treatment_marker_fusion_labels,treatment_marker_localizations,treatment_marker_fluor_loc_labels,treatment_marker_fusion_loc_labels,all_unique_organelles,all_fluor_organelles
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish1/roi2,/abcabc/Korra_Foundation/20250513_skittles/fish1,20250513_skittles,,fish1,roi2,roi2,,,,,,,,,"pDQM034,pDQM036",,"Electra2,mCitrine,mKOK,mKate2,mTFP1",,"Electra2,mCitrine,mKOK,mKate2,mTFP1","Electra2,mCitrine,mKOK,mKate2,mTFP1",,"Electra2,mCitrine,mKOK,mKate2,mTFP1"
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish1/roi2_2,/abcabc/Korra_Foundation/20250513_skittles/fish1,20250513_skittles,,fish1,roi2_2,roi2_2,,,,,,,,,"pDQM034,pDQM036",,,,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish10/roi1,/abcabc/Korra_Foundation/20250513_skittles/fish10,20250513_skittles,,fish10,roi1,roi1,,,,,,,,,"pDQM034,pDQM036",,,,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish11/roi1,/abcabc/Korra_Foundation/20250513_skittles/fish11,20250513_skittles,,fish11,roi1,roi1,,,,,,,,,"pDQM034,pDQM036",,,,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish11/roi1_test,/abcabc/Korra_Foundation/20250513_skittles/fish11,20250513_skittles,,fish11,roi1_test,roi1_test,,,,,,,,,"pDQM034,pDQM036",,,,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish12/roi1,/abcabc/Korra_Foundation/20250513_skittles/fish12,20250513_skittles,,fish12,roi1,roi1,,,,,,,,,"pDQM034,pDQM036",,,,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish12/roi2,/abcabc/Korra_Foundation/20250513_skittles/fish12,20250513_skittles,,fish12,roi2,roi2,,,,,,,,,"pDQM034,pDQM036",,,,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish12/roi3,/abcabc/Korra_Foundation/20250513_skittles/fish12,20250513_skittles,,fish12,roi3,roi3,,,,,,,,,"pDQM034,pDQM036",,,,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish13/roi1,/abcabc/Korra_Foundation/20250513_skittles/fish13,20250513_skittles,,fish13,roi1,roi1,,,,,,,,,"pDQM034,pDQM036",,,,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish13/roi2,/abcabc/Korra_Foundation/20250513_skittles/fish13,20250513_skittles,,fish13,roi2,roi2,,,,,,,,,"pDQM034,pDQM036",,,,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish13/roi3,/abcabc/Korra_Foundation/20250513_skittles/fish13,20250513_skittles,,fish13,roi3,roi3,,,,,,,,,"pDQM034,pDQM036",,,,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish13/roi4,/abcabc/Korra_Foundation/20250513_skittles/fish13,20250513_skittles,,fish13,roi4,roi4,,,,,,,,,"pDQM034,pDQM036",,,,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish14/roi1_brain,/abcabc/Korra_Foundation/20250513_skittles/fish14,20250513_skittles,,fish14,roi1_brain,roi1_brain,,,,,,,,,"pDQM034,pDQM036",,,,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish14/roi2_tailbud,/abcabc/Korra_Foundation/20250513_skittles/fish14,20250513_skittles,,fish14,roi2_tailbud,roi2_tailbud,,,,,,,,,"pDQM034,pDQM036",,,,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish15/roi1,/abcabc/Korra_Foundation/20250513_skittles/fish15,20250513_skittles,,fish15,roi1,roi1,,,,,,,,,"pDQM034,pDQM036",,,,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish15/roi2,/abcabc/Korra_Foundation/20250513_skittles/fish15,20250513_skittles,,fish15,roi2,roi2,,,,,,,,,"pDQM034,pDQM036",,,,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish15/roi3,/abcabc/Korra_Foundation/20250513_skittles/fish15,20250513_skittles,,fish15,roi3,roi3,,,,,,,,,"pDQM034,pDQM036",,,,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish15/roi4,/abcabc/Korra_Foundation/20250513_skittles/fish15,20250513_skittles,,fish15,roi4,roi4,,,,,,,,,"pDQM034,pDQM036",,,,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish16/roi1_brain,/abcabc/Korra_Foundation/20250513_skittles/fish16,20250513_skittles,,fish16,roi1_brain,roi1_brain,,,,,,,,,"pDQM034,pDQM036",,,,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish2/roi1,/abcabc/Korra_Foundation/20250513_skittles/fish2,20250513_skittles,,fish2,roi1,roi1,,,,,,,,,"pDQM034,pDQM036",,,,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish2/roi2,/abcabc/Korra_Foundation/20250513_skittles/fish2,20250513_skittles,,fish2,roi2,roi2,,,,,,,,,"pDQM034,pDQM036",,,,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish3/roi1,/abcabc/Korra_Foundation/20250513_skittles/fish3,20250513_skittles,,fish3,roi1,roi1,,,,,,,,,"pDQM034,pDQM036",,,,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish3/roi2,/abcabc/Korra_Foundation/20250513_skittles/fish3,20250513_skittles,,fish3,roi2,roi2,,,,,,,,,"pDQM034,pDQM036",,,,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish3/roi3,/abcabc/Korra_Foundation/20250513_skittles/fish3,20250513_skittles,,fish3,roi3,roi3,,,,,,,,,"pDQM034,pDQM036",,,,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish3/roi4,/abcabc/Korra_Foundation/20250513_skittles/fish3,20250513_skittles,,fish3,roi4,roi4,,,,,,,,,"pDQM034,pDQM036",,,,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish4/roi1,/abcabc/Korra_Foundation/20250513_skittles/fish4,20250513_skittles,,fish4,roi1,roi1,,,,,,,,,"pDQM034,pDQM036",,,,,,,
