date_experiment,fish,roi_rel,roi_name,roi_tiffs,roi_dir,dataset,mount_dir_norm,date_mount,mount_id,ZF female genotype,ZF male genotype,additional plasmids injected,additional mRNAs injected,additonal proteins injected,additonal dye and chemicals,Date born,Time mounted,Mounting Orientation,Date screened/Initial feedback,Date imaged,Time placed in scope,Start of imaging time,End of imaging time,Imaged Locations,Unique Targets with blanks,Unique Targets,Data location,parent_female,parent_male,roi_dir_norm,mother_fish_manual,father_fish_manual,injection plasmid,manual_injection_plasmid_codes,genotype_base_codes,genotype_allele_codes,treatment_plasmid_base_codes,treatment_rna_base_codes,treatment_rna_mapping_ambiguous,genotype_marker_fluor_codes,genotype_marker_tag_codes,genotype_marker_fusion_labels,genotype_marker_localizations,genotype_marker_fluor_loc_labels,genotype_marker_fusion_loc_labels,treatment_marker_fluor_codes,treatment_marker_tag_codes,treatment_marker_fusion_labels,treatment_marker_localizations,treatment_marker_fluor_loc_labels,treatment_marker_fusion_loc_labels,genotype_marker_localizations_norm,treatment_marker_localizations_norm,all_unique_organelles,all_fluor_organelles,n_genotype_fusions,n_treatment_fusions,n_total_fusions,n_total_fluor_locs,n_unique_organelles,n_genotype_tags,n_treatment_tags,n_total_tags,fusion_labels_inferred_from_folder
20250513_skittles,fish13,roi2,roi2,18,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish13/roi2,korra,/abcabc/Korra_Foundation/20250513_skittles/fish13,,,,,,,,,,,,,,,,,,,,,,,/abcabc/Korra_Foundation/20250513_skittles/fish13/roi2,nan,nan,nan,,,,"pDQM034,pDQM036",,False,,,,,,,,,,,,,[],[],,,0,0,0,0,0,0,0,0,
20250513_skittles,fish13,roi3,roi3,18,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish13/roi3,korra,/abcabc/Korra_Foundation/20250513_skittles/fish13,,,,,,,,,,,,,,,,,,,,,,,/abcabc/Korra_Foundation/20250513_skittles/fish13/roi3,nan,nan,nan,,,,"pDQM034,pDQM036",,False,,,,,,,,,,,,,[],[],,,0,0,0,0,0,0,0,0,
20250513_skittles,fish13,roi4,roi4,18,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish13/roi4,korra,/abcabc/Korra_Foundation/20250513_skittles/fish13,,,,,,,,,,,,,,,,,,,,,,,/abcabc/Korra_Foundation/20250513_skittles/fish13/roi4,nan,nan,nan,,,,"pDQM034,pDQM036",,False,,,,,,,,,,,,,[],[],,,0,0,0,0,0,0,0,0,
20250513_skittles,fish14,roi1_brain,roi1_brain,36,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish14/roi1_brain,korra,/abcabc/Korra_Foundation/20250513_skittles/fish14,,,,,,,,,,,,,,,,,,,,,,,/abcabc/Korra_Foundation/20250513_skittles/fish14/roi1_brain,nan,nan,nan,,,,"pDQM034,pDQM036",,False,,,,,,,,,,,,,[],[],,,0,0,0,0,0,0,0,0,
20250513_skittles,fish14,roi2_tailbud,roi2_tailbud,18,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish14/roi2_tailbud,korra,/abcabc/Korra_Foundation/20250513_skittles/fish14,,,,,,,,,,,,,,,,,,,,,,,/abcabc/Korra_Foundation/20250513_skittles/fish14/roi2_tailbud,nan,nan,nan,,,,"pDQM034,pDQM036",,False,,,,,,,,,,,,,[],[],,,0,0,0,0,0,0,0,0,
20250513_skittles,fish15,roi1,roi1,18,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish15/roi1,korra,/abcabc/Korra_Foundation/20250513_skittles/fish15,,,,,,,,,,,,,,,,,,,,,,,/abcabc/Korra_Foundation/20250513_skittles/fish15/roi1,nan,nan,nan,,,,"pDQM034,pDQM036",,False,,,,,,,,,,,,,[],[],,,0,0,0,0,0,0,0,0,
20250513_skittles,fish15,roi2,roi2,18,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish15/roi2,korra,/abcabc/Korra_Foundation/20250513_skittles/fish15,,,,,,,,,,,,,,,,,,,,,,,/abcabc/Korra_Foundation/20250513_skittles/fish15/roi2,nan,nan,nan,,,,"pDQM034,pDQM036",,False,,,,,,,,,,,,,[],[],,,0,0,0,0,0,0,0,0,
20250513_skittles,fish15,roi3,roi3,18,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish15/roi3,korra,/abcabc/Korra_Foundation/20250513_skittles/fish15,,,,,,,,,,,,,,,,,,,,,,,/abcabc/Korra_Foundation/20250513_skittles/fish15/roi3,nan,nan,nan,,,,"pDQM034,pDQM036",,False,,,,,,,,,,,,,[],[],,,0,0,0,0,0,0,0,0,
20250513_skittles,fish15,roi4,roi4,18,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish15/roi4,korra,/abcabc/Korra_Foundation/20250513_skittles/fish15,,,,,,,,,,,,,,,,,,,,,,,/abcabc/Korra_Foundation/20250513_skittles/fish15/roi4,nan,nan,nan,,,,"pDQM034,pDQM036",,False,,,,,,,,,,,,,[],[],,,0,0,0,0,0,0,0,0,
20250513_skittles,fish16,roi1_brain,roi1_brain,18,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish16/roi1_brain,korra,/abcabc/Korra_Foundation/20250513_skittles/fish16,,,,,,,,,,,,,,,,,,,,,,,/abcabc/Korra_Foundation/20250513_skittles/fish16/roi1_brain,nan,nan,nan,,,,"pDQM034,pDQM036",,False,,,,,,,,,,,,,[],[],,,0,0,0,0,0,0,0,0,
20250513_skittles,fish2,roi1,roi1,17,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish2/roi1,korra,/abcabc/Korra_Foundation/20250513_skittles/fish2,,,,,,,,,,,,,,,,,,,,,,,/abcabc/Korra_Foundation/20250513_skittles/fish2/roi1,nan,nan,nan,,,,"pDQM034,pDQM036",,False,,,,,,,,,,,,,[],[],,,0,0,0,0,0,0,0,0,
20250513_skittles,fish2,roi2,roi2,10,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish2/roi2,korra,/abcabc/Korra_Foundation/20250513_skittles/fish2,,,,,,,,,,,,,,,,,,,,,,,/abcabc/Korra_Foundation/20250513_skittles/fish2/roi2,nan,nan,nan,,,,"pDQM034,pDQM036",,False,,,,,,,,,,,,,[],[],,,0,0,0,0,0,0,0,0,
20250513_skittles,fish3,roi1,roi1,72,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish3/roi1,korra,/abcabc/Korra_Foundation/20250513_skittles/fish3,,,,,,,,,,,,,,,,,,,,,,,/abcabc/Korra_Foundation/20250513_skittles/fish3/roi1,nan,nan,nan,,,,"pDQM034,pDQM036",,False,,,,,,,,,,,,,[],[],,,0,0,0,0,0,0,0,0,
20250513_skittles,fish3,roi2,roi2,36,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish3/roi2,korra,/abcabc/Korra_Foundation/20250513_skittles/fish3,,,,,,,,,,,,,,,,,,,,,,,/abcabc/Korra_Foundation/20250513_skittles/fish3/roi2,nan,nan,nan,,,,"pDQM034,pDQM036",,False,,,,,,,,,,,,,[],[],,,0,0,0,0,0,0,0,0,
20250513_skittles,fish3,roi3,roi3,36,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish3/roi3,korra,/abcabc/Korra_Foundation/20250513_skittles/fish3,,,,,,,,,,,,,,,,,,,,,,,/abcabc/Korra_Foundation/20250513_skittles/fish3/roi3,nan,nan,nan,,,,"pDQM034,pDQM036",,False,,,,,,,,,,,,,[],[],,,0,0,0,0,0,0,0,0,
20250513_skittles,fish3,roi4,roi4,36,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish3/roi4,korra,/abcabc/Korra_Foundation/20250513_skittles/fish3,,,,,,,,,,,,,,,,,,,,,,,/abcabc/Korra_Foundation/20250513_skittles/fish3/roi4,nan,nan,nan,,,,"pDQM034,pDQM036",,False,,,,,,,,,,,,,[],[],,,0,0,0,0,0,0,0,0,
20250513_skittles,fish4,roi1,roi1,38,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish4/roi1,korra,/abcabc/Korra_Foundation/20250513_skittles/fish4,,,,,,,,,,,,,,,,,,,,,,,/abcabc/Korra_Foundation/20250513_skittles/fish4/roi1,nan,nan,nan,,,,"pDQM034,pDQM036",,False,,,,,,,,,,,,,[],[],,,0,0,0,0,0,0,0,0,
20250513_skittles,fish4,roi2,roi2,72,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish4/roi2,korra,/abcabc/Korra_Foundation/20250513_skittles/fish4,,,,,,,,,,,,,,,,,,,,,,,/abcabc/Korra_Foundation/20250513_skittles/fish4/roi2,nan,nan,nan,,,,"pDQM034,pDQM036",,False,,,,,,,,,,,,,[],[],,,0,0,0,0,0,0,0,0,
20250513_skittles,fish4,roi3,roi3,36,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish4/roi3,korra,/abcabc/Korra_Foundation/20250513_skittles/fish4,,,,,,,,,,,,,,,,,,,,,,,/abcabc/Korra_Foundation/20250513_skittles/fish4/roi3,nan,nan,nan,,,,"pDQM034,pDQM036",,False,,,,,,,,,,,,,[],[],,,0,0,0,0,0,0,0,0,
20250513_skittles,fish5,roi1,roi1,186,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish5/roi1,korra,/abcabc/Korra_Foundation/20250513_skittles/fish5,,,,,,,,,,,,,,,,,,,,,,,/abcabc/Korra_Foundation/20250513_skittles/fish5/roi1,nan,nan,nan,,,,"pDQM034,pDQM036",,False,,,,,,,,,,,,,[],[],,,0,0,0,0,0,0,0,0,
20250513_skittles,fish5,roi2,roi2,36,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish5/roi2,korra,/abcabc/Korra_Foundation/20250513_skittles/fish5,,,,,,,,,,,,,,,,,,,,,,,/abcabc/Korra_Foundation/20250513_skittles/fish5/roi2,nan,nan,nan,,,,"pDQM034,pDQM036",,False,,,,,,,,,,,,,[],[],,,0,0,0,0,0,0,0,0,
