date_experiment,fish,roi_rel,roi_name,roi_tiffs,roi_dir,dataset,mount_dir_norm,date_mount,mount_id,ZF female genotype,ZF male genotype,additional plasmids injected,additional mRNAs injected,additonal proteins injected,additonal dye and chemicals,Date born,Time mounted,Mounting Orientation,Date screened/Initial feedback,Date imaged,Time placed in scope,Start of imaging time,End of imaging time,Imaged Locations,Unique Targets with blanks,Unique Targets,Data location,parent_female,parent_male,roi_dir_norm,mother_fish_manual,father_fish_manual,injection plasmid,manual_injection_plasmid_codes,genotype_base_codes,genotype_allele_codes,treatment_plasmid_base_codes,treatment_rna_base_codes,treatment_rna_mapping_ambiguous,genotype_marker_fluor_codes,genotype_marker_tag_codes,genotype_marker_fusion_labels,genotype_marker_localizations,genotype_marker_fluor_loc_labels,genotype_marker_fusion_loc_labels,treatment_marker_fluor_codes,treatment_marker_tag_codes,treatment_marker_fusion_labels,treatment_marker_localizations,treatment_marker_fluor_loc_labels,treatment_marker_fusion_loc_labels,genotype_marker_localizations_norm,treatment_marker_localizations_norm,all_unique_organelles,all_fluor_organelles,n_genotype_fusions,n_treatment_fusions,n_total_fusions,n_total_fluor_locs,n_unique_organelles,n_genotype_tags,n_treatment_tags,n_total_tags,fusion_labels_inferred_from_folder
20250513_skittles,fish1,roi1,roi1,42,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish1/roi1,korra,/abcabc/Korra_Foundation/20250513_skittles/fish1,,,,,,,,,,,,,,,,,,,,,,,/abcabc/Korra_Foundation/20250513_skittles/fish1/roi1,nan,nan,nan,,,,"pDQM034,pDQM036",,False,,,,,,,,,,,,,[],[],,,0,0,0,0,0,0,0,0,
20250513_skittles,fish1,roi2,roi2,38,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish1/roi2,korra,/abcabc/Korra_Foundation/20250513_skittles/fish1,,,,,,,,,,,,,,,,,,,,,,,/abcabc/Korra_Foundation/20250513_skittles/fish1/roi2,nan,nan,"pDQM034,pDQM036","pDQM034,pDQM036",,,"pDQM034,pDQM036",,False,,,,,,,"Electra2,mCitrine,mKOK,mKate2,mTFP1",,"Electra2,mCitrine,mKOK,mKate2,mTFP1",,"Electra2,mCitrine,mKOK,mKate2,mTFP1","Electra2,mCitrine,mKOK,mKate2,mTFP1",[],[],,"Electra2,mCitrine,mKOK,mKate2,mTFP1",0,5,5,5,0,0,0,0,
20250513_skittles,fish1,roi2_2,roi2_2,18,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish1/roi2_2,korra,/abcabc/Korra_Foundation/20250513_skittles/fish1,,,,,,,,,,,,,,,,,,,,,,,/abcabc/Korra_Foundation/20250513_skittles/fish1/roi2_2,nan,nan,nan,,,,"pDQM034,pDQM036",,False,,,,,,,,,,,,,[],[],,,0,0,0,0,0,0,0,0,
20250513_skittles,fish10,roi1,roi1,240,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish10/roi1,korra,/abcabc/Korra_Foundation/20250513_skittles/fish10,,,,,,,,,,,,,,,,,,,,,,,/abcabc/Korra_Foundation/20250513_skittles/fish10/roi1,nan,nan,nan,,,,"pDQM034,pDQM036",,False,,,,,,,,,,,,,[],[],,,0,0,0,0,0,0,0,0,
20250513_skittles,fish11,roi1,roi1,240,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish11/roi1,korra,/abcabc/Korra_Foundation/20250513_skittles/fish11,,,,,,,,,,,,,,,,,,,,,,,/abcabc/Korra_Foundation/20250513_skittles/fish11/roi1,nan,nan,nan,,,,"pDQM034,pDQM036",,False,,,,,,,,,,,,,[],[],,,0,0,0,0,0,0,0,0,
20250513_skittles,fish11,roi1_test,roi1_test,4,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish11/roi1_test,korra,/abcabc/Korra_Foundation/20250513_skittles/fish11,,,,,,,,,,,,,,,,,,,,,,,/abcabc/Korra_Foundation/20250513_skittles/fish11/roi1_test,nan,nan,nan,,,,"pDQM034,pDQM036",,False,,,,,,,,,,,,,[],[],,,0,0,0,0,0,0,0,0,
20250513_skittles,fish12,roi1,roi1,18,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish12/roi1,korra,/abcabc/Korra_Foundation/20250513_skittles/fish12,,,,,,,,,,,,,,,,,,,,,,,/abcabc/Korra_Foundation/20250513_skittles/fish12/roi1,nan,nan,nan,,,,"pDQM034,pDQM036",,False,,,,,,,,,,,,,[],[],,,0,0,0,0,0,0,0,0,
20250513_skittles,fish12,roi2,roi2,18,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish12/roi2,korra,/abcabc/Korra_Foundation/20250513_skittles/fish12,,,,,,,,,,,,,,,,,,,,,,,/abcabc/Korra_Foundation/20250513_skittles/fish12/roi2,nan,nan,nan,,,,"pDQM034,pDQM036",,False,,,,,,,,,,,,,[],[],,,0,0,0,0,0,0,0,0,
20250513_skittles,fish12,roi3,roi3,18,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish12/roi3,korra,/abcabc/Korra_Foundation/20250513_skittles/fish12,,,,,,,,,,,,,,,,,,,,,,,/abcabc/Korra_Foundation/20250513_skittles/fish12/roi3,nan,nan,nan,,,,"pDQM034,pDQM036",,False,,,,,,,,,,,,,[],[],,,0,0,0,0,0,0,0,0,
20250513_skittles,fish13,roi1,roi1,18,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish13/roi1,korra,/abcabc/Korra_Foundation/20250513_skittles/fish13,,,,,,,,,,,,,,,,,,,,,,,/abcabc/Korra_Foundation/20250513_skittles/fish13/roi1,nan,nan,nan,,,,"pDQM034,pDQM036",,False,,,,,,,,,,,,,[],[],,,0,0,0,0,0,0,0,0,
