date_mount,date_mount_yyyymmdd,sheet_row_index,mount_id,Data location,mount_key,slot_index_global,plateN,slotM,plate_id_filled,slot_id_filled
2025-03-03,20250303,190,,U:\Data\20240911_Korra_Foundation\20250303_mem_histone\fish2_72hpf,fish2_72hpf,2,1,2,20250303-plate1,20250303-plate1-slot2
2025-03-03,20250303,191,,U:\Data\20240911_Korra_Foundation\20250303_mem_histone\fish3_72hpf,fish3_72hpf,3,1,3,20250303-plate1,20250303-plate1-slot3
2025-03-04,20250304,187,,U:\Data\20240911_Korra_Foundation\20250303_mem_histone\fish4_24hpf,fish4_24hpf,1,1,1,20250304-plate1,20250304-plate1-slot1
2025-03-04,20250304,188,,U:\Data\20240911_Korra_Foundation\20250303_mem_histone\fish5_24hpf,fish5_24hpf,2,1,2,20250304-plate1,20250304-plate1-slot2
2025-03-05,20250305,184,,U:\Data\20240911_Korra_Foundation\20250303_mem_histone\fish6_48hpf,fish6_48hpf,1,1,1,20250305-plate1,20250305-plate1-slot1
2025-03-05,20250305,185,,U:\Data\20240911_Korra_Foundation\20250303_mem_histone\fish7_48hpf,fish7_48hpf,2,1,2,20250305-plate1,20250305-plate1-slot2
2025-03-05,20250305,186,,U:\Data\20240911_Korra_Foundation\20250303_mem_histone\fish8_48hpf,fish8_48hpf,3,1,3,20250305-plate1,20250305-plate1-slot3
2025-03-06,20250306,181,,U:\Data\20240911_Korra_Foundation\20250303_mem_histone\fish9_48hpf,fish9_48hpf,1,1,1,20250306-plate1,20250306-plate1-slot1
2025-03-06,20250306,182,,U:\Data\20240911_Korra_Foundation\20250303_mem_histone\fish10_48hpf,fish10_48hpf,2,1,2,20250306-plate1,20250306-plate1-slot2
2025-03-06,20250306,183,,U:\Data\20240911_Korra_Foundation\20250306_skittle_mem-mSG\fish1_24hpf,fish1_24hpf,3,1,3,20250306-plate1,20250306-plate1-slot3
2025-03-07,20250307,180,,U:\Data\20240911_Korra_Foundation\20250307_mem_histone\fish1_24hpf,fish1_24hpf,1,1,1,20250307-plate1,20250307-plate1-slot1
2025-03-10,20250310,179,,U:\Data\20240911_Korra_Foundation\20250310_mem,20250310_mem,1,1,1,20250310-plate1,20250310-plate1-slot1
2025-03-11,20250311,177,,U:\Data\20240911_Korra_Foundation\20250311_mem_histone\fish1_24hpf,fish1_24hpf,1,1,1,20250311-plate1,20250311-plate1-slot1
2025-03-11,20250311,178,,U:\Data\20240911_Korra_Foundation\20250311_mem_histone\fish2_24hpf,fish2_24hpf,2,1,2,20250311-plate1,20250311-plate1-slot2
2025-03-12,20250312,174,,U:\Data\20240911_Korra_Foundation\20250311_mem_histone\fish3_48hpf,fish3_48hpf,1,1,1,20250312-plate1,20250312-plate1-slot1
2025-03-12,20250312,175,,U:\Data\20240911_Korra_Foundation\20250311_mem_histone\fish4_72hpf,fish4_72hpf,2,1,2,20250312-plate1,20250312-plate1-slot2
2025-03-12,20250312,176,,U:\Data\20240911_Korra_Foundation\20250311_mem_histone\fish5_72hpf,fish5_72hpf,3,1,3,20250312-plate1,20250312-plate1-slot3
2025-03-13,20250313,172,,U:\Data\20240911_Korra_Foundation\20250313_mSG_skittles\fish1_24hpf,fish1_24hpf,1,1,1,20250313-plate1,20250313-plate1-slot1
2025-03-13,20250313,173,,U:\Data\20240911_Korra_Foundation\20250313_mSG_skittles\fish2_24hpf,fish2_24hpf,2,1,2,20250313-plate1,20250313-plate1-slot2
