mount_id,date_mount,zf_female_genotype_text,zf_male_genotype_text,additional_plasmids_raw,additional_rnas_raw,additional_proteins_raw,additional_dyes_raw,imaged_locations_raw,data_location,notes
nan,2025-06-17,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),nan,mScarlet3-S2:H2B,nan,nan,"ear, muscle, skin, brain, hindbrain",X:\abcabc\Korra_Foundation\20250616_mem-histone\fish_24hpf,
nan,2025-06-16,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),nan,mScarlet3-S2:H2B,nan,nan,"ear, muscle, skin, blood vessel",X:\abcabc\Korra_Foundation\20250616_mem-histone\fish1,
nan,2025-06-13,Jim (F2 of allele 316),Dennis (F2 of allele 318),nan,"phiC-NLS, 2xLynk:mSG",this cross is very good,nan,"spinal_cord, skin, muscle, hindbrain, brain, tail, ear, eye",X:\abcabc\Korra_Foundation\20250613_skittlez,
nan,2025-06-12,Dennis (F2 of allele 318),Abe (F2 of allele 309),nan,"phiC-NLS, 2xLynk:mSG",nan,nan,"spinal_cord, skin, muscle, hindbrain, brain, tail, ear",X:\abcabc\Korra_Foundation\20250612_skittlez,
nan,2025-06-10,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),nan,mScarlet3-S2:H2B,nan,nan,"brain, eye, tail",X:\abcabc\Korra_Foundation\20250609_mem-histone\fish2_24hpf_roi1-2,
nan,2025-06-10,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),nan,mScarlet3-S2:H2B,nan,nan,"spinal_cord, skin, muscle, hindbrain, brain, notochord",X:\abcabc\Korra_Foundation\20250609_mem-histone\fish3-6\,
nan,2025-06-09,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),nan,mScarlet3-S2:H2B,nan,nan,"spinal_cord, skin, muscle, hindbrain, tail, neuromast, blood vessel",X:\abcabc\Korra_Foundation\20250609_mem-histone\fish11_72hpf_roi1,
nan,2025-06-06,Jim (F2 of allele 316),Ben (F2 of allele 310),nan,"phiC-NLS, 2xLynk:mSG",nan,nan,"spinal_cord, skin, muscle, hindbrain, brain, eye, tail",X:\abcabc\Korra_Foundation\20250606_skittlez,
nan,2025-06-05,Dennis (F2 of allele 318),Abe (F2 of allele 309),nan,"phiC-NLS, 2xLynk:mSG",nan,nan,"spinal_cord, skin, muscle, hindbrain, brain, eye, tail",X:\abcabc\Korra_Foundation\20250605_skittlez,
nan,2025-06-03,Liam (F2 of allele 321),Chris (F1 of allele 317),nan,"phiC-NLS, 2xLynk:mSG",nan,nan,"spinal_cord, skin, muscle, hindbrain, brain, tail",X:\abcabc\Korra_Foundation\20250603_skittlez,
nan,2025-06-02,casper/rnf,ef1a:2xLynk:tdmSG(J) (F2 of allele 302),nan,nan,nan,nan,"spinal_cord, skin, muscle, neuromast, notochord, blood vessel",X:\abcabc\Korra_Foundation\20250602_mem,
nan,2025-05-30,ef1a:2xLynk:tdmSG(J) (F2 of allele 302),ef1a:2xLynk:tdmSG(J) (F2 of allele 302),nan,mScarlet3-S2:H2B,nan,nan,"spinal_cord, skin, muscle, hindbrain, tail, neuromast",X:\abcabc\Korra_Foundation\20250530_mem-histone\,
nan,2025-05-29,ef1a:2xLynk:tdmSG(J) (F2 of allele 302),ef1a:2xLynk:tdmSG(J) (F2 of allele 302),nan,mScarlet3-S2:H2B,nan,nan,"spinal_cord, skin, muscle, hindbrain",X:\abcabc\Korra_Foundation\20250528_mem-histone\fish1,
nan,2025-05-29,Jim (F2 of allele 316),Ben (F2 of allele 310),nan,"phiC-NLS, 2xLynk:mSG, mChilada:H2B",nan,nan,"spinal_cord, skin, muscle, hindbrain, notochord, brain, tail, eye",X:\abcabc\Korra_Foundation\20250529_skittlez,
nan,2025-05-28,nan,nan,nan,nan,nan,nan,skittles test,X:\abcabc\Korra_Foundation\20250528_skittlez\fish1,
nan,2025-05-28,ef1a:2xLynk:tdmSG(J) (F2 of allele 302),ef1a:2xLynk:tdmSG(J) (F2 of allele 302),nan,mScarlet3-S2:H2B,nan,nan,"skin, brain",X:\abcabc\Korra_Foundation\20250528_mem-histone\fish2,
nan,2025-05-28,ef1a:2xLynk:tdmSG(J) (F2 of allele 302),ef1a:2xLynk:tdmSG(J) (F2 of allele 302),nan,mScarlet3-S2:H2B,nan,nan,"spinal_cord, skin, muscle, hindbrain",X:\abcabc\Korra_Foundation\20250528_mem-histone\fish3,
nan,2025-05-23,ef1a:2xLynk:tdmSG(J) (F2 of allele 302),ef1a:2xLynk:tdmSG(J) (F2 of allele 302),nan,mScarlet3-S2:H2B,nan,nan,"skin, hindbrain, ear, brain, notochord",X:\abcabc\Korra_Foundation\20250523_mem_histone\fish5,
nan,2025-05-23,ef1a:2xLynk:tdmSG(J) (F2 of allele 302),ef1a:2xLynk:tdmSG(J) (F2 of allele 302),nan,mScarlet3-S2:H2B,nan,nan,"spinal_cord, skin, muscle, hindbrain, notochord, brain, tail",X:\abcabc\Korra_Foundation\20250523_mem_histone\fish1-4,
nan,2025-05-22,nan,nan,nan,nan,nan,nan,"spinal_cord, skin, muscle, tail, hindbrain, ear, brain, notochord",X:\abcabc\Korra_Foundation\20250522_skittlez,
nan,2025-05-21,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),nan,mScarlet3-S2:H2B,nan,nan,"skin, muscle, spinal_cord, notochord",X:\abcabc\Korra_Foundation\20250520_mem_histone\fish2,
nan,2025-05-21,Dennis (F2 of allele 318),Abe (F2 of allele 309),nan,phiC-NLS,nan,nan,skittles test,X:\abcabc\Korra_Foundation\20250521_skittles_no-membrane,
nan,2025-05-20,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),nan,mScarlet3-S2:H2B,nan,nan,"skin, muscle, tail",X:\abcabc\Korra_Foundation\20250520_mem_histone\fish4,
nan,2025-05-20,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),nan,mScarlet3-S2:H2B,nan,nan,"skin, muscle, tail",X:\abcabc\Korra_Foundation\20250520_mem_histone\fish5,
nan,2025-05-20,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),nan,mScarlet3-S2:H2B,nan,nan,"skin, muscle, tail, hindbrain, spinal_cord",X:\abcabc\Korra_Foundation\20250520_mem_histone\fish2,
nan,2025-05-15,nan,nan,nan,phiC-NLS,nan,nan,"spinal_cord, skin, muscle, tail, hindbrain, ear",X:\abcabc\Korra_Foundation\20250513_skittles (fish12-16),
nan,2025-05-14,nan,nan,nan,phiC-NLS,nan,nan,"spinal_cord, skin, muscle, tail","X:\abcabc\Korra_Foundation\20250513_skittles (fish4,5)",
nan,2025-05-13,nan,nan,nan,phiC-NLS,nan,nan,"spinal_cord, skin, muscle, tail",X:\abcabc\Korra_Foundation\20250513_skittles(fish1-3),
nan,2025-05-09,casper/rnf,casper/rnf,nan,"2xLynk:mChilada, 2xLynk:mSG, Lifeact:Halo",nan,nan,"spinal_cord, skin, muscle, tail",X:\abcabc\Korra_Foundation\20250505_fish_transplant\0509_fish1_transmSG_lifeactHalo,
nan,2025-05-09,casper/rnf,casper/rnf,nan,"2xLynk:mChilada, 2xLynk:mSG, Lifeact:Halo",nan,nan,"spinal_cord, skin, muscle, tail",nan,
nan,2025-05-08,casper/rnf,casper/rnf,nan,"2xLynk:mChilada, 2xLynk:mSG",nan,nan,"spinal_cord, skin, muscle, tail",X:\abcabc\Korra_Foundation\20250505_fish_transplant\0508_fish1_mem-mchilada_transmSG,
nan,2025-05-08,casper/rnf,casper/rnf,nan,"2xLynk:mChilada, 2xLynk:mSG",nan,nan,"spinal_cord, skin, muscle, tail",X:\abcabc\Korra_Foundation\20250505_fish_transplant\0508_fish2_mem-mchilada_transmSG,
nan,2025-05-07,casper/rnf,casper/rnf,nan,"Lifeact:Halo, 2xLynk:mSG",nan,nan,"spinal_cord, skin, muscle, tail",X:\abcabc\Korra_Foundation\20250505_fish_transplant\0507_fish1_mchilada_mitoHalo_transmSG,
nan,2025-05-06,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),nan,"LAMP1:mSG, 2xLynk:mScarlet3-S2",nan,nan,"spinal_cord, skin, muscle, tail",X:\abcabc\Korra_Foundation\20250505_fish_transplant\0506_fish1_memSG_lamp-SG_transmSC_14somite,
nan,2025-05-06,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),nan,"Vimentin:Halo, 2xLynk:mScarlet3-S2",nan,nan,"spinal_cord, skin, muscle, tail",X:\abcabc\Korra_Foundation\20250505_fish_transplant\0506_fish2_memSG_vemHalo_transmSC,
nan,2025-05-05,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),nan,mScarlet3-S2:H2B,nan,nan,"spinal_cord, skin, muscle, tail",X:\abcabc\Korra_Foundation\20250505_fish_transplant\0505_fish1_14somite,
nan,2025-05-01,membrane Halo,membrane Halo,ef1a:mGold2s,nan,nan,nan,"hindbrain, spinal_cord, skin, muscle, notochord, blood vessel",X:\abcabc\Korra_Foundation\20250429_mem_cytosol\fish4_mem-halo_48hpf,
nan,2025-04-30,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:mGold2s,nan,nan,nan,"hindbrain, spinal_cord, skin, muscle",X:\abcabc\Korra_Foundation\20250429_mem_cytosol\fish2_48hpf,
nan,2025-04-30,membrane Halo,membrane Halo,ef1a:mGold2s,nan,nan,nan,"spinal_cord, skin, muscle, notochord, hindbrain",X:\abcabc\Korra_Foundation\20250429_mem_cytosol\fish3_mem-halo_24hpf,
nan,2025-04-29,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:mGold2s,nan,nan,nan,brain,X:\abcabc\Korra_Foundation\20250429_mem_cytosol\fish1_24hpf,
nan,2025-04-28,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),nan,mScarlet3-S2:H2B,nan,nan,"spinal_cord, skin, muscle, tail, notochord, hindbrain, blood vessel",X:\abcabc\Korra_Foundation\20250428_mem_histone\fish1_72hpf,
nan,2025-04-24,casper/rnf,casper/rnf,ef1a:mGold2s,nan,nan,nan,nan,U:\Data\20240911_Korra_Foundation\20250424_mGold2_cytosolic,
nan,2025-04-24,casper/rnf,casper/rnf,ef1a:mGold2t,nan,nan,nan,nan,U:\Data\20240911_Korra_Foundation\20250424_mGold2_cytosolic,
nan,2025-04-24,casper/rnf,casper/rnf,ef1a:mGold2t,nan,nan,nan,"hindbrain, spinal_cord, skin, muscle, notochord, tail",U:\Data\20240911_Korra_Foundation\20250424_mGold2_cytosolic\141_largeFOV,
nan,2025-04-23,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),nan,mScarlet3-S2:H2B,nan,nan,"spinal_cord, skin, muscle, notochord, tail",U:\Data\20240911_Korra_Foundation\20250421_mem_histone\fish4_48hpf,
nan,2025-04-22,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),nan,mScarlet3-S2:H2B,nan,nan,"hindbrain, spinal_cord, skin, muscle, notochord",U:\Data\20240911_Korra_Foundation\20250421_mem_histone\fish2_24hpf,
nan,2025-04-22,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),nan,mScarlet3-S2:H2B,nan,nan,"hindbrain, spinal_cord, skin, muscle, notochord, tail",U:\Data\20240911_Korra_Foundation\20250421_mem_histone\fish3_24hpf,
nan,2025-04-21,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),nan,mScarlet3-S2:H2B,nan,nan,"skin, muscle, tail, blood vessel, notochord",U:\Data\20240911_Korra_Foundation\20250421_mem_histone\fish1_72hpf,
nan,2025-04-18,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),nan,mScarlet3-S2:H2B,nan,nan,nan,U:\Data\20240911_Korra_Foundation\20250418_mem_histone\fish1_newLLStest,
nan,2025-04-15,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),nan,mScarlet3-S2:H2B,nan,nan,"hindbrain, brain, spinal_cord, skin",nan,
nan,2025-04-14,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),nan,mScarlet3-S2:H2B,nan,nan,"skin, muscle, tail, blood vessel, notochord",U:\Data\20240911_Korra_Foundation\20250414_mem_histone\fish1_72hpf,
nan,2025-04-11,casper/rnf,casper/rnf,nan,"2xCox8A:mSG, 2xLynk:mChilada",nan,nan,"hindbrain, brain, skin, spinal_cord, muscle","U:\Data\20240911_Korra_Foundation\20250410_organelle\fish4-5,, mitochondria",
nan,2025-04-10,casper/rnf,casper/rnf,nan,"LAMP1:mSG, 2xLynk:mChilada",nan,nan,"hindbrain, brain, skin, spinal_cord, muscle","U:\Data\20240911_Korra_Foundation\20250410_organelle\fish1-fish3, lysosome",
nan,2025-04-08,casper/rnf,casper/rnf,nan,"LAMP1:mSG, 2xLynk:mChilada",nan,nan,"skin, spinal_cord, muscle",nan,
nan,2025-04-08,casper/rnf,casper/rnf,nan,"LAMP1:mSG, 2xLynk:mChilada",nan,nan,"skin, spinal_cord, muscle",nan,
nan,2025-04-07,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:<exorh:GFP>mKate2/mCitrine/Electra2/mKOK/mTFP1 (F1 of allele 313),nan,"phiC-NLS, phiC",nan,nan,"skin, spinal_cord, muscle, notochord",U:\Data\20240911_Korra_Foundation\20250401_mem_skittles\fish1_96hpf,
nan,2025-04-04,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:<exorh:GFP>mKate2/mCitrine/Electra2/mKOK/mTFP1 (F1 of allele 313),nan,phiC-NLS,nan,nan,"skin, spinal_cord, muscle",U:\Data\20240911_Korra_Foundation\20250401_mem_skittles\fish1_24hpf\roi1,
nan,2025-04-03,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),nan,mScarlet3-S2:H2B,nan,nan,"skin, spinal_cord, muscle, notochord, blood vessel",U:\Data\20240911_Korra_Foundation\20250401_mem_histone\fish2_72hpf,
nan,2025-04-01,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),nan,mScarlet3-S2:H2B,nan,nan,"hindbrain, brain, skin, spinal_cord, muscle, tail",U:\Data\20240911_Korra_Foundation\20250401_mem_histone\fish1_24hpf,
nan,2025-03-31,casper/rnf,ef1a:2xLynk:tdmSG(J) (F1 of allele 308),nan,mScarlet3-S2:H2B,nan,nan,nan,nan,
nan,2025-03-28,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:<exorh:GFP>mKate2/mCitrine/Electra2/mKOK/mTFP1 (F1 of allele 313),nan,phiC,nan,nan,brain,U:\Data\20240911_Korra_Foundation\20250327_mem_skittles\fish3_48hpf,
nan,2025-03-28,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:<exorh:GFP>mKate2/mCitrine/Electra2/mKOK/mTFP1 (F1 of allele 313),nan,phiC,nan,nan,brain,U:\Data\20240911_Korra_Foundation\20250327_mem_skittles\fish4_48hpf,
nan,2025-03-27,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:<exorh:GFP>mKate2/mCitrine/Electra2/mKOK/mTFP1 (F1 of allele 313),nan,phiC,nan,nan,"skin, spinal_cord, muscle",U:\Data\20240911_Korra_Foundation\20250327_mem_skittles\fish5_48hpf,
nan,2025-03-27,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:<exorh:GFP>mKate2/mCitrine/Electra2/mKOK/mTFP1 (F1 of allele 313),nan,phiC,nan,nan,"eye, brain",U:\Data\20240911_Korra_Foundation\20250327_mem_skittles\fish1_24hpf,
nan,2025-03-27,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:<exorh:GFP>mKate2/mCitrine/Electra2/mKOK/mTFP1 (F1 of allele 313),nan,phiC,nan,nan,"eye, brain",U:\Data\20240911_Korra_Foundation\20250327_mem_skittles\fish2_24hpf,
nan,2025-03-26,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),nan,mScarlet3-S2:H2B,nan,nan,"skin, spinal_cord, muscle",U:\Data\20240911_Korra_Foundation\20250324_mem_histone\fish4_24hpf,
nan,2025-03-25,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),nan,mScarlet3-S2:H2B,nan,nan,"hindbrain, brain, skin, spinal_cord, muscle",U:\Data\20240911_Korra_Foundation\20250324_mem_histone\fish3_24hpf,
nan,2025-03-24,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),nan,mScarlet3-S2:H2B,nan,nan,"spinal_cord, skin, muscle, hindbrain",U:\Data\20240911_Korra_Foundation\20250324_mem_histone\fish1_72hpf,
nan,2025-03-24,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),nan,mScarlet3-S2:H2B,nan,nan,"skin, muscle, neuromast",U:\Data\20240911_Korra_Foundation\20250324_mem_histone\fish2_72hpf,
nan,2025-03-21,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),casper/rnf,nan,mScarlet3-S2:H2B,nan,nan,nan,nan,
nan,2025-03-21,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),casper/rnf,nan,mScarlet3-S2:H2B,nan,nan,nan,nan,
nan,2025-03-21,casper/rnf,ef1a:<exorh:GFP>mKate2/mCitrine/Electra2/mKOK/mTFP1 (F1 of allele 313),nan,phiC,nan,nan,skittles test (6 fish tested),U:\Data\20240911_Korra_Foundation\20250321_skittle\,
nan,2025-03-20,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),casper/rnf,nan,mScarlet3-S2:H2B,nan,nan,"spinal_cord, skin, muscle, tail",U:\Data\20240911_Korra_Foundation\20250317_mem_histone\fish7_48hpf,
nan,2025-03-20,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),casper/rnf,nan,mScarlet3-S2:H2B,nan,nan,"spinal_cord, skin, muscle, tail",U:\Data\20240911_Korra_Foundation\20250317_mem_histone\fish8_48hpf,
nan,2025-03-19,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),casper/rnf,nan,mScarlet3-S2:H2B,nan,nan,"spinal_cord, skin, muscle, tail",U:\Data\20240911_Korra_Foundation\20250317_mem_histone\fish5_48hpf,
nan,2025-03-19,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),casper/rnf,nan,mScarlet3-S2:H2B,nan,nan,"spinal_cord, skin, muscle, tail",U:\Data\20240911_Korra_Foundation\20250317_mem_histone\fish6_48hpf,
nan,2025-03-18,casper/rnf,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),nan,mScarlet3-S2:H2B,nan,nan,"skin, muscle",U:\Data\20240911_Korra_Foundation\20250317_mem_histone\fish3_96hpf,
nan,2025-03-18,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),casper/rnf,nan,mScarlet3-S2:H2B,nan,nan,"eye, brain",U:\Data\20240911_Korra_Foundation\20250317_mem_histone\fish4_24hpf,
nan,2025-03-18,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),casper/rnf,nan,mScarlet3-S2:H2B,nan,nan,nan,nan,
nan,2025-03-17,casper/rnf,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),nan,mScarlet3-S2:H2B,nan,nan,"skin, muscle",U:\Data\20240911_Korra_Foundation\20250317_mem_histone\fish1_72hpf,
nan,2025-03-17,casper/rnf,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),nan,mScarlet3-S2:H2B,nan,nan,"skin, muscle",U:\Data\20240911_Korra_Foundation\20250317_mem_histone\fish2_72hpf,
nan,2025-03-14,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:<cryaa:mSc>mKate2/mCitrine/Electra2/mKOK/mTFP1 (F1 of allele 309),nan,phiC,nan,nan,"spinal_cord, skin, muscle",U:\Data\20240911_Korra_Foundation\20250313_mSG_skittles\fish3_24hpf,
nan,2025-03-14,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:<cryaa:mSc>mKate2/mCitrine/Electra2/mKOK/mTFP1 (F1 of allele 309),nan,phiC,nan,nan,"spinal_cord, skin, muscle",U:\Data\20240911_Korra_Foundation\20250313_mSG_skittles\fish4_24hpf,
nan,2025-03-14,casper/rnf,ef1a:2xLynk:tdmSG(J) (F1 of allele 301),nan,mScarlet3-S2:H2B,nan,nan,"eye, brain",U:\Data\20240911_Korra_Foundation\20250314_mem_histone\fish1_24hpf,
nan,2025-03-14,casper/rnf,ef1a:2xLynk:tdmSG(J) (F1 of allele 301),nan,mScarlet3-S2:H2B,nan,nan,"eye, brain",U:\Data\20240911_Korra_Foundation\20250314_mem_histone\fish2_24hpf,
nan,2025-03-13,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:<cryaa:mSc>mKate2/mCitrine/Electra2/mKOK/mTFP1 (F1 of allele 309),nan,phiC,nan,nan,brain,U:\Data\20240911_Korra_Foundation\20250313_mSG_skittles\fish1_24hpf,
nan,2025-03-13,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:<cryaa:mSc>mKate2/mCitrine/Electra2/mKOK/mTFP1 (F1 of allele 309),nan,phiC,nan,nan,brain,U:\Data\20240911_Korra_Foundation\20250313_mSG_skittles\fish2_24hpf,
nan,2025-03-12,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),nan,mScarlet3-S2:H2B,nan,nan,"spinal_cord, skin, muscle, tail",U:\Data\20240911_Korra_Foundation\20250311_mem_histone\fish3_48hpf,
nan,2025-03-12,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:mTFP1 and ef1a:mBeRFP,nan,nan,nan,nan,nan,
nan,2025-03-12,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:mTFP1 and ef1a:mBeRFP,nan,nan,nan,nan,nan,
nan,2025-03-12,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),nan,mScarlet3-S2:H2B,nan,nan,"spinal_cord, muscle, skin",U:\Data\20240911_Korra_Foundation\20250311_mem_histone\fish4_72hpf,
nan,2025-03-12,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),nan,mScarlet3-S2:H2B,nan,nan,"spinal_cord, skin, muscle",U:\Data\20240911_Korra_Foundation\20250311_mem_histone\fish5_72hpf,
nan,2025-03-11,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),nan,mScarlet3-S2:H2B,nan,nan,"spinal_cord, skin, muscle",U:\Data\20240911_Korra_Foundation\20250311_mem_histone\fish1_24hpf,
nan,2025-03-11,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),nan,mScarlet3-S2:H2B,nan,nan,"spinal_cord, skin, muscle",U:\Data\20240911_Korra_Foundation\20250311_mem_histone\fish2_24hpf,
nan,2025-03-10,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),nan,nan,nan,nan,nan,U:\Data\20240911_Korra_Foundation\20250310_mem,
nan,2025-03-07,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),casper/rnf,nan,mScarlet3-S2:H2B,nan,nan,"hindbrain, brain, skin, spinal_cord, muscle",U:\Data\20240911_Korra_Foundation\20250307_mem_histone\fish1_24hpf,
nan,2025-03-06,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),nan,mYH:H2B,nan,nan,"neuromast, skin, muscle",U:\Data\20240911_Korra_Foundation\20250303_mem_histone\fish9_48hpf,
nan,2025-03-06,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),nan,mYH:H2B,nan,nan,brain,U:\Data\20240911_Korra_Foundation\20250303_mem_histone\fish10_48hpf,
nan,2025-03-06,casper/rnf,ef1a:<cryaa:mSc>mKate2/mCitrine/Electra2/mKOK/mTFP1 (F1 of allele 309),nan,"phiC, 2xLynk:mSG",nan,nan,"spinal_cord, muscle",U:\Data\20240911_Korra_Foundation\20250306_skittle_mem-mSG\fish1_24hpf,
nan,2025-03-05,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),nan,mYH:H2B,nan,nan,"hindbrain, brain, skin, spinal_cord, muscle",U:\Data\20240911_Korra_Foundation\20250303_mem_histone\fish6_48hpf,
nan,2025-03-05,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),nan,mYH:H2B,nan,nan,nan,nan,
nan,2025-03-05,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),nan,mYH:H2B,nan,nan,"neuromast, skin, muscle, spinal_cord",U:\Data\20240911_Korra_Foundation\20250303_mem_histone\fish7_48hpf,
nan,2025-03-05,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),nan,mYH:H2B,nan,nan,"spinal_cord, neuromast, skin, muscle",U:\Data\20240911_Korra_Foundation\20250303_mem_histone\fish8_48hpf,
nan,2025-03-04,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),nan,mYH:H2B,nan,nan,"hindbrain, brain",U:\Data\20240911_Korra_Foundation\20250303_mem_histone\fish4_24hpf,
nan,2025-03-04,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),nan,mYH:H2B,nan,nan,"tail, spinal_cord, muscle",U:\Data\20240911_Korra_Foundation\20250303_mem_histone\fish5_24hpf,
nan,2025-03-03,casper/rnf,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),nan,mYH:H2B (80 and 120 pg),nan,nan,"ear, neuromast, muscle, skin",U:\Data\20240911_Korra_Foundation\20250303_mem_histone\fish1_72hpf,
nan,2025-03-03,casper/rnf,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),nan,mYH:H2B (80 and 120 pg),nan,nan,"ear, muscle",U:\Data\20240911_Korra_Foundation\20250303_mem_histone\fish2_72hpf,
