dataset_source,clutch_code,clutch_date,genotype_cross_label,genotype_base_codes,genotype_allele_codes,genotype_pretty,genotype_marker_fluor_codes,genotype_marker_tag_codes,treat_code,treat_text,treatment_plasmid_base_codes,treatment_rna_base_codes,treatment_dye_base_codes,treatment_marker_fluor_codes,treatment_marker_tag_codes,all_marker_fluor_codes,sheet_row_index,date_born,zf_female_genotype_text,zf_male_genotype_text,date_mount,mount_id,experimental_plate_id,experimental_slot_id,data_location,roi_index,roi_name,data_path
cluster_linked,IMG_CLT_20250205_01,2025-02-05,pDQM005_301,pDQM005,pDQM005:301,pDQM005(301),"tdmSG,tdmStayGold","",IMG_TRT_005,mChilada:H2B (80 pg),"","","",,,"tdmSG,tdmStayGold",283,,,,2025-02-06,,20250206-plate1,20250206-plate1-slot2,U:\Data\20240911_Korra_Foundation\20250206_mem_histone\fish1_24hpf_mChilada,,,
cluster_linked,IMG_CLT_20250205_01,2025-02-05,pDQM005_301,pDQM005,pDQM005:301,pDQM005(301),"tdmSG,tdmStayGold","",IMG_TRT_005,mChilada:H2B (80 pg),"","","",,,"tdmSG,tdmStayGold",284,,,,2025-02-06,,20250206-plate1,20250206-plate1-slot3,U:\Data\20240911_Korra_Foundation\20250206_mem_histone\fish2_24hpf_mChilada,,,
cluster_linked,IMG_CLT_20250205_01,2025-02-05,pDQM005_301,pDQM005,pDQM005:301,pDQM005(301),"tdmSG,tdmStayGold","",IMG_TRT_005,mChilada:H2B (80 pg),"","","",,,"tdmSG,tdmStayGold",300,,,,,,,,,,,
cluster_linked,IMG_CLT_20250205_01,2025-02-05,pDQM005_301,pDQM005,pDQM005:301,pDQM005(301),"tdmSG,tdmStayGold","",IMG_TRT_005,mChilada:H2B (80 pg),"","","",,,"tdmSG,tdmStayGold",301,,,,,,,,,,,
cluster_linked,IMG_CLT_20250205_01,2025-02-05,pDQM005_301,pDQM005,pDQM005:301,pDQM005(301),"tdmSG,tdmStayGold","",IMG_TRT_005,mChilada:H2B (80 pg),"","","",,,"tdmSG,tdmStayGold",302,,,,,,,,,,,
cluster_linked,IMG_CLT_20250205_01,2025-02-05,pDQM005_301,pDQM005,pDQM005:301,pDQM005(301),"tdmSG,tdmStayGold","",IMG_TRT_005,mChilada:H2B (80 pg),"","","",,,"tdmSG,tdmStayGold",303,,,,,,,,,,,
cluster_linked,IMG_CLT_20250207_01,2025-02-07,pDQM005_308,pDQM005,pDQM005:308,pDQM005(308),"tdmSG,tdmStayGold","",IMG_TRT_006,mYH:H2B (80 and 120 pg),"","","",,,"tdmSG,tdmStayGold",276,,,,2025-02-10,,20250210-plate1,20250210-plate1-slot4,,,,
cluster_linked,IMG_CLT_20250207_01,2025-02-07,pDQM005_308,pDQM005,pDQM005:308,pDQM005(308),"tdmSG,tdmStayGold","",IMG_TRT_006,mYH:H2B (80 and 120 pg),"","","",,,"tdmSG,tdmStayGold",277,,,,2025-02-10,,20250210-plate1,20250210-plate1-slot1,,,,
cluster_linked,IMG_CLT_20250207_01,2025-02-07,pDQM005_308,pDQM005,pDQM005:308,pDQM005(308),"tdmSG,tdmStayGold","",IMG_TRT_006,mYH:H2B (80 and 120 pg),"","","",,,"tdmSG,tdmStayGold",278,,,,2025-02-10,,20250210-plate1,20250210-plate1-slot3,,,,
cluster_linked,IMG_CLT_20250207_01,2025-02-07,pDQM005_308,pDQM005,pDQM005:308,pDQM005(308),"tdmSG,tdmStayGold","",IMG_TRT_006,mYH:H2B (80 and 120 pg),"","","",,,"tdmSG,tdmStayGold",279,,,,2025-02-10,,20250210-plate1,20250210-plate1-slot2,,,,
