dataset_source,clutch_code,clutch_date,genotype_cross_label,genotype_base_codes,genotype_allele_codes,genotype_pretty,genotype_marker_fluor_codes,genotype_marker_tag_codes,treat_code,treat_text,treatment_plasmid_base_codes,treatment_rna_base_codes,treatment_dye_base_codes,treatment_marker_fluor_codes,treatment_marker_tag_codes,all_marker_fluor_codes,sheet_row_index,birthday_filled,parent_female_filled,parent_male_filled,date_mount,mount_id,plate_id_filled,slot_id_filled,data_location_filled,roi_index,roi_name,data_path
mem_histone,IMG_CLT_20250205_01,2025-02-05,pDQM005_301,pDQM005,pDQM005:301,pDQM005(301),"tdmSG,tdmStayGold","",IMG_TRT_005,mChilada:H2B (80 pg),"","","",,,"tdmSG,tdmStayGold",284,2025-02-05,casper/rnf,ef1a:2xLynk:tdmSG(J) (F1 of allele 301),2025-02-06,,SYN_20250206_plate1,SYN_20250206_plate1-slot1,U:\Data\20240911_Korra_Foundation\20250206_mem_histone\fish2_24hpf_mChilada,1,U:\Data\20240911_Korra_Foundation\20250206_mem_histone\fish2_24hpf_mChilada,U:\Data\20240911_Korra_Foundation\20250206_mem_histone\fish2_24hpf_mChilada
mem_histone,IMG_CLT_20250210_01,2025-02-10,pDQM005_301,pDQM005,pDQM005:301,pDQM005(301),"tdmSG,tdmStayGold","",IMG_TRT_007,mChilada:H2B (80 and 120 pg); mYH:H2B (80 and 120 pg),"","","",,,"tdmSG,tdmStayGold",264,2025-02-10,casper/rnf,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),2025-02-13,,SYN_20250213_plate1,SYN_20250213_plate1-slot1,U:\Data\20240911_Korra_Foundation\20250211_mem_histone\fish8_72hpf_mYH,1,U:\Data\20240911_Korra_Foundation\20250211_mem_histone\fish8_72hpf_mYH,U:\Data\20240911_Korra_Foundation\20250211_mem_histone\fish8_72hpf_mYH
mem_histone,IMG_CLT_20250210_01,2025-02-10,pDQM005_301,pDQM005,pDQM005:301,pDQM005(301),"tdmSG,tdmStayGold","",IMG_TRT_007,mChilada:H2B (80 and 120 pg); mYH:H2B (80 and 120 pg),"","","",,,"tdmSG,tdmStayGold",268,2025-02-10,casper/rnf,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),2025-02-12,,SYN_20250212_plate1,SYN_20250212_plate1-slot1,U:\Data\20240911_Korra_Foundation\20250211_mem_histone\fish7_48hpf_mYH,1,U:\Data\20240911_Korra_Foundation\20250211_mem_histone\fish7_48hpf_mYH,U:\Data\20240911_Korra_Foundation\20250211_mem_histone\fish7_48hpf_mYH
mem_histone,IMG_CLT_20250210_01,2025-02-10,pDQM005_301,pDQM005,pDQM005:301,pDQM005(301),"tdmSG,tdmStayGold","",IMG_TRT_007,mChilada:H2B (80 and 120 pg); mYH:H2B (80 and 120 pg),"","","",,,"tdmSG,tdmStayGold",269,2025-02-10,casper/rnf,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),2025-02-12,,SYN_20250212_plate1,SYN_20250212_plate1-slot1,U:\Data\20240911_Korra_Foundation\20250211_mem_histone\fish5_48hpf_mYH,1,U:\Data\20240911_Korra_Foundation\20250211_mem_histone\fish5_48hpf_mYH,U:\Data\20240911_Korra_Foundation\20250211_mem_histone\fish5_48hpf_mYH
mem_histone,IMG_CLT_20250210_01,2025-02-10,pDQM005_301,pDQM005,pDQM005:301,pDQM005(301),"tdmSG,tdmStayGold","",IMG_TRT_007,mChilada:H2B (80 and 120 pg); mYH:H2B (80 and 120 pg),"","","",,,"tdmSG,tdmStayGold",271,2025-02-10,casper/rnf,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),2025-02-11,,SYN_20250211_plate1,SYN_20250211_plate1-slot1,U:\Data\20240911_Korra_Foundation\20250211_mem_histone\fish2_24hpf_mYH,1,U:\Data\20240911_Korra_Foundation\20250211_mem_histone\fish2_24hpf_mYH,U:\Data\20240911_Korra_Foundation\20250211_mem_histone\fish2_24hpf_mYH
mem_histone,IMG_CLT_20250210_01,2025-02-10,pDQM005_301,pDQM005,pDQM005:301,pDQM005(301),"tdmSG,tdmStayGold","",IMG_TRT_007,mChilada:H2B (80 and 120 pg); mYH:H2B (80 and 120 pg),"","","",,,"tdmSG,tdmStayGold",273,2025-02-10,casper/rnf,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),2025-02-11,,SYN_20250211_plate1,SYN_20250211_plate1-slot1,U:\Data\20240911_Korra_Foundation\20250211_mem_histone\fish6_48hpf_mchilada,1,U:\Data\20240911_Korra_Foundation\20250211_mem_histone\fish6_48hpf_mchilada,U:\Data\20240911_Korra_Foundation\20250211_mem_histone\fish6_48hpf_mchilada
mem_histone,IMG_CLT_20250210_01,2025-02-10,pDQM005_301,pDQM005,pDQM005:301,pDQM005(301),"tdmSG,tdmStayGold","",IMG_TRT_007,mChilada:H2B (80 and 120 pg); mYH:H2B (80 and 120 pg),"","","",,,"tdmSG,tdmStayGold",274,2025-02-10,casper/rnf,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),2025-02-11,,SYN_20250211_plate1,SYN_20250211_plate1-slot1,U:\Data\20240911_Korra_Foundation\20250211_mem_histone\fish4_24hpf_mYH,1,U:\Data\20240911_Korra_Foundation\20250211_mem_histone\fish4_24hpf_mYH,U:\Data\20240911_Korra_Foundation\20250211_mem_histone\fish4_24hpf_mYH
mem_histone,IMG_CLT_20250210_01,2025-02-10,pDQM005_301,pDQM005,pDQM005:301,pDQM005(301),"tdmSG,tdmStayGold","",IMG_TRT_007,mChilada:H2B (80 and 120 pg); mYH:H2B (80 and 120 pg),"","","",,,"tdmSG,tdmStayGold",275,2025-02-10,casper/rnf,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),2025-02-11,,SYN_20250211_plate1,SYN_20250211_plate1-slot1,U:\Data\20240911_Korra_Foundation\20250211_mem_histone\fish3_24hpf_mchilada,1,U:\Data\20240911_Korra_Foundation\20250211_mem_histone\fish3_24hpf_mchilada,U:\Data\20240911_Korra_Foundation\20250211_mem_histone\fish3_24hpf_mchilada
mem_histone,IMG_CLT_20250217_01,2025-02-17,Swinburne_301_Swinburne,"Swinburne,pDQM005","Swinburne:Swinburne,pDQM005:301",Swinburne(Swinburne)/pDQM005(301),"tdmSG,tdmStayGold","",IMG_TRT_008,JF635 3uM,"","","",,,"tdmSG,tdmStayGold",259,2025-02-17,ef1a:H2B:Halo,ef1a:2xLynk:tdmSG(J) (F1 of allele 301),2025-02-20,,SYN_20250220_plate1,SYN_20250220_plate1-slot1,U:\Data\20240911_Korra_Foundation\20250218_mem_histone\fish3_72hpf_halo_jfx649,1,U:\Data\20240911_Korra_Foundation\20250218_mem_histone\fish3_72hpf_halo_jfx649,U:\Data\20240911_Korra_Foundation\20250218_mem_histone\fish3_72hpf_halo_jfx649
mem_histone,IMG_CLT_20250217_01,2025-02-17,Swinburne_301_Swinburne,"Swinburne,pDQM005","Swinburne:Swinburne,pDQM005:301",Swinburne(Swinburne)/pDQM005(301),"tdmSG,tdmStayGold","",IMG_TRT_008,JF635 3uM,"","","",,,"tdmSG,tdmStayGold",261,2025-02-17,ef1a:H2B:Halo,ef1a:2xLynk:tdmSG(J) (F1 of allele 301),2025-02-19,,SYN_20250219_plate1,SYN_20250219_plate1-slot1,"U:\Data\20240911_Korra_Foundation\20250218_mem_histone\fish2_48hpf_halo_jfx649 (roi1,2,2-2)",1,"U:\Data\20240911_Korra_Foundation\20250218_mem_histone\fish2_48hpf_halo_jfx649 (roi1,2,2-2)","U:\Data\20240911_Korra_Foundation\20250218_mem_histone\fish2_48hpf_halo_jfx649 (roi1,2,2-2)"
mem_histone,IMG_CLT_20250217_01,2025-02-17,Swinburne_301_Swinburne,"Swinburne,pDQM005","Swinburne:Swinburne,pDQM005:301",Swinburne(Swinburne)/pDQM005(301),"tdmSG,tdmStayGold","",IMG_TRT_008,JF635 3uM,"","","",,,"tdmSG,tdmStayGold",262,2025-02-17,ef1a:H2B:Halo,ef1a:2xLynk:tdmSG(J) (F1 of allele 301),2025-02-19,,SYN_20250219_plate1,SYN_20250219_plate1-slot1,U:\Data\20240911_Korra_Foundation\20250218_mem_histone\fish2_48hpf_halo_jfx649 (roi 3-9),1,U:\Data\20240911_Korra_Foundation\20250218_mem_histone\fish2_48hpf_halo_jfx649 (roi 3-9),U:\Data\20240911_Korra_Foundation\20250218_mem_histone\fish2_48hpf_halo_jfx649 (roi 3-9)
mem_histone,IMG_CLT_20250217_01,2025-02-17,Swinburne_301_Swinburne,"Swinburne,pDQM005","Swinburne:Swinburne,pDQM005:301",Swinburne(Swinburne)/pDQM005(301),"tdmSG,tdmStayGold","",IMG_TRT_008,JF635 3uM,"","","",,,"tdmSG,tdmStayGold",263,2025-02-17,ef1a:H2B:Halo,ef1a:2xLynk:tdmSG(J) (F1 of allele 301),2025-02-18,,SYN_20250218_plate1,SYN_20250218_plate1-slot1,U:\Data\20240911_Korra_Foundation\20250218_mem_histone\fish1_24hpf_halo_jfx649,1,U:\Data\20240911_Korra_Foundation\20250218_mem_histone\fish1_24hpf_halo_jfx649,U:\Data\20240911_Korra_Foundation\20250218_mem_histone\fish1_24hpf_halo_jfx649
mem_histone,IMG_CLT_20250224_01,2025-02-24,pDQM005_301,pDQM005,pDQM005:301,pDQM005(301),"tdmSG,tdmStayGold","",IMG_TRT_006,mYH:H2B (80 and 120 pg),"","","",,,"tdmSG,tdmStayGold",249,2025-02-24,casper/rnf,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),2025-02-26,,SYN_20250226_plate1,SYN_20250226_plate1-slot1,U:\Data\20240911_Korra_Foundation\20250225_mem_nuc\fish3_48hpf,1,U:\Data\20240911_Korra_Foundation\20250225_mem_nuc\fish3_48hpf,U:\Data\20240911_Korra_Foundation\20250225_mem_nuc\fish3_48hpf
