clutch_code,sheet_row_index,date_born,zf_female_genotype_text,zf_male_genotype_text,date_mount,mount_id,data_location,row_plasmids_text,row_rnas_text,row_proteins_text,row_dyes_text
IMG_CLT_20250606_01,139,2025-06-06,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),2025-06-09,,X:\abcabc\Korra_Foundation\20250609_mem-histone\fish11_72hpf_roi1,,mScarlet3-S2:H2B,,
IMG_CLT_20250605_01,140,2025-06-05,Jim (F2 of allele 316),Ben (F2 of allele 310),2025-06-06,,X:\abcabc\Korra_Foundation\20250606_skittlez,,"phiC-NLS, 2xLynk:mSG",,
IMG_CLT_20250604_01,141,2025-06-04,Dennis (F2 of allele 318),Abe (F2 of allele 309),2025-06-05,,X:\abcabc\Korra_Foundation\20250605_skittlez,,"phiC-NLS, 2xLynk:mSG",,
IMG_CLT_20250602_01,142,2025-06-02,Liam (F2 of allele 321),Chris (F1 of allele 317),2025-06-03,,X:\abcabc\Korra_Foundation\20250603_skittlez,,"phiC-NLS, 2xLynk:mSG",,
IMG_CLT_20250530_01,143,2025-05-30,casper/rnf,ef1a:2xLynk:tdmSG(J) (F2 of allele 302),2025-06-02,,X:\abcabc\Korra_Foundation\20250602_mem,,,,
IMG_CLT_20250528_02,144,2025-05-28,ef1a:2xLynk:tdmSG(J) (F2 of allele 302),ef1a:2xLynk:tdmSG(J) (F2 of allele 302),2025-05-30,,X:\abcabc\Korra_Foundation\20250530_mem-histone\,,mScarlet3-S2:H2B,,
IMG_CLT_20250527_01,145,2025-05-27,ef1a:2xLynk:tdmSG(J) (F2 of allele 302),ef1a:2xLynk:tdmSG(J) (F2 of allele 302),2025-05-29,,X:\abcabc\Korra_Foundation\20250528_mem-histone\fish1,,mScarlet3-S2:H2B,,
IMG_CLT_20250528_01,146,2025-05-28,Jim (F2 of allele 316),Ben (F2 of allele 310),2025-05-29,,X:\abcabc\Korra_Foundation\20250529_skittlez,,"phiC-NLS, 2xLynk:mSG, mChilada:H2B",,
IMG_CLT_20250527_02,147,2025-05-27,,,2025-05-28,,X:\abcabc\Korra_Foundation\20250528_skittlez\fish1,,,,
IMG_CLT_20250527_01,148,2025-05-27,ef1a:2xLynk:tdmSG(J) (F2 of allele 302),ef1a:2xLynk:tdmSG(J) (F2 of allele 302),2025-05-28,,X:\abcabc\Korra_Foundation\20250528_mem-histone\fish2,,mScarlet3-S2:H2B,,
IMG_CLT_20250527_01,149,2025-05-27,ef1a:2xLynk:tdmSG(J) (F2 of allele 302),ef1a:2xLynk:tdmSG(J) (F2 of allele 302),2025-05-28,,X:\abcabc\Korra_Foundation\20250528_mem-histone\fish3,,mScarlet3-S2:H2B,,
IMG_CLT_20250522_01,151,2025-05-22,ef1a:2xLynk:tdmSG(J) (F2 of allele 302),ef1a:2xLynk:tdmSG(J) (F2 of allele 302),2025-05-23,,X:\abcabc\Korra_Foundation\20250523_mem_histone\fish1-4,,mScarlet3-S2:H2B,,
IMG_CLT_20250521_01,152,2025-05-21,,,2025-05-22,,X:\abcabc\Korra_Foundation\20250522_skittlez,,,,
IMG_CLT_20250520_01,154,2025-05-20,Dennis (F2 of allele 318),Abe (F2 of allele 309),2025-05-21,,X:\abcabc\Korra_Foundation\20250521_skittles_no-membrane,,phiC-NLS,,
IMG_CLT_20250514_01,158,2025-05-14,,,2025-05-15,,X:\abcabc\Korra_Foundation\20250513_skittles (fish12-16),,phiC-NLS,,
IMG_CLT_20250513_01,159,2025-05-13,,,2025-05-14,,"X:\abcabc\Korra_Foundation\20250513_skittles (fish4,5)",,phiC-NLS,,
IMG_CLT_20250512_01,160,2025-05-12,,,2025-05-13,,X:\abcabc\Korra_Foundation\20250513_skittles(fish1-3),,phiC-NLS,,
IMG_CLT_20250508_01,161,2025-05-08,casper/rnf,casper/rnf,2025-05-09,,X:\abcabc\Korra_Foundation\20250505_fish_transplant\0509_fish1_transmSG_lifeactHalo,,"2xLynk:mChilada, 2xLynk:mSG, Lifeact:Halo",,
IMG_CLT_20250508_01,162,2025-05-08,casper/rnf,casper/rnf,2025-05-09,,,,"2xLynk:mChilada, 2xLynk:mSG, Lifeact:Halo",,
IMG_CLT_20250507_01,163,2025-05-07,casper/rnf,casper/rnf,2025-05-08,,X:\abcabc\Korra_Foundation\20250505_fish_transplant\0508_fish1_mem-mchilada_transmSG,,"2xLynk:mChilada, 2xLynk:mSG",,
IMG_CLT_20250507_01,164,2025-05-07,casper/rnf,casper/rnf,2025-05-08,,X:\abcabc\Korra_Foundation\20250505_fish_transplant\0508_fish2_mem-mchilada_transmSG,,"2xLynk:mChilada, 2xLynk:mSG",,
IMG_CLT_20250506_01,165,2025-05-06,casper/rnf,casper/rnf,2025-05-07,,X:\abcabc\Korra_Foundation\20250505_fish_transplant\0507_fish1_mchilada_mitoHalo_transmSG,,"Lifeact:Halo, 2xLynk:mSG",,
IMG_CLT_20250505_01,166,2025-05-05,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),2025-05-06,,X:\abcabc\Korra_Foundation\20250505_fish_transplant\0506_fish1_memSG_lamp-SG_transmSC_14somite,,"LAMP1:mSG, 2xLynk:mScarlet3-S2",,
IMG_CLT_20250505_01,167,2025-05-05,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),2025-05-06,,X:\abcabc\Korra_Foundation\20250505_fish_transplant\0506_fish2_memSG_vemHalo_transmSC,,"Vimentin:Halo, 2xLynk:mScarlet3-S2",,
IMG_CLT_20250504_01,168,2025-05-04,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),2025-05-05,,X:\abcabc\Korra_Foundation\20250505_fish_transplant\0505_fish1_14somite,,mScarlet3-S2:H2B,,
IMG_CLT_20250429_01,169,2025-04-29,membrane Halo,membrane Halo,2025-05-01,,X:\abcabc\Korra_Foundation\20250429_mem_cytosol\fish4_mem-halo_48hpf,ef1a:mGold2s,,,
IMG_CLT_20250428_01,170,2025-04-28,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),2025-04-30,,X:\abcabc\Korra_Foundation\20250429_mem_cytosol\fish2_48hpf,ef1a:mGold2s,,,
IMG_CLT_20250429_01,171,2025-04-29,membrane Halo,membrane Halo,2025-04-30,,X:\abcabc\Korra_Foundation\20250429_mem_cytosol\fish3_mem-halo_24hpf,ef1a:mGold2s,,,
IMG_CLT_20250428_01,172,2025-04-28,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),2025-04-29,,X:\abcabc\Korra_Foundation\20250429_mem_cytosol\fish1_24hpf,ef1a:mGold2s,,,
IMG_CLT_20250426_01,173,2025-04-26,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),2025-04-28,,X:\abcabc\Korra_Foundation\20250428_mem_histone\fish1_72hpf,,mScarlet3-S2:H2B,,
IMG_CLT_20250422_01,174,2025-04-22,casper/rnf,casper/rnf,2025-04-24,,U:\Data\20240911_Korra_Foundation\20250424_mGold2_cytosolic,ef1a:mGold2s,,,
IMG_CLT_20250422_01,175,2025-04-22,casper/rnf,casper/rnf,2025-04-24,,U:\Data\20240911_Korra_Foundation\20250424_mGold2_cytosolic,ef1a:mGold2t,,,
IMG_CLT_20250422_01,176,2025-04-22,casper/rnf,casper/rnf,2025-04-24,,U:\Data\20240911_Korra_Foundation\20250424_mGold2_cytosolic\141_largeFOV,ef1a:mGold2t,,,
IMG_CLT_20250421_01,177,2025-04-21,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),2025-04-23,,U:\Data\20240911_Korra_Foundation\20250421_mem_histone\fish4_48hpf,,mScarlet3-S2:H2B,,
IMG_CLT_20250421_01,178,2025-04-21,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),2025-04-22,,U:\Data\20240911_Korra_Foundation\20250421_mem_histone\fish2_24hpf,,mScarlet3-S2:H2B,,
IMG_CLT_20250421_01,179,2025-04-21,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),2025-04-22,,U:\Data\20240911_Korra_Foundation\20250421_mem_histone\fish3_24hpf,,mScarlet3-S2:H2B,,
IMG_CLT_20250418_01,180,2025-04-18,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),2025-04-21,,U:\Data\20240911_Korra_Foundation\20250421_mem_histone\fish1_72hpf,,mScarlet3-S2:H2B,,
IMG_CLT_20250417_01,181,2025-04-17,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),2025-04-18,,U:\Data\20240911_Korra_Foundation\20250418_mem_histone\fish1_newLLStest,,mScarlet3-S2:H2B,,
IMG_CLT_20250414_01,182,2025-04-14,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),2025-04-15,,,,mScarlet3-S2:H2B,,
IMG_CLT_20250411_01,183,2025-04-11,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),2025-04-14,,U:\Data\20240911_Korra_Foundation\20250414_mem_histone\fish1_72hpf,,mScarlet3-S2:H2B,,
IMG_CLT_20250409_01,184,2025-04-09,casper/rnf,casper/rnf,2025-04-11,,"U:\Data\20240911_Korra_Foundation\20250410_organelle\fish4-5,, mitochondria",,"2xCox8A:mSG, 2xLynk:mChilada",,
IMG_CLT_20250409_01,185,2025-04-09,casper/rnf,casper/rnf,2025-04-10,,"U:\Data\20240911_Korra_Foundation\20250410_organelle\fish1-fish3, lysosome",,"LAMP1:mSG, 2xLynk:mChilada",,
IMG_CLT_20250403_01,188,2025-04-03,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:<exorh:GFP>mKate2/mCitrine/Electra2/mKOK/mTFP1 (F1 of allele 313),2025-04-07,,U:\Data\20240911_Korra_Foundation\20250401_mem_skittles\fish1_96hpf,,"phiC-NLS, phiC",,
IMG_CLT_20250403_01,189,2025-04-03,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:<exorh:GFP>mKate2/mCitrine/Electra2/mKOK/mTFP1 (F1 of allele 313),2025-04-04,,U:\Data\20240911_Korra_Foundation\20250401_mem_skittles\fish1_24hpf\roi1,,phiC-NLS,,
IMG_CLT_20250331_01,191,2025-03-31,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),2025-04-01,,U:\Data\20240911_Korra_Foundation\20250401_mem_histone\fish1_24hpf,,mScarlet3-S2:H2B,,
IMG_CLT_20250328_01,192,2025-03-28,casper/rnf,ef1a:2xLynk:tdmSG(J) (F1 of allele 308),2025-03-31,,,,mScarlet3-S2:H2B,,
IMG_CLT_20250326_01,193,2025-03-26,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:<exorh:GFP>mKate2/mCitrine/Electra2/mKOK/mTFP1 (F1 of allele 313),2025-03-28,,U:\Data\20240911_Korra_Foundation\20250327_mem_skittles\fish3_48hpf,,phiC,,
IMG_CLT_20250326_01,194,2025-03-26,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:<exorh:GFP>mKate2/mCitrine/Electra2/mKOK/mTFP1 (F1 of allele 313),2025-03-28,,U:\Data\20240911_Korra_Foundation\20250327_mem_skittles\fish4_48hpf,,phiC,,
IMG_CLT_20250326_01,195,2025-03-26,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:<exorh:GFP>mKate2/mCitrine/Electra2/mKOK/mTFP1 (F1 of allele 313),2025-03-27,,U:\Data\20240911_Korra_Foundation\20250327_mem_skittles\fish5_48hpf,,phiC,,
IMG_CLT_20250326_01,196,2025-03-26,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:<exorh:GFP>mKate2/mCitrine/Electra2/mKOK/mTFP1 (F1 of allele 313),2025-03-27,,U:\Data\20240911_Korra_Foundation\20250327_mem_skittles\fish1_24hpf,,phiC,,
IMG_CLT_20250326_01,197,2025-03-26,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:<exorh:GFP>mKate2/mCitrine/Electra2/mKOK/mTFP1 (F1 of allele 313),2025-03-27,,U:\Data\20240911_Korra_Foundation\20250327_mem_skittles\fish2_24hpf,,phiC,,
IMG_CLT_20250324_01,198,2025-03-24,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),2025-03-26,,U:\Data\20240911_Korra_Foundation\20250324_mem_histone\fish4_24hpf,,mScarlet3-S2:H2B,,
IMG_CLT_20250324_01,199,2025-03-24,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),2025-03-25,,U:\Data\20240911_Korra_Foundation\20250324_mem_histone\fish3_24hpf,,mScarlet3-S2:H2B,,
IMG_CLT_20250321_01,200,2025-03-21,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),2025-03-24,,U:\Data\20240911_Korra_Foundation\20250324_mem_histone\fish1_72hpf,,mScarlet3-S2:H2B,,
IMG_CLT_20250321_01,201,2025-03-21,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),2025-03-24,,U:\Data\20240911_Korra_Foundation\20250324_mem_histone\fish2_72hpf,,mScarlet3-S2:H2B,,
IMG_CLT_20250317_01,202,2025-03-17,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),casper/rnf,2025-03-21,,,,mScarlet3-S2:H2B,,
IMG_CLT_20250317_01,203,2025-03-17,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),casper/rnf,2025-03-21,,,,mScarlet3-S2:H2B,,
IMG_CLT_20250319_01,204,2025-03-19,casper/rnf,ef1a:<exorh:GFP>mKate2/mCitrine/Electra2/mKOK/mTFP1 (F1 of allele 313),2025-03-21,,U:\Data\20240911_Korra_Foundation\20250321_skittle\,,phiC,,
IMG_CLT_20250317_01,205,2025-03-17,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),casper/rnf,2025-03-20,,U:\Data\20240911_Korra_Foundation\20250317_mem_histone\fish7_48hpf,,mScarlet3-S2:H2B,,
IMG_CLT_20250317_01,206,2025-03-17,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),casper/rnf,2025-03-20,,U:\Data\20240911_Korra_Foundation\20250317_mem_histone\fish8_48hpf,,mScarlet3-S2:H2B,,
IMG_CLT_20250317_01,207,2025-03-17,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),casper/rnf,2025-03-19,,U:\Data\20240911_Korra_Foundation\20250317_mem_histone\fish5_48hpf,,mScarlet3-S2:H2B,,
IMG_CLT_20250317_01,208,2025-03-17,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),casper/rnf,2025-03-19,,U:\Data\20240911_Korra_Foundation\20250317_mem_histone\fish6_48hpf,,mScarlet3-S2:H2B,,
IMG_CLT_20250314_01,209,2025-03-14,casper/rnf,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),2025-03-18,,U:\Data\20240911_Korra_Foundation\20250317_mem_histone\fish3_96hpf,,mScarlet3-S2:H2B,,
IMG_CLT_20250317_01,210,2025-03-17,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),casper/rnf,2025-03-18,,U:\Data\20240911_Korra_Foundation\20250317_mem_histone\fish4_24hpf,,mScarlet3-S2:H2B,,
IMG_CLT_20250317_01,211,2025-03-17,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),casper/rnf,2025-03-18,,,,mScarlet3-S2:H2B,,
IMG_CLT_20250314_01,212,2025-03-14,casper/rnf,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),2025-03-17,,U:\Data\20240911_Korra_Foundation\20250317_mem_histone\fish1_72hpf,,mScarlet3-S2:H2B,,
IMG_CLT_20250314_01,213,2025-03-14,casper/rnf,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),2025-03-17,,U:\Data\20240911_Korra_Foundation\20250317_mem_histone\fish2_72hpf,,mScarlet3-S2:H2B,,
IMG_CLT_20250312_01,214,2025-03-12,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:<cryaa:mSc>mKate2/mCitrine/Electra2/mKOK/mTFP1 (F1 of allele 309),2025-03-14,,U:\Data\20240911_Korra_Foundation\20250313_mSG_skittles\fish3_24hpf,,phiC,,
IMG_CLT_20250312_01,215,2025-03-12,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:<cryaa:mSc>mKate2/mCitrine/Electra2/mKOK/mTFP1 (F1 of allele 309),2025-03-14,,U:\Data\20240911_Korra_Foundation\20250313_mSG_skittles\fish4_24hpf,,phiC,,
IMG_CLT_20250313_01,216,2025-03-13,casper/rnf,ef1a:2xLynk:tdmSG(J) (F1 of allele 301),2025-03-14,,U:\Data\20240911_Korra_Foundation\20250314_mem_histone\fish1_24hpf,,mScarlet3-S2:H2B,,
IMG_CLT_20250313_01,217,2025-03-13,casper/rnf,ef1a:2xLynk:tdmSG(J) (F1 of allele 301),2025-03-14,,U:\Data\20240911_Korra_Foundation\20250314_mem_histone\fish2_24hpf,,mScarlet3-S2:H2B,,
IMG_CLT_20250312_01,218,2025-03-12,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:<cryaa:mSc>mKate2/mCitrine/Electra2/mKOK/mTFP1 (F1 of allele 309),2025-03-13,,U:\Data\20240911_Korra_Foundation\20250313_mSG_skittles\fish1_24hpf,,phiC,,
IMG_CLT_20250312_01,219,2025-03-12,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:<cryaa:mSc>mKate2/mCitrine/Electra2/mKOK/mTFP1 (F1 of allele 309),2025-03-13,,U:\Data\20240911_Korra_Foundation\20250313_mSG_skittles\fish2_24hpf,,phiC,,
IMG_CLT_20250310_01,220,2025-03-10,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),2025-03-12,,U:\Data\20240911_Korra_Foundation\20250311_mem_histone\fish3_48hpf,,mScarlet3-S2:H2B,,
IMG_CLT_20250310_01,221,2025-03-10,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),2025-03-12,,,ef1a:mTFP1 and ef1a:mBeRFP,,,
IMG_CLT_20250310_01,222,2025-03-10,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),2025-03-12,,,ef1a:mTFP1 and ef1a:mBeRFP,,,
IMG_CLT_20250310_01,223,2025-03-10,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),2025-03-12,,U:\Data\20240911_Korra_Foundation\20250311_mem_histone\fish4_72hpf,,mScarlet3-S2:H2B,,
IMG_CLT_20250310_01,224,2025-03-10,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),2025-03-12,,U:\Data\20240911_Korra_Foundation\20250311_mem_histone\fish5_72hpf,,mScarlet3-S2:H2B,,
IMG_CLT_20250310_01,225,2025-03-10,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),2025-03-11,,U:\Data\20240911_Korra_Foundation\20250311_mem_histone\fish1_24hpf,,mScarlet3-S2:H2B,,
IMG_CLT_20250310_01,226,2025-03-10,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),2025-03-11,,U:\Data\20240911_Korra_Foundation\20250311_mem_histone\fish2_24hpf,,mScarlet3-S2:H2B,,
IMG_CLT_20250310_01,227,2025-03-10,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),2025-03-10,,U:\Data\20240911_Korra_Foundation\20250310_mem,,,,
IMG_CLT_20250303_01,229,2025-03-03,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),2025-03-06,,U:\Data\20240911_Korra_Foundation\20250303_mem_histone\fish9_48hpf,,mYH:H2B,,
IMG_CLT_20250303_01,230,2025-03-03,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),2025-03-06,,U:\Data\20240911_Korra_Foundation\20250303_mem_histone\fish10_48hpf,,mYH:H2B,,
IMG_CLT_20250305_01,231,2025-03-05,casper/rnf,ef1a:<cryaa:mSc>mKate2/mCitrine/Electra2/mKOK/mTFP1 (F1 of allele 309),2025-03-06,,U:\Data\20240911_Korra_Foundation\20250306_skittle_mem-mSG\fish1_24hpf,,"phiC, 2xLynk:mSG",,
IMG_CLT_20250303_01,232,2025-03-03,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),2025-03-05,,U:\Data\20240911_Korra_Foundation\20250303_mem_histone\fish6_48hpf,,mYH:H2B,,
IMG_CLT_20250303_01,233,2025-03-03,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),2025-03-05,,,,mYH:H2B,,
IMG_CLT_20250303_01,234,2025-03-03,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),2025-03-05,,U:\Data\20240911_Korra_Foundation\20250303_mem_histone\fish7_48hpf,,mYH:H2B,,
IMG_CLT_20250303_01,235,2025-03-03,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),2025-03-05,,U:\Data\20240911_Korra_Foundation\20250303_mem_histone\fish8_48hpf,,mYH:H2B,,
IMG_CLT_20250303_01,236,2025-03-03,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),2025-03-04,,U:\Data\20240911_Korra_Foundation\20250303_mem_histone\fish4_24hpf,,mYH:H2B,,
IMG_CLT_20250303_01,237,2025-03-03,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),2025-03-04,,U:\Data\20240911_Korra_Foundation\20250303_mem_histone\fish5_24hpf,,mYH:H2B,,
IMG_CLT_20250228_01,238,2025-02-28,casper/rnf,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),2025-03-03,,U:\Data\20240911_Korra_Foundation\20250303_mem_histone\fish1_72hpf,,mYH:H2B (80 and 120 pg),,
IMG_CLT_20250228_01,239,2025-02-28,casper/rnf,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),2025-03-03,,U:\Data\20240911_Korra_Foundation\20250303_mem_histone\fish2_72hpf,,mYH:H2B (80 and 120 pg),,
IMG_CLT_20250228_01,240,2025-02-28,casper/rnf,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),2025-03-03,,U:\Data\20240911_Korra_Foundation\20250303_mem_histone\fish3_72hpf,,mYH:H2B (80 and 120 pg),,
IMG_CLT_20250226_01,241,2025-02-26,casper/rnf,ef1a:2xLynk:tdmSG(J) (F1 of allele 301),2025-02-28,,U:\Data\20240911_Korra_Foundation\20250225_mem_histone\fish13_48hpf,,mYH:H2B (80 and 120 pg),,
IMG_CLT_20250226_01,242,2025-02-26,casper/rnf,ef1a:2xLynk:tdmSG(J) (F1 of allele 301),2025-02-28,,U:\Data\20240911_Korra_Foundation\20250225_mem_histone\fish14_48hpf,,mYH:H2B (80 and 120 pg),,
IMG_CLT_20250226_01,243,2025-02-26,casper/rnf,ef1a:2xLynk:tdmSG(J) (F1 of allele 301),2025-02-27,,U:\Data\20240911_Korra_Foundation\20250225_mem_histone\fish8_24hpf,,mYH:H2B (80 and 120 pg),,
IMG_CLT_20250226_01,244,2025-02-26,casper/rnf,ef1a:2xLynk:tdmSG(J) (F1 of allele 301),2025-02-27,,U:\Data\20240911_Korra_Foundation\20250225_mem_histone\fish7_24hpf,,mYH:H2B (80 and 120 pg),,
IMG_CLT_20250226_01,245,2025-02-26,casper/rnf,ef1a:2xLynk:tdmSG(J) (F1 of allele 301),2025-02-27,,U:\Data\20240911_Korra_Foundation\20250225_mem_histone\fish9_24hpf,,mYH:H2B (80 and 120 pg),,
IMG_CLT_20250226_01,246,2025-02-26,casper/rnf,ef1a:2xLynk:tdmSG(J) (F1 of allele 301),2025-02-27,,U:\Data\20240911_Korra_Foundation\20250225_mem_histone\fish10_24hpf,,mYH:H2B (80 and 120 pg),,
IMG_CLT_20250226_01,247,2025-02-26,casper/rnf,ef1a:2xLynk:tdmSG(J) (F1 of allele 301),2025-02-27,,U:\Data\20240911_Korra_Foundation\20250225_mem_histone\fish11_24hpf,,mYH:H2B (80 and 120 pg),,
IMG_CLT_20250226_01,248,2025-02-26,casper/rnf,ef1a:2xLynk:tdmSG(J) (F1 of allele 301),2025-02-27,,U:\Data\20240911_Korra_Foundation\20250225_mem_histone\fish12_24hpf,,mYH:H2B (80 and 120 pg),,
IMG_CLT_20250224_01,249,2025-02-24,casper/rnf,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),2025-02-26,,U:\Data\20240911_Korra_Foundation\20250225_mem_nuc\fish3_48hpf,,mYH:H2B (80 and 120 pg),,
IMG_CLT_20250224_01,250,2025-02-24,casper/rnf,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),2025-02-26,,U:\Data\20240911_Korra_Foundation\20250225_mem_nuc\fish4_48hpf,,mYH:H2B (80 and 120 pg),,
IMG_CLT_20250224_01,251,2025-02-24,casper/rnf,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),2025-02-26,,U:\Data\20240911_Korra_Foundation\20250225_mem_histone\fish5_6_48hpf (roi1-2),,mYH:H2B (80 and 120 pg),,
IMG_CLT_20250224_01,252,2025-02-24,casper/rnf,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),2025-02-26,,U:\Data\20240911_Korra_Foundation\20250225_mem_histone\fish5_6_48hpf (roi3-4),,mYH:H2B (80 and 120 pg),,
IMG_CLT_20250224_01,253,2025-02-24,casper/rnf,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),2025-02-25,,U:\Data\20240911_Korra_Foundation\20250225_mem_histone\fish1_24hpf,,mYH:H2B (80 and 120 pg),,
IMG_CLT_20250224_01,254,2025-02-24,casper/rnf,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),2025-02-25,,,,mYH:H2B (80 and 120 pg),,
IMG_CLT_20250224_01,255,2025-02-24,casper/rnf,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),2025-02-25,,U:\Data\20240911_Korra_Foundation\20250225_mem_histone\fish2_24hpf,,mYH:H2B (80 and 120 pg),,
IMG_CLT_20250224_01,256,2025-02-24,casper/rnf,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),2025-02-25,,,,mYH:H2B (80 and 120 pg),,
IMG_CLT_20250217_01,259,2025-02-17,ef1a:H2B:Halo,ef1a:2xLynk:tdmSG(J) (F1 of allele 301),2025-02-20,,U:\Data\20240911_Korra_Foundation\20250218_mem_histone\fish3_72hpf_halo_jfx649,,JF635 3uM,,
