clutch_code,sheet_row_index,date_born,zf_female_genotype_text,zf_male_genotype_text,date_mount,mount_id,data_location,row_plasmids_text,row_rnas_text,row_proteins_text,row_dyes_text
IMG_CLT_20251016_01,27,2025-10-16,casper/rnf,casper/rnf,2025-10-17,2,X:\abcabc\Aang_Foundation\20251017_nuclear_envelope,MGCO54(nuclearenvelope-A2UCOE-attb_entire+pDQM147-LEMD2-mStayGold),,,
IMG_CLT_20251013_02,28,2025-10-13,ef1a:2xLynk:tdmSG(J) (F1 of allele 302),tdmScarlet3S2:H2B-tol2 (F1 of allele 324),2025-10-16,1,X:\abcabc\Korra_Foundation\20251016_mem-histone,,,,
IMG_CLT_20251008_01,29,2025-10-08,ef1a:2xLynk:tdmChilada (F1 of allele 315),casper/rnf,2025-10-16,2,X:\abcabc\Aang_Foundation\20251016_mem-mito_v2,MGCO-28(ef1a-extended-2Xcox8A-linker-mStayGold-SV40-attb-tol2),,,
IMG_CLT_20251013_02,30,2025-10-13,ef1a:2xLynk:tdmSG(J) (F1 of allele 302),tdmScarlet3S2:H2B-tol2 (F1 of allele 324),2025-10-15,1,X:\abcabc\Korra_Foundation\20251015_mem-histone,,,,
IMG_CLT_20251013_02,31,2025-10-13,ef1a:2xLynk:tdmSG(J) (F1 of allele 302),tdmScarlet3S2:H2B-tol2 (F1 of allele 324),2025-10-14,1,X:\abcabc\Aang_Foundation\20251015_mem-histone,,,,
IMG_CLT_20251013_01,32,2025-10-13,ef1a:2xLynk:tdmChilada (F1 of allele 315),casper/rnf,2025-10-14,2,X:\abcabc\Aang_Foundation\20251016_mem-mito,,,,
IMG_CLT_20251009_01,33,2025-10-09,ef1a:2xLynk:tdmSG(J) (F1 of allele 301),tdmScarlet3S2:H2B-tol2 (F1 of allele 324),2025-10-13,1,X:\abcabc\Aang_Foundation\20251013_mem-histone,,,,
IMG_CLT_20251009_01,34,2025-10-09,ef1a:2xLynk:tdmSG(J) (F1 of allele 301),tdmScarlet3S2:H2B-tol2 (F1 of allele 324),2025-10-13,2,X:\abcabc\Korra_Foundation\20251013_mem-histone,,,,
IMG_CLT_20251009_01,35,2025-10-09,ef1a:2xLynk:tdmSG(J) (F1 of allele 301),tdmScarlet3S2:H2B-tol2 (F1 of allele 324),2025-10-10,1,,,,,
IMG_CLT_20251009_01,36,2025-10-09,ef1a:2xLynk:tdmSG(J) (F1 of allele 301),tdmScarlet3S2:H2B-tol2 (F1 of allele 324),2025-10-10,2,X:\abcabc\Korra_Foundation\20251010_mem-histone,,,,
IMG_CLT_20251008_01,37,2025-10-08,ef1a:2xLynk:tdmChilada (F1 of allele 315),casper/rnf,2025-10-09,1,X:\abcabc\Aang_Foundation\20251010_mem-mito,MGCO-28(ef1a-extended-2Xcox8A-linker-mStayGold-SV40-attb-tol2),,,
IMG_CLT_20251007_03,38,2025-10-07,ef1a:<cryaa:mSc>mKate2/mCitrine/Electra2/mKOK/mTFP1 (F1 of allele 310),ef1a:<cryaa:mSc>mKate2/mCitrine/Electra2/mKOK/mTFP1 (F1 of allele 317),2025-10-08,1,,,,,
IMG_CLT_20251007_02,39,2025-10-07,ef1a:<cryaa:mSc>mKate2/mCitrine/Electra2/mKOK/mTFP1 (F1 of allele 309),ef1a:<cryaa:mSc>mKate2/mCitrine/Electra2/mKOK/mTFP1 (F1 of allele 309),2025-10-08,2,,,,,
IMG_CLT_20251007_01,40,2025-10-07,casper/rnf,tdmScarlet3S2 (F1 of allele 325),2025-10-08,3,,,,,
IMG_CLT_20251005_01,41,2025-10-05,ef1a:2xLynk:tdmSG(J) (F1 of allele 302),ef1a:2xLynk:tdmSG(J) (F1 of allele 304),2025-10-07,1,,,,,
IMG_CLT_20251005_01,42,2025-10-05,ef1a:2xLynk:tdmSG(J) (F1 of allele 302),ef1a:2xLynk:tdmSG(J) (F1 of allele 304),2025-10-06,1,,,,,
IMG_CLT_20251005_01,43,2025-10-05,ef1a:2xLynk:tdmSG(J) (F1 of allele 302),ef1a:2xLynk:tdmSG(J) (F1 of allele 304),2025-10-06,2,,,,,
IMG_CLT_20250930_01,44,2025-09-30,ef1a:2xLynk:tdmSG(J) (F1 of allele 301),tdmScarlet3S2:H2B-tol2 (F1 of allele 324),2025-10-03,2.1,,,,,
IMG_CLT_20250930_01,45,2025-09-30,ef1a:2xLynk:tdmSG(J) (F1 of allele 301),tdmScarlet3S2:H2B-tol2 (F1 of allele 324),2025-10-03,2.2,,,,,
IMG_CLT_20251001_02,46,2025-10-01,ef1a:2xLynk:tdmChilada (F1 of allele 315),casper/rnf,2025-10-03,1.1,,,MGCO28,,
IMG_CLT_20251001_02,47,2025-10-01,ef1a:2xLynk:tdmChilada (F1 of allele 315),casper/rnf,2025-10-03,1.2,,,MGCO28,,
IMG_CLT_20251001_01,48,2025-10-01,casper/rnf,tdmScarlet3S2 (F1 of allele 325),2025-10-02,1,,,MGCO01,,
IMG_CLT_20251001_02,49,2025-10-01,ef1a:2xLynk:tdmChilada (F1 of allele 315),casper/rnf,2025-10-02,2,,,MGCO01,,
IMG_CLT_20251001_02,50,2025-10-01,ef1a:2xLynk:tdmChilada (F1 of allele 315),casper/rnf,2025-10-02,3,,,MGCO28,,
IMG_CLT_20250930_01,51,2025-09-30,ef1a:2xLynk:tdmSG(J) (F1 of allele 301),tdmScarlet3S2:H2B-tol2 (F1 of allele 324),2025-10-01,1,,,,,
