clutch_code,clutch_date,estimated_egg_count,source_system,female_genotype_text,male_genotype_text,notes,female_plasmid_base_code,female_allele,male_plasmid_base_code,male_allele,genotype_base_codes,genotype_allele_codes,genotype_pretty,genotype_cross_label,treatment_plasmids_text,treatment_rnas_text,treatment_proteins_text,treatment_dyes_text
IMG_CLT_20250310_01,2025-03-10,8,imaging_backfill,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),"Backfilled from imaging_sheet; grouped by (Date born, ZF female genotype, ZF male genotype)",pDQM005,301,pDQM005,301,pDQM005,pDQM005:301,pDQM005(301),pDQM005_301,ef1a:mTFP1 and ef1a:mBeRFP,mScarlet3-S2:H2B,,
IMG_CLT_20250312_01,2025-03-12,4,imaging_backfill,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:<cryaa:mSc>mKate2/mCitrine/Electra2/mKOK/mTFP1 (F1 of allele 309),"Backfilled from imaging_sheet; grouped by (Date born, ZF female genotype, ZF male genotype)",pDQM005,301,pDQM034,310,"pDQM005,pDQM034","pDQM005:301,pDQM034:310",pDQM005(301)/pDQM034(310),pDQM005_301_310,,phiC,,
IMG_CLT_20250313_01,2025-03-13,2,imaging_backfill,casper/rnf,ef1a:2xLynk:tdmSG(J) (F1 of allele 301),"Backfilled from imaging_sheet; grouped by (Date born, ZF female genotype, ZF male genotype)",,,pDQM005,301,pDQM005,pDQM005:301,pDQM005(301),pDQM005_301,,mScarlet3-S2:H2B,,
IMG_CLT_20250314_01,2025-03-14,3,imaging_backfill,casper/rnf,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),"Backfilled from imaging_sheet; grouped by (Date born, ZF female genotype, ZF male genotype)",,,pDQM005,301,pDQM005,pDQM005:301,pDQM005(301),pDQM005_301,,mScarlet3-S2:H2B,,
IMG_CLT_20250317_01,2025-03-17,8,imaging_backfill,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),casper/rnf,"Backfilled from imaging_sheet; grouped by (Date born, ZF female genotype, ZF male genotype)",pDQM005,301,,,pDQM005,pDQM005:301,pDQM005(301),pDQM005_301,,mScarlet3-S2:H2B,,
IMG_CLT_20250319_01,2025-03-19,1,imaging_backfill,casper/rnf,ef1a:<exorh:GFP>mKate2/mCitrine/Electra2/mKOK/mTFP1 (F1 of allele 313),"Backfilled from imaging_sheet; grouped by (Date born, ZF female genotype, ZF male genotype)",,,pDQM036,318,pDQM036,pDQM036:318,pDQM036(318),pDQM036_318,,phiC,,
IMG_CLT_20250321_01,2025-03-21,2,imaging_backfill,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),"Backfilled from imaging_sheet; grouped by (Date born, ZF female genotype, ZF male genotype)",pDQM005,301,pDQM005,301,pDQM005,pDQM005:301,pDQM005(301),pDQM005_301,,mScarlet3-S2:H2B,,
IMG_CLT_20250324_01,2025-03-24,2,imaging_backfill,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),"Backfilled from imaging_sheet; grouped by (Date born, ZF female genotype, ZF male genotype)",pDQM005,301,pDQM005,301,pDQM005,pDQM005:301,pDQM005(301),pDQM005_301,,mScarlet3-S2:H2B,,
IMG_CLT_20250326_01,2025-03-26,5,imaging_backfill,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:<exorh:GFP>mKate2/mCitrine/Electra2/mKOK/mTFP1 (F1 of allele 313),"Backfilled from imaging_sheet; grouped by (Date born, ZF female genotype, ZF male genotype)",pDQM005,301,pDQM036,318,"pDQM005,pDQM036","pDQM005:301,pDQM036:318",pDQM005(301)/pDQM036(318),pDQM005_301_318,,phiC,,
IMG_CLT_20250328_01,2025-03-28,1,imaging_backfill,casper/rnf,ef1a:2xLynk:tdmSG(J) (F1 of allele 308),"Backfilled from imaging_sheet; grouped by (Date born, ZF female genotype, ZF male genotype)",,,pDQM005,308,pDQM005,pDQM005:308,pDQM005(308),pDQM005_308,,mScarlet3-S2:H2B,,
