clutch_code,clutch_date,estimated_egg_count,source_system,female_genotype_text,male_genotype_text,notes,female_plasmid_base_code,female_allele,male_plasmid_base_code,male_allele,genotype_base_codes,genotype_allele_codes,genotype_pretty,genotype_cross_label,treatment_plasmids_text,treatment_rnas_text,treatment_proteins_text,treatment_dyes_text
IMG_CLT_20250801_01,2025-08-01,1,imaging_backfill,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),"Backfilled from imaging_sheet; grouped by (Date born, ZF female genotype, ZF male genotype)",pDQM005,301,pDQM005,301,pDQM005,pDQM005:301,pDQM005(301),pDQM005_301,,tdmChilada:PCNA,,
IMG_CLT_20250804_01,2025-08-04,2,imaging_backfill,membrane Halo,membrane Halo,"Backfilled from imaging_sheet; grouped by (Date born, ZF female genotype, ZF male genotype)",Swinburne,Swinburne,Swinburne,Swinburne,Swinburne,Swinburne:Swinburne,Swinburne(Swinburne),Swinburne_Swinburne,,Lifeact:mSG; 2xCox8A:mSG,,
IMG_CLT_20250804_02,2025-08-04,1,imaging_backfill,,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),"Backfilled from imaging_sheet; grouped by (Date born, ZF female genotype, ZF male genotype)",,,pDQM005,301,pDQM005,pDQM005:301,pDQM005(301),pDQM005_301,,,,
IMG_CLT_20250807_01,2025-08-07,2,imaging_backfill,membrane mChilada,membrane mChilada,"Backfilled from imaging_sheet; grouped by (Date born, ZF female genotype, ZF male genotype)",pDQM082,315,pDQM082,315,pDQM082,pDQM082:315,pDQM082(315),pDQM082_315,,2xCox8A:mSG; LAMP1:mSG,,
IMG_CLT_20250811_01,2025-08-11,1,imaging_backfill,tandem mem:mStayGold,tdmScarlet3S2:H2B-tol2 (F1 of allele 324),"Backfilled from imaging_sheet; grouped by (Date born, ZF female genotype, ZF male genotype)",pDQM005,301,pDQM133,324,"pDQM005,pDQM133","pDQM005:301,pDQM133:324",pDQM005(301)/pDQM133(324),pDQM005_301_324,,,,
IMG_CLT_20250814_01,2025-08-14,1,imaging_backfill,casper/rnf,tdmScarlet3S2 (F2 of allele 325),"Backfilled from imaging_sheet; grouped by (Date born, ZF female genotype, ZF male genotype)",,,pDQM136,325,pDQM136,pDQM136:325,pDQM136(325),pDQM136_325,,,,
IMG_CLT_20250815_01,2025-08-15,2,imaging_backfill,tandem mem:mStayGold,tandem mem:mStayGold,"Backfilled from imaging_sheet; grouped by (Date born, ZF female genotype, ZF male genotype)",pDQM005,301,pDQM005,301,pDQM005,pDQM005:301,pDQM005(301),pDQM005_301,ef1a:mCardinal (iCodon); ef1a:linker:mKate2:linker-attB,,,
IMG_CLT_20250818_01,2025-08-18,3,imaging_backfill,casper/rnf,mem:tdmChilada,"Backfilled from imaging_sheet; grouped by (Date born, ZF female genotype, ZF male genotype)",,,pDQM082,315,pDQM082,pDQM082:315,pDQM082(315),pDQM082_315,,2xCox8A:mSG; mSG:sec61b,,
IMG_CLT_20250818_02,2025-08-18,1,imaging_backfill,tandem mem:mStayGold,tdmScarlet3S2:H2B-tol2 (F1 of allele 324),"Backfilled from imaging_sheet; grouped by (Date born, ZF female genotype, ZF male genotype)",pDQM005,301,pDQM133,324,"pDQM005,pDQM133","pDQM005:301,pDQM133:324",pDQM005(301)/pDQM133(324),pDQM005_301_324,,,,
IMG_CLT_20250819_01,2025-08-19,1,imaging_backfill,casper/rnf,casper/rnf,"Backfilled from imaging_sheet; grouped by (Date born, ZF female genotype, ZF male genotype)",,,,,,,,,ef1a:mCardinal (iCodon),,,
IMG_CLT_20250820_01,2025-08-20,3,imaging_backfill,casper/rnf,mem:tdmChilada,"Backfilled from imaging_sheet; grouped by (Date born, ZF female genotype, ZF male genotype)",,,pDQM082,315,pDQM082,pDQM082:315,pDQM082(315),pDQM082_315,,2xCox8A:mSG; mSG:MYH10,,
IMG_CLT_20250822_01,2025-08-22,2,imaging_backfill,casper/rnf,casper/rnf,"Backfilled from imaging_sheet; grouped by (Date born, ZF female genotype, ZF male genotype)",,,,,,,,,ef1a-extended:2xCox8A:mStayGold; ef1a-extended:mStayGold:sec61b,,,
IMG_CLT_20250822_02,2025-08-22,1,imaging_backfill,casper/rnf,tandem mem:mStayGold; tdmChilada(MAGPV):Histone,"Backfilled from imaging_sheet; grouped by (Date born, ZF female genotype, ZF male genotype)",,,"pDQM005, pDQM104","301, n/a","pDQM005, pDQM104","pDQM005, pDQM104:301, n/a","pDQM005, pDQM104(301, n/a)","pDQM005, pDQM104_301, n/a",,,,
IMG_CLT_20250822_03,2025-08-22,1,imaging_backfill,casper/rnf,tandem mem:mStayGold; tdmChilada:Histone,"Backfilled from imaging_sheet; grouped by (Date born, ZF female genotype, ZF male genotype)",,,"pDQM005, pDQM104","301, n/a","pDQM005, pDQM104","pDQM005, pDQM104:301, n/a","pDQM005, pDQM104(301, n/a)","pDQM005, pDQM104_301, n/a",,,,
IMG_CLT_20250825_01,2025-08-25,1,imaging_backfill,casper/rnf,ef1a:2xLynk:tdmChilada (F1 of allele 315),"Backfilled from imaging_sheet; grouped by (Date born, ZF female genotype, ZF male genotype)",,,pDQM082,315,pDQM082,pDQM082:315,pDQM082(315),pDQM082_315,,Lifeact:mSG,,
IMG_CLT_20250825_02,2025-08-25,2,imaging_backfill,casper/rnf,mem:tdmChilada,"Backfilled from imaging_sheet; grouped by (Date born, ZF female genotype, ZF male genotype)",,,pDQM082,315,pDQM082,pDQM082:315,pDQM082(315),pDQM082_315,,2xCox8A:mSG; Lifeact:mSG,,
IMG_CLT_20250825_03,2025-08-25,2,imaging_backfill,casper/rnf,tdmScarlet3S2 (F2 of allele 325),"Backfilled from imaging_sheet; grouped by (Date born, ZF female genotype, ZF male genotype)",,,pDQM136,325,pDQM136,pDQM136:325,pDQM136(325),pDQM136_325,,2xCox8A:mSG; mSG:alpha-tub,,
IMG_CLT_20250826_01,2025-08-26,1,imaging_backfill,csp/pIGLET 14a,csp/pIGLET 14a,"Backfilled from imaging_sheet; grouped by (Date born, ZF female genotype, ZF male genotype)",,,,,,,,,MGCO34(lifeact-mStayGold),,,
IMG_CLT_20250827_01,2025-08-27,1,imaging_backfill,casper/rnf,ef1a:2xLynk:tdmChilada (F1 of allele 315),"Backfilled from imaging_sheet; grouped by (Date born, ZF female genotype, ZF male genotype)",,,pDQM082,315,pDQM082,pDQM082:315,pDQM082(315),pDQM082_315,,Lifeact:mSG,,
IMG_CLT_20250902_01,2025-09-02,3,imaging_backfill,casper/rnf,mem:tdmChilada,"Backfilled from imaging_sheet; grouped by (Date born, ZF female genotype, ZF male genotype)",,,pDQM082,315,pDQM082,pDQM082:315,pDQM082(315),pDQM082_315,,HC-9 Lifeact:mStayGold,,
IMG_CLT_20250902_02,2025-09-02,1,imaging_backfill,casper/rnf,tandem mem:mStayGold,"Backfilled from imaging_sheet; grouped by (Date born, ZF female genotype, ZF male genotype)",,,pDQM005,301,pDQM005,pDQM005:301,pDQM005(301),pDQM005_301,,HC-2 2:NLS-mScarlet3,,
IMG_CLT_20250903_01,2025-09-03,1,imaging_backfill,casper/rnf,ef1a-extended:2xLynk:tdmScarlet3-S2-tol2 (F1 of allele 325),"Backfilled from imaging_sheet; grouped by (Date born, ZF female genotype, ZF male genotype)",,,pDQM136,325,pDQM136,pDQM136:325,pDQM136(325),pDQM136_325,,HC-9 Lifeact:mStayGold,,
IMG_CLT_20250905_01,2025-09-05,1,imaging_backfill,ef1a:2xLynk:tdm:mChilada,ef1a:2xLynk:tdm:mChilada,"Backfilled from imaging_sheet; grouped by (Date born, ZF female genotype, ZF male genotype)",pDQM082,315,pDQM082,315,pDQM082,pDQM082:315,pDQM082(315),pDQM082_315,,2xCox8A:mSG,,
IMG_CLT_20250908_01,2025-09-08,2,imaging_backfill,,,"Backfilled from imaging_sheet; grouped by (Date born, ZF female genotype, ZF male genotype)",,,,,,,,,,,,
IMG_CLT_20250909_01,2025-09-09,3,imaging_backfill,ef1a:2xLynk:tdmChilada (F1 of allele 315),ef1a:2xLynk:tdmChilada (F1 of allele 315),"Backfilled from imaging_sheet; grouped by (Date born, ZF female genotype, ZF male genotype)",pDQM082,315,pDQM082,315,pDQM082,pDQM082:315,pDQM082(315),pDQM082_315,,2xCox8A:mSG,,
IMG_CLT_20250912_01,2025-09-12,1,imaging_backfill,,ef1a:2xLynk:tdm:Halo,"Backfilled from imaging_sheet; grouped by (Date born, ZF female genotype, ZF male genotype)",,,Swinburne,Swinburne,Swinburne,Swinburne:Swinburne,Swinburne(Swinburne),Swinburne_Swinburne,,2xCox8A:mSG,,
IMG_CLT_20250915_01,2025-09-15,2,imaging_backfill,ef1a:2xLynk:tdmChilada (F1 of allele 315),ef1a:2xLynk:tdmChilada (F1 of allele 315),"Backfilled from imaging_sheet; grouped by (Date born, ZF female genotype, ZF male genotype)",pDQM082,315,pDQM082,315,pDQM082,pDQM082:315,pDQM082(315),pDQM082_315,,2xCox8A:mSG,,
IMG_CLT_20250915_02,2025-09-15,1,imaging_backfill,tdmScarlet3S2 (F1 of allele 325),tdmScarlet3S2 (F1 of allele 325),"Backfilled from imaging_sheet; grouped by (Date born, ZF female genotype, ZF male genotype)",pDQM136,325,pDQM136,325,pDQM136,pDQM136:325,pDQM136(325),pDQM136_325,,2xCox8A:mSG,,
IMG_CLT_20250917_01,2025-09-17,1,imaging_backfill,ef1a:2xLynk:tdmChilada (F1 of allele 315),ef1a:2xLynk:tdmChilada (F1 of allele 315),"Backfilled from imaging_sheet; grouped by (Date born, ZF female genotype, ZF male genotype)",pDQM082,315,pDQM082,315,pDQM082,pDQM082:315,pDQM082(315),pDQM082_315,,2xCox8A:mSG,,
IMG_CLT_20250919_01,2025-09-19,1,imaging_backfill,casper/rnf,tdmScarlet3S2 (F1 of allele 325),"Backfilled from imaging_sheet; grouped by (Date born, ZF female genotype, ZF male genotype)",,,pDQM136,325,pDQM136,pDQM136:325,pDQM136(325),pDQM136_325,,2xCox8A:mSG,,
IMG_CLT_20250923_01,2025-09-23,2,imaging_backfill,casper/rnf,from Swinburne lab - tank ID 344 (F1 of allele 45385),"Backfilled from imaging_sheet; grouped by (Date born, ZF female genotype, ZF male genotype)",,,Swinburne,Swinburne,Swinburne,Swinburne:Swinburne,Swinburne(Swinburne),Swinburne_Swinburne,,2xCox8A:mSG,,
IMG_CLT_20250924_01,2025-09-24,1,imaging_backfill,casper/rnf,ef1a:2xLynk:tdmChilada (F1 of allele 315),"Backfilled from imaging_sheet; grouped by (Date born, ZF female genotype, ZF male genotype)",,,pDQM082,315,pDQM082,pDQM082:315,pDQM082(315),pDQM082_315,,2xCox8A:mSG,,
IMG_CLT_20250930_01,2025-09-30,4,imaging_backfill,ef1a:2xLynk:tdmSG(J) (F1 of allele 301),tdmScarlet3S2:H2B-tol2 (F1 of allele 324),"Backfilled from imaging_sheet; grouped by (Date born, ZF female genotype, ZF male genotype)",pDQM005,301,pDQM133,324,"pDQM005,pDQM133","pDQM005:301,pDQM133:324",pDQM005(301)/pDQM133(324),pDQM005_301_324,,,,
IMG_CLT_20251001_01,2025-10-01,1,imaging_backfill,casper/rnf,tdmScarlet3S2 (F1 of allele 325),"Backfilled from imaging_sheet; grouped by (Date born, ZF female genotype, ZF male genotype)",,,pDQM136,325,pDQM136,pDQM136:325,pDQM136(325),pDQM136_325,,MGCO01,,
IMG_CLT_20251001_02,2025-10-01,4,imaging_backfill,ef1a:2xLynk:tdmChilada (F1 of allele 315),casper/rnf,"Backfilled from imaging_sheet; grouped by (Date born, ZF female genotype, ZF male genotype)",pDQM082,315,,,pDQM082,pDQM082:315,pDQM082(315),pDQM082_315,,MGCO28; MGCO01,,
IMG_CLT_20251005_01,2025-10-05,3,imaging_backfill,ef1a:2xLynk:tdmSG(J) (F1 of allele 302),ef1a:2xLynk:tdmSG(J) (F1 of allele 304),"Backfilled from imaging_sheet; grouped by (Date born, ZF female genotype, ZF male genotype)",pDQM005,302,pDQM005,304,pDQM005,"pDQM005:302,pDQM005:304",pDQM005(302)/pDQM005(304),pDQM005_302_304,,,,
IMG_CLT_20251007_01,2025-10-07,1,imaging_backfill,casper/rnf,tdmScarlet3S2 (F1 of allele 325),"Backfilled from imaging_sheet; grouped by (Date born, ZF female genotype, ZF male genotype)",,,pDQM136,325,pDQM136,pDQM136:325,pDQM136(325),pDQM136_325,,,,
IMG_CLT_20251007_02,2025-10-07,1,imaging_backfill,ef1a:<cryaa:mSc>mKate2/mCitrine/Electra2/mKOK/mTFP1 (F1 of allele 309),ef1a:<cryaa:mSc>mKate2/mCitrine/Electra2/mKOK/mTFP1 (F1 of allele 309),"Backfilled from imaging_sheet; grouped by (Date born, ZF female genotype, ZF male genotype)",pDQM034,310,pDQM034,310,pDQM034,pDQM034:310,pDQM034(310),pDQM034_310,,,,
IMG_CLT_20251007_03,2025-10-07,1,imaging_backfill,ef1a:<cryaa:mSc>mKate2/mCitrine/Electra2/mKOK/mTFP1 (F1 of allele 310),ef1a:<cryaa:mSc>mKate2/mCitrine/Electra2/mKOK/mTFP1 (F1 of allele 317),"Backfilled from imaging_sheet; grouped by (Date born, ZF female genotype, ZF male genotype)",pDQM034,310,pDQM034,317,pDQM034,"pDQM034:310,pDQM034:317",pDQM034(310)/pDQM034(317),pDQM034_310_317,,,,
IMG_CLT_20251008_01,2025-10-08,2,imaging_backfill,ef1a:2xLynk:tdmChilada (F1 of allele 315),casper/rnf,"Backfilled from imaging_sheet; grouped by (Date born, ZF female genotype, ZF male genotype)",pDQM082,315,,,pDQM082,pDQM082:315,pDQM082(315),pDQM082_315,MGCO-28(ef1a-extended-2Xcox8A-linker-mStayGold-SV40-attb-tol2),,,
IMG_CLT_20251009_01,2025-10-09,4,imaging_backfill,ef1a:2xLynk:tdmSG(J) (F1 of allele 301),tdmScarlet3S2:H2B-tol2 (F1 of allele 324),"Backfilled from imaging_sheet; grouped by (Date born, ZF female genotype, ZF male genotype)",pDQM005,301,pDQM133,324,"pDQM005,pDQM133","pDQM005:301,pDQM133:324",pDQM005(301)/pDQM133(324),pDQM005_301_324,,,,
IMG_CLT_20251013_01,2025-10-13,1,imaging_backfill,ef1a:2xLynk:tdmChilada (F1 of allele 315),casper/rnf,"Backfilled from imaging_sheet; grouped by (Date born, ZF female genotype, ZF male genotype)",pDQM082,315,,,pDQM082,pDQM082:315,pDQM082(315),pDQM082_315,,,,
IMG_CLT_20251013_02,2025-10-13,3,imaging_backfill,ef1a:2xLynk:tdmSG(J) (F1 of allele 302),tdmScarlet3S2:H2B-tol2 (F1 of allele 324),"Backfilled from imaging_sheet; grouped by (Date born, ZF female genotype, ZF male genotype)",pDQM005,302,pDQM133,324,"pDQM005,pDQM133","pDQM005:302,pDQM133:324",pDQM005(302)/pDQM133(324),pDQM005_302_324,,,,
IMG_CLT_20251016_01,2025-10-16,2,imaging_backfill,casper/rnf,casper/rnf,"Backfilled from imaging_sheet; grouped by (Date born, ZF female genotype, ZF male genotype)",,,,,,,,,MGCO50(microtubule-A2UCOE-attb_entire+pDQM147-EB3-mStayGold); MGCO54(nuclearenvelope-A2UCOE-attb_entire+pDQM147-LEMD2-mStayGold),,,
IMG_CLT_20251017_01,2025-10-17,2,imaging_backfill,ef1a:2xLynk:tdmSG(J) (F1 of allele 301),tdmScarlet3S2:H2B-tol2 (F1 of allele 324),"Backfilled from imaging_sheet; grouped by (Date born, ZF female genotype, ZF male genotype)",pDQM005,301,pDQM133,324,"pDQM005,pDQM133","pDQM005:301,pDQM133:324",pDQM005(301)/pDQM133(324),pDQM005_301_324,,,,
IMG_CLT_20251020_01,2025-10-20,1,imaging_backfill,casper/rnf,tdmScarlet3S2 (F1 of allele 325),"Backfilled from imaging_sheet; grouped by (Date born, ZF female genotype, ZF male genotype)",,,pDQM136,325,pDQM136,pDQM136:325,pDQM136(325),pDQM136_325,,2xCox8A:mSG,,
IMG_CLT_20251020_02,2025-10-20,2,imaging_backfill,ef1a:2xLynk:tdmChilada (F1 of allele 315),casper/rnf,"Backfilled from imaging_sheet; grouped by (Date born, ZF female genotype, ZF male genotype)",pDQM082,315,,,pDQM082,pDQM082:315,pDQM082(315),pDQM082_315,,2xCox8A:mSG,,
IMG_CLT_20251021_01,2025-10-21,1,imaging_backfill,MGCO35 (F1 of allele 336),casper/rnf,"Backfilled from imaging_sheet; grouped by (Date born, ZF female genotype, ZF male genotype)",MGCO-35,336,,,MGCO-35,MGCO-35:336,MGCO-35(336),MGCO-35_336,,,,
IMG_CLT_20251021_02,2025-10-21,4,imaging_backfill,ef1a:2xLynk:tdmSG(J) (F1 of allele 302),tdmScarlet3S2:H2B-tol2 (F1 of allele 324),"Backfilled from imaging_sheet; grouped by (Date born, ZF female genotype, ZF male genotype)",pDQM005,302,pDQM133,324,"pDQM005,pDQM133","pDQM005:302,pDQM133:324",pDQM005(302)/pDQM133(324),pDQM005_302_324,,,,
IMG_CLT_20251022_01,2025-10-22,1,imaging_backfill,casper/rnf,casper/rnf,"Backfilled from imaging_sheet; grouped by (Date born, ZF female genotype, ZF male genotype)",,,,,,,,,MGCO-53-ER-A2UCOE-attb_entire+pDQM147-calnexin-mStayGold,,,
IMG_CLT_20251022_02,2025-10-22,1,imaging_backfill,casper/rnf,ef1a:2xLynk:tdmChilada (F1 of allele 315),"Backfilled from imaging_sheet; grouped by (Date born, ZF female genotype, ZF male genotype)",,,pDQM082,315,pDQM082,pDQM082:315,pDQM082(315),pDQM082_315,,2xCox8A:mSG,,
IMG_CLT_20251022_03,2025-10-22,1,imaging_backfill,casper/rnf,tdmScarlet3S2 (F1 of allele 325),"Backfilled from imaging_sheet; grouped by (Date born, ZF female genotype, ZF male genotype)",,,pDQM136,325,pDQM136,pDQM136:325,pDQM136(325),pDQM136_325,MGCO-51-lamellipodia-A2UCOE-attb_entire+PDQM148-mStayGold-C4-cortactin,,,
IMG_CLT_20251027_01,2025-10-27,4,imaging_backfill,casper/rnf,memrane tdmScarlet3S2 (F1 of allele 325),"Backfilled from imaging_sheet; grouped by (Date born, ZF female genotype, ZF male genotype)",,,pDQM136,325,pDQM136,pDQM136:325,pDQM136(325),pDQM136_325,MGCO-49_peroxisome-A2UCOE-ef1aextra-mStayGold-SKL; MGCO-52-peroxisome-A2UCOE-attb_entire+pDQM147-ABCDpmp70-mStayGold,2xCox8A:mSG,,
IMG_CLT_20251028_01,2025-10-28,1,imaging_backfill,ef1a:2xLynk:tdmSG(J) (F1 of allele 302),tdmScarlet3S2:H2B-tol2 (F1 of allele 324),"Backfilled from imaging_sheet; grouped by (Date born, ZF female genotype, ZF male genotype)",pDQM005,302,pDQM133,324,"pDQM005,pDQM133","pDQM005:302,pDQM133:324",pDQM005(302)/pDQM133(324),pDQM005_302_324,,2xCox8A:mSG,,
IMG_CLT_20251104_01,2025-11-04,3,imaging_backfill,casper,ef1a:2xLynk:tdmChilada (F1 of allele 315),"Backfilled from imaging_sheet; grouped by (Date born, ZF female genotype, ZF male genotype)",,,pDQM082,315,pDQM082,pDQM082:315,pDQM082(315),pDQM082_315,,2xCox8A:mSG,,
IMG_CLT_20251108_01,2025-11-08,1,imaging_backfill,casper,memrane tdmScarlet3S2 (F1 of allele 325),"Backfilled from imaging_sheet; grouped by (Date born, ZF female genotype, ZF male genotype)",,,pDQM136,325,pDQM136,pDQM136:325,pDQM136(325),pDQM136_325,MGCO-01(ef1a-2Xcox8A-linker-mStayGold-SV40-attb-tol2),,,
IMG_CLT_20251108_02,2025-11-08,1,imaging_backfill,ef1a:2xLynk:tdmSG(J) (F1 of allele 301),tdmScarlet3S2:H2B-tol2 (F1 of allele 324),"Backfilled from imaging_sheet; grouped by (Date born, ZF female genotype, ZF male genotype)",pDQM005,301,pDQM133,324,"pDQM005,pDQM133","pDQM005:301,pDQM133:324",pDQM005(301)/pDQM133(324),pDQM005_301_324,,,,
IMG_CLT_20251110_01,2025-11-10,2,imaging_backfill,casper,memrane tdmScarlet3S2 (F1 of allele 325),"Backfilled from imaging_sheet; grouped by (Date born, ZF female genotype, ZF male genotype)",,,pDQM136,325,pDQM136,pDQM136:325,pDQM136(325),pDQM136_325,MGCO-01(ef1a-2Xcox8A-linker-mStayGold-SV40-attb-tol2); MGCO-60-Factin-A2UCOE-attb_entire+PDQM148-mStayGold-C4-moesin,,,
