treat_code,treat_text,female_parents,male_parents,auto_suggested_base_codes
IMG_TRT_011,ef1a:mTFP1 and ef1a:mBeRFP,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),"pDQM037,pDQM038,pDQM051,pDQM052,pDQM060,pDQM067,pDQM068,pDQM069,pDQM070,pDQM071,pDQM072,pDQM073,pDQM074,pDQM075,pDQM078,pDQM079,pDQM080,pDQM081,pDQM082,pDQM083,pDQM084,pDQM085,pDQM086,pDQM087,pDQM088,pDQM089,pDQM090,pDQM091,pDQM094,pDQM095,pDQM096,pDQM101,pDQM114,pDQM120,pDQM121,pDQM122,pDQM123,pDQM124,pDQM125,pDQM126,pDQM127,pDQM137,pDQM140,pDQM141,pDQM144,pDQM145,pDQM009,pDQM010,pDQM016,pDQM017,pDQM024,pDQM025,pDQM034,pDQM035,pDQM063,pDQM064,pDQM097,pDQM119,pDQM027,pDQM028,pDQM029,pDQM030,pDQM031,pDQM045,pDQM046,pDQM047,pDQM048,pDQM049,pDQM050,pDQM065,pDQM066,pDQM092,pDQM093,pDQM115,pDQM116,pDQM128,pDQM129,pDQM132,pDQM134,pDQM135,pDQM136,pDQM138,pDQM139,pDQM152,pDQM156,pDQM157,pDQM164,pDQM166,pDQM005,pDQM006,pDQM007,pDQM008,pDQM026,pDQM039,pDQM040,pDQM053,pDQM054,pDQM055,pDQM056,pDQM057,pDQM058,pDQM061,pDQM062,pDQM076,pDQM077,pDQM131,pDQM142,pDQM153,pDQM155,pDQM159,pDQM001,pDQM002,pDQM102,pDQM103"
IMG_TRT_012,phiC,casper/rnf; ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:<cryaa:mSc>mKate2/mCitrine/Electra2/mKOK/mTFP1 (F1 of allele 309); ef1a:<exorh:GFP>mKate2/mCitrine/Electra2/mKOK/mTFP1 (F1 of allele 313),"pDQM097,pDQM098,pDQM099,pDQM100,pDQM110,pDQM111,pDQM112,pDQM113,pDQM165,pDQM166,pDQM037,pDQM038,pDQM051,pDQM052,pDQM060,pDQM067,pDQM068,pDQM069,pDQM070,pDQM071,pDQM072,pDQM073,pDQM074,pDQM075,pDQM078,pDQM079,pDQM080,pDQM081,pDQM082,pDQM083,pDQM084,pDQM085,pDQM086,pDQM087,pDQM088,pDQM089,pDQM090,pDQM091,pDQM094,pDQM095,pDQM096,pDQM101,pDQM114,pDQM120,pDQM121,pDQM122,pDQM123,pDQM124,pDQM125,pDQM126,pDQM127,pDQM137,pDQM140,pDQM141,pDQM144,pDQM145,pDQM027,pDQM028,pDQM029,pDQM030,pDQM031,pDQM045,pDQM046,pDQM047,pDQM048,pDQM049,pDQM050,pDQM065,pDQM066,pDQM092,pDQM093,pDQM115,pDQM116,pDQM128,pDQM129,pDQM132,pDQM134,pDQM135,pDQM136,pDQM138,pDQM139,pDQM152,pDQM156,pDQM157,pDQM164,pDQM005,pDQM006,pDQM007,pDQM008,pDQM026,pDQM039,pDQM040,pDQM053,pDQM054,pDQM055,pDQM056,pDQM057,pDQM058,pDQM061,pDQM062,pDQM076,pDQM077,pDQM131,pDQM142,pDQM153,pDQM155,pDQM159,pDQM001,pDQM002,pDQM102,pDQM103,pDQM034,pDQM035,pDQM043,pDQM044,pDQM063,pDQM064,pDQM009,pDQM010,pDQM011,pDQM012,pDQM024,pDQM025,pDQM013,pDQM016,pDQM017"
IMG_TRT_013,mScarlet3-S2:H2B,casper/rnf; ef1a:2xLynk:tdmSG(J) (F2 of allele 301); ef1a:2xLynk:tdmSG(J) (F2 of allele 302),casper/rnf; ef1a:2xLynk:tdmSG(J) (F1 of allele 301); ef1a:2xLynk:tdmSG(J) (F1 of allele 308); ef1a:2xLynk:tdmSG(J) (F2 of allele 301); ef1a:2xLynk:tdmSG(J) (F2 of allele 302),"pDQM124,pDQM146,pDQM051,pDQM052,pDQM053,pDQM054,pDQM058,pDQM060,pDQM065,pDQM066,pDQM067,pDQM072,pDQM073,pDQM076,pDQM077,pDQM094,pDQM105,pDQM117,pDQM118,pDQM119,pDQM125,pDQM126,pDQM131,pDQM161,pDQM162,pDQM167,pDQM168,pDQM037,pDQM038,pDQM068,pDQM069,pDQM070,pDQM071,pDQM074,pDQM075,pDQM078,pDQM079,pDQM080,pDQM081,pDQM082,pDQM083,pDQM084,pDQM085,pDQM086,pDQM087,pDQM088,pDQM089,pDQM090,pDQM091,pDQM095,pDQM096,pDQM101,pDQM114,pDQM120,pDQM121,pDQM122,pDQM123,pDQM127,pDQM137,pDQM140,pDQM141,pDQM144,pDQM145,pDQM027,pDQM028,pDQM029,pDQM030,pDQM031,pDQM045,pDQM046,pDQM047,pDQM048,pDQM049,pDQM050,pDQM092,pDQM093,pDQM115,pDQM116,pDQM128,pDQM129,pDQM132,pDQM134,pDQM135,pDQM136,pDQM138,pDQM139,pDQM152,pDQM156,pDQM157,pDQM164,pDQM166,pDQM005,pDQM006,pDQM007,pDQM008,pDQM026,pDQM039,pDQM040,pDQM055,pDQM056,pDQM057,pDQM061,pDQM062,pDQM142,pDQM153,pDQM155,pDQM159,pDQM001,pDQM002,pDQM102,pDQM103"
IMG_TRT_014,phiC; phiC-NLS,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:<exorh:GFP>mKate2/mCitrine/Electra2/mKOK/mTFP1 (F1 of allele 313),"pDQM097,pDQM098,pDQM099,pDQM100,pDQM110,pDQM111,pDQM112,pDQM113,pDQM165,pDQM166,pDQM037,pDQM038,pDQM051,pDQM052,pDQM060,pDQM067,pDQM068,pDQM069,pDQM070,pDQM071,pDQM072,pDQM073,pDQM074,pDQM075,pDQM078,pDQM079,pDQM080,pDQM081,pDQM082,pDQM083,pDQM084,pDQM085,pDQM086,pDQM087,pDQM088,pDQM089,pDQM090,pDQM091,pDQM094,pDQM095,pDQM096,pDQM101,pDQM114,pDQM120,pDQM121,pDQM122,pDQM123,pDQM124,pDQM125,pDQM126,pDQM127,pDQM137,pDQM140,pDQM141,pDQM144,pDQM145,pDQM027,pDQM028,pDQM029,pDQM030,pDQM031,pDQM045,pDQM046,pDQM047,pDQM048,pDQM049,pDQM050,pDQM065,pDQM066,pDQM092,pDQM093,pDQM115,pDQM116,pDQM128,pDQM129,pDQM132,pDQM134,pDQM135,pDQM136,pDQM138,pDQM139,pDQM152,pDQM156,pDQM157,pDQM164,pDQM005,pDQM006,pDQM007,pDQM008,pDQM026,pDQM039,pDQM040,pDQM053,pDQM054,pDQM055,pDQM056,pDQM057,pDQM058,pDQM061,pDQM062,pDQM076,pDQM077,pDQM131,pDQM142,pDQM153,pDQM155,pDQM159,pDQM001,pDQM002,pDQM102,pDQM103,pDQM034,pDQM035,pDQM043,pDQM044,pDQM063,pDQM064,pDQM009,pDQM010,pDQM011,pDQM012,pDQM024,pDQM025,pDQM013,pDQM016,pDQM017"
IMG_TRT_016,ef1a:mGold2s; ef1a:mGold2t,casper/rnf,casper/rnf,"pDQM037,pDQM038,pDQM051,pDQM052,pDQM060,pDQM067,pDQM068,pDQM069,pDQM070,pDQM071,pDQM072,pDQM073,pDQM074,pDQM075,pDQM078,pDQM079,pDQM080,pDQM081,pDQM082,pDQM083,pDQM084,pDQM085,pDQM086,pDQM087,pDQM088,pDQM089,pDQM090,pDQM091,pDQM094,pDQM095,pDQM096,pDQM101,pDQM114,pDQM120,pDQM121,pDQM122,pDQM123,pDQM124,pDQM125,pDQM126,pDQM127,pDQM137,pDQM140,pDQM141,pDQM144,pDQM145,pDQM138,pDQM139"
IMG_TRT_017,ef1a:mGold2s,ef1a:2xLynk:tdmSG(J) (F2 of allele 301); membrane Halo,ef1a:2xLynk:tdmSG(J) (F2 of allele 301); membrane Halo,"pDQM037,pDQM038,pDQM051,pDQM052,pDQM060,pDQM067,pDQM068,pDQM069,pDQM070,pDQM071,pDQM072,pDQM073,pDQM074,pDQM075,pDQM078,pDQM079,pDQM080,pDQM081,pDQM082,pDQM083,pDQM084,pDQM085,pDQM086,pDQM087,pDQM088,pDQM089,pDQM090,pDQM091,pDQM094,pDQM095,pDQM096,pDQM101,pDQM114,pDQM120,pDQM121,pDQM122,pDQM123,pDQM124,pDQM125,pDQM126,pDQM127,pDQM137,pDQM140,pDQM141,pDQM144,pDQM145,pDQM138,pDQM027,pDQM028,pDQM029,pDQM030,pDQM031,pDQM045,pDQM046,pDQM047,pDQM048,pDQM049,pDQM050,pDQM065,pDQM066,pDQM092,pDQM093,pDQM115,pDQM116,pDQM128,pDQM129,pDQM132,pDQM134,pDQM135,pDQM136,pDQM139,pDQM152,pDQM156,pDQM157,pDQM164,pDQM166,pDQM005,pDQM006,pDQM007,pDQM008,pDQM026,pDQM039,pDQM040,pDQM053,pDQM054,pDQM055,pDQM056,pDQM057,pDQM058,pDQM061,pDQM062,pDQM076,pDQM077,pDQM131,pDQM142,pDQM153,pDQM155,pDQM159,pDQM001,pDQM002,pDQM102,pDQM103,pDQM149,MGCO-03,MGCO-06,MGCO-09,MGCO-12,MGCO-14,MGCO-18,MGCO-20,MGCO-22,MGCO-24,MGCO-39,MGCO-40,MGCO-42,MGCO-44,MGCO-45,MGCO-46,MGCO-47"
IMG_TRT_019,2xLynk:mSG; Lifeact:Halo,casper/rnf,casper/rnf,"pDQM027,pDQM028,pDQM029,pDQM030,pDQM031,pDQM045,pDQM046,pDQM047,pDQM048,pDQM049,pDQM050,pDQM060,pDQM065,pDQM066,pDQM067,pDQM068,pDQM069,pDQM070,pDQM071,pDQM072,pDQM073,pDQM074,pDQM075,pDQM078,pDQM079,pDQM080,pDQM081,pDQM082,pDQM092,pDQM093,pDQM094,pDQM115,pDQM116,pDQM121,pDQM122,pDQM123,pDQM125,pDQM126,pDQM127,pDQM128,pDQM129,pDQM132,pDQM134,pDQM135,pDQM136,pDQM137,pDQM138,pDQM139,pDQM152,pDQM156,pDQM157,pDQM164,pDQM166,pDQM001,pDQM002,pDQM095,pDQM096,pDQM114,pDQM150,pDQM151,pDQM161,pDQM162,pDQM167,pDQM168,MGCO-23,MGCO-24,MGCO-34,MGCO-47,HC-9,pDQM101,pDQM149,MGCO-03,MGCO-06,MGCO-09,MGCO-12,MGCO-14,MGCO-18,MGCO-20,MGCO-22,MGCO-39,MGCO-40,MGCO-42,MGCO-44,MGCO-45,MGCO-46"
IMG_TRT_020,2xLynk:mChilada; 2xLynk:mSG,casper/rnf,casper/rnf,"pDQM027,pDQM028,pDQM029,pDQM030,pDQM031,pDQM045,pDQM046,pDQM047,pDQM048,pDQM049,pDQM050,pDQM060,pDQM065,pDQM066,pDQM067,pDQM068,pDQM069,pDQM070,pDQM071,pDQM072,pDQM073,pDQM074,pDQM075,pDQM078,pDQM079,pDQM080,pDQM081,pDQM082,pDQM092,pDQM093,pDQM094,pDQM115,pDQM116,pDQM121,pDQM122,pDQM123,pDQM125,pDQM126,pDQM127,pDQM128,pDQM129,pDQM132,pDQM134,pDQM135,pDQM136,pDQM137,pDQM138,pDQM139,pDQM152,pDQM156,pDQM157,pDQM164,pDQM166,pDQM022,pDQM023,pDQM041,pDQM042,pDQM089,pDQM090,pDQM091,pDQM104,pDQM108,pDQM109,MGCO-02,MGCO-05,MGCO-08,MGCO-11,MGCO-16,MGCO-26,pDQM001,pDQM002,pDQM095,pDQM096,pDQM114,pDQM150,pDQM151,pDQM161,pDQM162,pDQM167,pDQM168"
IMG_TRT_021,2xLynk:mChilada; 2xLynk:mSG; Lifeact:Halo,casper/rnf,casper/rnf,"pDQM027,pDQM028,pDQM029,pDQM030,pDQM031,pDQM045,pDQM046,pDQM047,pDQM048,pDQM049,pDQM050,pDQM060,pDQM065,pDQM066,pDQM067,pDQM068,pDQM069,pDQM070,pDQM071,pDQM072,pDQM073,pDQM074,pDQM075,pDQM078,pDQM079,pDQM080,pDQM081,pDQM082,pDQM092,pDQM093,pDQM094,pDQM115,pDQM116,pDQM121,pDQM122,pDQM123,pDQM125,pDQM126,pDQM127,pDQM128,pDQM129,pDQM132,pDQM134,pDQM135,pDQM136,pDQM137,pDQM138,pDQM139,pDQM152,pDQM156,pDQM157,pDQM164,pDQM166,pDQM022,pDQM023,pDQM041,pDQM042,pDQM089,pDQM090,pDQM091,pDQM104,pDQM108,pDQM109,MGCO-02,MGCO-05,MGCO-08,MGCO-11,MGCO-16,MGCO-26,pDQM001,pDQM002,pDQM095,pDQM096,pDQM114,pDQM150,pDQM151,pDQM161,pDQM162,pDQM167,pDQM168,MGCO-23,MGCO-24,MGCO-34,MGCO-47,HC-9,pDQM101,pDQM149,MGCO-03,MGCO-06,MGCO-09,MGCO-12,MGCO-14,MGCO-18,MGCO-20,MGCO-22,MGCO-39,MGCO-40,MGCO-42,MGCO-44,MGCO-45,MGCO-46"
IMG_TRT_022,phiC-NLS,Dennis (F2 of allele 318),Abe (F2 of allele 309),
IMG_TRT_023,IMG_TRT_023,casper/rnf; ef1a:<cryaa:mSc>mKate2/mCitrine/Electra2/mKOK/mTFP1 (F1 of allele 309); ef1a:<cryaa:mSc>mKate2/mCitrine/Electra2/mKOK/mTFP1 (F1 of allele 310); ef1a:2xLynk:tdmChilada (F1 of allele 315); ef1a:2xLynk:tdmSG(J) (F1 of allele 301); ef1a:2xLynk:tdmSG(J) (F1 of allele 302); MGCO35 (F1 of allele 336); tandem mem:mStayGold,casper/rnf; ef1a:<cryaa:mSc>mKate2/mCitrine/Electra2/mKOK/mTFP1 (F1 of allele 309); ef1a:<cryaa:mSc>mKate2/mCitrine/Electra2/mKOK/mTFP1 (F1 of allele 317); ef1a:2xLynk:tdmSG(J) (F1 of allele 304); ef1a:2xLynk:tdmSG(J) (F2 of allele 301); ef1a:2xLynk:tdmSG(J) (F2 of allele 302); tandem mem:mStayGold; tdmChilada:Histone; tandem mem:mStayGold; tdmChilada(MAGPV):Histone; tdmScarlet3S2 (F1 of allele 325); tdmScarlet3S2 (F2 of allele 325); tdmScarlet3S2:H2B-tol2 (F1 of allele 324),"pDQM037,pDQM038,pDQM051,pDQM052,pDQM060,pDQM067,pDQM068,pDQM069,pDQM070,pDQM071,pDQM072,pDQM073,pDQM074,pDQM075,pDQM078,pDQM079,pDQM080,pDQM081,pDQM082,pDQM083,pDQM084,pDQM085,pDQM086,pDQM087,pDQM088,pDQM089,pDQM090,pDQM091,pDQM094,pDQM095,pDQM096,pDQM101,pDQM114,pDQM120,pDQM121,pDQM122,pDQM123,pDQM124,pDQM125,pDQM126,pDQM127,pDQM137,pDQM140,pDQM141,pDQM144,pDQM145,pDQM034,pDQM035,pDQM043,pDQM044,pDQM063,pDQM064,pDQM097,pDQM009,pDQM010,pDQM011,pDQM012,pDQM024,pDQM025,pDQM013,pDQM016,pDQM017,pDQM027,pDQM028,pDQM029,pDQM030,pDQM031,pDQM045,pDQM046,pDQM047,pDQM048,pDQM049,pDQM050,pDQM065,pDQM066,pDQM092,pDQM093,pDQM115,pDQM116,pDQM128,pDQM129,pDQM132,pDQM134,pDQM135,pDQM136,pDQM138,pDQM139,pDQM152,pDQM156,pDQM157,pDQM164,pDQM166,pDQM026,pDQM039,pDQM040,pDQM053,pDQM054,pDQM055,pDQM056,pDQM057,pDQM058,pDQM061,pDQM062,pDQM076,pDQM077,pDQM131,pDQM005,pDQM006,pDQM007,pDQM008,pDQM142,pDQM153,pDQM155,pDQM159,pDQM001,pDQM002,pDQM102,pDQM103,pDQM147,pDQM148,MGCO-01,MGCO-04,MGCO-07,MGCO-10,MGCO-13,MGCO-15,MGCO-17,MGCO-19,MGCO-21,MGCO-23,MGCO-25,MGCO-27,MGCO-28,MGCO-29,MGCO-30,MGCO-31,MGCO-32,MGCO-33,MGCO-34,MGCO-38,HC-9,pDQM160,pDQM133"
IMG_TRT_024,2xLynk:mSG; mChilada:H2B; phiC-NLS,Jim (F2 of allele 316),Ben (F2 of allele 310),"pDQM027,pDQM028,pDQM029,pDQM030,pDQM031,pDQM045,pDQM046,pDQM047,pDQM048,pDQM049,pDQM050,pDQM060,pDQM065,pDQM066,pDQM067,pDQM068,pDQM069,pDQM070,pDQM071,pDQM072,pDQM073,pDQM074,pDQM075,pDQM078,pDQM079,pDQM080,pDQM081,pDQM082,pDQM092,pDQM093,pDQM094,pDQM115,pDQM116,pDQM121,pDQM122,pDQM123,pDQM125,pDQM126,pDQM127,pDQM128,pDQM129,pDQM132,pDQM134,pDQM135,pDQM136,pDQM137,pDQM138,pDQM139,pDQM152,pDQM156,pDQM157,pDQM164,pDQM166,pDQM001,pDQM002,pDQM095,pDQM096,pDQM114,pDQM150,pDQM151,pDQM161,pDQM162,pDQM167,pDQM168,pDQM022,pDQM023,pDQM041,pDQM042,pDQM089,pDQM090,pDQM091,pDQM104,pDQM108,pDQM109,MGCO-02,MGCO-05,MGCO-08,MGCO-11,MGCO-16,MGCO-26,pDQM051,pDQM052,pDQM053,pDQM054,pDQM058,pDQM076,pDQM077,pDQM105,pDQM117,pDQM118,pDQM119,pDQM131"
IMG_TRT_025,2xLynk:mSG; phiC-NLS,Ben (F2 of allele 310); Dennis (F2 of allele 318); Jim (F2 of allele 316); Ken (F2 of allele 320); Liam (F2 of allele 321),Abe (F2 of allele 309); Ben (F2 of allele 310); Chris (F1 of allele 317); Isaac (F2 of allele 314),"pDQM027,pDQM028,pDQM029,pDQM030,pDQM031,pDQM045,pDQM046,pDQM047,pDQM048,pDQM049,pDQM050,pDQM060,pDQM065,pDQM066,pDQM067,pDQM068,pDQM069,pDQM070,pDQM071,pDQM072,pDQM073,pDQM074,pDQM075,pDQM078,pDQM079,pDQM080,pDQM081,pDQM082,pDQM092,pDQM093,pDQM094,pDQM115,pDQM116,pDQM121,pDQM122,pDQM123,pDQM125,pDQM126,pDQM127,pDQM128,pDQM129,pDQM132,pDQM134,pDQM135,pDQM136,pDQM137,pDQM138,pDQM139,pDQM152,pDQM156,pDQM157,pDQM164,pDQM166,pDQM001,pDQM002,pDQM095,pDQM096,pDQM114,pDQM150,pDQM151,pDQM161,pDQM162,pDQM167,pDQM168"
IMG_TRT_026,2xLynk:mSG; phiC-NLS,Jim (F2 of allele 316),Dennis (F2 of allele 318),"pDQM027,pDQM028,pDQM029,pDQM030,pDQM031,pDQM045,pDQM046,pDQM047,pDQM048,pDQM049,pDQM050,pDQM060,pDQM065,pDQM066,pDQM067,pDQM068,pDQM069,pDQM070,pDQM071,pDQM072,pDQM073,pDQM074,pDQM075,pDQM078,pDQM079,pDQM080,pDQM081,pDQM082,pDQM092,pDQM093,pDQM094,pDQM115,pDQM116,pDQM121,pDQM122,pDQM123,pDQM125,pDQM126,pDQM127,pDQM128,pDQM129,pDQM132,pDQM134,pDQM135,pDQM136,pDQM137,pDQM138,pDQM139,pDQM152,pDQM156,pDQM157,pDQM164,pDQM166,pDQM001,pDQM002,pDQM095,pDQM096,pDQM114,pDQM150,pDQM151,pDQM161,pDQM162,pDQM167,pDQM168"
IMG_TRT_027,2xLynk:mSG; phiC-NLS,Ben (F2 of allele 310),Abe (F2 of allele 309),"pDQM027,pDQM028,pDQM029,pDQM030,pDQM031,pDQM045,pDQM046,pDQM047,pDQM048,pDQM049,pDQM050,pDQM060,pDQM065,pDQM066,pDQM067,pDQM068,pDQM069,pDQM070,pDQM071,pDQM072,pDQM073,pDQM074,pDQM075,pDQM078,pDQM079,pDQM080,pDQM081,pDQM082,pDQM092,pDQM093,pDQM094,pDQM115,pDQM116,pDQM121,pDQM122,pDQM123,pDQM125,pDQM126,pDQM127,pDQM128,pDQM129,pDQM132,pDQM134,pDQM135,pDQM136,pDQM137,pDQM138,pDQM139,pDQM152,pDQM156,pDQM157,pDQM164,pDQM166,pDQM001,pDQM002,pDQM095,pDQM096,pDQM114,pDQM150,pDQM151,pDQM161,pDQM162,pDQM167,pDQM168"
IMG_TRT_029,mSG:sec61b,membrane Halo,membrane Halo,"pDQM001,pDQM002,pDQM027,pDQM028,pDQM047,pDQM048,pDQM049,pDQM050,pDQM079,pDQM080,pDQM081,pDQM095,pDQM096,pDQM114,pDQM122,pDQM123,pDQM127,pDQM137,pDQM150,pDQM151,pDQM152,pDQM161,pDQM162,pDQM164,pDQM166,pDQM167,pDQM168,MGCO-04,MGCO-05,MGCO-06,MGCO-27,MGCO-36,MGCO-40,pDQM101,pDQM149,MGCO-03,MGCO-09,MGCO-12,MGCO-14,MGCO-18,MGCO-20,MGCO-22,MGCO-24,MGCO-39,MGCO-42,MGCO-44,MGCO-45,MGCO-46,MGCO-47"
IMG_TRT_030,2xCox8A:mSG,casper; casper/rnf; ef1a:2xLynk:tdm:mChilada; ef1a:2xLynk:tdmChilada (F1 of allele 315); ef1a:2xLynk:tdmSG(J) (F1 of allele 302); membrane mChilada; tdmScarlet3S2 (F1 of allele 325),casper/rnf; ef1a:2xLynk:tdm:Halo; ef1a:2xLynk:tdm:mChilada; ef1a:2xLynk:tdmChilada (F1 of allele 315); from Swinburne lab - tank ID 344 (F1 of allele 45385); membrane mChilada; tdmScarlet3S2 (F1 of allele 325); tdmScarlet3S2:H2B-tol2 (F1 of allele 324),"MGCO-01,MGCO-02,MGCO-03,MGCO-28,MGCO-35,MGCO-39,pDQM001,pDQM002,pDQM027,pDQM028,pDQM047,pDQM048,pDQM049,pDQM050,pDQM079,pDQM080,pDQM081,pDQM095,pDQM096,pDQM114,pDQM122,pDQM123,pDQM127,pDQM137,pDQM150,pDQM151,pDQM152,pDQM161,pDQM162,pDQM164,pDQM166,pDQM167,pDQM168,pDQM037,pDQM038,pDQM051,pDQM052,pDQM060,pDQM067,pDQM068,pDQM069,pDQM070,pDQM071,pDQM072,pDQM073,pDQM074,pDQM075,pDQM078,pDQM082,pDQM083,pDQM084,pDQM085,pDQM086,pDQM087,pDQM088,pDQM089,pDQM090,pDQM091,pDQM094,pDQM101,pDQM120,pDQM121,pDQM124,pDQM125,pDQM126,pDQM140,pDQM141,pDQM144,pDQM145,pDQM029,pDQM030,pDQM031,pDQM045,pDQM046,pDQM065,pDQM066,pDQM092,pDQM093,pDQM115,pDQM116,pDQM128,pDQM129,pDQM132,pDQM134,pDQM135,pDQM136,pDQM138,pDQM139,pDQM156,pDQM157,pDQM022,pDQM023,pDQM041,pDQM042,pDQM104,pDQM108,pDQM109,MGCO-05,MGCO-08,MGCO-11,MGCO-16,MGCO-26,pDQM026,pDQM039,pDQM040,pDQM053,pDQM054,pDQM055,pDQM056,pDQM057,pDQM058,pDQM061,pDQM062,pDQM076,pDQM077,pDQM131,pDQM005,pDQM006,pDQM007,pDQM008,pDQM142,pDQM153,pDQM155,pDQM159,pDQM102,pDQM103,pDQM160,pDQM149,MGCO-06,MGCO-09,MGCO-12,MGCO-14,MGCO-18,MGCO-20,MGCO-22,MGCO-24,MGCO-40,MGCO-42,MGCO-44,MGCO-45,MGCO-46,MGCO-47,pDQM133"
IMG_TRT_031,mSG:sec61b,membrane mChilada,membrane mChilada,"pDQM001,pDQM002,pDQM027,pDQM028,pDQM047,pDQM048,pDQM049,pDQM050,pDQM079,pDQM080,pDQM081,pDQM095,pDQM096,pDQM114,pDQM122,pDQM123,pDQM127,pDQM137,pDQM150,pDQM151,pDQM152,pDQM161,pDQM162,pDQM164,pDQM166,pDQM167,pDQM168,MGCO-04,MGCO-05,MGCO-06,MGCO-27,MGCO-36,MGCO-40,pDQM022,pDQM023,pDQM041,pDQM042,pDQM089,pDQM090,pDQM091,pDQM092,pDQM093,pDQM104,pDQM108,pDQM109,MGCO-02,MGCO-08,MGCO-11,MGCO-16,MGCO-26"
IMG_TRT_032,tdmChilada:PCNA,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),"pDQM026,pDQM037,pDQM038,pDQM039,pDQM040,pDQM051,pDQM052,pDQM053,pDQM054,pDQM055,pDQM056,pDQM057,pDQM058,pDQM060,pDQM061,pDQM062,pDQM065,pDQM066,pDQM072,pDQM073,pDQM076,pDQM077,pDQM082,pDQM131,pDQM067,pDQM068,pDQM069,pDQM070,pDQM071,pDQM074,pDQM075,pDQM078,pDQM079,pDQM080,pDQM081,pDQM083,pDQM084,pDQM085,pDQM086,pDQM087,pDQM088,pDQM089,pDQM090,pDQM091,pDQM094,pDQM095,pDQM096,pDQM101,pDQM114,pDQM120,pDQM121,pDQM122,pDQM123,pDQM124,pDQM125,pDQM126,pDQM127,pDQM137,pDQM140,pDQM141,pDQM144,pDQM145,pDQM027,pDQM028,pDQM029,pDQM030,pDQM031,pDQM045,pDQM046,pDQM047,pDQM048,pDQM049,pDQM050,pDQM092,pDQM093,pDQM115,pDQM116,pDQM128,pDQM129,pDQM132,pDQM134,pDQM135,pDQM136,pDQM138,pDQM139,pDQM152,pDQM156,pDQM157,pDQM164,pDQM166,pDQM005,pDQM006,pDQM007,pDQM008,pDQM142,pDQM153,pDQM155,pDQM159,pDQM001,pDQM002,pDQM102,pDQM103"
IMG_TRT_035,ef1a:linker:mKate2:linker-attB; ef1a:mCardinal (iCodon),tandem mem:mStayGold,tandem mem:mStayGold,"pDQM037,pDQM038,pDQM051,pDQM052,pDQM060,pDQM067,pDQM068,pDQM069,pDQM070,pDQM071,pDQM072,pDQM073,pDQM074,pDQM075,pDQM078,pDQM079,pDQM080,pDQM081,pDQM082,pDQM083,pDQM084,pDQM085,pDQM086,pDQM087,pDQM088,pDQM089,pDQM090,pDQM091,pDQM094,pDQM095,pDQM096,pDQM101,pDQM114,pDQM120,pDQM121,pDQM122,pDQM123,pDQM124,pDQM125,pDQM126,pDQM127,pDQM137,pDQM140,pDQM141,pDQM144,pDQM145,pDQM102,pDQM103,pDQM106,pDQM107,pDQM108,pDQM109,pDQM146,pDQM147,pDQM148,pDQM149,pDQM009,pDQM010,pDQM014,pDQM015,pDQM024,pDQM025,pDQM034,pDQM035,pDQM063,pDQM064,pDQM097,pDQM143,MGCO-01,MGCO-04,MGCO-07,MGCO-10,MGCO-13,MGCO-15,MGCO-17,MGCO-19,MGCO-21,MGCO-23,MGCO-25,MGCO-27,MGCO-28,MGCO-29,MGCO-30,MGCO-31,MGCO-32,MGCO-33,MGCO-34,MGCO-38,HC-9"
IMG_TRT_036,2xCox8A:mSG; mSG:sec61b,casper/rnf,mem:tdmChilada,"MGCO-01,MGCO-02,MGCO-03,MGCO-28,MGCO-35,MGCO-39,pDQM001,pDQM002,pDQM027,pDQM028,pDQM047,pDQM048,pDQM049,pDQM050,pDQM079,pDQM080,pDQM081,pDQM095,pDQM096,pDQM114,pDQM122,pDQM123,pDQM127,pDQM137,pDQM150,pDQM151,pDQM152,pDQM161,pDQM162,pDQM164,pDQM166,pDQM167,pDQM168,MGCO-04,MGCO-05,MGCO-06,MGCO-27,MGCO-36,MGCO-40,pDQM026,pDQM037,pDQM038,pDQM039,pDQM040,pDQM051,pDQM052,pDQM053,pDQM054,pDQM055,pDQM056,pDQM057,pDQM058,pDQM060,pDQM061,pDQM062,pDQM065,pDQM066,pDQM072,pDQM073,pDQM076,pDQM077,pDQM082,pDQM131"
IMG_TRT_037,ef1a:mCardinal (iCodon),casper/rnf,casper/rnf,"pDQM037,pDQM038,pDQM051,pDQM052,pDQM060,pDQM067,pDQM068,pDQM069,pDQM070,pDQM071,pDQM072,pDQM073,pDQM074,pDQM075,pDQM078,pDQM079,pDQM080,pDQM081,pDQM082,pDQM083,pDQM084,pDQM085,pDQM086,pDQM087,pDQM088,pDQM089,pDQM090,pDQM091,pDQM094,pDQM095,pDQM096,pDQM101,pDQM114,pDQM120,pDQM121,pDQM122,pDQM123,pDQM124,pDQM125,pDQM126,pDQM127,pDQM137,pDQM140,pDQM141,pDQM144,pDQM145,pDQM143"
IMG_TRT_042,MGCO34(lifeact-mStayGold),csp/pIGLET 14a,csp/pIGLET 14a,
