roi_dir,slug,mother_fish_manual,father_fish_manual,injection type,injection plasmid
/clusterfs/vast/abcabc/Aang_Foundation/20251007_mem_histone/fish3_48hpf_roi1,,,,,
/clusterfs/vast/abcabc/Aang_Foundation/20251009_mem-mito/fish3_48hpf_roi1,mem_mito,casper,pMGCO028,NA,NA
/clusterfs/vast/abcabc/Aang_Foundation/20251009_mem-mito/fish3_48hpf_roi2,,,,,
/clusterfs/vast/abcabc/Aang_Foundation/20251009_mem-mito/fish3_48hpf_roi3,,,,,
/clusterfs/vast/abcabc/Aang_Foundation/20251009_mem-mito/fish3_48hpf_roi4,,,,,
/clusterfs/vast/abcabc/Aang_Foundation/20251107_mem-kinectocore/fish1_72hpf_roi1,mem-kinetocore,casper,pDQM082(315),mRNA,MGCO-57
/clusterfs/vast/abcabc/Aang_Foundation/Denoising/20251028_peroxi/roi1_560_10ms,peroxi,casper,pDQM136(325),mRNA,MGCO-49
/clusterfs/vast/abcabc/Aang_Foundation/Denoising/20251028_peroxi/roi1_560_76ms,,,,,
/clusterfs/vast/abcabc/Aang_Foundation/Denoising/20251029_mem-histone/fish1_roi1,mem_histone,pDQM005(302),pDQM133(304),NA,NA
/clusterfs/vast/abcabc/Aang_Foundation/Denoising/20251029_mem-histone/fish3_roi1,,,,,
/clusterfs/vast/abcabc/Aang_Foundation/Denoising/20251029_mem-histone/fish4_roi1,,,,,
/clusterfs/vast/abcabc/Aang_Foundation/Denoising/20251029_mem-histone/fish5_roi1,,,,,
/clusterfs/vast/abcabc/Aang_Foundation/Denoising/20251029_mem-histone/fish5_roi2,,,,,
/clusterfs/vast/abcabc/Aang_Foundation/Denoising/20251029_mem-histone/fish5_roi3,,,,,
/clusterfs/vast/abcabc/Aang_Foundation/Denoising/20251029_peroxi/fish1_roi1,peroxi,casper,pDQM136(325),mRNA,MGCO-49
/clusterfs/vast/abcabc/Aang_Foundation/Denoising/20251029_peroxi/fish3_roi1,,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish1/roi1,skittes,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish1/roi2,,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish1/roi2_2,,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish10/roi1,,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish11/roi1,,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish11/roi1_test,,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish12/roi1,,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish12/roi2,,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish12/roi3,,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish13/roi1,,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish13/roi2,,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish13/roi3,,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish13/roi4,,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish14/roi1_brain,,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish14/roi2_tailbud,,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish15/roi1,,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish15/roi2,,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish15/roi3,,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish15/roi4,,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish16/roi1_brain,,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish2/roi1,,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish2/roi2,,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish3/roi1,,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish3/roi2,,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish3/roi3,,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish3/roi4,,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish4/roi1,,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish4/roi2,,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish4/roi3,,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish5/roi1,,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish5/roi2,,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish5/roi3,,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish5/roi4,,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish5/roi5,,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish5/roi6,,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish5/roi7,,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish6/roi1,,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish6/roi2,,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish6/roi3,,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish6/roi4,,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish7/roi1_ear_brain,,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish7/roi2_brain,,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish8/roi1,,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish9/roi1,,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20250522_skittlez/fish1/roi1,skittlez,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20250522_skittlez/fish1/roi2,,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20250522_skittlez/fish2/roi1,,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20250522_skittlez/fish2/roi2,,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20250522_skittlez/fish3/roi1,,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20250522_skittlez/fish3/roi2,,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20250522_skittlez/fish3/roi3,,,,,
