plate_code,plate_name,plate_date,operator,notes
aang_20251028_mem_peroxi2_mem_peroxi2,aang:mem-peroxi2,20251028_mem-peroxi2,,
aang_20250904_lifeact_mSG_lifeact_mSG,aang:lifeact-mSG,20250904_lifeact-mSG,,
korra_20251029_mem_histone_mem_histone,korra:mem-histone,20251029_mem-histone,,
korra_20250429_mem_cytosol_mem_cytosol,korra:mem_cytosol,20250429_mem_cytosol,,
aang_20250903_lifeact_mSG_lifeact_mSG,aang:lifeact-mSG,20250903_lifeact-mSG,,
korra_20251106_mem_mito_mem_mito,korra:mem-mito,20251106_mem-mito,,
korra_20250612_skittlez_skittlez,korra:skittlez,20250612_skittlez,,
aang_20251107_mem_kinectocore_mem_kinectocore,aang:mem-kinectocore,20251107_mem-kinectocore,,
korra_20250528_skittlez_skittlez,korra:skittlez,20250528_skittlez,,
korra_20250521_skittles_no_membrane_skittles_no_membrane,korra:skittles_no-membrane,20250521_skittles_no-membrane,,
aang_20250805_lifeact_mem_halo_lifeact_mem_halo,aang:lifeact_mem-halo,20250805_lifeact_mem-halo,,
aang_20251028_mem_mito_mem_mito,aang:mem-mito,20251028_mem-mito,,
korra_20250624_skittlez_Issac_x_Ken_skittlez_Issac_x_Ken,korra:skittlez_Issac_x_Ken,20250624_skittlez_Issac_x_Ken,,
aang_20251029_peroxi_peroxi,aang:peroxi,20251029_peroxi,,
korra_20250619_skittlez_skittlez,korra:skittlez,20250619_skittlez,,
aang_20250905_lifeact_mSG_lifeact_mSG,aang:lifeact-mSG,20250905_lifeact-mSG,,
korra_20251027_mem_histone_mem_histone,korra:mem-histone,20251027_mem-histone,,
korra_20250602_mem_mem,korra:mem,20250602_mem,,
korra_20250801_mem_histone_mem_histone,korra:mem-histone,20250801_mem-histone,,
korra_20250724_mem_mchilada_er_mSG_mem_mchilada_er_mSG,korra:mem-mchilada_er-mSG,20250724_mem-mchilada_er-mSG,,
korra_20250801_mem_PCNA_mem_PCNA,korra:mem-PCNA,20250801_mem-PCNA,,
korra_20251017_microtubules_microtubules,korra:microtubules,20251017_microtubules,,
korra_20251009_skittlez_skittlez,korra:skittlez,20251009_skittlez,,
korra_20250728_mem_histone_mem_histone,korra:mem-histone,20250728_mem-histone,,
korra_20250528_mem_histone_mem_histone,korra:mem-histone,20250528_mem-histone,,
aang_20251016_mem_mito_mem_mito,aang:mem-mito,20251016_mem-mito,,
korra_analysis_test_test,korra:test,analysis_test,,
aang_20251016_mem_mito_v2_mem_mito_v2,aang:mem-mito_v2,20251016_mem-mito_v2,,
korra_20251010_mem_histone_mem_histone,korra:mem-histone,20251010_mem-histone,,
