roi_dir,bruker_roi_id,plate_date,plate_id_filled,slot_id_filled,roi_index_within_slot,dataset_slug,experiment_folder,fish_id,fish_number,fish_age_hpf,roi_anatomy,roi_tiffs,date_experiment,Date imaged,date_mount,ZF female genotype,ZF male genotype,genotype_base_codes,genotype_allele_codes,treatment_plasmid_base_codes,treatment_rna_base_codes,genotype_marker_fluor_codes,genotype_marker_tag_codes,genotype_marker_localizations,genotype_marker_fusion_labels,all_unique_organelles,all_fluor_organelles,link_source,treatment_plasmid_names_sheet,treatment_rna_names_sheet,treatment_protein_names_sheet,treatment_dye_names_sheet
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish1/roi1,20250513-plate3-slot1-roi1,20250513,3,1,1,20250513_skittles,20250513_skittles,fish1,1.0,,,42,20250513_skittles,2025-05-13,2025-05-13,,,,,,,,,,,,,sheet,,phiC-NLS,,
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish1/roi2,20250513-plate3-slot1-roi2,20250513,3,1,2,20250513_skittles,20250513_skittles,fish1,1.0,,,38,20250513_skittles,2025-05-13,2025-05-13,,,,,,,,,,,,,sheet,,phiC-NLS,,
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish1/roi2_2,20250513-plate3-slot1-roi3,20250513,3,1,3,20250513_skittles,20250513_skittles,fish1,1.0,,,18,20250513_skittles,2025-05-13,2025-05-13,,,,,,,,,,,,,sheet,,phiC-NLS,,
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish10/roi1,20250513-plate3-slot2-roi1,20250513,3,2,1,20250513_skittles,20250513_skittles,fish10,10.0,,,240,20250513_skittles,2025-05-13,2025-05-13,,,,,,,,,,,,,sheet,,phiC-NLS,,
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish11/roi1,20250513-plate3-slot3-roi1,20250513,3,3,1,20250513_skittles,20250513_skittles,fish11,11.0,,,240,20250513_skittles,2025-05-13,2025-05-13,,,,,,,,,,,,,sheet,,phiC-NLS,,
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish11/roi1_test,20250513-plate3-slot3-roi2,20250513,3,3,2,20250513_skittles,20250513_skittles,fish11,11.0,,test,4,20250513_skittles,2025-05-13,2025-05-13,,,,,,,,,,,,,sheet,,phiC-NLS,,
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish12/roi1,20250513-plate3-slot4-roi1,20250513,3,4,1,20250513_skittles,20250513_skittles,fish12,12.0,,,18,20250513_skittles,2025-05-13,2025-05-13,,,,,,,,,,,,,sheet,,phiC-NLS,,
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish12/roi2,20250513-plate3-slot4-roi2,20250513,3,4,2,20250513_skittles,20250513_skittles,fish12,12.0,,,18,20250513_skittles,2025-05-13,2025-05-13,,,,,,,,,,,,,sheet,,phiC-NLS,,
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish12/roi3,20250513-plate3-slot4-roi3,20250513,3,4,3,20250513_skittles,20250513_skittles,fish12,12.0,,,18,20250513_skittles,2025-05-13,2025-05-13,,,,,,,,,,,,,sheet,,phiC-NLS,,
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish13/roi1,20250513-plate3-slot5-roi1,20250513,3,5,1,20250513_skittles,20250513_skittles,fish13,13.0,,,18,20250513_skittles,2025-05-13,2025-05-13,,,,,,,,,,,,,sheet,,phiC-NLS,,
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish13/roi2,20250513-plate3-slot5-roi2,20250513,3,5,2,20250513_skittles,20250513_skittles,fish13,13.0,,,18,20250513_skittles,2025-05-13,2025-05-13,,,,,,,,,,,,,sheet,,phiC-NLS,,
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish13/roi3,20250513-plate3-slot5-roi3,20250513,3,5,3,20250513_skittles,20250513_skittles,fish13,13.0,,,18,20250513_skittles,2025-05-13,2025-05-13,,,,,,,,,,,,,sheet,,phiC-NLS,,
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish13/roi4,20250513-plate3-slot5-roi4,20250513,3,5,4,20250513_skittles,20250513_skittles,fish13,13.0,,,18,20250513_skittles,2025-05-13,2025-05-13,,,,,,,,,,,,,sheet,,phiC-NLS,,
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish14/roi1_brain,20250513-plate3-slot6-roi1,20250513,3,6,1,20250513_skittles,20250513_skittles,fish14,14.0,,brain,36,20250513_skittles,2025-05-13,2025-05-13,,,,,,,,,,,,,sheet,,phiC-NLS,,
