roi_dir,dataset_slug,experiment_folder,roi_path_date_yyyymmdd,date_mount,Date imaged,mount_id,plate_date,mount_id_inferred,mount_id_source,plate_id_filled,slot_id_filled,roi_index_within_slot,bruker_roi_id,link_source
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish14/roi1_brain,20250513_skittles,20250513_skittles,20250513.0,2025-05-13,2025-05-13,,20250513.0,1.0,inferred,3.0,6.0,1.0,20250513-plate3-slot6-roi1,sheet
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish14/roi2_tailbud,20250513_skittles,20250513_skittles,20250513.0,2025-05-13,2025-05-13,,20250513.0,1.0,inferred,3.0,6.0,2.0,20250513-plate3-slot6-roi2,sheet
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish15/roi1,20250513_skittles,20250513_skittles,20250513.0,2025-05-13,2025-05-13,,20250513.0,2.0,inferred,4.0,1.0,1.0,20250513-plate4-slot1-roi1,sheet
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish15/roi2,20250513_skittles,20250513_skittles,20250513.0,2025-05-13,2025-05-13,,20250513.0,2.0,inferred,4.0,1.0,2.0,20250513-plate4-slot1-roi2,sheet
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish15/roi3,20250513_skittles,20250513_skittles,20250513.0,2025-05-13,2025-05-13,,20250513.0,2.0,inferred,4.0,1.0,3.0,20250513-plate4-slot1-roi3,sheet
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish15/roi4,20250513_skittles,20250513_skittles,20250513.0,2025-05-13,2025-05-13,,20250513.0,2.0,inferred,4.0,1.0,4.0,20250513-plate4-slot1-roi4,sheet
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish16/roi1_brain,20250513_skittles,20250513_skittles,20250513.0,2025-05-13,2025-05-13,,20250513.0,2.0,inferred,4.0,2.0,1.0,20250513-plate4-slot2-roi1,sheet
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish2/roi1,20250513_skittles,20250513_skittles,20250513.0,2025-05-13,2025-05-13,,20250513.0,2.0,inferred,4.0,3.0,1.0,20250513-plate4-slot3-roi1,sheet
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish2/roi2,20250513_skittles,20250513_skittles,20250513.0,2025-05-13,2025-05-13,,20250513.0,2.0,inferred,4.0,3.0,2.0,20250513-plate4-slot3-roi2,sheet
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish3/roi1,20250513_skittles,20250513_skittles,20250513.0,2025-05-13,2025-05-13,,20250513.0,2.0,inferred,4.0,4.0,1.0,20250513-plate4-slot4-roi1,sheet
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish3/roi2,20250513_skittles,20250513_skittles,20250513.0,2025-05-13,2025-05-13,,20250513.0,2.0,inferred,4.0,4.0,2.0,20250513-plate4-slot4-roi2,sheet
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish3/roi3,20250513_skittles,20250513_skittles,20250513.0,2025-05-13,2025-05-13,,20250513.0,2.0,inferred,4.0,4.0,3.0,20250513-plate4-slot4-roi3,sheet
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish3/roi4,20250513_skittles,20250513_skittles,20250513.0,2025-05-13,2025-05-13,,20250513.0,2.0,inferred,4.0,4.0,4.0,20250513-plate4-slot4-roi4,sheet
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish4/roi1,20250513_skittles,20250513_skittles,20250513.0,2025-05-13,2025-05-13,,20250513.0,2.0,inferred,4.0,5.0,1.0,20250513-plate4-slot5-roi1,sheet
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish4/roi2,20250513_skittles,20250513_skittles,20250513.0,2025-05-13,2025-05-13,,20250513.0,2.0,inferred,4.0,5.0,2.0,20250513-plate4-slot5-roi2,sheet
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish4/roi3,20250513_skittles,20250513_skittles,20250513.0,2025-05-13,2025-05-13,,20250513.0,2.0,inferred,4.0,5.0,3.0,20250513-plate4-slot5-roi3,sheet
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish5/roi1,20250513_skittles,20250513_skittles,20250513.0,2025-05-13,2025-05-13,,20250513.0,2.0,inferred,4.0,6.0,1.0,20250513-plate4-slot6-roi1,sheet
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish5/roi2,20250513_skittles,20250513_skittles,20250513.0,2025-05-13,2025-05-13,,20250513.0,2.0,inferred,4.0,6.0,2.0,20250513-plate4-slot6-roi2,sheet
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish5/roi3,20250513_skittles,20250513_skittles,20250513.0,2025-05-13,2025-05-13,,20250513.0,2.0,inferred,4.0,6.0,3.0,20250513-plate4-slot6-roi3,sheet
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish5/roi4,20250513_skittles,20250513_skittles,20250513.0,2025-05-13,2025-05-13,,20250513.0,2.0,inferred,4.0,6.0,4.0,20250513-plate4-slot6-roi4,sheet
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish5/roi5,20250513_skittles,20250513_skittles,20250513.0,2025-05-13,2025-05-13,,20250513.0,2.0,inferred,4.0,6.0,5.0,20250513-plate4-slot6-roi5,sheet
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish5/roi6,20250513_skittles,20250513_skittles,20250513.0,2025-05-13,2025-05-13,,20250513.0,2.0,inferred,4.0,6.0,6.0,20250513-plate4-slot6-roi6,sheet
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish5/roi7,20250513_skittles,20250513_skittles,20250513.0,2025-05-13,2025-05-13,,20250513.0,2.0,inferred,4.0,6.0,7.0,20250513-plate4-slot6-roi7,sheet
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish6/roi1,20250513_skittles,20250513_skittles,20250513.0,2025-05-13,2025-05-13,,20250513.0,3.0,inferred,5.0,1.0,1.0,20250513-plate5-slot1-roi1,sheet
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish6/roi2,20250513_skittles,20250513_skittles,20250513.0,2025-05-13,2025-05-13,,20250513.0,3.0,inferred,5.0,1.0,2.0,20250513-plate5-slot1-roi2,sheet
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish6/roi3,20250513_skittles,20250513_skittles,20250513.0,2025-05-13,2025-05-13,,20250513.0,3.0,inferred,5.0,1.0,3.0,20250513-plate5-slot1-roi3,sheet
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish6/roi4,20250513_skittles,20250513_skittles,20250513.0,2025-05-13,2025-05-13,,20250513.0,3.0,inferred,5.0,1.0,4.0,20250513-plate5-slot1-roi4,sheet
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish7/roi1_ear_brain,20250513_skittles,20250513_skittles,20250513.0,2025-05-13,2025-05-13,,20250513.0,3.0,inferred,5.0,2.0,1.0,20250513-plate5-slot2-roi1,sheet
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish7/roi2_brain,20250513_skittles,20250513_skittles,20250513.0,2025-05-13,2025-05-13,,20250513.0,3.0,inferred,5.0,2.0,2.0,20250513-plate5-slot2-roi2,sheet
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish8/roi1,20250513_skittles,20250513_skittles,20250513.0,2025-05-13,2025-05-13,,20250513.0,3.0,inferred,5.0,3.0,1.0,20250513-plate5-slot3-roi1,sheet
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish9/roi1,20250513_skittles,20250513_skittles,20250513.0,2025-05-13,2025-05-13,,20250513.0,3.0,inferred,5.0,4.0,1.0,20250513-plate5-slot4-roi1,sheet
/clusterfs/vast/abcabc/Korra_Foundation/20250520_mem_histone/fish2/roi1,20250520_mem_histone,20250520_mem_histone,20250520.0,2025-05-20,2025-05-20,,20250520.0,1.0,inferred,6.0,1.0,1.0,20250520-plate6-slot1-roi1,sheet
/clusterfs/vast/abcabc/Korra_Foundation/20250520_mem_histone/fish2/roi1,20250520_mem_histone,20250520_mem_histone,20250520.0,2025-05-20,2025-05-20,,20250520.0,1.0,inferred,6.0,1.0,2.0,20250520-plate6-slot1-roi2,sheet
/clusterfs/vast/abcabc/Korra_Foundation/20250520_mem_histone/fish2/roi1,20250520_mem_histone,20250520_mem_histone,20250520.0,2025-05-20,2025-05-20,,20250520.0,1.0,inferred,6.0,1.0,3.0,20250520-plate6-slot1-roi3,sheet
/clusterfs/vast/abcabc/Korra_Foundation/20250520_mem_histone/fish4/roi1_tailbud,20250520_mem_histone,20250520_mem_histone,20250520.0,2025-05-20,2025-05-20,,20250520.0,1.0,inferred,6.0,2.0,1.0,20250520-plate6-slot2-roi1,sheet
/clusterfs/vast/abcabc/Korra_Foundation/20250520_mem_histone/fish4/roi1_tailbud,20250520_mem_histone,20250520_mem_histone,20250520.0,2025-05-20,2025-05-20,,20250520.0,1.0,inferred,6.0,2.0,2.0,20250520-plate6-slot2-roi2,sheet
/clusterfs/vast/abcabc/Korra_Foundation/20250520_mem_histone/fish4/roi1_tailbud,20250520_mem_histone,20250520_mem_histone,20250520.0,2025-05-20,2025-05-20,,20250520.0,1.0,inferred,6.0,2.0,3.0,20250520-plate6-slot2-roi3,sheet
/clusterfs/vast/abcabc/Korra_Foundation/20250520_mem_histone/fish4/roi1_tailbud_2,20250520_mem_histone,20250520_mem_histone,20250520.0,2025-05-20,2025-05-20,,20250520.0,1.0,inferred,6.0,2.0,4.0,20250520-plate6-slot2-roi4,sheet
