plasmid_code,nickname,resistance,notes
pDQM060,ef1a:2xLynk-tdmSG-tPT2A-tdmChilada-h2b (pCM268),Amp,Clone 3
pDQM061,AAV-dhb-tdmSG-tPT2A-tdmChilada-pcna,Amp,Clone 2
pDQM062,AAV-dhb-tdmSG-tPT2A-tdmChilada-pcna,Amp,Clone 3
pDQM063,exorh skittles 2.0 5FP,Amp,"clone 1,iCodon optimized - contains exorH:GFP-AttP-mKate2-Electra2-mCitrine-mKOK-mTFP1"
pDQM064,exorh skittles 2.0 5FP,Amp,"clone 5, iCodon optimized - contains exorH:GFP-AttP-mKate2-Electra2-mCitrine-mKOK-mTFP1"
pDQM065,tol2-ef1a:2xLynk-tdmSG-tPT2A-tdmChilada-h2b,Amp,clone 1
pDQM066,tol2-ef1a:2xLynk-tdmSG-tPT2A-tdmChilada-h2b,Amp,clone 2
pDQM067,ef1a:2xLynk-tdmSG-tPT2A-tdmYH-h2b (pCM268),Amp,clone 1
pDQM068,ef1a:2xLynk-tdmSG,Amp,Clone 1
pDQM069,ef1a:2xLynk-tdmSG,Amp,Clone 2
pDQM070,ef1a:2xLynk-tdmSG(introns),Amp,Clone 2
pDQM071,ef1a:2xLynk-tdmSG(introns),Amp,Clone 4
pDQM072,ef1a:2xLynk-tdmSG-tPT2A-tdmChilada-h2b,Amp,Clone 2
pDQM073,ef1a:2xLynk-tdmSG-tPT2A-tdmChilada-h2b,Amp,Clone 4
pDQM074,ef1a:2xLynk-tdmSG(introns),Amp,Clone 1
pDQM075,ef1a:2xLynk-tdmSG(introns),Amp,Clone 3
pDQM076,exorh:gfp-hsp:dhb-tdmSG-tPT2A-tdmChilada-h2b (pRL093),Amp,Clone 1
pDQM077,exorh:gfp-hsp:dhb-tdmSG-tPT2A-tdmChilada-h2b (pRL093),Amp,Clone 3
pDQM078,ef1a:2xLynk-tdmSG,Amp,Clone 5
pDQM079,ef1a:2xLynk-mSG,Amp,Clone 1
pDQM080,ef1a:2xLynk-mSG,Amp,Clone 2
pDQM081,ef1a:2xLynk:mSG-tPT2A:mChilada,Amp,Clone 4
pDQM082,ef1a:2xLynk:tdmChilada,Amp,Clone 4
pDQM083,ef1a:linker:Electra2:linker-attB,Amp,Clone 12-1
pDQM084,ef1a:linker:mKOK:linker-attB,Amp,Clone 13-2
pDQM085,ef1a:linker:mKate2:linker-attB,Amp,Clone 14-2
pDQM086,ef1a:linker:mCitrine:linker-attB,Amp,Clone 43-1
pDQM087,ef1a:linker:mTFP1:linker-attB,Amp,Clone 16-1
pDQM088,ef1a:linker:mYongHong:linker-attB,Amp,Clone 32-1
pDQM089,ef1a:linker:mChilada:linker-attB,Amp,Clone 23-3
pDQM090,ef1a:linker:mChilada-MAGPV:linker-attB,Amp,Clone 1
pDQM091,ef1a:linker:mChilada-MAGPV:linker-attB,Amp,Clone 2
pDQM092,SP6:2xLynk:mchilada-MAGPV,Amp,Clone 1
pDQM093,SP6:2xLynk:mchilada-MAGPV,Amp,Clone 2
pDQM094,ef1a:2xLynk:tdmSG:tPT2A:tdmChilada-MAGPV:H2B,Amp,Clone 1
pDQM095,ef1a:mSG:CDT1-tPT2A-mYH:GMN (iCodon) [FUCCI],Amp,Clone 2
pDQM096,ef1a:mSG:CDT1-tPT2A-mYH:GMN (endogenous) [FUCCI],Amp,Clone 2
pDQM097,cryaa skittles 3.1 5FP (new phiC (full length)),Amp,Clone 2
pDQM098,exorH:GFP; hsp:phiC(iC),Amp,new phiC cloned into Erin's plasmid
pDQM099,exorH:GFP; hsp:phiC(iC),Amp,new phiC cloned into Erin's plasmid
pDQM100,exorH:mScarlet; hsp:phiC(iC),Amp,new phiC cloned into Erin's plasmid
pDQM101,ef1a:linker:Halo:linker-attB,Amp,Clone 1
pDQM102,efa1:linker:mStayGold(J):linker-attB,Amp,Clone 1
pDQM103,efa1:linker:mStayGold(J):linker-attB,Amp,Clone 2
pDQM104,SP6:mchilada-MAGPV-h2b,Amp,Clone 1
pDQM105,SP6:mYH:h2b,Amp,Clone 4
pDQM106,efa1:linker:miRFP670-2:linker-attB,Amp,Clone 2
pDQM107,efa1:linker:miRFP670-2:linker-attB,Amp,Clone 5
pDQM108,ccdB:linker:mChilada-MAGPV:linker,Amp,Clone 1
pDQM109,ccdB:linker:mChilada-MAGPV:linker,Amp,Clone 3
pDQM110,exorH:GFP; hsp:phiC(iC)-NLS,Amp,Clone 1
pDQM111,exorH:GFP; hsp:phiC(iC)-NLS,Amp,Clone 3
pDQM112,exorH:mScarlet; hsp:phiC(iC)-NLS,Amp,Clone 1
pDQM113,exorH:mScarlet; hsp:phiC(iC)-NLS,Amp,Clone 2
pDQM114,ef1a:mSG:CDT1-P2A-mYH:GMN (iCodon) [FUCCI],Amp,clone 2
pDQM115,SP6:2xLynk:mScarlet3S2,Amp,Clone 1
pDQM116,SP6:2xLynk:mScarlet3S2,Amp,Clone 2
pDQM117,SP6:mScarlet3S2:H2B,Amp,Clone 2
pDQM118,SP6:mScarlet3S2:H2B,Amp,Clone 3
pDQM119,SP6:mBeRFP:H2B,Amp,Clone 3
pDQM120,ef1a:linker:mBeRFP:linker-attB,Amp,Clone 1
pDQM121,ef1a:2xLynk:tdmScarlet3-S2-tol2,Amp,Clones 1-4
pDQM122,ef1a:skittles 3.5 (2xLynk:mSG-attP-Halo-attP-3FPs),Amp,Clone 3
pDQM123,ef1a:skittles 3.5 (2xLynk:mSG-attP-Halo-attP-3FPs),Amp,Clone 4
pDQM124,ef1a:linker:mScarlet3-S2:linker-attB (tol2),Amp,Clone 1 and 2
pDQM125,ef1a:2xLynk:tdmSG:tPT2A:tdmScarlet3-S2:H2B,Amp,clone 65-1
pDQM126,ef1a:2xLynk:tdmSG:tPT2A:tdmScarlet3-S2:H2B,Amp,clone 94-1
pDQM127,ef1a:skittles 4.0 (2xLynk:mSG-attP-Halo-attP-Electra-attP-mBeRFP-attP-mScarlet3-S2-attP-mTFP1),Amp,Clone 1 & 2
pDQM128,A2UCOE-ef1a-2xLynk:tdmSG-tol2,Amp,TBD (missing ~96bp?)
pDQM129,ef1a-extended-2xLynk:tdmSG-tol2,Amp,Clones 1-4
pDQM130,MBP-TEV-phiC-NLS,Amp,TBD
pDQM131,exorh:gfp-hsp:dhb-tdmSG-tPT2A-tdmChilada-h2b (pCM268),Amp,"Clones 2,3"
pDQM132,ef1a-extended::2xLynk:tdmSG:tPT2A:tdmScarlet3-S2:H2B-tol2,Amp,Clones 1-3
pDQM133,ef1a-extened::tdmScarlet3-S2:H2B-tol2,Amp,Clones 1-3
pDQM134,A2UCOE-ef1a:2xLynk:tdmSG:tPT2A:tdmScarlet3-S2:H2B-tol2,Amp,still missing ~100bp
pDQM135,A2UCOE-ef1a-2xLynk:tdmSG-tol2,Amp,still missing ~100bp
pDQM136,ef1a-extended:2xLynk:tdmScarlet3-S2-tol2,Amp,clone 3
pDQM137,ef1a:-extended-skittles 4.0 (2xLynk:mSG-attP-Halo-attP-Electra-attP-mBeRFP-attP-mScarlet3-S2-attP-mTFP1),Amp,clone 3
pDQM138,SP6:2xLynk:mGold2s,Amp,TBD
pDQM139,SP6:2xLynk:mGold2t,Amp,TBD
pDQM140,ef1a:linker:mGold2s:linker-attB (tol2),Amp,clones 1-3
pDQM141,ef1a:linker:mGold2t:linker-attB (tol2),Amp,clones 2-3
pDQM142,exorh:gfp-hsp:dhb-tdmSG-tPT2A-tdmScarlet3-S2-h2b (pCM268),Amp,TBD
pDQM143,SP6:tol2(iCodon),Amp,"Clones 1,2 and 4"
pDQM144,ef1a:E2Crimson (iCodon),Amp,Clones 1-4
pDQM145,ef1a:mCardinal (iCodon),Amp,Clones 1-4
pDQM146,ef1a-extended:linker:mScarlet3-S2:linker-attB (tol2),Amp,made by Erin (Janelia)
pDQM147,ef1a-extended:linker:mStayGold:linker-attB (tol2),Amp,made by Erin (Janelia)
pDQM148,ef1a-extended:linker:mStayGold-c4:linker-attB (tol2),Amp,made by Erin (Janelia)
pDQM149,ef1a-extended:linker:Halo:linker-sv40-he1.1-tagbfp2-attB (tol2),Amp,made by Erin (Janelia)
pDQM150,ef1a-extended-mSG:CDT1-tPT2A-mYH:GMN (endogenous),Amp,nan
pDQM151,ef1a-extended-mSG:CDT1 (endogenous),Amp,Clones 3 & 4
pDQM152,A2UCOE-ef1a-extended-skittles 4.0 (2xLynk:mSG-attP-Halo-attP-Electra-attP-mBeRFP-attP-mScarlet3-S2-attP-mTFP1),Amp,nan
pDQM153,ef1a-extended::DHB:tdmSG:tPT2A:tdmScarlet3-S2:H2B-tol2,Amp,clone 1
pDQM154,ef1a-extened::tdmScarlet3-S2:PCNA-tol2,Amp,clone 1 + 2
pDQM155,ef1a-extended:DHB:tdmSG-tol2,Amp,clone 2 + 4
