plate_code,slot_code,roi_code,roi_index,roi_name,roi_dir,date_imaged,notes
aang_Denoising,20251029_mem_histone,fish5_roi3,6,fish5_roi3,/clusterfs/vast/abcabc/Aang_Foundation/Denoising/20251029_mem-histone/fish5_roi3,,
aang_20250912_mem_mito_mem_mito,fish3_72hpf_roi1,fish3_72hpf_roi1,1,fish3_72hpf_roi1,/clusterfs/vast/abcabc/Aang_Foundation/20250912_mem-mito/fish3_72hpf_roi1,9/12/25,
korra_20250513_skittles_skittles,fish15,roi1,1,roi1,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish15/roi1,5/13/25,
aang_20250904_lifeact_mSG_lifeact_mSG,fish1_24hpf_roi3,fish1_24hpf_roi3,6,fish1_24hpf_roi3,/clusterfs/vast/abcabc/Aang_Foundation/20250904_lifeact-mSG/fish1_24hpf_roi3,9/4/25,
korra_20250624_skittlez_Chris_x_Liam_skittlez_Chris_x_Liam,fish2_roi1,fish2_roi1,11,fish2_roi1,/clusterfs/vast/abcabc/Korra_Foundation/20250624_skittlez_Chris_x_Liam/fish2_roi1,8/1/25,
korra_20250429_mem_cytosol_mem_cytosol,fish4_mem_halo_48hpf,roi1,1,roi1,/clusterfs/vast/abcabc/Korra_Foundation/20250429_mem_cytosol/fish4_mem-halo_48hpf/roi1,4/29/25,
korra_20251016_mem_histone_mem_histone,fish2_72hpf_roi2,fish2_72hpf_roi2,1,fish2_72hpf_roi2,/clusterfs/vast/abcabc/Korra_Foundation/20251016_mem-histone/fish2_72hpf_roi2,10/16/25,
korra_20250522_skittlez_skittlez,fish1,roi2,5,roi2,/clusterfs/vast/abcabc/Korra_Foundation/20250522_skittlez/fish1/roi2,5/22/25,
aang_20250926_mem_mito_mem_mito,fish_48hpf_roi3,fish_48hpf_roi3,1,fish_48hpf_roi3,/clusterfs/vast/abcabc/Aang_Foundation/20250926_mem-mito/fish_48hpf_roi3,9/26/25,
korra_20250715_mem_organelle_mem_organelle,fish6_48hpf_mem_mito_halo_er_msc2,roi2,2,roi2,/clusterfs/vast/abcabc/Korra_Foundation/20250715_mem_organelle/fish6_48hpf_mem_mito_halo_er_msc2/roi2,7/15/25,
korra_20251029_mem_histone_mem_histone,fish3_24hpf_roi1,fish3_24hpf_roi1,3,fish3_24hpf_roi1,/clusterfs/vast/abcabc/Korra_Foundation/20251029_mem-histone/fish3_24hpf_roi1,6/9/25,
korra_20250612_skittlez_skittlez,fish8_roi1,fish8_roi1,5,fish8_roi1,/clusterfs/vast/abcabc/Korra_Foundation/20250612_skittlez/fish8_roi1,6/6/25,
aang_20250904_lifeact_mSG_lifeact_mSG,fish1_24hpf_roi4,fish1_24hpf_roi4,4,fish1_24hpf_roi4,/clusterfs/vast/abcabc/Aang_Foundation/20250904_lifeact-mSG/fish1_24hpf_roi4,9/8/25,
aang_20250828_mem_actin_mem_actin,fish2_24hpf_roi2_2,fish2_24hpf_roi2_2,1,fish2_24hpf_roi2-2,/clusterfs/vast/abcabc/Aang_Foundation/20250828_mem_actin/fish2_24hpf_roi2-2,8/28/25,
aang_20250819_mem_mito_mem_mito,fish4_48hpf_roi4,fish4_48hpf_roi4,1,fish4_48hpf_roi4,/clusterfs/vast/abcabc/Aang_Foundation/20250819_mem_mito/fish4_48hpf_roi4,9/17/25,
aang_20251015_mem_histone_mem_histone,fish5_48hpf_roi1,fish5_48hpf_roi1,3,fish5_48hpf_roi1,/clusterfs/vast/abcabc/Aang_Foundation/20251015_mem-histone/fish5_48hpf_roi1,9/17/25,
aang_20250915_mem_mito_mem_mito,fish3_72hpf_roi2,fish3_72hpf_roi2,2,fish3_72hpf_roi2,/clusterfs/vast/abcabc/Aang_Foundation/20250915_mem-mito/fish3_72hpf_roi2,9/15/25,
korra_20250624_skittlez_Chris_x_Liam_skittlez_Chris_x_Liam,fish5_roi1_1,fish5_roi1_1,1,fish5_roi1-1,/clusterfs/vast/abcabc/Korra_Foundation/20250624_skittlez_Chris_x_Liam/fish5_roi1-1,6/24/25,
korra_20250627_skittlez_skittlez,fish2_roi1,fish2_roi1,13,fish2_roi1,/clusterfs/vast/abcabc/Korra_Foundation/20250627_skittlez/fish2_roi1,8/1/25,
aang_20251006_mem_histone_mem_histone,fish4_24hpf_roi2,fish4_24hpf_roi2,7,fish4_24hpf_roi2,/clusterfs/vast/abcabc/Aang_Foundation/20251006_mem_histone/fish4_24hpf_roi2,,
aang_20251021_mem_mito_v2_mem_mito_v2,fish2_24hpf_roi2,fish2_24hpf_roi2,13,fish2_24hpf_roi2,/clusterfs/vast/abcabc/Aang_Foundation/20251021_mem-mito_v2/fish2_24hpf_roi2,10/22/25,
aang_20251106_mem_mito_mem_mito,fish5_48hpf_roi1,fish5_48hpf_roi1,4,fish5_48hpf_roi1,/clusterfs/vast/abcabc/Aang_Foundation/20251106_mem-mito/fish5_48hpf_roi1,11/6/25,
korra_20250520_mem_histone_mem_histone,fish2,roi1,3,roi1,/clusterfs/vast/abcabc/Korra_Foundation/20250520_mem_histone/fish2/roi1,5/28/25,
korra_20251020_mem_histone_mem_histone,fish1_72hpf_roi5,fish1_72hpf_roi5,1,fish1_72hpf_roi5,/clusterfs/vast/abcabc/Korra_Foundation/20251020_mem-histone/fish1_72hpf_roi5,10/20/25,
aang_20251001_mem_histone_mem_histone,fish1_24hpf_roi1,fish1_24hpf_roi1,13,fish1_24hpf_roi1,/clusterfs/vast/abcabc/Aang_Foundation/20251001_mem-histone/fish1_24hpf_roi1,9/8/25,
aang_20250722_mrna_mito_mSG_mem_mChilada_mrna_mito_mSG_mem_mChilada,fish2_48hpf_roi1,fish2_48hpf_roi1,1,fish2_48hpf_roi1,/clusterfs/vast/abcabc/Aang_Foundation/20250722_mrna_mito-mSG_mem-mChilada/fish2_48hpf_roi1,7/22/25,
aang_20250918_mem_mito_mem_mito,fish5_72hpf_roi4,fish5_72hpf_roi4,1,fish5_72hpf_roi4,/clusterfs/vast/abcabc/Aang_Foundation/20250918_mem-mito/fish5_72hpf_roi4,9/22/25,
aang_20250819_mem_mito_mem_mito,fish4_48hpf_roi1,fish4_48hpf_roi1,1,fish4_48hpf_roi1,/clusterfs/vast/abcabc/Aang_Foundation/20250819_mem_mito/fish4_48hpf_roi1,8/19/25,
aang_20250919_mem_mito_mem_mito,fish2_24hpf_roi3,fish2_24hpf_roi3,5,fish2_24hpf_roi3,/clusterfs/vast/abcabc/Aang_Foundation/20250919_mem-mito/fish2_24hpf_roi3,9/19/25,
aang_20250908_mem_mito_mem_mito,fish4_24hpf_roi3,fish4_24hpf_roi3,1,fish4_24hpf_roi3,/clusterfs/vast/abcabc/Aang_Foundation/20250908_mem-mito/fish4_24hpf_roi3,9/8/25,
korra_20251013_mem_histone_mem_histone,fish1_96hpf_roi1,fish1_96hpf_roi1,1,fish1_96hpf_roi1,/clusterfs/vast/abcabc/Korra_Foundation/20251013_mem-histone/fish1_96hpf_roi1,10/13/25,
korra_20250606_skittlez_skittlez,fish13_roi2,fish13_roi2,2,fish13_roi2,/clusterfs/vast/abcabc/Korra_Foundation/20250606_skittlez/fish13_roi2,6/6/25,
aang_20250808_mem_organelle_mem_organelle,fish4_24hpf_mem_mchilada_mito_mSG,roi7,7,roi7,/clusterfs/vast/abcabc/Aang_Foundation/20250808_mem_organelle/fish4_24hpf_mem-mchilada_mito-mSG/roi7,8/8/25,
korra_20250613_skittlez_skittlez,fish6_roi1,fish6_roi1,6,fish6_roi1,/clusterfs/vast/abcabc/Korra_Foundation/20250613_skittlez/fish6_roi1,6/6/25,
aang_20251010_mem_mito_mem_mito,fish5_24hpf_roi2,fish5_24hpf_roi2,7,fish5_24hpf_roi2,/clusterfs/vast/abcabc/Aang_Foundation/20251010_mem-mito/fish5_24hpf_roi2,10/10/25,
aang_20251020_mem_histone_mem_histone,fish1_72hpf_roi2,fish1_72hpf_roi2,6,fish1_72hpf_roi2,/clusterfs/vast/abcabc/Aang_Foundation/20251020_mem-histone/fish1_72hpf_roi2,9/22/25,
korra_20250513_skittles_skittles,fish6,roi4,4,roi4,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish6/roi4,5/13/25,
aang_20250903_lifeact_mSG_lifeact_mSG,fish1_24hpf_roi1,fish1_24hpf_roi1,8,fish1_24hpf_roi1,/clusterfs/vast/abcabc/Aang_Foundation/20250903_lifeact-mSG/fish1_24hpf_roi1,,
korra_20250603_skittlez_skittlez,fish7_roi1,fish7_roi1,2,fish7_roi1,/clusterfs/vast/abcabc/Korra_Foundation/20250603_skittlez/fish7_roi1,6/6/25,
aang_20251002_mem_mito_mem_mito,fish11_24hpf_roi3,fish11_24hpf_roi3,1,fish11_24hpf_roi3,/clusterfs/vast/abcabc/Aang_Foundation/20251002_mem_mito/fish11_24hpf_roi3,10/1/25,
aang_20251105_mem_mito_mem_mito,fish2_24hpf_roi2,fish2_24hpf_roi2,15,fish2_24hpf_roi2,/clusterfs/vast/abcabc/Aang_Foundation/20251105_mem-mito/fish2_24hpf_roi2,11/5/25,
korra_20251112_mem_mito_mem_mito,fish3_48hpf_roi4,fish3_48hpf_roi4,1,fish3_48hpf_roi4,/clusterfs/vast/abcabc/Korra_Foundation/20251112_mem-mito/fish3_48hpf_roi4,11/12/25,
korra_20250609_mem_histone_mem_histone,fish2_24hpf_roi1,fish2_24hpf_roi1,1,fish2_24hpf_roi1,/clusterfs/vast/abcabc/Korra_Foundation/20250609_mem-histone/fish2_24hpf_roi1,6/9/25,
korra_20250627_skittlez_skittlez,fish7_roi1,fish7_roi1,9,fish7_roi1,/clusterfs/vast/abcabc/Korra_Foundation/20250627_skittlez/fish7_roi1,6/6/25,
korra_20250606_skittlez_skittlez,fish3_roi1,fish3_roi1,2,fish3_roi1,/clusterfs/vast/abcabc/Korra_Foundation/20250606_skittlez/fish3_roi1,6/6/25,
korra_20250605_skittlez_skittlez,fish3_roi12,fish3_roi12,1,fish3_roi12,/clusterfs/vast/abcabc/Korra_Foundation/20250605_skittlez/fish3_roi12,6/5/25,
korra_20251022_mem_histone_mem_histone,fish4_24hpf_roi3,fish4_24hpf_roi3,1,fish4_24hpf_roi3,/clusterfs/vast/abcabc/Korra_Foundation/20251022_mem-histone/fish4_24hpf_roi3,10/22/25,
korra_20250624_skittlez_Chris_x_Liam_skittlez_Chris_x_Liam,fish7_roi4,fish7_roi4,2,fish7_roi4,/clusterfs/vast/abcabc/Korra_Foundation/20250624_skittlez_Chris_x_Liam/fish7_roi4,6/24/25,
korra_20251013_mem_histone_mem_histone,fish3_96hpf_roi3,fish3_96hpf_roi3,1,fish3_96hpf_roi3,/clusterfs/vast/abcabc/Korra_Foundation/20251013_mem-histone/fish3_96hpf_roi3,10/13/25,
korra_20250624_skittlez_Issac_x_Ken_skittlez_Issac_x_Ken,fish4_roi1,fish4_roi1,10,fish4_roi1,/clusterfs/vast/abcabc/Korra_Foundation/20250624_skittlez_Issac_x_Ken/fish4_roi1,6/24/25,
korra_20250603_skittlez_skittlez,fish15_roi1,fish15_roi1,2,fish15_roi1,/clusterfs/vast/abcabc/Korra_Foundation/20250603_skittlez/fish15_roi1,6/6/25,
korra_20250619_skittlez_skittlez,fish1_roi2,fish1_roi2,2,fish1_roi2,/clusterfs/vast/abcabc/Korra_Foundation/20250619_skittlez/fish1_roi2,7/28/25,
korra_20250529_skittlez_skittlez,fish8_roi1,fish8_roi1,1,fish8_roi1,/clusterfs/vast/abcabc/Korra_Foundation/20250529_skittlez/fish8_roi1,5/29/25,
korra_20250624_skittlez_Chris_x_Liam_skittlez_Chris_x_Liam,fish4_roi2,fish4_roi2,1,fish4_roi2,/clusterfs/vast/abcabc/Korra_Foundation/20250624_skittlez_Chris_x_Liam/fish4_roi2,6/27/25,
aang_20250926_mem_mito_mem_mito,fish2_48hpf_roi3,fish2_48hpf_roi3,3,fish2_48hpf_roi3,/clusterfs/vast/abcabc/Aang_Foundation/20250926_mem-mito/fish2_48hpf_roi3,9/26/25,
aang_20250917_mem_mito_mem_mito,fish5_48hpf_roi2,fish5_48hpf_roi2,2,fish5_48hpf_roi2,/clusterfs/vast/abcabc/Aang_Foundation/20250917_mem-mito/fish5_48hpf_roi2,9/17/25,
