plasmid_code,plasmid_name,fusion_name,fluor_name,tag_name
pDQM025,skittles2.0-5FP-mutation,,,
pDQM026,pCM268_ccdB-dhb-tdmSG-tPT2A-tdmChilada-pcna,dhb+tdmSG,tdmSG,DHB
pDQM026,pCM268_ccdB-dhb-tdmSG-tPT2A-tdmChilada-pcna,tdmChilada+pcna,tdmChilada,pcna
pDQM027,pTwist-SP6-2xLynk:mSG(J)-iCodon,2xLynk+mSG,mSG,2xLynk
pDQM028,pTwist-SP6-2xLynk:mSG(B)-iCodon,2xLynk+mSG,mSG,2xLynk
pDQM029,pTwist-SP6-2xLynk:mBaoJin-iCodon,2xLynk+mBaoJin,mBaoJin,2xLynk
pDQM030,pTwist-SP6-2xLynk:mYongHong-iCodon,2xLynk+mYongHong,mYongHong,2xLynk
pDQM031,pTwist-SP6-2xLynk:mYongHong-iCodon,2xLynk+mYongHong,mYongHong,2xLynk
pDQM032,pCM268_ccdB-mYongHong,,mYongHong,
pDQM033,pCM268_ccdB-mYongHong,,mYongHong,
pDQM034,skittles2.0-5FP,,,
pDQM035,skittles2.0-5FP,,,
pDQM036,skittles3.0-4FP,,,
pDQM037,ef1a:dhb-tdmSG-tPT2A-tdmChilada-pcna (pCM268),dhb+tdmSG,tdmSG,DHB
pDQM037,ef1a:dhb-tdmSG-tPT2A-tdmChilada-pcna (pCM268),tdmChilada+pcna,tdmChilada,pcna
pDQM038,ef1a:dhb-tdmSG-tPT2A-tdmChilada-pcna (pCM268),dhb+tdmSG,tdmSG,DHB
pDQM038,ef1a:dhb-tdmSG-tPT2A-tdmChilada-pcna (pCM268),tdmChilada+pcna,tdmChilada,pcna
pDQM039,hsp:dhb-tdmSG-tPT2A-tdmChilada-pcna (pCM268),dhb+tdmSG,tdmSG,DHB
pDQM039,hsp:dhb-tdmSG-tPT2A-tdmChilada-pcna (pCM268),tdmChilada+pcna,tdmChilada,pcna
pDQM040,hsp:dhb-tdmSG-tPT2A-tdmChilada-pcna (pCM268),dhb+tdmSG,tdmSG,DHB
pDQM040,hsp:dhb-tdmSG-tPT2A-tdmChilada-pcna (pCM268),tdmChilada+pcna,tdmChilada,pcna
pDQM041,sox10:mChilada (pCM268),,mChilada,
pDQM042,sox10:mChilada (pCM268),,mChilada,
pDQM043,pCM268_ccdB-mCitrine,,mCitrine,
pDQM044,pCM268_ccdB-mCitrine,,mCitrine,
pDQM045,pTwist-SP6:2xLynk:mScarlet3,2xLynk+mScarlet3,mScarlet3,2xLynk
pDQM046,pTwist-SP6:2xLynk:mScarlet3,2xLynk+mScarlet3,mScarlet3,2xLynk
pDQM047,pTwist-SP6-2xLynk:mSG(J)-iCodon,2xLynk+mSG,mSG,2xLynk
pDQM048,pTwist-SP6-2xLynk:mSG(J)-iCodon,2xLynk+mSG,mSG,2xLynk
pDQM049,pTwist-SP6-2xLynk:mSG(B)-iCodon,2xLynk+mSG,mSG,2xLynk
pDQM050,pTwist-SP6-2xLynk:mSG(B)-iCodon,2xLynk+mSG,mSG,2xLynk
pDQM051,ef1a:dhb-tdmSG-tPT2A-tdmChilada-h2b (pCM268),dhb+tdmSG,tdmSG,DHB
pDQM051,ef1a:dhb-tdmSG-tPT2A-tdmChilada-h2b (pCM268),tdmChilada+h2b,tdmChilada,H2B
pDQM052,ef1a:dhb-tdmSG-tPT2A-tdmChilada-h2b (pCM268),dhb+tdmSG,tdmSG,DHB
pDQM052,ef1a:dhb-tdmSG-tPT2A-tdmChilada-h2b (pCM268),tdmChilada+h2b,tdmChilada,H2B
pDQM053,hsp:dhb-tdmSG-tPT2A-tdmChilada-h2b (pCM268),dhb+tdmSG,tdmSG,DHB
pDQM053,hsp:dhb-tdmSG-tPT2A-tdmChilada-h2b (pCM268),tdmChilada+h2b,tdmChilada,H2B
pDQM054,hsp:dhb-tdmSG-tPT2A-tdmChilada-h2b (pCM268),dhb+tdmSG,tdmSG,DHB
pDQM054,hsp:dhb-tdmSG-tPT2A-tdmChilada-h2b (pCM268),tdmChilada+h2b,tdmChilada,H2B
pDQM055,AAV-dhb-tdmSG-tPT2A-tdmChilada-pcna,dhb+tdmSG,tdmSG,DHB
pDQM055,AAV-dhb-tdmSG-tPT2A-tdmChilada-pcna,tdmChilada+pcna,tdmChilada,pcna
pDQM056,AAV-dhb-tdmSG-tPT2A-tdmChilada-pcna,dhb+tdmSG,tdmSG,DHB
pDQM056,AAV-dhb-tdmSG-tPT2A-tdmChilada-pcna,tdmChilada+pcna,tdmChilada,pcna
pDQM057,exorh:gfp-hsp:dhb-tdmSG-tPT2A-tdmChilada-pcna (pCM268),dhb+tdmSG,tdmSG,DHB
pDQM057,exorh:gfp-hsp:dhb-tdmSG-tPT2A-tdmChilada-pcna (pCM268),tdmChilada+pcna,tdmChilada,pcna
pDQM058,exorh:gfp-hsp:dhb-tdmSG-tPT2A-tdmChilada-h2b (pCM268),dhb+tdmSG,tdmSG,DHB
pDQM058,exorh:gfp-hsp:dhb-tdmSG-tPT2A-tdmChilada-h2b (pCM268),tdmChilada+h2b,tdmChilada,H2B
pDQM059,skittles3.1-4FP (exorh:GFP),,gfp,
pDQM060,ef1a:2xLynk-tdmSG-tPT2A-tdmChilada-h2b (pCM268),2xLynk+tdmSG,tdmSG,2xLynk
pDQM060,ef1a:2xLynk-tdmSG-tPT2A-tdmChilada-h2b (pCM268),tdmChilada+h2b,tdmChilada,H2B
pDQM061,AAV-dhb-tdmSG-tPT2A-tdmChilada-pcna,dhb+tdmSG,tdmSG,DHB
pDQM061,AAV-dhb-tdmSG-tPT2A-tdmChilada-pcna,tdmChilada+pcna,tdmChilada,pcna
pDQM062,AAV-dhb-tdmSG-tPT2A-tdmChilada-pcna,dhb+tdmSG,tdmSG,DHB
pDQM062,AAV-dhb-tdmSG-tPT2A-tdmChilada-pcna,tdmChilada+pcna,tdmChilada,pcna
pDQM063,exorh skittles 2.0 5FP,,,
pDQM064,exorh skittles 2.0 5FP,,,
pDQM065,tol2-ef1a:2xLynk-tdmSG-tPT2A-tdmChilada-h2b,2xLynk+tdmSG,tdmSG,2xLynk
pDQM065,tol2-ef1a:2xLynk-tdmSG-tPT2A-tdmChilada-h2b,tdmChilada+h2b,tdmChilada,H2B
pDQM066,tol2-ef1a:2xLynk-tdmSG-tPT2A-tdmChilada-h2b,2xLynk+tdmSG,tdmSG,2xLynk
pDQM066,tol2-ef1a:2xLynk-tdmSG-tPT2A-tdmChilada-h2b,tdmChilada+h2b,tdmChilada,H2B
pDQM067,ef1a:2xLynk-tdmSG-tPT2A-tdmYH-h2b (pCM268),2xLynk+tdmSG,tdmSG,2xLynk
pDQM067,ef1a:2xLynk-tdmSG-tPT2A-tdmYH-h2b (pCM268),tdmYH+h2b,tdmYH,H2B
pDQM068,ef1a:2xLynk-tdmSG,2xLynk+tdmSG,tdmSG,2xLynk
pDQM069,ef1a:2xLynk-tdmSG,2xLynk+tdmSG,tdmSG,2xLynk
pDQM070,ef1a:2xLynk-tdmSG(introns),2xLynk+tdmSG,tdmSG,2xLynk
pDQM071,ef1a:2xLynk-tdmSG(introns),2xLynk+tdmSG,tdmSG,2xLynk
pDQM072,ef1a:2xLynk-tdmSG-tPT2A-tdmChilada-h2b,2xLynk+tdmSG,tdmSG,2xLynk
pDQM072,ef1a:2xLynk-tdmSG-tPT2A-tdmChilada-h2b,tdmChilada+h2b,tdmChilada,H2B
pDQM073,ef1a:2xLynk-tdmSG-tPT2A-tdmChilada-h2b,2xLynk+tdmSG,tdmSG,2xLynk
pDQM073,ef1a:2xLynk-tdmSG-tPT2A-tdmChilada-h2b,tdmChilada+h2b,tdmChilada,H2B
pDQM074,ef1a:2xLynk-tdmSG(introns),2xLynk+tdmSG,tdmSG,2xLynk
pDQM075,ef1a:2xLynk-tdmSG(introns),2xLynk+tdmSG,tdmSG,2xLynk
pDQM076,exorh:gfp-hsp:dhb-tdmSG-tPT2A-tdmChilada-h2b (pRL093),dhb+tdmSG,tdmSG,DHB
pDQM076,exorh:gfp-hsp:dhb-tdmSG-tPT2A-tdmChilada-h2b (pRL093),tdmChilada+h2b,tdmChilada,H2B
pDQM077,exorh:gfp-hsp:dhb-tdmSG-tPT2A-tdmChilada-h2b (pRL093),dhb+tdmSG,tdmSG,DHB
pDQM077,exorh:gfp-hsp:dhb-tdmSG-tPT2A-tdmChilada-h2b (pRL093),tdmChilada+h2b,tdmChilada,H2B
pDQM078,ef1a:2xLynk-tdmSG,2xLynk+tdmSG,tdmSG,2xLynk
pDQM079,ef1a:2xLynk-mSG,2xLynk+mSG,mSG,2xLynk
pDQM080,ef1a:2xLynk-mSG,2xLynk+mSG,mSG,2xLynk
pDQM081,ef1a:2xLynk:mSG-tPT2A:mChilada,2xLynk+mSG,mSG,2xLynk
pDQM082,ef1a:2xLynk:tdmChilada,2xLynk+tdmChilada,tdmChilada,2xLynk
pDQM083,ef1a:linker:Electra2:linker-attB,,Electra,
pDQM083,ef1a:linker:Electra2:linker-attB,,Electra2,
pDQM084,ef1a:linker:mKOK:linker-attB,,mKOK,
pDQM085,ef1a:linker:mKate2:linker-attB,,mKate2,
pDQM086,ef1a:linker:mCitrine:linker-attB,,mCitrine,
pDQM087,ef1a:linker:mTFP1:linker-attB,,mTFP1,
pDQM088,ef1a:linker:mYongHong:linker-attB,,mYongHong,
pDQM089,ef1a:linker:mChilada:linker-attB,,mChilada,
pDQM090,ef1a:linker:mChilada-MAGPV:linker-attB,,mChilada,
pDQM091,ef1a:linker:mChilada-MAGPV:linker-attB,,mChilada,
pDQM092,SP6:2xLynk:mChialda-MAGPV,2xLynk+mChialda,mChialda,2xLynk
pDQM093,SP6:2xLynk:mChialda-MAGPV,2xLynk+mChialda,mChialda,2xLynk
pDQM094,ef1a:2xLynk:tdmSG:tPT2A:tdmChilada-MAGPV:H2B,2xLynk+tdmSG,tdmSG,2xLynk
pDQM095,ef1a:mSG:CDT1-tPT2A-mYH:GMN (iCodon) [FUCCI],,mSG,
pDQM095,ef1a:mSG:CDT1-tPT2A-mYH:GMN (iCodon) [FUCCI],,mYH,
pDQM096,ef1a:mSG:CDT1-tPT2A-mYH:GMN (endogenous) [FUCCI],,mSG,
pDQM096,ef1a:mSG:CDT1-tPT2A-mYH:GMN (endogenous) [FUCCI],,mYH,
pDQM097,cryaa skittles 3.1 5FP (new phiC (full length)),,,
pDQM098,exorH:GFP; hsp:phiC(iC),,gfp,
pDQM099,exorH:GFP; hsp:phiC(iC),,gfp,
pDQM100,exorH:mScarlet; hsp:phiC(iC),,mScarlet,
pDQM101,ef1a:linker:Halo:linker-attB,,Halo,
pDQM102,efa1:linker:mStayGold(J):linker-attB,,mStayGold,
pDQM103,efa1:linker:mStayGold(J):linker-attB,,mStayGold,
pDQM104,SP6:mChialda-MAGPV-h2b,,mChialda,
pDQM105,SP6:mYH:h2b,mYH+h2b,mYH,H2B
pDQM106,efa1:linker:miRFP670-2:linker-attB,,miRFP670,
pDQM107,efa1:linker:miRFP670-2:linker-attB,,miRFP670,
pDQM108,ccdB:linker:mChilada-MAGPV:linker,,mChilada,
pDQM109,ccdB:linker:mChilada-MAGPV:linker,,mChilada,
pDQM110,exorH:GFP; hsp:phiC(iC)-NLS,,gfp,
pDQM111,exorH:GFP; hsp:phiC(iC)-NLS,,gfp,
pDQM112,exorH:mScarlet; hsp:phiC(iC)-NLS,,mScarlet,
pDQM113,exorH:mScarlet; hsp:phiC(iC)-NLS,,mScarlet,
pDQM114,ef1a:mSG:CDT1-P2A-mYH:GMN (iCodon) [FUCCI],,mSG,
pDQM114,ef1a:mSG:CDT1-P2A-mYH:GMN (iCodon) [FUCCI],,mYH,
pDQM115,SP6:2xLynk:mScarlet3S2,2xLynk+mScarlet3S2,mScarlet3S2,2xLynk
pDQM116,SP6:2xLynk:mScarlet3S2,2xLynk+mScarlet3S2,mScarlet3S2,2xLynk
pDQM117,SP6:mScarlet3S2:H2B,mScarlet3S2+H2B,mScarlet3S2,H2B
pDQM118,SP6:mScarlet3S2:H2B,mScarlet3S2+H2B,mScarlet3S2,H2B
pDQM119,SP6:mBeRFP:H2B,mBeRFP+H2B,mBeRFP,H2B
pDQM120,ef1a:linker:mBeRFP:linker-attB,,mBeRFP,
pDQM121,ef1a:2xLynk:tdmScarlet3-S2-tol2,2xLynk+tdmScarlet3,tdmScarlet3,2xLynk
pDQM122,ef1a:skittles 3.5 (2xLynk:mSG-attP-Halo-attP-3FPs),2xLynk+mSG,mSG,2xLynk
pDQM123,ef1a:skittles 3.5 (2xLynk:mSG-attP-Halo-attP-3FPs),2xLynk+mSG,mSG,2xLynk
pDQM124,ef1a:linker:mScarlet3-S2:linker-attB (tol2),,mScarlet,
pDQM124,ef1a:linker:mScarlet3-S2:linker-attB (tol2),,mScarlet3,
pDQM125,ef1a:2xLynk:tdmSG:tPT2A:tdmScarlet3-S2:H2B,2xLynk+tdmSG,tdmSG,2xLynk
pDQM126,ef1a:2xLynk:tdmSG:tPT2A:tdmScarlet3-S2:H2B,2xLynk+tdmSG,tdmSG,2xLynk
pDQM127,ef1a:skittles 4.0 (2xLynk:mSG-attP-Halo-attP-Electra-attP-mBeRFP-attP-mScarlet3-S2-attP-mTFP1),2xLynk+mSG,mSG,2xLynk
pDQM128,A2UCOE-ef1a-2xLynk:tdmSG-tol2,2xLynk+tdmSG,tdmSG,2xLynk
pDQM129,ef1a-extended-2xLynk:tdmSG-tol2,2xLynk+tdmSG,tdmSG,2xLynk
pDQM130,MBP-TEV-phiC-NLS,,,
pDQM131,exorh:gfp-hsp:dhb-tdmSG-tPT2A-tdmChilada-h2b (pCM268),dhb+tdmSG,tdmSG,DHB
pDQM131,exorh:gfp-hsp:dhb-tdmSG-tPT2A-tdmChilada-h2b (pCM268),tdmChilada+h2b,tdmChilada,H2B
pDQM132,ef1a-extended::2xLynk:tdmSG:tPT2A:tdmScarlet3-S2:H2B-tol2,2xLynk+tdmSG,tdmSG,2xLynk
pDQM133,ef1a-extened::tdmScarlet3-S2:H2B-tol2,,mScarlet,
pDQM133,ef1a-extened::tdmScarlet3-S2:H2B-tol2,,mScarlet3,
pDQM133,ef1a-extened::tdmScarlet3-S2:H2B-tol2,,tdmScarlet3,
pDQM134,A2UCOE-ef1a:2xLynk:tdmSG:tPT2A:tdmScarlet3-S2:H2B-tol2,2xLynk+tdmSG,tdmSG,2xLynk
pDQM135,A2UCOE-ef1a-2xLynk:tdmSG-tol2,2xLynk+tdmSG,tdmSG,2xLynk
pDQM136,ef1a-extended:2xLynk:tdmScarlet3-S2-tol2,2xLynk+tdmScarlet3,tdmScarlet3,2xLynk
pDQM137,ef1a:-extended-skittles 4.0 (2xLynk:mSG-attP-Halo-attP-Electra-attP-mBeRFP-attP-mScarlet3-S2-attP-mTFP1),2xLynk+mSG,mSG,2xLynk
pDQM138,SP6:2xLynk:mGold2s,2xLynk+mGold2s,mGold2s,2xLynk
pDQM139,SP6:2xLynk:mGold2t,2xLynk+mGold2t,mGold2t,2xLynk
pDQM140,ef1a:linker:mGold2s:linker-attB (tol2),,mGold2s,
pDQM141,ef1a:linker:mGold2t:linker-attB (tol2),,mGold2t,
pDQM142,exorh:gfp-hsp:dhb-tdmSG-tPT2A-tdmScarlet3-S2-h2b (pCM268),dhb+tdmSG,tdmSG,DHB
pDQM143,SP6:tol2(iCodon),,,
pDQM144,ef1a:E2Crimson (iCodon),,E2Crimson,
pDQM145,ef1a:mCardinal (iCodon),,mCardinal,
pDQM146,ef1a-extended:linker:mScarlet3-S2:linker-attB (tol2),,mScarlet,
pDQM146,ef1a-extended:linker:mScarlet3-S2:linker-attB (tol2),,mScarlet3,
pDQM147,ef1a-extended:linker:mStayGold:linker-attB (tol2),,mStayGold,
pDQM148,ef1a-extended:linker:mStayGold-c4:linker-attB (tol2),,mStayGold,
pDQM149,ef1a-extended:linker:Halo:linker-sv40-he1.1-tagbfp2-attB (tol2),,Halo,
pDQM149,ef1a-extended:linker:Halo:linker-sv40-he1.1-tagbfp2-attB (tol2),,tagbfp2,
pDQM150,ef1a-extended-mSG:CDT1-tPT2A-mYH:GMN (endogenous),,mSG,
pDQM150,ef1a-extended-mSG:CDT1-tPT2A-mYH:GMN (endogenous),,mYH,
pDQM151,ef1a-extended-mSG:CDT1 (endogenous),,mSG,
pDQM152,A2UCOE-ef1a-extended-skittles 4.0 (2xLynk:mSG-attP-Halo-attP-Electra-attP-mBeRFP-attP-mScarlet3-S2-attP-mTFP1),2xLynk+mSG,mSG,2xLynk
pDQM153,ef1a-extended::DHB:tdmSG:tPT2A:tdmScarlet3-S2:H2B-tol2,DHB+tdmSG,tdmSG,DHB
pDQM154,ef1a-extened::tdmScarlet3-S2:PCNA-tol2,,mScarlet,
pDQM154,ef1a-extened::tdmScarlet3-S2:PCNA-tol2,,mScarlet3,
pDQM154,ef1a-extened::tdmScarlet3-S2:PCNA-tol2,,tdmScarlet3,
pDQM155,ef1a-extended:DHB:tdmSG-tol2,DHB+tdmSG,tdmSG,DHB
pDQM156,A2UCOE-loxP-ef1a-extended-2xLynk:tdmSc3S2-SV40-lox2272-attB-tol2,2xLynk+tdmSc3S2,tdmSc3S2,2xLynk
pDQM157,A2UCOE-FRT-ef1a-extended-2xLynk:tdmSc3S2-SV40-FRT3-attB-tol2,2xLynk+tdmSc3S2,tdmSc3S2,2xLynk
pDQM158,A2UCOE-ef1a-extened::tdmScarlet3-S2:PCNA-tol2,,mScarlet,
pDQM158,A2UCOE-ef1a-extened::tdmScarlet3-S2:PCNA-tol2,,mScarlet3,
pDQM158,A2UCOE-ef1a-extened::tdmScarlet3-S2:PCNA-tol2,,tdmScarlet3,
pDQM159,A2UCOE-ef1a-extended:DHB:tdmSG-tol2,DHB+tdmSG,tdmSG,DHB
pDQM160,ef1a-extended-tdmScarlet3S2::GMN (endogenous),,mScarlet,
pDQM160,ef1a-extended-tdmScarlet3S2::GMN (endogenous),,mScarlet3,
pDQM160,ef1a-extended-tdmScarlet3S2::GMN (endogenous),,mScarlet3S2,
pDQM160,ef1a-extended-tdmScarlet3S2::GMN (endogenous),,tdmScarlet3,
pDQM160,ef1a-extended-tdmScarlet3S2::GMN (endogenous),,tdmScarlet3S2,
pDQM161,loxP-ubb-mSG-h2b-lox2272,mSG+h2b,mSG,H2B
pDQM162,FRT3-ubb-mSG-h2b-FRT,mSG+h2b,mSG,H2B
pDQM163,SP6-SB100x,,,
pDQM164,A2UCOE-ef1a-extended-skittles 4.0 (2xLynk:mSG-attP-Halo-attP-Electra-attP-mBeRFP-attP-mScarlet3-S2-attP-mTFP1),2xLynk+mSG,mSG,2xLynk
pDQM165,exorH:mScarlet; hsp:phiC(iC)-NLS,,mScarlet,
pDQM166,exorH:mScarlet; hsp:phiC(iC)-NLS-tPT2A-2xLynk-mSG-ubb,2xLynk+mSG,mSG,2xLynk
pDQM167,SB-LTR-loxP-ubb-mSG-h2b-SV40-SB-lox2272-LTR,mSG+h2b,mSG,H2B
pDQM168,SB-LTR-FRT-ubb-mSG-h2b-SV40-SB-FRT3-LTR,mSG+h2b,mSG,H2B
pDQM169,pTwist-SP6-phiC-ERT2-new,,,
