plasmid_code,plasmid_name,nickname,fusion_name,fluor_name,tag_name,fluors,tag_description,resistance,notes,supports_invitro_rna
pDQM155,ef1a-extended:DHB:tdmSG-tol2,,DHB::tdmSG,tdmSG,DHB,moved DHB-tdmSG from pDQM037 into pDQM146,,Amp,clone 2 + 4,0
pDQM156,A2UCOE-loxP-ef1a-extended-2xLynk:tdmSc3S2-SV40-lox2272-attB-tol2,,2xLynk::tdmSc3S2,tdmSc3S2,2xLynk,added lox sites to pJWL002,,Amp,,0
pDQM157,A2UCOE-FRT-ef1a-extended-2xLynk:tdmSc3S2-SV40-FRT3-attB-tol2,,2xLynk::tdmSc3S2,tdmSc3S2,2xLynk,added FRT sites to pJWL002,,Amp,,0
pDQM158,A2UCOE-ef1a-extened::tdmScarlet3-S2:PCNA-tol2,,,tdmScarlet3,,moved pDQM154 into pJWL002 by ligation (AflII+PmlI),,Amp,TBD,0
pDQM159,A2UCOE-ef1a-extended:DHB:tdmSG-tol2,,DHB::tdmSG,tdmSG,DHB,moved pDQM155 into pJWL002 by ligation (AflII+PmlI),,Amp,TBD,0
pDQM160,ef1a-extended-tdmScarlet3S2::GMN (endogenous),,,tdmScarlet3S2,,moved GMN from pDQM096 into pDQM154,,Amp,clones 1 + 2,0
pDQM161,loxP-ubb-mSG-h2b-lox2272,,mSG::h2b,mSG,H2B,pTwist plasmids cloned together,,Amp,,0
pDQM162,FRT3-ubb-mSG-h2b-FRT,,mSG::h2b,mSG,H2B,pTwist plasmids cloned together,,Amp,,0
pDQM163,SP6-SB100x,,,,,cut pMNM004 + twist block,,,,0
pDQM164,A2UCOE-ef1a-extended-skittles 4.0 (2xLynk:mSG-attP-Halo-attP-Electra-attP-mBeRFP-attP-mScarlet3-S2-attP-mTFP1),,2xLynk::mSG,mSG,2xLynk,to correct tol2/IscI RHA cut pDQM152 PmeI/NotI + genscript PCR,,,,0
pDQM165,exorH:mScarlet; hsp:phiC(iC)-NLS,,,mScarlet,,fix phiC with de-spliced version from twist block,,,,0
pDQM166,exorH:mScarlet; hsp:phiC(iC)-NLS-tPT2A-2xLynk-mSG-ubb,,2xLynk::mSG,mSG,2xLynk,cut pDQM165 with PmlI/SrfI and add twist block,,,,0
pDQM167,SB-LTR-loxP-ubb-mSG-h2b-SV40-SB-lox2272-LTR,,mSG::h2b,mSG,H2B,cut pDQM162 with BspEI/SrfI and add two twist blocks,,,,0
pDQM168,SB-LTR-FRT-ubb-mSG-h2b-SV40-SB-FRT3-LTR,,mSG::h2b,mSG,H2B,cut pDQM161 with BspEI/SrfI and add two twist blocks,,,,0
pDQM169,pTwist-SP6-phiC-ERT2-new,,,,,synthesized completely at Twist,,,,0
MGCO-01,ef1a-2Xcox8A-linker-mStayGold-SV40-attb-tol2,2xcox8A-mStayGold,2Xcox8A::mStayGold,mStayGold,2Xcox8A,mStayGold,Mitochondria,Amp,,1
MGCO-02,ef1a-2Xcox8A-linker-mChilada-SV40-attb-tol2,2xcox8A-mChilada,2Xcox8A::mChilada,mChilada,2Xcox8A,mChilada,Mitochondria,Amp,,1
MGCO-03,ef1a-2Xcox8A-linker-Halo-SV40-attb-tol2,2xcos8A-Halo,2Xcox8A::Halo,Halo,2Xcox8A,Halo,Mitochondria,Amp,,1
MGCO-04,ef1a-linker-mStayGold-C4linker-sec61b-SV40-attb-tol2,mStayGold-sec61b,mStayGold::sec61b,mStayGold,sec61b,mStayGold,ER,Amp,,1
MGCO-05,ef1a-linker-mChilada-C4linker-sec61b-SV40-attb-tol2,mChilada-sec61b,mChilada::sec61b,mChilada,sec61b,mChilada,ER,Amp,,1
MGCO-06,ef1a-linker-Halo-sec61b-SV40-attb-tol2,Halo-sec61b,Halo::sec61b,Halo,sec61b,Halo,ER,Amp,,1
MGCO-07,ef1a-linker-mStayGold-C4linker-GM130-SV40-attb-tol2,mStayGold-GM130,,mStayGold,,mStayGold,Golgi,Amp,,1
MGCO-08,ef1a-linker-mChilada-C4linker-GM130-SV40-attb-tol2,mChilada-GM130,,mChilada,,mChilada,Golgi,Amp,,1
MGCO-09,ef1a-linker-Halo-GM130-SV40-attb-tol2,Halo-GM130,,Halo,,Halo,Golgi,Amp,,1
MGCO-10,ef1a-TGN46-linker-mStayGold-SV40-attb-tol2,TGN46-mStayGold,,mStayGold,,mStayGold,Golgi,Amp,,1
MGCO-11,ef1a-TGN46-linker-mChilada-SV40-attb-tol2,TGN46-mChilada,,mChilada,,mChilada,Golgi,Amp,,1
MGCO-12,ef1a-TGN46-linker-Halo-SV40-attb-tol2,TGN46-Halo,,Halo,,Halo,Golgi,Amp,,1
MGCO-13,ef1a-linker-mStayGold-C4linker-rab5a-SV40-attb-tol2,mStayGold-rab5a,,mStayGold,,mStayGold,Endosome,Amp,,1
MGCO-14,ef1a-linker-Halo-rab5a-SV40-attb-tol2,Halo-rab5a,,Halo,,Halo,Endosome,Amp,,1
MGCO-15,ef1a-LAMP1-linker-mStayGold-SV40-attb-tol2,LAMP1-mStayGold,LAMP1::mStayGold,mStayGold,LAMP1,mStayGold,Lysosome,Amp,,1
MGCO-16,ef1a-LAMP1-linker-mChilada-SV40-attb-tol2,LAMP1-mChilada,LAMP1::mChilada,mChilada,LAMP1,mChilada,Lysosome,Amp,,1
MGCO-17,ef1a-Arl13b-linker-mStayGold-SV40-attb-tol2,Arl13b-mStayGold,,mStayGold,,mStayGold,Cilia,Amp,,1
MGCO-18,ef1a-Arl13b-linker-Halo-SV40-attb-tol2,Arl13b-Halo,,Halo,,Halo,Cilia,Amp,,1
MGCO-19,ef1a-linker-mStayGold-C4linker-alphatubulin-SV40-attb-tol2,mStayGold-alphatubulin,,mStayGold,,mStayGold,Microtubules,Amp,,1
MGCO-20,ef1a-linker-Halo-linker-alphatubulin-SV40-attb-tol2,Halo-alphatubulin,,Halo,,Halo,Microtubules,Amp,,1
MGCO-21,ef1a-vimentin-linker-mStayGold-SV40-attb-tol2,Vimentin-mStayGold,,mStayGold,,mStayGold,IF,Amp,,1
MGCO-22,ef1a-vimentin-linker-Halo-linker-SV40-attb-tol2,Vimentin-Halo,,Halo,,Halo,IF,Amp,,1
MGCO-23,ef1a-lifeact-linker-mStayGold-SV40-attb-tol2,LifeAct-mStayGold,lifeact::mStayGold,mStayGold,lifeact,mStayGold,Actin,Amp,,1
MGCO-24,ef1a-lifeact-linker-Halo-linker-SV40-attb-tol2,LifeAct-Halo,lifeact::Halo,Halo,lifeact,Halo,Actin,Amp,,1
MGCO-25,ef1a-linker-mStayGold-C4linker-MYH10-SV40-attb-tol2,mStayGold-MYH10,,mStayGold|mYH,,mStayGold,NMIIB,Amp,,1
MGCO-26,ef1a-linker-mChilada-C4linker-MYH10-SV40-attb-tol2,mChilada-MYH10,,mChilada|mYH,,mChilada,NMIIB,Amp,,1
MGCO-27,ef1a-extended-linker-mStayGold-C4linker-sec61b-SV40-attb-tol2,mStayGold-sec61b,mStayGold::sec61b,mStayGold,sec61b,mStayGold,ER,Amp,,1
MGCO-28,ef1a-extended-2Xcox8A-linker-mStayGold-SV40-attb-tol2,2Xcox8A-mStayGold,2Xcox8A::mStayGold,mStayGold,2Xcox8A,mStayGold,Mitochondria,Amp,,1
MGCO-29,ef1a-extended-linker-mStayGold-C4linker-GM130-SV40-attb-tol2,mStayGold-GM130,,mStayGold,,mStayGold,Golgi,Amp,,1
MGCO-30,ef1a-extended-TGN46-linker-mStayGold-SV40-attb-tol2,TGN46-mStayGold,,mStayGold,,mStayGold,Golgi,Amp,,1
MGCO-31,ef1a-extended-LAMP1-linker-mStayGold-SV40-attb-tol2,LAMP1-mStayGold,LAMP1::mStayGold,mStayGold,LAMP1,mStayGold,Lysosome,Amp,,1
MGCO-32,ef1a-extended-linker-mStayGold-C4linker-alphatubulin-SV40-attb-tol2,mStayGold-alphatubulin,,mStayGold,,mStayGold,Microtubules,Amp,,1
MGCO-33,ef1a-extended-vimentin-linker-mStayGold-SV40-attb-tol2,vimentin-mStayGold,,mStayGold,,mStayGold,IF,Amp,,1
MGCO-34,ef1a-extended-lifeact-linker-mStayGold-SV40-attb-tol2,lifeact-mStayGold,lifeact::mStayGold,mStayGold,lifeact,mStayGold,Actin,Amp,,1
MGCO-35,ef1a-extended-2Xcox8A-linker-mScarlet3S2-SV40-attb-tol2,2Xcox8A-mScarlet3S2,2Xcox8A::mScarlet3S2,mScarlet3S2,2Xcox8A,mScarlet3S2,Mitochondria,Amp,,1
MGCO-36,ef1a-extended-linker-mScarlet3S2-sec61b-SV40-attb-tol2,mScarlet3S2-sec61b,mScarlet3S2::sec61b,mScarlet3S2,sec61b,mScarlet3S2,ER,Amp,,1
MGCO-37,ef1a-extended-LAMP1-linker-mScarlet3S2-SV40-attb-tol2,LAMP1-mScarlet3S2,LAMP1::mScarlet3S2,mScarlet3S2,LAMP1,mScarlet3S2,Lysosome,Amp,,1
MGCO-38,ef1a-extended-linker-mStayGold-C4linker-MyosinII-SV40-attb-tol2,mStayGold-MyosinII,,mStayGold,,mStayGold,NMII,Amp,,1
MGCO-39,ef1a-extended-2Xcox8A-linker-Halo-SV40-attb-tol2,2Xcox8A-Halo,2Xcox8A::Halo,Halo,2Xcox8A,Halo,Mitochondria,Amp,,1
MGCO-40,ef1a-extended-linker-Halo-sec61b-SV40-attb-tol2,Halo-sec61b,Halo::sec61b,Halo,sec61b,Halo,ER,Amp,,1
MGCO-41,ef1a-extended-linker-mScarlet3S2-GM130-SV40-attb-tol2,mScarlet3S2-GM130,,mScarlet3S2,,mScarlet3S2,Golgi,Amp,,1
MGCO-42,ef1a-extended-linker-Halo-GM130-SV40-attb-tol2,Halo-GM130,,Halo,,Halo,Golgi,Amp,,1
MGCO-43,ef1a-extended-TGN46-linker-mScarlet3S2-SV40-attb-tol2,TGN46-mScarlet3S2,,mScarlet3S2,,mScarlet3S2,Golgi,Amp,,1
MGCO-44,ef1a-extended-TGN46-linker-Halo-SV40-attb-tol2,TGN46-Halo,,Halo,,Halo,Golgi,Amp,,1
MGCO-45,ef1a-extended-linker-Halo-linker-alphatubulin-SV40-attb-tol2,Halo-alphatubulin,,Halo,,Halo,Microtubules,Amp,,1
MGCO-46,ef1a-extended-vimentin-linker-Halo-linker-SV40-attb-tol2,vimentin-Halo,,Halo,,Halo,IF,Amp,,1
MGCO-47,ef1a-extended-lifeact-linker-Halo-linker-SV40-attb-tol2,lifeact-Halo,lifeact::Halo,Halo,lifeact,Halo,Actin,Amp,,1
MGCO-48,ef1a-extended-linker-mScarlet3S2-linker-MyosinII-SV40-attb-tol2,mScarlet3S2-MyosinII,,mScarlet3S2,,mScarlet3S2,NMII,Amp,,1
