plasmid_code,plasmid_name,nickname,fusion_name,fluor_name,tag_name,fluors,tag_description,resistance,notes,supports_invitro_rna
pDQM039,hsp:dhb-tdmSG-tPT2A-tdmChilada-pcna (pCM268),,dhb::tdmSG|tdmChilada::pcna,tdmSG|tdmChilada,DHB|pcna,from pDQM0026,,Amp,hsp driven cdk/pcna cell cycle sensor clone 2 (pIGLET),0
pDQM040,hsp:dhb-tdmSG-tPT2A-tdmChilada-pcna (pCM268),,dhb::tdmSG|tdmChilada::pcna,tdmSG|tdmChilada,DHB|pcna,from pDQM0026,,Amp,hsp driven cdk/pcna cell cycle sensor clone 3 (pIGLET),0
pDQM041,sox10:mChilada (pCM268),,,mChilada,,from pDQM022,,Amp,sox10p-driven mChilada (pIGLET) clone 1,0
pDQM042,sox10:mChilada (pCM268),,,mChilada,,from pDQM022,,Amp,sox10p-driven mChilada (pIGLET) clone 2,0
pDQM043,pCM268_ccdB-mCitrine,,,mCitrine,,mCitrine (iCodon),,Amp,Clone 1 - pIGLET backbone in NEB Turbo cells (for ccdB survival),0
pDQM044,pCM268_ccdB-mCitrine,,,mCitrine,,mCitrine (iCodon),,Amp,Clone 2 - pIGLET backbone in NEB Turbo cells (for ccdB survival),0
pDQM045,pTwist-SP6:2xLynk:mScarlet3,,2xLynk::mScarlet3,mScarlet3,2xLynk,mScarlet3(iCodon),,Amp,,0
pDQM046,pTwist-SP6:2xLynk:mScarlet3,,2xLynk::mScarlet3,mScarlet3,2xLynk,mScarlet3(iCodon),,Amp,,0
pDQM047,pTwist-SP6-2xLynk:mSG(J)-iCodon,,2xLynk::mSG,mSG,2xLynk,cloned into DQM030,,Amp,Clone 1,0
pDQM048,pTwist-SP6-2xLynk:mSG(J)-iCodon,,2xLynk::mSG,mSG,2xLynk,cloned into DQM031,,Amp,Clone 2,0
pDQM049,pTwist-SP6-2xLynk:mSG(B)-iCodon,,2xLynk::mSG,mSG,2xLynk,cloned into DQM032,,Amp,Clone 1,0
pDQM050,pTwist-SP6-2xLynk:mSG(B)-iCodon,,2xLynk::mSG,mSG,2xLynk,cloned into DQM033,,Amp,Clone 2,0
pDQM051,ef1a:dhb-tdmSG-tPT2A-tdmChilada-h2b (pCM268),,dhb::tdmSG|tdmChilada::h2b,tdmSG|tdmChilada,DHB|H2B,swapped pcna for h2b in pDQM038,,Amp,Clone 1 - pIGLET,0
pDQM052,ef1a:dhb-tdmSG-tPT2A-tdmChilada-h2b (pCM268),,dhb::tdmSG|tdmChilada::h2b,tdmSG|tdmChilada,DHB|H2B,swapped pcna for h2b in pDQM038,,Amp,Clone 2 - pIGLET,0
pDQM053,hsp:dhb-tdmSG-tPT2A-tdmChilada-h2b (pCM268),,dhb::tdmSG|tdmChilada::h2b,tdmSG|tdmChilada,DHB|H2B,swapped pcna for h2b in pDQM040,,Amp,Clone 2 - pIGLET,0
pDQM054,hsp:dhb-tdmSG-tPT2A-tdmChilada-h2b (pCM268),,dhb::tdmSG|tdmChilada::h2b,tdmSG|tdmChilada,DHB|H2B,swapped pcna for h2b in pDQM040,,Amp,Clone 3 - pIGLET,0
pDQM055,AAV-dhb-tdmSG-tPT2A-tdmChilada-pcna,,dhb::tdmSG|tdmChilada::pcna,tdmSG|tdmChilada,DHB|pcna,cloned dhb/pcna construct from pDQM38 into AAV vector for Amir,,Amp,Clone 3 (truncated SV40),0
pDQM056,AAV-dhb-tdmSG-tPT2A-tdmChilada-pcna,,dhb::tdmSG|tdmChilada::pcna,tdmSG|tdmChilada,DHB|pcna,cloned dhb/pcna construct from pDQM38 into AAV vector for Amir,,Amp,Clone 4 (truncated SV40),0
pDQM057,exorh:gfp-hsp:dhb-tdmSG-tPT2A-tdmChilada-pcna (pCM268),,dhb::tdmSG|tdmChilada::pcna,tdmSG|tdmChilada,DHB|pcna,cloned exorh:GFP from pRL093 into pDQM038,,Amp,Clone 4 ,0
pDQM058,exorh:gfp-hsp:dhb-tdmSG-tPT2A-tdmChilada-h2b (pCM268),,dhb::tdmSG|tdmChilada::h2b,tdmSG|tdmChilada,DHB|H2B,cloned exorh:GFP from pRL093 into pDQM053,,Amp,Clone 1,0
pDQM059,skittles3.1-4FP (exorh:GFP),,,gfp,,swapped exorh:GFP <-> cryaa:mSc,,Amp,Clone 3,0
pDQM060,ef1a:2xLynk-tdmSG-tPT2A-tdmChilada-h2b (pCM268),,2xLynk::tdmSG|tdmChilada::h2b,tdmSG|tdmChilada,2xLynk|H2B,swapped 2xLynk <-> DHB in pDQM051,,Amp,Clone 3,0
pDQM061,AAV-dhb-tdmSG-tPT2A-tdmChilada-pcna,,dhb::tdmSG|tdmChilada::pcna,tdmSG|tdmChilada,DHB|pcna,corrected 3'utr - fine ,,Amp,Clone 2,0
pDQM062,AAV-dhb-tdmSG-tPT2A-tdmChilada-pcna,,dhb::tdmSG|tdmChilada::pcna,tdmSG|tdmChilada,DHB|pcna,corrected 3'utr - fine ,,Amp,Clone 3,0
pDQM063,exorh skittles 2.0 5FP,,,,,exorH:GFP before recombination,,Amp,"clone 1,iCodon optimized - contains exorH:GFP-AttP-mKate2-Electra2-mCitrine-mKOK-mTFP1",0
pDQM064,exorh skittles 2.0 5FP,,,,,exorH:GFP before recombination,,Amp,"clone 5, iCodon optimized - contains exorH:GFP-AttP-mKate2-Electra2-mCitrine-mKOK-mTFP1",0
pDQM065,tol2-ef1a:2xLynk-tdmSG-tPT2A-tdmChilada-h2b,,2xLynk::tdmSG|tdmChilada::h2b,tdmSG|tdmChilada,2xLynk|H2B,moved pDQM060 into pDQM005 for tol2 injections,,Amp,clone 1,0
pDQM066,tol2-ef1a:2xLynk-tdmSG-tPT2A-tdmChilada-h2b,,2xLynk::tdmSG|tdmChilada::h2b,tdmSG|tdmChilada,2xLynk|H2B,moved pDQM060 into pDQM005 for tol2 injections,,Amp,clone 2,0
pDQM067,ef1a:2xLynk-tdmSG-tPT2A-tdmYH-h2b (pCM268),,2xLynk::tdmSG|tdmYH::h2b,tdmSG|tdmYH,2xLynk|H2B,swapped mYH for mChilada (pIGLET backone),,Amp,clone 1,0
pDQM068,ef1a:2xLynk-tdmSG,,2xLynk::tdmSG,tdmSG,2xLynk,moved pDQM005 into pDQM060,,Amp,Clone 1,0
pDQM069,ef1a:2xLynk-tdmSG,,2xLynk::tdmSG,tdmSG,2xLynk,moved pDQM005 into pDQM060,,Amp,Clone 2,0
pDQM070,ef1a:2xLynk-tdmSG(introns),,2xLynk::tdmSG,tdmSG,2xLynk,moved pDQM008 into pDQM060,,Amp,Clone 2,0
pDQM071,ef1a:2xLynk-tdmSG(introns),,2xLynk::tdmSG,tdmSG,2xLynk,moved pDQM008 into pDQM060,,Amp,Clone 4,0
pDQM072,ef1a:2xLynk-tdmSG-tPT2A-tdmChilada-h2b,,2xLynk::tdmSG|tdmChilada::h2b,tdmSG|tdmChilada,2xLynk|H2B,moved pDQM060 into pIA005 (pIGLET),,Amp,Clone 2,0
pDQM073,ef1a:2xLynk-tdmSG-tPT2A-tdmChilada-h2b,,2xLynk::tdmSG|tdmChilada::h2b,tdmSG|tdmChilada,2xLynk|H2B,moved pDQM060 into pIA005 (pIGLET),,Amp,Clone 4,0
pDQM074,ef1a:2xLynk-tdmSG(introns),,2xLynk::tdmSG,tdmSG,2xLynk,moved pDQM008 into pIA005(pIGLET),,Amp,Clone 1,0
pDQM075,ef1a:2xLynk-tdmSG(introns),,2xLynk::tdmSG,tdmSG,2xLynk,moved pDQM008 into pIA005(pIGLET),,Amp,Clone 3,0
pDQM076,exorh:gfp-hsp:dhb-tdmSG-tPT2A-tdmChilada-h2b (pRL093),,dhb::tdmSG|tdmChilada::h2b,tdmSG|tdmChilada,DHB|H2B,moved pDQM057 into pRL093 (pIGLET),,Amp,Clone 1,0
pDQM077,exorh:gfp-hsp:dhb-tdmSG-tPT2A-tdmChilada-h2b (pRL093),,dhb::tdmSG|tdmChilada::h2b,tdmSG|tdmChilada,DHB|H2B,moved pDQM057 into pRL093 (pIGLET),,Amp,Clone 3,0
pDQM078,ef1a:2xLynk-tdmSG,,2xLynk::tdmSG,tdmSG,2xLynk,moved pDQM005 into pIA005(pIGLET),,Amp,Clone 5,0
pDQM079,ef1a:2xLynk-mSG,,2xLynk::mSG,mSG,2xLynk,moved pDQM047 into pIA005 (pIGLET),,Amp,Clone 1,0
pDQM080,ef1a:2xLynk-mSG,,2xLynk::mSG,mSG,2xLynk,moved pDQM047 into pIA005 (pIGLET),,Amp,Clone 2,0
pDQM081,ef1a:2xLynk:mSG-tPT2A:mChilada,,2xLynk::mSG,mSG,2xLynk,PCR off pDQM065 into pDQM065 (tol2),,Amp,Clone 4,0
pDQM082,ef1a:2xLynk:tdmChilada,,2xLynk::tdmChilada,tdmChilada,2xLynk,PCR off pDQM065 into pDQM065 (tol2),,Amp,Clone 4,0
pDQM083,ef1a:linker:Electra2:linker-attB,,,Electra|Electra2,,PCR off pDQM12 into pDQM005,,Amp,Clone 12-1,0
pDQM084,ef1a:linker:mKOK:linker-attB,,,mKOK,,PCR off pDQM13 into pDQM005,,Amp,Clone 13-2,0
pDQM085,ef1a:linker:mKate2:linker-attB,,,mKate2,,PCR off pDQM14 into pDQM005,,Amp,Clone 14-2,0
pDQM086,ef1a:linker:mCitrine:linker-attB,,,mCitrine,,PCR off pDQM43 into pDQM005,,Amp,Clone 43-1,0
pDQM087,ef1a:linker:mTFP1:linker-attB,,,mTFP1,,PCR off pDQM016 into pDQM065,,Amp,Clone 16-1,0
pDQM088,ef1a:linker:mYongHong:linker-attB,,,mYongHong,,PCR off pDQM032 into pDQM065,,Amp,Clone 32-1,0
pDQM089,ef1a:linker:mChilada:linker-attB,,,mChilada,,PCR off pDQM023 into pDQM065,,Amp,Clone 23-3,0
pDQM090,ef1a:linker:mChilada-MAGPV:linker-attB,,,mChilada,,twist block cloned into pDQM084 (pIGLET/tol2),,Amp,Clone 1,0
pDQM091,ef1a:linker:mChilada-MAGPV:linker-attB,,,mChilada,,twist block cloned into pDQM084 (pIGLET/tol2),,Amp,Clone 2,0
pDQM092,SP6:2xLynk:mChialda-MAGPV,,2xLynk::mChialda,mChialda,2xLynk,twist block coned into pDQM049 (pTwist),,Amp,Clone 1,0
pDQM093,SP6:2xLynk:mChialda-MAGPV,,2xLynk::mChialda,mChialda,2xLynk,twist block coned into pDQM049,,Amp,Clone 2,0
pDQM094,ef1a:2xLynk:tdmSG:tPT2A:tdmChilada-MAGPV:H2B,,2xLynk::tdmSG,tdmSG,2xLynk,twist blocks cloned into pDQM065 (Tol2),,Amp,Clone 1,0
pDQM095,ef1a:mSG:CDT1-tPT2A-mYH:GMN (iCodon) [FUCCI],,,mSG|mYH,,twist blocks cloned into pDQM087 (pIGLET/Tol2),,Amp,Clone 2,0
pDQM096,ef1a:mSG:CDT1-tPT2A-mYH:GMN (endogenous) [FUCCI],,,mSG|mYH,,twist blocks cloned into pDQM087 (pIGLET/Tol2),,Amp,Clone 2,0
pDQM097,cryaa skittles 3.1 5FP (new phiC (full length)),,,,,twist block cloned in pDQM034,,Amp,Clone 2,0
pDQM098,exorH:GFP; hsp:phiC(iC),,,gfp,,Clone 2,,Amp,new phiC cloned into Erin's plasmid,0
pDQM099,exorH:GFP; hsp:phiC(iC),,,gfp,,Clone 3,,Amp,new phiC cloned into Erin's plasmid,0
pDQM100,exorH:mScarlet; hsp:phiC(iC),,,mScarlet,,Clone 2,,Amp,new phiC cloned into Erin's plasmid,0
pDQM101,ef1a:linker:Halo:linker-attB,,,Halo,,pcr off Twist block cloned into pDQM087,,Amp,Clone 1,0
pDQM102,efa1:linker:mStayGold(J):linker-attB,,,mStayGold,,single mStayGold(J) inserted into pDQM087,,Amp,Clone 1,0
pDQM103,efa1:linker:mStayGold(J):linker-attB,,,mStayGold,,single mStayGold(J) inserted into pDQM088,,Amp,Clone 2,0
pDQM104,SP6:mChialda-MAGPV-h2b,,,mChialda,,single mChilada-MAGPV:h2b to make mRNA,,Amp,Clone 1,0
pDQM105,SP6:mYH:h2b,,mYH::h2b,mYH,H2B,single mYongHong-h2b to make mRNA,,Amp,Clone 4,0
pDQM106,efa1:linker:miRFP670-2:linker-attB,,,miRFP670,,PCR off pDQM018 into pDQM065,,Amp,Clone 2,0
pDQM107,efa1:linker:miRFP670-2:linker-attB,,,miRFP670,,PCR off pDQM018 into pDQM065,,Amp,Clone 5,0
pDQM108,ccdB:linker:mChilada-MAGPV:linker,,,mChilada,,twist block cloned into pDQM013,,Amp,Clone 1,0
pDQM109,ccdB:linker:mChilada-MAGPV:linker,,,mChilada,,twist block cloned into pDQM013,,Amp,Clone 3,0
pDQM110,exorH:GFP; hsp:phiC(iC)-NLS,,,gfp,,added NLS to PhiC,,Amp,Clone 1,0
pDQM111,exorH:GFP; hsp:phiC(iC)-NLS,,,gfp,,added NLS to PhiC,,Amp,Clone 3,0
pDQM112,exorH:mScarlet; hsp:phiC(iC)-NLS,,,mScarlet,,added NLS to PhiC,,Amp,Clone 1,0
pDQM113,exorH:mScarlet; hsp:phiC(iC)-NLS,,,mScarlet,,added NLS to PhiC,,Amp,Clone 2,0
pDQM114,ef1a:mSG:CDT1-P2A-mYH:GMN (iCodon) [FUCCI],,,mSG|mYH,,swapped tPT2A<->P2A in pDQM095,,Amp,clone 2,0
pDQM115,SP6:2xLynk:mScarlet3S2,,2xLynk::mScarlet3S2,mScarlet3S2,2xLynk,twist block,,Amp,Clone 1,0
pDQM116,SP6:2xLynk:mScarlet3S2,,2xLynk::mScarlet3S2,mScarlet3S2,2xLynk,twist block,,Amp,Clone 2,0
pDQM117,SP6:mScarlet3S2:H2B,,mScarlet3S2::H2B,mScarlet3S2,H2B,twist block,,Amp,Clone 2,0
pDQM118,SP6:mScarlet3S2:H2B,,mScarlet3S2::H2B,mScarlet3S2,H2B,twist block,,Amp,Clone 3,0
pDQM119,SP6:mBeRFP:H2B,,mBeRFP::H2B,mBeRFP,H2B,twist block,,Amp,Clone 3,0
pDQM120,ef1a:linker:mBeRFP:linker-attB,,,mBeRFP,,twist block,,Amp,Clone 1,0
pDQM121,ef1a:2xLynk:tdmScarlet3-S2-tol2,,2xLynk::tdmScarlet3,tdmScarlet3,2xLynk,PCR/twist?,,Amp,Clones 1-4,0
pDQM122,ef1a:skittles 3.5 (2xLynk:mSG-attP-Halo-attP-3FPs),,2xLynk::mSG,mSG,2xLynk,twist block cloned into pDQM035,,Amp,Clone 3,0
pDQM123,ef1a:skittles 3.5 (2xLynk:mSG-attP-Halo-attP-3FPs),,2xLynk::mSG,mSG,2xLynk,twist block cloned into pDQM035,,Amp,Clone 4,0
pDQM124,ef1a:linker:mScarlet3-S2:linker-attB (tol2),,,mScarlet3,,PCR product cloned into any ef1a:linker:FP,,Amp,Clone 1 and 2,0
pDQM125,ef1a:2xLynk:tdmSG:tPT2A:tdmScarlet3-S2:H2B,,2xLynk::tdmSG,tdmSG,2xLynk,PCR + twist block cloned into pDQM094/065,,Amp,clone 65-1,0
pDQM126,ef1a:2xLynk:tdmSG:tPT2A:tdmScarlet3-S2:H2B,,2xLynk::tdmSG,tdmSG,2xLynk,PCR + twist block cloned into pDQM094/066,,Amp,clone 94-1,0
pDQM127,ef1a:skittles 4.0 (2xLynk:mSG-attP-Halo-attP-Electra-attP-mBeRFP-attP-mScarlet3-S2-attP-mTFP1),,2xLynk::mSG,mSG,2xLynk,twist block cloned into PDQM122/123,,Amp,Clone 1 & 2,0
pDQM128,A2UCOE-ef1a-2xLynk:tdmSG-tol2,,2xLynk::tdmSG,tdmSG,2xLynk,twist blck cloned into pDQM005,,Amp,TBD (missing ~96bp?),0
pDQM129,ef1a-extended-2xLynk:tdmSG-tol2,,2xLynk::tdmSG,tdmSG,2xLynk,twist block cloned into pDQM005,,Amp,Clones 1-4,0
pDQM130,MBP-TEV-phiC-NLS,,,,,twist block cloned into Doudna plasmid,,Amp,TBD,0
pDQM131,exorh:gfp-hsp:dhb-tdmSG-tPT2A-tdmChilada-h2b (pCM268),,dhb::tdmSG|tdmChilada::h2b,tdmSG|tdmChilada,DHB|H2B,fixed missing 3'utr,,Amp,"Clones 2,3",0
pDQM132,ef1a-extended::2xLynk:tdmSG:tPT2A:tdmScarlet3-S2:H2B-tol2,,2xLynk::tdmSG,tdmSG,2xLynk,PCR of extra ef1a promoter added to pDQM125 (cut with SpeI),,Amp,Clones 1-3,0
pDQM133,ef1a-extened::tdmScarlet3-S2:H2B-tol2,,,tdmScarlet3,,PCR of extra ef1a promoter added to pDQM125 (cut with SpeI/NheI),,Amp,Clones 1-3,0
pDQM134,A2UCOE-ef1a:2xLynk:tdmSG:tPT2A:tdmScarlet3-S2:H2B-tol2,,2xLynk::tdmSG,tdmSG,2xLynk,ApaI/XhoI cut pDQM125 + A2UCOE PCR,,Amp,still missing ~100bp,0
pDQM135,A2UCOE-ef1a-2xLynk:tdmSG-tol2,,2xLynk::tdmSG,tdmSG,2xLynk,Fixed pDQM128 by A2UCOE PCR?,,Amp,still missing ~100bp,0
pDQM136,ef1a-extended:2xLynk:tdmScarlet3-S2-tol2,,2xLynk::tdmScarlet3,tdmScarlet3,2xLynk,new blocks cloned into pDQM005,,Amp,clone 3,0
pDQM137,ef1a:-extended-skittles 4.0 (2xLynk:mSG-attP-Halo-attP-Electra-attP-mBeRFP-attP-mScarlet3-S2-attP-mTFP1),,2xLynk::mSG,mSG,2xLynk,extended ef1a promoter cloned into pDQM127,,Amp,clone 3,0
pDQM138,SP6:2xLynk:mGold2s,,2xLynk::mGold2s,mGold2s,2xLynk,cloned into pDQM115,,Amp,TBD,0
pDQM139,SP6:2xLynk:mGold2t,,2xLynk::mGold2t,mGold2t,2xLynk,cloned into pDQM115,,Amp,TBD,0
pDQM140,ef1a:linker:mGold2s:linker-attB (tol2),,,mGold2s,,cloned into pDQM124,,Amp,clones 1-3,0
pDQM141,ef1a:linker:mGold2t:linker-attB (tol2),,,mGold2t,,cloned into pDQM214,,Amp,clones 2-3,0
pDQM142,exorh:gfp-hsp:dhb-tdmSG-tPT2A-tdmScarlet3-S2-h2b (pCM268),,dhb::tdmSG,tdmSG,DHB,cloned into pDQM131,,Amp,TBD,0
pDQM143,SP6:tol2(iCodon),,,,,cloned into pDQM115,,Amp,"Clones 1,2 and 4",0
pDQM144,ef1a:E2Crimson (iCodon),,,E2Crimson,,cloned into pDQM85,,Amp,Clones 1-4,0
pDQM145,ef1a:mCardinal (iCodon),,,mCardinal,,cloned into pDQM85,,Amp,Clones 1-4,0
pDQM146,ef1a-extended:linker:mScarlet3-S2:linker-attB (tol2),,,mScarlet3,,extra ef1a promoter cloned into pDQM124,,Amp,made by Erin (Janelia),0
pDQM147,ef1a-extended:linker:mStayGold:linker-attB (tol2),,,mStayGold,,extra ef1a promoter cloned into pDQM102,,Amp,made by Erin (Janelia),0
pDQM148,ef1a-extended:linker:mStayGold-c4:linker-attB (tol2),,,mStayGold,,extra ef1a promoter cloned into pDQM102,,Amp,made by Erin (Janelia),0
pDQM149,ef1a-extended:linker:Halo:linker-sv40-he1.1-tagbfp2-attB (tol2),,,Halo|tagbfp2,,extra ef1a promoter cloned into pDQM101,,Amp,made by Erin (Janelia),0
pDQM150,ef1a-extended-mSG:CDT1-tPT2A-mYH:GMN (endogenous),,,mSG|mYH,,moved pDQM096 (zfFUCCI-v2) into pDQM146,,Amp,,0
pDQM151,ef1a-extended-mSG:CDT1 (endogenous),,,mSG,,moved pDQM096 (CDT1-mSG) into pDQM146,,Amp,Clones 3 & 4,0
pDQM152,A2UCOE-ef1a-extended-skittles 4.0 (2xLynk:mSG-attP-Halo-attP-Electra-attP-mBeRFP-attP-mScarlet3-S2-attP-mTFP1),,2xLynk::mSG,mSG,2xLynk,moved pDQM137 into pMNM002 by Pml/KpnI ligation,,Amp,,0
pDQM153,ef1a-extended::DHB:tdmSG:tPT2A:tdmScarlet3-S2:H2B-tol2,,DHB::tdmSG,tdmSG,DHB,moved DHB from pDQM037 into pDQM132,,Amp,clone 1,0
pDQM154,ef1a-extened::tdmScarlet3-S2:PCNA-tol2,,,tdmScarlet3,,moved PCNA from pDQM037 into pDQM133,,Amp,clone 1 + 2,0
