date_experiment,fish,roi_rel,roi_name,roi_tiffs,roi_dir,dataset,experiment_folder,roi_path_date_yyyymmdd,fish_folder,roi_folder,fish_id,fish_number,fish_age_hpf,fish_nickname,fish_raw_norm,roi_anatomy_tokens,roi_anatomy,fish_folder_patched,dataset_slug,dataset_slug_norm,sheet_slug_norm,date_mount_yyyymmdd,date_mount,Date imaged,mount_id,ZF female genotype,ZF male genotype,additional plasmids injected,additional mRNAs injected,additonal proteins injected,additonal dye and chemicals,Date born,Imaged Locations,Unique Targets with blanks,Unique Targets,Data location,link_source,plate_date,mount_id_inferred,mount_id_source,plate_key,plate_id_filled,slot_id_filled,roi_index_within_slot,bruker_roi_id
20250513_skittles,fish1,roi1,roi1,42,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish1/roi1,korra,20250513_skittles,20250513,fish1,roi1,fish1,1.0,,,fish1,[],,fish1,20250513_skittles,20250513_skittles,20250513_skittles,20250513,2025-05-13,2025-05-13,,,,,phiC-NLS,,,2025-05-12,"spinal_cord, skin, muscle, tail",,,X:\abcabc\Korra_Foundation\20250513_skittles(fish1-3),sheet,20250513,1,inferred,20250513::20250513_skittles::1,3,1,1,20250513-plate3-slot1-roi1
20250513_skittles,fish1,roi2,roi2,38,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish1/roi2,korra,20250513_skittles,20250513,fish1,roi2,fish1,1.0,,,fish1,[],,fish1,20250513_skittles,20250513_skittles,20250513_skittles,20250513,2025-05-13,2025-05-13,,,,,phiC-NLS,,,2025-05-12,"spinal_cord, skin, muscle, tail",,,X:\abcabc\Korra_Foundation\20250513_skittles(fish1-3),sheet,20250513,1,inferred,20250513::20250513_skittles::1,3,1,2,20250513-plate3-slot1-roi2
20250513_skittles,fish1,roi2_2,roi2_2,18,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish1/roi2_2,korra,20250513_skittles,20250513,fish1,roi2_2,fish1,1.0,,,fish1,[],,fish1,20250513_skittles,20250513_skittles,20250513_skittles,20250513,2025-05-13,2025-05-13,,,,,phiC-NLS,,,2025-05-12,"spinal_cord, skin, muscle, tail",,,X:\abcabc\Korra_Foundation\20250513_skittles(fish1-3),sheet,20250513,1,inferred,20250513::20250513_skittles::1,3,1,3,20250513-plate3-slot1-roi3
20250513_skittles,fish10,roi1,roi1,240,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish10/roi1,korra,20250513_skittles,20250513,fish10,roi1,fish10,10.0,,,fish10,[],,fish10,20250513_skittles,20250513_skittles,20250513_skittles,20250513,2025-05-13,2025-05-13,,,,,phiC-NLS,,,2025-05-12,"spinal_cord, skin, muscle, tail",,,X:\abcabc\Korra_Foundation\20250513_skittles(fish1-3),sheet,20250513,1,inferred,20250513::20250513_skittles::1,3,2,1,20250513-plate3-slot2-roi1
20250513_skittles,fish11,roi1,roi1,240,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish11/roi1,korra,20250513_skittles,20250513,fish11,roi1,fish11,11.0,,,fish11,[],,fish11,20250513_skittles,20250513_skittles,20250513_skittles,20250513,2025-05-13,2025-05-13,,,,,phiC-NLS,,,2025-05-12,"spinal_cord, skin, muscle, tail",,,X:\abcabc\Korra_Foundation\20250513_skittles(fish1-3),sheet,20250513,1,inferred,20250513::20250513_skittles::1,3,3,1,20250513-plate3-slot3-roi1
20250513_skittles,fish11,roi1_test,roi1_test,4,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish11/roi1_test,korra,20250513_skittles,20250513,fish11,roi1_test,fish11,11.0,,,fish11,[],,fish11,20250513_skittles,20250513_skittles,20250513_skittles,20250513,2025-05-13,2025-05-13,,,,,phiC-NLS,,,2025-05-12,"spinal_cord, skin, muscle, tail",,,X:\abcabc\Korra_Foundation\20250513_skittles(fish1-3),sheet,20250513,1,inferred,20250513::20250513_skittles::1,3,3,2,20250513-plate3-slot3-roi2
20250513_skittles,fish12,roi1,roi1,18,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish12/roi1,korra,20250513_skittles,20250513,fish12,roi1,fish12,12.0,,,fish12,[],,fish12,20250513_skittles,20250513_skittles,20250513_skittles,20250513,2025-05-13,2025-05-13,,,,,phiC-NLS,,,2025-05-12,"spinal_cord, skin, muscle, tail",,,X:\abcabc\Korra_Foundation\20250513_skittles(fish1-3),sheet,20250513,1,inferred,20250513::20250513_skittles::1,3,4,1,20250513-plate3-slot4-roi1
20250513_skittles,fish12,roi2,roi2,18,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish12/roi2,korra,20250513_skittles,20250513,fish12,roi2,fish12,12.0,,,fish12,[],,fish12,20250513_skittles,20250513_skittles,20250513_skittles,20250513,2025-05-13,2025-05-13,,,,,phiC-NLS,,,2025-05-12,"spinal_cord, skin, muscle, tail",,,X:\abcabc\Korra_Foundation\20250513_skittles(fish1-3),sheet,20250513,1,inferred,20250513::20250513_skittles::1,3,4,2,20250513-plate3-slot4-roi2
20250513_skittles,fish12,roi3,roi3,18,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish12/roi3,korra,20250513_skittles,20250513,fish12,roi3,fish12,12.0,,,fish12,[],,fish12,20250513_skittles,20250513_skittles,20250513_skittles,20250513,2025-05-13,2025-05-13,,,,,phiC-NLS,,,2025-05-12,"spinal_cord, skin, muscle, tail",,,X:\abcabc\Korra_Foundation\20250513_skittles(fish1-3),sheet,20250513,1,inferred,20250513::20250513_skittles::1,3,4,3,20250513-plate3-slot4-roi3
20250513_skittles,fish13,roi1,roi1,18,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish13/roi1,korra,20250513_skittles,20250513,fish13,roi1,fish13,13.0,,,fish13,[],,fish13,20250513_skittles,20250513_skittles,20250513_skittles,20250513,2025-05-13,2025-05-13,,,,,phiC-NLS,,,2025-05-12,"spinal_cord, skin, muscle, tail",,,X:\abcabc\Korra_Foundation\20250513_skittles(fish1-3),sheet,20250513,1,inferred,20250513::20250513_skittles::1,3,5,1,20250513-plate3-slot5-roi1
20250513_skittles,fish13,roi2,roi2,18,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish13/roi2,korra,20250513_skittles,20250513,fish13,roi2,fish13,13.0,,,fish13,[],,fish13,20250513_skittles,20250513_skittles,20250513_skittles,20250513,2025-05-13,2025-05-13,,,,,phiC-NLS,,,2025-05-12,"spinal_cord, skin, muscle, tail",,,X:\abcabc\Korra_Foundation\20250513_skittles(fish1-3),sheet,20250513,1,inferred,20250513::20250513_skittles::1,3,5,2,20250513-plate3-slot5-roi2
20250513_skittles,fish13,roi3,roi3,18,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish13/roi3,korra,20250513_skittles,20250513,fish13,roi3,fish13,13.0,,,fish13,[],,fish13,20250513_skittles,20250513_skittles,20250513_skittles,20250513,2025-05-13,2025-05-13,,,,,phiC-NLS,,,2025-05-12,"spinal_cord, skin, muscle, tail",,,X:\abcabc\Korra_Foundation\20250513_skittles(fish1-3),sheet,20250513,1,inferred,20250513::20250513_skittles::1,3,5,3,20250513-plate3-slot5-roi3
20250513_skittles,fish13,roi4,roi4,18,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish13/roi4,korra,20250513_skittles,20250513,fish13,roi4,fish13,13.0,,,fish13,[],,fish13,20250513_skittles,20250513_skittles,20250513_skittles,20250513,2025-05-13,2025-05-13,,,,,phiC-NLS,,,2025-05-12,"spinal_cord, skin, muscle, tail",,,X:\abcabc\Korra_Foundation\20250513_skittles(fish1-3),sheet,20250513,1,inferred,20250513::20250513_skittles::1,3,5,4,20250513-plate3-slot5-roi4
20250513_skittles,fish14,roi1_brain,roi1_brain,36,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish14/roi1_brain,korra,20250513_skittles,20250513,fish14,roi1_brain,fish14,14.0,,,fish14,['brain'],brain,fish14,20250513_skittles,20250513_skittles,20250513_skittles,20250513,2025-05-13,2025-05-13,,,,,phiC-NLS,,,2025-05-12,"spinal_cord, skin, muscle, tail",,,X:\abcabc\Korra_Foundation\20250513_skittles(fish1-3),sheet,20250513,1,inferred,20250513::20250513_skittles::1,3,6,1,20250513-plate3-slot6-roi1
20250513_skittles,fish14,roi2_tailbud,roi2_tailbud,18,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish14/roi2_tailbud,korra,20250513_skittles,20250513,fish14,roi2_tailbud,fish14,14.0,,,fish14,"['tail', 'tailbud']",tail|tailbud,fish14,20250513_skittles,20250513_skittles,20250513_skittles,20250513,2025-05-13,2025-05-13,,,,,phiC-NLS,,,2025-05-12,"spinal_cord, skin, muscle, tail",,,X:\abcabc\Korra_Foundation\20250513_skittles(fish1-3),sheet,20250513,1,inferred,20250513::20250513_skittles::1,3,6,2,20250513-plate3-slot6-roi2
20250513_skittles,fish15,roi1,roi1,18,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish15/roi1,korra,20250513_skittles,20250513,fish15,roi1,fish15,15.0,,,fish15,[],,fish15,20250513_skittles,20250513_skittles,20250513_skittles,20250513,2025-05-13,2025-05-13,,,,,phiC-NLS,,,2025-05-12,"spinal_cord, skin, muscle, tail",,,X:\abcabc\Korra_Foundation\20250513_skittles(fish1-3),sheet,20250513,2,inferred,20250513::20250513_skittles::2,4,1,1,20250513-plate4-slot1-roi1
20250513_skittles,fish15,roi2,roi2,18,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish15/roi2,korra,20250513_skittles,20250513,fish15,roi2,fish15,15.0,,,fish15,[],,fish15,20250513_skittles,20250513_skittles,20250513_skittles,20250513,2025-05-13,2025-05-13,,,,,phiC-NLS,,,2025-05-12,"spinal_cord, skin, muscle, tail",,,X:\abcabc\Korra_Foundation\20250513_skittles(fish1-3),sheet,20250513,2,inferred,20250513::20250513_skittles::2,4,1,2,20250513-plate4-slot1-roi2
