clutch_code,legacy_clutch_key,date_born,parent_female_genotype_text,parent_male_genotype_text,treatment_rna_rna_base_code,treatment_plasmid_plasmid_base_code,roi_count,datasets
LCL-0248,20251013-plate1|slot2,,ef1a:2xLynk:tdmSG(J) (F1 of allele 301),tdmScarlet3S2:H2B-tol2 (F1 of allele 324),,,7,20251013_mem-histone
LCL-0249,20251013-plate1|slot3,,ef1a:2xLynk:tdmSG(J) (F1 of allele 301),tdmScarlet3S2:H2B-tol2 (F1 of allele 324),,,2,20251013_mem-histone
LCL-0250,20251015-plate1|slot1,,ef1a:2xLynk:tdmSG(J) (F1 of allele 302),tdmScarlet3S2:H2B-tol2 (F1 of allele 324),,,4,20251015_mem-histone
LCL-0251,20251015-plate1|slot2,,ef1a:2xLynk:tdmSG(J) (F1 of allele 302),tdmScarlet3S2:H2B-tol2 (F1 of allele 324),,,2,20251015_mem-histone
LCL-0252,20251015-plate1|slot3,,ef1a:2xLynk:tdmSG(J) (F1 of allele 302),tdmScarlet3S2:H2B-tol2 (F1 of allele 324),,,4,20251015_mem-histone
LCL-0253,20251015-plate1|slot4,,ef1a:2xLynk:tdmSG(J) (F1 of allele 302),tdmScarlet3S2:H2B-tol2 (F1 of allele 324),,,4,20251015_mem-histone
LCL-0254,20251015-plate1|slot5,,ef1a:2xLynk:tdmSG(J) (F1 of allele 302),tdmScarlet3S2:H2B-tol2 (F1 of allele 324),,,1,20251015_mem-histone
LCL-0255,20251015-plate1|slot6,,ef1a:2xLynk:tdmSG(J) (F1 of allele 302),tdmScarlet3S2:H2B-tol2 (F1 of allele 324),,,1,20251015_mem-histone
LCL-0256,20251016-plate1|slot1,,ef1a:2xLynk:tdmChilada (F1 of allele 315),casper/rnf,,,1,20251016_mem-mito
LCL-0257,20251016-plate2|slot1,,ef1a:2xLynk:tdmChilada (F1 of allele 315),casper/rnf,,MGCO-28,2,20251016_mem-mito_v2
LCL-0258,20251016-plate3|slot1,,ef1a:2xLynk:tdmSG(J) (F1 of allele 302),tdmScarlet3S2:H2B-tol2 (F1 of allele 324),,,1,20251016_mem-histone
LCL-0259,20251016-plate3|slot2,,ef1a:2xLynk:tdmSG(J) (F1 of allele 302),tdmScarlet3S2:H2B-tol2 (F1 of allele 324),,,3,20251016_mem-histone
LCL-0260,20251016-plate3|slot3,,ef1a:2xLynk:tdmSG(J) (F1 of allele 302),tdmScarlet3S2:H2B-tol2 (F1 of allele 324),,,2,20251016_mem-histone
LCL-0261,20251020-plate1|slot1,,ef1a:2xLynk:tdmSG(J) (F1 of allele 301),tdmScarlet3S2:H2B-tol2 (F1 of allele 324),,,12,20251020_mem-histone
LCL-0262,20251020-plate1|slot2,,ef1a:2xLynk:tdmSG(J) (F1 of allele 301),tdmScarlet3S2:H2B-tol2 (F1 of allele 324),,,5,20251020_mem-histone
LCL-0263,20251020-plate1|slot3,,ef1a:2xLynk:tdmSG(J) (F1 of allele 301),tdmScarlet3S2:H2B-tol2 (F1 of allele 324),,,3,20251020_mem-histone
LCL-0264,20251021-plate1|slot1,,ef1a:2xLynk:tdmChilada (F1 of allele 315),casper/rnf,MGCO-1,,2,20251021_mem-mito
LCL-0265,20251021-plate1|slot2,,ef1a:2xLynk:tdmChilada (F1 of allele 315),casper/rnf,MGCO-1,,2,20251021_mem-mito
LCL-0266,20251021-plate1|slot3,,ef1a:2xLynk:tdmChilada (F1 of allele 315),casper/rnf,MGCO-1,,2,20251021_mem-mito
LCL-0267,20251021-plate1|slot4,,ef1a:2xLynk:tdmChilada (F1 of allele 315),casper/rnf,MGCO-1,,1,20251021_mem-mito
LCL-0268,20251021-plate1|slot5,,ef1a:2xLynk:tdmChilada (F1 of allele 315),casper/rnf,MGCO-1,,1,20251021_mem-mito
LCL-0269,20251021-plate1|slot6,,ef1a:2xLynk:tdmChilada (F1 of allele 315),casper/rnf,MGCO-1,,2,20251021_mem-mito
LCL-0270,20251021-plate2|slot1,,casper/rnf,tdmScarlet3S2 (F1 of allele 325),MGCO-1,,1,20251021_mem-mito_v2
LCL-0271,20251021-plate2|slot2,,casper/rnf,tdmScarlet3S2 (F1 of allele 325),MGCO-1,,2,20251021_mem-mito_v2
LCL-0272,20251021-plate2|slot3,,casper/rnf,tdmScarlet3S2 (F1 of allele 325),MGCO-1,,4,20251021_mem-mito_v2
LCL-0273,20251022-plate1|slot1,,ef1a:2xLynk:tdmChilada (F1 of allele 315),casper/rnf,MGCO-1,,1,20251022_mem-mito
LCL-0274,20251022-plate1|slot2,,ef1a:2xLynk:tdmChilada (F1 of allele 315),casper/rnf,MGCO-1,,2,20251022_mem-mito
LCL-0275,20251022-plate1|slot3,,ef1a:2xLynk:tdmChilada (F1 of allele 315),casper/rnf,MGCO-1,,1,20251022_mem-mito
LCL-0276,20251022-plate2|slot1,,ef1a:2xLynk:tdmSG(J) (F1 of allele 302),tdmScarlet3S2:H2B-tol2 (F1 of allele 324),,,2,20251022_mem-histone
LCL-0277,20251022-plate2|slot2,,ef1a:2xLynk:tdmSG(J) (F1 of allele 302),tdmScarlet3S2:H2B-tol2 (F1 of allele 324),,,3,20251022_mem-histone
