date_experiment,fish,roi_rel,roi_name,roi_tiffs,roi_dir,dataset,experiment_folder,roi_path_date_yyyymmdd,fish_folder,roi_folder,fish_id,fish_number,fish_age_hpf,fish_nickname,fish_raw_norm,roi_anatomy_tokens,roi_anatomy,fish_folder_patched,dataset_slug,dataset_slug_norm,sheet_slug_norm,date_mount_yyyymmdd,date_mount,Date imaged,mount_id,parent_female_name,parent_male_name,treatment_plasmid_names_sheet,additional mRNAs injected,treatment_protein_names_sheet,treatment_dye_names_sheet,Date born,Imaged Locations,Unique Targets with blanks,Unique Targets,Data location,link_source,plate_date,mount_id_inferred,mount_id_source,plate_key,plate_id_filled,slot_id_filled,roi_index_within_slot,bruker_roi_id,parent_female_name_norm,plasmid_base_code,allele,parent_male_name_norm,plasmid_base_code_male,allele_male,genotype_base_codes,genotype_allele_codes,genotype_marker_fluor_codes,genotype_marker_tag_codes,genotype_marker_localizations,genotype_marker_fusion_labels,exp_slug_norm,parent_slug_norm,geno_base_codes_v5,geno_alleles_v5,inj_rna_names_v5,inj_plasmid_names_v5,treatment_rna_names_sheet,treatment_plasmid_plasmid_base_code,treatment_rna_rna_base_code,all_unique_organelles,all_fluor_organelles
20250721_72hpf_mrna_mSG_organelle_LLS-SIM,er_roi1,er_roi1,er_roi1,74,/clusterfs/vast/abcabc/Aang_Foundation/20250721_72hpf_mrna_mSG_organelle_LLS-SIM/er_roi1,aang,20250721_72hpf_mrna_mSG_organelle_LLS-SIM,20250721.0,er_roi1,er_roi1,fish1,1.0,,,er_roi1,[],,fish1,20250721_72hpf_mrna_mSG_organelle_LLS-SIM,20250721_72hpf_mrna_msg_organelle_lls-sim,,,,,,,,,,,,,,,,,unmatched,20250721.0,1.0,inferred,20250721::20250721_72hpf_mrna_mSG_organelle_LLS-SIM::1,65.0,1.0,1.0,20250721-plate65-slot1-roi1,nan,,,nan,,,,,,,,,72hpfmrnamsgorganellellssim,,,,,,,,,,
20250721_72hpf_mrna_mSG_organelle_LLS-SIM,er_roi2,er_roi2,er_roi2,74,/clusterfs/vast/abcabc/Aang_Foundation/20250721_72hpf_mrna_mSG_organelle_LLS-SIM/er_roi2,aang,20250721_72hpf_mrna_mSG_organelle_LLS-SIM,20250721.0,er_roi2,er_roi2,fish2,2.0,,,er_roi2,[],,fish2,20250721_72hpf_mrna_mSG_organelle_LLS-SIM,20250721_72hpf_mrna_msg_organelle_lls-sim,,,,,,,,,,,,,,,,,unmatched,20250721.0,1.0,inferred,20250721::20250721_72hpf_mrna_mSG_organelle_LLS-SIM::1,65.0,2.0,1.0,20250721-plate65-slot2-roi1,nan,,,nan,,,,,,,,,72hpfmrnamsgorganellellssim,,,,,,,,,,
20250721_72hpf_mrna_mSG_organelle_LLS-SIM,er_roi3,er_roi3,er_roi3,80,/clusterfs/vast/abcabc/Aang_Foundation/20250721_72hpf_mrna_mSG_organelle_LLS-SIM/er_roi3,aang,20250721_72hpf_mrna_mSG_organelle_LLS-SIM,20250721.0,er_roi3,er_roi3,fish3,3.0,,,er_roi3,[],,fish3,20250721_72hpf_mrna_mSG_organelle_LLS-SIM,20250721_72hpf_mrna_msg_organelle_lls-sim,,,,,,,,,,,,,,,,,unmatched,20250721.0,1.0,inferred,20250721::20250721_72hpf_mrna_mSG_organelle_LLS-SIM::1,65.0,3.0,1.0,20250721-plate65-slot3-roi1,nan,,,nan,,,,,,,,,72hpfmrnamsgorganellellssim,,,,,,,,,,
20250721_72hpf_mrna_mSG_organelle_LLS-SIM,mito_roi1,mito_roi1,mito_roi1,50,/clusterfs/vast/abcabc/Aang_Foundation/20250721_72hpf_mrna_mSG_organelle_LLS-SIM/mito_roi1,aang,20250721_72hpf_mrna_mSG_organelle_LLS-SIM,20250721.0,mito_roi1,mito_roi1,fish1,1.0,,,mito_roi1,[],,fish1,20250721_72hpf_mrna_mSG_organelle_LLS-SIM,20250721_72hpf_mrna_msg_organelle_lls-sim,,,,,,,,,,,,,,,,,unmatched,20250721.0,1.0,inferred,20250721::20250721_72hpf_mrna_mSG_organelle_LLS-SIM::1,65.0,1.0,2.0,20250721-plate65-slot1-roi2,nan,,,nan,,,,,,,,,72hpfmrnamsgorganellellssim,,,,,,,,,,
20250721_72hpf_mrna_mSG_organelle_LLS-SIM,mito_roi2,mito_roi2,mito_roi2,80,/clusterfs/vast/abcabc/Aang_Foundation/20250721_72hpf_mrna_mSG_organelle_LLS-SIM/mito_roi2,aang,20250721_72hpf_mrna_mSG_organelle_LLS-SIM,20250721.0,mito_roi2,mito_roi2,fish2,2.0,,,mito_roi2,[],,fish2,20250721_72hpf_mrna_mSG_organelle_LLS-SIM,20250721_72hpf_mrna_msg_organelle_lls-sim,,,,,,,,,,,,,,,,,unmatched,20250721.0,1.0,inferred,20250721::20250721_72hpf_mrna_mSG_organelle_LLS-SIM::1,65.0,2.0,2.0,20250721-plate65-slot2-roi2,nan,,,nan,,,,,,,,,72hpfmrnamsgorganellellssim,,,,,,,,,,
20250722_mem-halo_er-mSG,fish1_24hpf_roi1,fish1_24hpf_roi1,fish1_24hpf_roi1,33,/clusterfs/vast/abcabc/Aang_Foundation/20250722_mem-halo_er-mSG/fish1_24hpf_roi1,aang,20250722_mem-halo_er-mSG,20250722.0,fish1_24hpf_roi1,fish1_24hpf_roi1,fish1,1.0,24.0,,fish1,[],,fish1_24hpf_roi1,20250722_mem-halo_er-mSG,20250722_mem-halo_er-msg,20250722_mem-halo_er-msg,20250722.0,2025-07-22,2025-07-22,,membrane Halo,membrane Halo,,mSG:sec61b,,JF 635,2025-07-21,"skin, muscle, spinal_cord",,,X:\abcabc\Aang_Foundation\20250722_mem-halo_er-mSG,sheet,20250722.0,1.0,inferred,20250722::20250722_mem-halo_er-mSG::1,66.0,1.0,1.0,20250722-plate66-slot1-roi1,membrane Halo,pSWIN01,is01,membrane Halo,pSWIN01,is01,pSWIN01,is01,,,,,memhaloermsg,,,,,,,,,,
20250722_mem-halo_er-mSG,fish1_24hpf_roi2,fish1_24hpf_roi2,fish1_24hpf_roi2,109,/clusterfs/vast/abcabc/Aang_Foundation/20250722_mem-halo_er-mSG/fish1_24hpf_roi2,aang,20250722_mem-halo_er-mSG,20250722.0,fish1_24hpf_roi2,fish1_24hpf_roi2,fish1,1.0,24.0,,fish1,[],,fish1_24hpf_roi2,20250722_mem-halo_er-mSG,20250722_mem-halo_er-msg,20250722_mem-halo_er-msg,20250722.0,2025-07-22,2025-07-22,,membrane Halo,membrane Halo,,mSG:sec61b,,JF 635,2025-07-21,"skin, muscle, spinal_cord",,,X:\abcabc\Aang_Foundation\20250722_mem-halo_er-mSG,sheet,20250722.0,1.0,inferred,20250722::20250722_mem-halo_er-mSG::1,66.0,1.0,2.0,20250722-plate66-slot1-roi2,membrane Halo,pSWIN01,is01,membrane Halo,pSWIN01,is01,pSWIN01,is01,,,,,memhaloermsg,,,,,,,,,,
20250722_mem-halo_er-mSG,fish1_24hpf_roi3,fish1_24hpf_roi3,fish1_24hpf_roi3,37,/clusterfs/vast/abcabc/Aang_Foundation/20250722_mem-halo_er-mSG/fish1_24hpf_roi3,aang,20250722_mem-halo_er-mSG,20250722.0,fish1_24hpf_roi3,fish1_24hpf_roi3,fish1,1.0,24.0,,fish1,[],,fish1_24hpf_roi3,20250722_mem-halo_er-mSG,20250722_mem-halo_er-msg,20250722_mem-halo_er-msg,20250722.0,2025-07-22,2025-07-22,,membrane Halo,membrane Halo,,mSG:sec61b,,JF 635,2025-07-21,"skin, muscle, spinal_cord",,,X:\abcabc\Aang_Foundation\20250722_mem-halo_er-mSG,sheet,20250722.0,1.0,inferred,20250722::20250722_mem-halo_er-mSG::1,66.0,1.0,3.0,20250722-plate66-slot1-roi3,membrane Halo,pSWIN01,is01,membrane Halo,pSWIN01,is01,pSWIN01,is01,,,,,memhaloermsg,,,,,,,,,,
20250722_mem-halo_er-mSG,fish1_24hpf_roi4,fish1_24hpf_roi4,fish1_24hpf_roi4,140,/clusterfs/vast/abcabc/Aang_Foundation/20250722_mem-halo_er-mSG/fish1_24hpf_roi4,aang,20250722_mem-halo_er-mSG,20250722.0,fish1_24hpf_roi4,fish1_24hpf_roi4,fish1,1.0,24.0,,fish1,[],,fish1_24hpf_roi4,20250722_mem-halo_er-mSG,20250722_mem-halo_er-msg,20250722_mem-halo_er-msg,20250722.0,2025-07-22,2025-07-22,,membrane Halo,membrane Halo,,mSG:sec61b,,JF 635,2025-07-21,"skin, muscle, spinal_cord",,,X:\abcabc\Aang_Foundation\20250722_mem-halo_er-mSG,sheet,20250722.0,1.0,inferred,20250722::20250722_mem-halo_er-mSG::1,66.0,1.0,4.0,20250722-plate66-slot1-roi4,membrane Halo,pSWIN01,is01,membrane Halo,pSWIN01,is01,pSWIN01,is01,,,,,memhaloermsg,,,,,,,,,,
20250722_mem-halo_er-mSG,fish1_24hpf_roi5,fish1_24hpf_roi5,fish1_24hpf_roi5,37,/clusterfs/vast/abcabc/Aang_Foundation/20250722_mem-halo_er-mSG/fish1_24hpf_roi5,aang,20250722_mem-halo_er-mSG,20250722.0,fish1_24hpf_roi5,fish1_24hpf_roi5,fish1,1.0,24.0,,fish1,[],,fish1_24hpf_roi5,20250722_mem-halo_er-mSG,20250722_mem-halo_er-msg,20250722_mem-halo_er-msg,20250722.0,2025-07-22,2025-07-22,,membrane Halo,membrane Halo,,mSG:sec61b,,JF 635,2025-07-21,"skin, muscle, spinal_cord",,,X:\abcabc\Aang_Foundation\20250722_mem-halo_er-mSG,sheet,20250722.0,1.0,inferred,20250722::20250722_mem-halo_er-mSG::1,66.0,1.0,5.0,20250722-plate66-slot1-roi5,membrane Halo,pSWIN01,is01,membrane Halo,pSWIN01,is01,pSWIN01,is01,,,,,memhaloermsg,,,,,,,,,,
