roi_dir,bruker_roi_id,plate_date,plate_id_filled,slot_id_filled,roi_index_within_slot,dataset_slug,experiment_folder,fish_id,fish_number,fish_age_hpf,roi_anatomy,roi_tiffs,date_experiment,Date imaged,date_mount,genotype_base_codes,genotype_allele_codes,treatment_rna_rna_base_code,treatment_plasmid_plasmid_base_code,genotype_marker_fluor_codes,genotype_marker_tag_codes,genotype_marker_localizations,genotype_marker_fusion_labels,treatment_marker_fluor_codes,treatment_marker_tag_codes,treatment_marker_localizations,treatment_marker_fluor_loc_labels,all_unique_organelles,all_fluor_organelles,link_source,day_plate_num
/clusterfs/vast/abcabc/Aang_Foundation/20250722_mem-halo_er-mSG/fish2_24hpf_roi2,20250722-plate1-slot2-roi2,20250722,66.0,2.0,2.0,20250722_mem-halo_er-mSG,20250722_mem-halo_er-mSG,fish2,2.0,24.0,,105,20250722_mem-halo_er-mSG,2025-07-22,2025-07-22,,,MGCO-04,,,,,,mStayGold,sec61b,ER,mStayGold(ER),ER,mStayGold(ER),sheet,1
/clusterfs/vast/abcabc/Aang_Foundation/20250722_mem-halo_er-mSG/fish2_24hpf_roi3,20250722-plate1-slot2-roi3,20250722,66.0,2.0,3.0,20250722_mem-halo_er-mSG,20250722_mem-halo_er-mSG,fish2,2.0,24.0,,105,20250722_mem-halo_er-mSG,2025-07-22,2025-07-22,,,MGCO-04,,,,,,mStayGold,sec61b,ER,mStayGold(ER),ER,mStayGold(ER),sheet,1
/clusterfs/vast/abcabc/Aang_Foundation/20250722_mem-halo_er-mSG/fish2_24hpf_roi4,20250722-plate1-slot2-roi4,20250722,66.0,2.0,4.0,20250722_mem-halo_er-mSG,20250722_mem-halo_er-mSG,fish2,2.0,24.0,,35,20250722_mem-halo_er-mSG,2025-07-22,2025-07-22,,,MGCO-04,,,,,,mStayGold,sec61b,ER,mStayGold(ER),ER,mStayGold(ER),sheet,1
/clusterfs/vast/abcabc/Aang_Foundation/20250722_mrna_mito-mSG_mem-mChilada/fish1_roi1,20250722-plate2-slot1-roi1,20250722,67.0,1.0,1.0,20250722_mrna_mito-mSG_mem-mChilada,20250722_mrna_mito-mSG_mem-mChilada,fish1,1.0,,,40,20250722_mrna_mito-mSG_mem-mChilada,2025-07-22,2025-07-22,,,MGCO-01,,,,,,mStayGold,2Xcox8A,mitochondria,mStayGold(mitochondria),mitochondria,mStayGold(mitochondria),sheet,2
/clusterfs/vast/abcabc/Aang_Foundation/20250722_mrna_mito-mSG_mem-mChilada/fish1_roi2,20250722-plate2-slot1-roi2,20250722,67.0,1.0,2.0,20250722_mrna_mito-mSG_mem-mChilada,20250722_mrna_mito-mSG_mem-mChilada,fish1,1.0,,,65,20250722_mrna_mito-mSG_mem-mChilada,2025-07-22,2025-07-22,,,MGCO-01,,,,,,mStayGold,2Xcox8A,mitochondria,mStayGold(mitochondria),mitochondria,mStayGold(mitochondria),sheet,2
/clusterfs/vast/abcabc/Aang_Foundation/20250722_mrna_mito-mSG_mem-mChilada/fish1_roi3,20250722-plate2-slot1-roi3,20250722,67.0,1.0,3.0,20250722_mrna_mito-mSG_mem-mChilada,20250722_mrna_mito-mSG_mem-mChilada,fish1,1.0,,,61,20250722_mrna_mito-mSG_mem-mChilada,2025-07-22,2025-07-22,,,MGCO-01,,,,,,mStayGold,2Xcox8A,mitochondria,mStayGold(mitochondria),mitochondria,mStayGold(mitochondria),sheet,2
/clusterfs/vast/abcabc/Aang_Foundation/20250722_mrna_mito-mSG_mem-mChilada/fish2_48hpf_roi1,20250722-plate2-slot2-roi1,20250722,67.0,2.0,1.0,20250722_mrna_mito-mSG_mem-mChilada,20250722_mrna_mito-mSG_mem-mChilada,fish2,2.0,48.0,,56,20250722_mrna_mito-mSG_mem-mChilada,2025-07-22,2025-07-22,,,MGCO-01,,,,,,mStayGold,2Xcox8A,mitochondria,mStayGold(mitochondria),mitochondria,mStayGold(mitochondria),sheet,2
/clusterfs/vast/abcabc/Aang_Foundation/20250722_mrna_mito-mSG_mem-mChilada/fish2_48hpf_roi2,20250722-plate2-slot2-roi2,20250722,67.0,2.0,2.0,20250722_mrna_mito-mSG_mem-mChilada,20250722_mrna_mito-mSG_mem-mChilada,fish2,2.0,48.0,,70,20250722_mrna_mito-mSG_mem-mChilada,2025-07-22,2025-07-22,,,MGCO-01,,,,,,mStayGold,2Xcox8A,mitochondria,mStayGold(mitochondria),mitochondria,mStayGold(mitochondria),sheet,2
/clusterfs/vast/abcabc/Aang_Foundation/20250722_mrna_mito-mSG_mem-mChilada/fish2_48hpf_roi3,20250722-plate2-slot2-roi3,20250722,67.0,2.0,3.0,20250722_mrna_mito-mSG_mem-mChilada,20250722_mrna_mito-mSG_mem-mChilada,fish2,2.0,48.0,,93,20250722_mrna_mito-mSG_mem-mChilada,2025-07-22,2025-07-22,,,MGCO-01,,,,,,mStayGold,2Xcox8A,mitochondria,mStayGold(mitochondria),mitochondria,mStayGold(mitochondria),sheet,2
/clusterfs/vast/abcabc/Aang_Foundation/20250722_mrna_mito-mSG_mem-mChilada/fish2_48hpf_roi4,20250722-plate2-slot2-roi4,20250722,67.0,2.0,4.0,20250722_mrna_mito-mSG_mem-mChilada,20250722_mrna_mito-mSG_mem-mChilada,fish2,2.0,48.0,,70,20250722_mrna_mito-mSG_mem-mChilada,2025-07-22,2025-07-22,,,MGCO-01,,,,,,mStayGold,2Xcox8A,mitochondria,mStayGold(mitochondria),mitochondria,mStayGold(mitochondria),sheet,2
