roi_dir,experiment_folder,dataset_slug_norm,roi_path_date_yyyymmdd
/clusterfs/vast/abcabc/Korra_Foundation/20250620_mitomSG/fish1_roi1,20250620_mitomSG,20250620_mitomsg,20250620
/clusterfs/vast/abcabc/Korra_Foundation/analysis_test/fish1_roi1,analysis_test,analysis_test,
/clusterfs/vast/abcabc/Aang_Foundation/20250721_72hpf_mrna_mSG_organelle_LLS-SIM/er_roi1,20250721_72hpf_mrna_mSG_organelle_LLS-SIM,20250721_72hpf_mrna_msg_organelle_lls-sim,20250721
/clusterfs/vast/abcabc/Aang_Foundation/20250721_72hpf_mrna_mSG_organelle_LLS-SIM/er_roi2,20250721_72hpf_mrna_mSG_organelle_LLS-SIM,20250721_72hpf_mrna_msg_organelle_lls-sim,20250721
/clusterfs/vast/abcabc/Aang_Foundation/20250721_72hpf_mrna_mSG_organelle_LLS-SIM/er_roi3,20250721_72hpf_mrna_mSG_organelle_LLS-SIM,20250721_72hpf_mrna_msg_organelle_lls-sim,20250721
/clusterfs/vast/abcabc/Aang_Foundation/20250721_72hpf_mrna_mSG_organelle_LLS-SIM/mito_roi1,20250721_72hpf_mrna_mSG_organelle_LLS-SIM,20250721_72hpf_mrna_msg_organelle_lls-sim,20250721
/clusterfs/vast/abcabc/Aang_Foundation/20250721_72hpf_mrna_mSG_organelle_LLS-SIM/mito_roi2,20250721_72hpf_mrna_mSG_organelle_LLS-SIM,20250721_72hpf_mrna_msg_organelle_lls-sim,20250721
/clusterfs/vast/abcabc/Aang_Foundation/20250805_lifeact_mem-halo/fish1_48hpf_roi1,20250805_lifeact_mem-halo,20250805_lifeact_mem-halo,20250805
/clusterfs/vast/abcabc/Aang_Foundation/20250805_lifeact_mem-halo/fish1_48hpf_roi2,20250805_lifeact_mem-halo,20250805_lifeact_mem-halo,20250805
/clusterfs/vast/abcabc/Aang_Foundation/20250805_lifeact_mem-halo/fish1_48hpf_roi3,20250805_lifeact_mem-halo,20250805_lifeact_mem-halo,20250805
/clusterfs/vast/abcabc/Aang_Foundation/20250805_lifeact_mem-halo/fish1_48hpf_roi4,20250805_lifeact_mem-halo,20250805_lifeact_mem-halo,20250805
/clusterfs/vast/abcabc/Aang_Foundation/20250805_lifeact_mem-halo/fish1_48hpf_roi5,20250805_lifeact_mem-halo,20250805_lifeact_mem-halo,20250805
/clusterfs/vast/abcabc/Aang_Foundation/20250917_mem-mito/fish1_48hpf_roi1,20250917_mem-mito,20250917_mem-mito,20250917
/clusterfs/vast/abcabc/Aang_Foundation/20250917_mem-mito/fish1_48hpf_roi2,20250917_mem-mito,20250917_mem-mito,20250917
/clusterfs/vast/abcabc/Aang_Foundation/20250917_mem-mito/fish2_48hpf_roi1,20250917_mem-mito,20250917_mem-mito,20250917
/clusterfs/vast/abcabc/Aang_Foundation/20250917_mem-mito/fish2_48hpf_roi2,20250917_mem-mito,20250917_mem-mito,20250917
/clusterfs/vast/abcabc/Aang_Foundation/20250917_mem-mito/fish3_48hpf_roi1,20250917_mem-mito,20250917_mem-mito,20250917
/clusterfs/vast/abcabc/Aang_Foundation/20250917_mem-mito/fish3_48hpf_roi2,20250917_mem-mito,20250917_mem-mito,20250917
/clusterfs/vast/abcabc/Aang_Foundation/20250917_mem-mito/fish3_48hpf_roi3,20250917_mem-mito,20250917_mem-mito,20250917
/clusterfs/vast/abcabc/Aang_Foundation/20250917_mem-mito/fish3_48hpf_roi4,20250917_mem-mito,20250917_mem-mito,20250917
/clusterfs/vast/abcabc/Aang_Foundation/20250917_mem-mito/fish4_48hpf_roi1,20250917_mem-mito,20250917_mem-mito,20250917
/clusterfs/vast/abcabc/Aang_Foundation/20250917_mem-mito/fish4_48hpf_roi2,20250917_mem-mito,20250917_mem-mito,20250917
/clusterfs/vast/abcabc/Aang_Foundation/20250917_mem-mito/fish4_48hpf_roi3,20250917_mem-mito,20250917_mem-mito,20250917
/clusterfs/vast/abcabc/Aang_Foundation/20250917_mem-mito/fish4_48hpf_roi4,20250917_mem-mito,20250917_mem-mito,20250917
/clusterfs/vast/abcabc/Aang_Foundation/20250917_mem-mito/fish4_48hpf_roi5,20250917_mem-mito,20250917_mem-mito,20250917
/clusterfs/vast/abcabc/Aang_Foundation/20250917_mem-mito/fish4_48hpf_roi6,20250917_mem-mito,20250917_mem-mito,20250917
/clusterfs/vast/abcabc/Aang_Foundation/20250917_mem-mito/fish5_48hpf_roi1,20250917_mem-mito,20250917_mem-mito,20250917
/clusterfs/vast/abcabc/Aang_Foundation/20250917_mem-mito/fish5_48hpf_roi2,20250917_mem-mito,20250917_mem-mito,20250917
/clusterfs/vast/abcabc/Aang_Foundation/20250917_mem-mito/fish5_48hpf_roi3,20250917_mem-mito,20250917_mem-mito,20250917
/clusterfs/vast/abcabc/Aang_Foundation/20250917_mem-mito/fish5_48hpf_roi4,20250917_mem-mito,20250917_mem-mito,20250917
/clusterfs/vast/abcabc/Aang_Foundation/20250917_mem-mito/fish5_48hpf_roi5,20250917_mem-mito,20250917_mem-mito,20250917
/clusterfs/vast/abcabc/Aang_Foundation/20250917_mem-mito/fish6_48hpf_roi1,20250917_mem-mito,20250917_mem-mito,20250917
/clusterfs/vast/abcabc/Aang_Foundation/20250917_mem-mito/fish6_48hpf_roi2,20250917_mem-mito,20250917_mem-mito,20250917
/clusterfs/vast/abcabc/Aang_Foundation/20251002_mem_mito/fish10_24hpf_roi1,20251002_mem_mito,20251002_mem_mito,20251002
/clusterfs/vast/abcabc/Aang_Foundation/20251002_mem_mito/fish10_24hpf_roi2,20251002_mem_mito,20251002_mem_mito,20251002
/clusterfs/vast/abcabc/Aang_Foundation/20251002_mem_mito/fish11_24hpf_roi1,20251002_mem_mito,20251002_mem_mito,20251002
/clusterfs/vast/abcabc/Aang_Foundation/20251002_mem_mito/fish11_24hpf_roi2,20251002_mem_mito,20251002_mem_mito,20251002
/clusterfs/vast/abcabc/Aang_Foundation/20251002_mem_mito/fish11_24hpf_roi3,20251002_mem_mito,20251002_mem_mito,20251002
/clusterfs/vast/abcabc/Aang_Foundation/20251002_mem_mito/fish12_24hpf_roi1,20251002_mem_mito,20251002_mem_mito,20251002
/clusterfs/vast/abcabc/Aang_Foundation/20251002_mem_mito/fish12_24hpf_roi2,20251002_mem_mito,20251002_mem_mito,20251002
/clusterfs/vast/abcabc/Aang_Foundation/20251002_mem_mito/fish12_24hpf_roi3,20251002_mem_mito,20251002_mem_mito,20251002
/clusterfs/vast/abcabc/Aang_Foundation/20251002_mem_mito/fish12_24hpf_roi4,20251002_mem_mito,20251002_mem_mito,20251002
/clusterfs/vast/abcabc/Aang_Foundation/20251002_mem_mito/fish1_24hpf_roi1,20251002_mem_mito,20251002_mem_mito,20251002
