roi_dir,bruker_roi_id,plate_date,plate_id_filled,slot_id_filled,roi_index_within_slot,dataset_slug,experiment_folder,fish_id,fish_number,fish_age_hpf,roi_anatomy,roi_tiffs,date_experiment,Date imaged,date_mount,genotype_base_codes,genotype_allele_codes,treatment_plasmid_plasmid_base_code,treatment_rna_rna_base_code,genotype_marker_fluor_codes,genotype_marker_tag_codes,genotype_marker_localizations,genotype_marker_fusion_labels,all_unique_organelles,all_fluor_organelles,link_source
/clusterfs/vast/abcabc/Aang_Foundation/20250721_72hpf_mrna_mSG_organelle_LLS-SIM/er_roi1,20250721-plate65-slot1-roi1,20250721.0,65.0,1.0,1.0,20250721_72hpf_mrna_mSG_organelle_LLS-SIM,20250721_72hpf_mrna_mSG_organelle_LLS-SIM,fish1,1.0,,,74,20250721_72hpf_mrna_mSG_organelle_LLS-SIM,,,,,,,,,,,,,unmatched
/clusterfs/vast/abcabc/Aang_Foundation/20250721_72hpf_mrna_mSG_organelle_LLS-SIM/er_roi2,20250721-plate65-slot2-roi1,20250721.0,65.0,2.0,1.0,20250721_72hpf_mrna_mSG_organelle_LLS-SIM,20250721_72hpf_mrna_mSG_organelle_LLS-SIM,fish2,2.0,,,74,20250721_72hpf_mrna_mSG_organelle_LLS-SIM,,,,,,,,,,,,,unmatched
/clusterfs/vast/abcabc/Aang_Foundation/20250721_72hpf_mrna_mSG_organelle_LLS-SIM/er_roi3,20250721-plate65-slot3-roi1,20250721.0,65.0,3.0,1.0,20250721_72hpf_mrna_mSG_organelle_LLS-SIM,20250721_72hpf_mrna_mSG_organelle_LLS-SIM,fish3,3.0,,,80,20250721_72hpf_mrna_mSG_organelle_LLS-SIM,,,,,,,,,,,,,unmatched
/clusterfs/vast/abcabc/Aang_Foundation/20250721_72hpf_mrna_mSG_organelle_LLS-SIM/mito_roi1,20250721-plate65-slot1-roi2,20250721.0,65.0,1.0,2.0,20250721_72hpf_mrna_mSG_organelle_LLS-SIM,20250721_72hpf_mrna_mSG_organelle_LLS-SIM,fish1,1.0,,,50,20250721_72hpf_mrna_mSG_organelle_LLS-SIM,,,,,,,,,,,,,unmatched
/clusterfs/vast/abcabc/Aang_Foundation/20250721_72hpf_mrna_mSG_organelle_LLS-SIM/mito_roi2,20250721-plate65-slot2-roi2,20250721.0,65.0,2.0,2.0,20250721_72hpf_mrna_mSG_organelle_LLS-SIM,20250721_72hpf_mrna_mSG_organelle_LLS-SIM,fish2,2.0,,,80,20250721_72hpf_mrna_mSG_organelle_LLS-SIM,,,,,,,,,,,,,unmatched
/clusterfs/vast/abcabc/Aang_Foundation/20250722_mem-halo_er-mSG/fish1_24hpf_roi1,20250722-plate66-slot1-roi1,20250722.0,66.0,1.0,1.0,20250722_mem-halo_er-mSG,20250722_mem-halo_er-mSG,fish1,1.0,24.0,,33,20250722_mem-halo_er-mSG,2025-07-22,2025-07-22,pSWIN01,is01,,,,,,,,,sheet
/clusterfs/vast/abcabc/Aang_Foundation/20250722_mem-halo_er-mSG/fish1_24hpf_roi2,20250722-plate66-slot1-roi2,20250722.0,66.0,1.0,2.0,20250722_mem-halo_er-mSG,20250722_mem-halo_er-mSG,fish1,1.0,24.0,,109,20250722_mem-halo_er-mSG,2025-07-22,2025-07-22,pSWIN01,is01,,,,,,,,,sheet
/clusterfs/vast/abcabc/Aang_Foundation/20250722_mem-halo_er-mSG/fish1_24hpf_roi3,20250722-plate66-slot1-roi3,20250722.0,66.0,1.0,3.0,20250722_mem-halo_er-mSG,20250722_mem-halo_er-mSG,fish1,1.0,24.0,,37,20250722_mem-halo_er-mSG,2025-07-22,2025-07-22,pSWIN01,is01,,,,,,,,,sheet
/clusterfs/vast/abcabc/Aang_Foundation/20250722_mem-halo_er-mSG/fish1_24hpf_roi4,20250722-plate66-slot1-roi4,20250722.0,66.0,1.0,4.0,20250722_mem-halo_er-mSG,20250722_mem-halo_er-mSG,fish1,1.0,24.0,,140,20250722_mem-halo_er-mSG,2025-07-22,2025-07-22,pSWIN01,is01,,,,,,,,,sheet
/clusterfs/vast/abcabc/Aang_Foundation/20250722_mem-halo_er-mSG/fish1_24hpf_roi5,20250722-plate66-slot1-roi5,20250722.0,66.0,1.0,5.0,20250722_mem-halo_er-mSG,20250722_mem-halo_er-mSG,fish1,1.0,24.0,,37,20250722_mem-halo_er-mSG,2025-07-22,2025-07-22,pSWIN01,is01,,,,,,,,,sheet
/clusterfs/vast/abcabc/Aang_Foundation/20250722_mem-halo_er-mSG/fish2_24hpf_roi1,20250722-plate66-slot2-roi1,20250722.0,66.0,2.0,1.0,20250722_mem-halo_er-mSG,20250722_mem-halo_er-mSG,fish2,2.0,24.0,,109,20250722_mem-halo_er-mSG,2025-07-22,2025-07-22,pSWIN01,is01,,,,,,,,,sheet
/clusterfs/vast/abcabc/Aang_Foundation/20250722_mem-halo_er-mSG/fish2_24hpf_roi2,20250722-plate66-slot2-roi2,20250722.0,66.0,2.0,2.0,20250722_mem-halo_er-mSG,20250722_mem-halo_er-mSG,fish2,2.0,24.0,,105,20250722_mem-halo_er-mSG,2025-07-22,2025-07-22,pSWIN01,is01,,,,,,,,,sheet
/clusterfs/vast/abcabc/Aang_Foundation/20250722_mem-halo_er-mSG/fish2_24hpf_roi3,20250722-plate66-slot2-roi3,20250722.0,66.0,2.0,3.0,20250722_mem-halo_er-mSG,20250722_mem-halo_er-mSG,fish2,2.0,24.0,,105,20250722_mem-halo_er-mSG,2025-07-22,2025-07-22,pSWIN01,is01,,,,,,,,,sheet
/clusterfs/vast/abcabc/Aang_Foundation/20250722_mem-halo_er-mSG/fish2_24hpf_roi4,20250722-plate66-slot2-roi4,20250722.0,66.0,2.0,4.0,20250722_mem-halo_er-mSG,20250722_mem-halo_er-mSG,fish2,2.0,24.0,,35,20250722_mem-halo_er-mSG,2025-07-22,2025-07-22,pSWIN01,is01,,,,,,,,,sheet
/clusterfs/vast/abcabc/Aang_Foundation/20250722_mrna_mito-mSG_mem-mChilada/fish1_roi1,20250722-plate67-slot1-roi1,20250722.0,67.0,1.0,1.0,20250722_mrna_mito-mSG_mem-mChilada,20250722_mrna_mito-mSG_mem-mChilada,fish1,1.0,,,40,20250722_mrna_mito-mSG_mem-mChilada,2025-07-22,2025-07-22,pDQM082,315,,,tdmChilada,2xLynk,membrane,tdmChilada(membrane),membrane,tdmChilada(membrane),sheet
/clusterfs/vast/abcabc/Aang_Foundation/20250722_mrna_mito-mSG_mem-mChilada/fish1_roi2,20250722-plate67-slot1-roi2,20250722.0,67.0,1.0,2.0,20250722_mrna_mito-mSG_mem-mChilada,20250722_mrna_mito-mSG_mem-mChilada,fish1,1.0,,,65,20250722_mrna_mito-mSG_mem-mChilada,2025-07-22,2025-07-22,pDQM082,315,,,tdmChilada,2xLynk,membrane,tdmChilada(membrane),membrane,tdmChilada(membrane),sheet
/clusterfs/vast/abcabc/Aang_Foundation/20250722_mrna_mito-mSG_mem-mChilada/fish1_roi3,20250722-plate67-slot1-roi3,20250722.0,67.0,1.0,3.0,20250722_mrna_mito-mSG_mem-mChilada,20250722_mrna_mito-mSG_mem-mChilada,fish1,1.0,,,61,20250722_mrna_mito-mSG_mem-mChilada,2025-07-22,2025-07-22,pDQM082,315,,,tdmChilada,2xLynk,membrane,tdmChilada(membrane),membrane,tdmChilada(membrane),sheet
/clusterfs/vast/abcabc/Aang_Foundation/20250722_mrna_mito-mSG_mem-mChilada/fish2_48hpf_roi1,20250722-plate67-slot2-roi1,20250722.0,67.0,2.0,1.0,20250722_mrna_mito-mSG_mem-mChilada,20250722_mrna_mito-mSG_mem-mChilada,fish2,2.0,48.0,,56,20250722_mrna_mito-mSG_mem-mChilada,2025-07-22,2025-07-22,pDQM082,315,,,tdmChilada,2xLynk,membrane,tdmChilada(membrane),membrane,tdmChilada(membrane),sheet
/clusterfs/vast/abcabc/Aang_Foundation/20250722_mrna_mito-mSG_mem-mChilada/fish2_48hpf_roi2,20250722-plate67-slot2-roi2,20250722.0,67.0,2.0,2.0,20250722_mrna_mito-mSG_mem-mChilada,20250722_mrna_mito-mSG_mem-mChilada,fish2,2.0,48.0,,70,20250722_mrna_mito-mSG_mem-mChilada,2025-07-22,2025-07-22,pDQM082,315,,,tdmChilada,2xLynk,membrane,tdmChilada(membrane),membrane,tdmChilada(membrane),sheet
/clusterfs/vast/abcabc/Aang_Foundation/20250722_mrna_mito-mSG_mem-mChilada/fish2_48hpf_roi3,20250722-plate67-slot2-roi3,20250722.0,67.0,2.0,3.0,20250722_mrna_mito-mSG_mem-mChilada,20250722_mrna_mito-mSG_mem-mChilada,fish2,2.0,48.0,,93,20250722_mrna_mito-mSG_mem-mChilada,2025-07-22,2025-07-22,pDQM082,315,,,tdmChilada,2xLynk,membrane,tdmChilada(membrane),membrane,tdmChilada(membrane),sheet
/clusterfs/vast/abcabc/Aang_Foundation/20250722_mrna_mito-mSG_mem-mChilada/fish2_48hpf_roi4,20250722-plate67-slot2-roi4,20250722.0,67.0,2.0,4.0,20250722_mrna_mito-mSG_mem-mChilada,20250722_mrna_mito-mSG_mem-mChilada,fish2,2.0,48.0,,70,20250722_mrna_mito-mSG_mem-mChilada,2025-07-22,2025-07-22,pDQM082,315,,,tdmChilada,2xLynk,membrane,tdmChilada(membrane),membrane,tdmChilada(membrane),sheet
/clusterfs/vast/abcabc/Aang_Foundation/20250722_mrna_mito-mSG_mem-mChilada/fish2_48hpf_roi5,20250722-plate67-slot2-roi5,20250722.0,67.0,2.0,5.0,20250722_mrna_mito-mSG_mem-mChilada,20250722_mrna_mito-mSG_mem-mChilada,fish2,2.0,48.0,,72,20250722_mrna_mito-mSG_mem-mChilada,2025-07-22,2025-07-22,pDQM082,315,,,tdmChilada,2xLynk,membrane,tdmChilada(membrane),membrane,tdmChilada(membrane),sheet
/clusterfs/vast/abcabc/Aang_Foundation/20250722_mrna_mito-mSG_mem-mChilada/fish3_48hpf_roi1,20250722-plate67-slot3-roi1,20250722.0,67.0,3.0,1.0,20250722_mrna_mito-mSG_mem-mChilada,20250722_mrna_mito-mSG_mem-mChilada,fish3,3.0,48.0,,70,20250722_mrna_mito-mSG_mem-mChilada,2025-07-22,2025-07-22,pDQM082,315,,,tdmChilada,2xLynk,membrane,tdmChilada(membrane),membrane,tdmChilada(membrane),sheet
/clusterfs/vast/abcabc/Aang_Foundation/20250722_mrna_mito-mSG_mem-mChilada/fish3_48hpf_roi2,20250722-plate67-slot3-roi2,20250722.0,67.0,3.0,2.0,20250722_mrna_mito-mSG_mem-mChilada,20250722_mrna_mito-mSG_mem-mChilada,fish3,3.0,48.0,,70,20250722_mrna_mito-mSG_mem-mChilada,2025-07-22,2025-07-22,pDQM082,315,,,tdmChilada,2xLynk,membrane,tdmChilada(membrane),membrane,tdmChilada(membrane),sheet
/clusterfs/vast/abcabc/Aang_Foundation/20250722_mrna_mito-mSG_mem-mChilada/fish3_48hpf_roi3,20250722-plate67-slot3-roi3,20250722.0,67.0,3.0,3.0,20250722_mrna_mito-mSG_mem-mChilada,20250722_mrna_mito-mSG_mem-mChilada,fish3,3.0,48.0,,70,20250722_mrna_mito-mSG_mem-mChilada,2025-07-22,2025-07-22,pDQM082,315,,,tdmChilada,2xLynk,membrane,tdmChilada(membrane),membrane,tdmChilada(membrane),sheet
/clusterfs/vast/abcabc/Aang_Foundation/20250722_mrna_mito-mSG_mem-mChilada/fish3_48hpf_roi4,20250722-plate67-slot3-roi4,20250722.0,67.0,3.0,4.0,20250722_mrna_mito-mSG_mem-mChilada,20250722_mrna_mito-mSG_mem-mChilada,fish3,3.0,48.0,,70,20250722_mrna_mito-mSG_mem-mChilada,2025-07-22,2025-07-22,pDQM082,315,,,tdmChilada,2xLynk,membrane,tdmChilada(membrane),membrane,tdmChilada(membrane),sheet
/clusterfs/vast/abcabc/Aang_Foundation/20250723_er-mSG_mem-mChilada/fish1_24hpf_roi1,20250723-plate68-slot1-roi1,20250723.0,68.0,1.0,1.0,20250723_er-mSG_mem-mChilada,20250723_er-mSG_mem-mChilada,fish1,1.0,24.0,,390,20250723_er-mSG_mem-mChilada,2025-07-23,2025-07-23,pSWIN01,is01,,,,,,,,,date_match
/clusterfs/vast/abcabc/Aang_Foundation/20250805_lifeact_mem-halo/fish1_48hpf_roi1,20250805-plate69-slot1-roi1,20250805.0,69.0,1.0,1.0,20250805_lifeact_mem-halo,20250805_lifeact_mem-halo,fish1,1.0,48.0,,390,20250805_lifeact_mem-halo,,,,,,,,,,,,,unmatched
/clusterfs/vast/abcabc/Aang_Foundation/20250805_lifeact_mem-halo/fish1_48hpf_roi2,20250805-plate69-slot1-roi2,20250805.0,69.0,1.0,2.0,20250805_lifeact_mem-halo,20250805_lifeact_mem-halo,fish1,1.0,48.0,,390,20250805_lifeact_mem-halo,,,,,,,,,,,,,unmatched
/clusterfs/vast/abcabc/Aang_Foundation/20250805_lifeact_mem-halo/fish1_48hpf_roi3,20250805-plate69-slot1-roi3,20250805.0,69.0,1.0,3.0,20250805_lifeact_mem-halo,20250805_lifeact_mem-halo,fish1,1.0,48.0,,390,20250805_lifeact_mem-halo,,,,,,,,,,,,,unmatched
/clusterfs/vast/abcabc/Aang_Foundation/20250805_lifeact_mem-halo/fish1_48hpf_roi4,20250805-plate69-slot1-roi4,20250805.0,69.0,1.0,4.0,20250805_lifeact_mem-halo,20250805_lifeact_mem-halo,fish1,1.0,48.0,,390,20250805_lifeact_mem-halo,,,,,,,,,,,,,unmatched
/clusterfs/vast/abcabc/Aang_Foundation/20250805_lifeact_mem-halo/fish1_48hpf_roi5,20250805-plate69-slot1-roi5,20250805.0,69.0,1.0,5.0,20250805_lifeact_mem-halo,20250805_lifeact_mem-halo,fish1,1.0,48.0,,390,20250805_lifeact_mem-halo,,,,,,,,,,,,,unmatched
/clusterfs/vast/abcabc/Aang_Foundation/20250805_mito_mem-halo/fish1_24hpf_roi1,20250805-plate70-slot1-roi1,20250805.0,70.0,1.0,1.0,20250805_mito_mem-halo,20250805_mito_mem-halo,fish1,1.0,24.0,,390,20250805_mito_mem-halo,2025-08-05,2025-08-05,pSWIN01,is01,,,,,,,,,sheet
/clusterfs/vast/abcabc/Aang_Foundation/20250805_mito_mem-halo/fish1_24hpf_roi2,20250805-plate70-slot1-roi2,20250805.0,70.0,1.0,2.0,20250805_mito_mem-halo,20250805_mito_mem-halo,fish1,1.0,24.0,,390,20250805_mito_mem-halo,2025-08-05,2025-08-05,pSWIN01,is01,,,,,,,,,sheet
