legacy_pair_id,dataset,zf_female_genotype,zf_male_genotype,pair_code,created_at
72a4146d-555f-4764-947b-e51fc891d513,aang,casper/rnf,casper/rnf,LEGACY:aang:casper/rnfxcasper/rnf,2025-11-15 03:08:31.328432+00
137f4804-aa49-4ca0-a613-aab3214cb31b,aang,casper/rnf,ef1a-extended:2xLynk:tdmScarlet3-S2-tol2 (F1 of allele 325),LEGACY:aang:casper/rnfxef1a-extended:2xLynk:tdmScarlet3,2025-11-15 03:08:31.328432+00
a4d495b0-bd80-40b1-8df6-e2423a6e8b42,aang,casper/rnf,ef1a:2xLynk:tdmChilada (F1 of allele 315),LEGACY:aang:casper/rnfxef1a:2xLynk:tdmChilada_(F1_of_al,2025-11-15 03:08:31.328432+00
23f2a174-0828-4b90-af39-d17dbc36b3fe,aang,casper/rnf,from Swinburne lab - tank ID 344 (F1 of allele 45385),LEGACY:aang:casper/rnfxfrom_Swinburne_lab_-_tank_ID_344,2025-11-15 03:08:31.328432+00
5289a823-30b2-4758-a70e-40cf8e449d80,aang,casper/rnf,mem:tdmChilada,LEGACY:aang:casper/rnfxmem:tdmChilada,2025-11-15 03:08:31.328432+00
da6b5c4f-5e98-4862-8353-dfcbab6f3862,aang,casper/rnf,memrane tdmScarlet3S2 (F1 of allele 325),LEGACY:aang:casper/rnfxmemrane_tdmScarlet3S2_(F1_of_all,2025-11-15 03:08:31.328432+00
ac61d244-2899-400c-949e-6db7273d86eb,aang,casper/rnf,tdmScarlet3S2 (F1 of allele 325),LEGACY:aang:casper/rnfxtdmScarlet3S2_(F1_of_allele_325),2025-11-15 03:08:31.328432+00
2c0b5ff1-1c2c-4f7b-8d19-2ff90638270e,aang,casper,ef1a:2xLynk:tdmChilada (F1 of allele 315),LEGACY:aang:casperxef1a:2xLynk:tdmChilada_(F1_of_al,2025-11-15 03:08:31.328432+00
c8c0cf48-3905-43a6-aef6-5e9d03796ff3,aang,ef1a:2xLynk:tdm:mChilada,ef1a:2xLynk:tdm:mChilada,LEGACY:aang:ef1a:2xLynk:tdm:mChiladaxef1a:2xLynk:tdm:mChilada,2025-11-15 03:08:31.328432+00
21790f58-fdca-4657-a113-754eac017bb8,aang,ef1a:2xLynk:tdmChilada (F1 of allele 315),casper/rnf,LEGACY:aang:ef1a:2xLynk:tdmChilada_(F1_of_alxcasper/rnf,2025-11-15 03:08:31.328432+00
bb2a9aea-98a0-43c5-b990-a45c557478c4,aang,ef1a:2xLynk:tdmChilada (F1 of allele 315),ef1a:2xLynk:tdmChilada (F1 of allele 315),LEGACY:aang:ef1a:2xLynk:tdmChilada_(F1_of_alxef1a:2xLynk:tdmChilada_(F1_of_al,2025-11-15 03:08:31.328432+00
5ae90338-71a9-47cd-bade-22fa30a64a82,aang,ef1a:2xLynk:tdmSG(J) (F1 of allele 302),ef1a:2xLynk:tdmSG(J) (F1 of allele 304),LEGACY:aang:ef1a:2xLynk:tdmSG(J)_(F1_of_allexef1a:2xLynk:tdmSG(J)_(F1_of_alle,2025-11-15 03:08:31.328432+00
a62b4a8b-e21c-482e-8591-0c283f0a8d2b,aang,ef1a:2xLynk:tdmSG(J) (F1 of allele 302),tdmScarlet3S2:H2B-tol2 (F1 of allele 324),LEGACY:aang:ef1a:2xLynk:tdmSG(J)_(F1_of_allextdmScarlet3S2:H2B-tol2_(F1_of_al,2025-11-15 03:08:31.328432+00
be9ebd22-64f9-42f1-8a62-66e81d348ce0,aang,ef1a:2xLynk:tdmSG(J) (F1 of allele 301),tdmScarlet3S2:H2B-tol2 (F1 of allele 324),LEGACY:aang:ef1a:2xLynk:tdmSG(J)_(F1_of_allextdmScarlet3S2:H2B-tol2_(F1_of_al,2025-11-15 03:08:31.328432+00
55b0933f-4d71-42f1-adfd-08f070a05478,aang,membrane Halo,membrane Halo,LEGACY:aang:membrane_Haloxmembrane_Halo,2025-11-15 03:08:31.328432+00
085520c2-fe20-498c-9d12-9ec18a641001,aang,membrane mChilada,membrane mChilada,LEGACY:aang:membrane_mChiladaxmembrane_mChilada,2025-11-15 03:08:31.328432+00
d34f0845-f455-480a-9b3d-ef4c5bb2c0c8,aang,NaN,ef1a:2xLynk:tdm:Halo,LEGACY:aang:NaNxef1a:2xLynk:tdm:Halo,2025-11-15 03:08:31.328432+00
fa7ff40e-0306-43e3-85ad-f20e3aec1c89,aang,NaN,NaN,LEGACY:aang:NaNxNaN,2025-11-15 03:08:31.328432+00
be3b29cb-a4c2-4e2b-8e7c-08a6914fcb4d,korra,Ben (F2 of allele 310),Abe (F2 of allele 309),LEGACY:korra:Ben_(F2_of_allele_310)xAbe_(F2_of_allele_309),2025-11-15 03:08:31.328432+00
39e60041-6ce1-45f4-a52e-a55f1828b20f,korra,casper/rnf,casper/rnf,LEGACY:korra:casper/rnfxcasper/rnf,2025-11-15 03:08:31.328432+00
