legacy_clutch_id,legacy_pair_id,dataset,date_mount,clutch_code,created_at
aa119250-248d-498f-a021-4767c947a27e,fdfbdd9d-f724-4cd3-a659-42b94a1b0577,korra,10/22/25,LEGACY:korra:ef1a:2xLynk:tdmSG(J)_(F1_of_allextdmScarlet3S2:H2B-tol2_(F1_of_al:clutch:10/22/25,2025-11-15 03:08:31.328432+00
abb3f5b3-645e-4cc5-97db-22ef89e3b076,a4d495b0-bd80-40b1-8df6-e2423a6e8b42,aang,10/23/25,LEGACY:aang:casper/rnfxef1a:2xLynk:tdmChilada_(F1_of_al:clutch:10/23/25,2025-11-15 03:08:31.328432+00
adae6e1e-d49a-47d2-a10b-0fe46db2db11,d34f0845-f455-480a-9b3d-ef4c5bb2c0c8,aang,9/15/25,LEGACY:aang:NaNxef1a:2xLynk:tdm:Halo:clutch:9/15/25,2025-11-15 03:08:31.328432+00
ae3d640e-6d82-4eab-8417-ff4fb262ed61,736e6a61-5c78-4c67-9546-f799ce548ec7,korra,7/15/25,LEGACY:korra:ef1a:2xLynk:tdmSG(J)_(F2_of_allexef1a:2xLynk:tdmSG(J)_(F2_of_alle:clutch:7/15/25,2025-11-15 03:08:31.328432+00
af35d0fe-1655-493c-b802-a9336217d4ec,736e6a61-5c78-4c67-9546-f799ce548ec7,korra,4/28/25,LEGACY:korra:ef1a:2xLynk:tdmSG(J)_(F2_of_allexef1a:2xLynk:tdmSG(J)_(F2_of_alle:clutch:4/28/25,2025-11-15 03:08:31.328432+00
af4ed904-ea66-4bb9-b199-c1f5ec6259f4,bb2a9aea-98a0-43c5-b990-a45c557478c4,aang,9/16/25,LEGACY:aang:ef1a:2xLynk:tdmChilada_(F1_of_alxef1a:2xLynk:tdmChilada_(F1_of_al:clutch:9/16/25,2025-11-15 03:08:31.328432+00
b52811dd-c3eb-4903-aa46-93ee1aac31ad,7c1e745a-08c8-4d71-859a-25013d6f5636,korra,6/13/25,LEGACY:korra:Jim_(F2_of_allele_316)xDennis_(F2_of_allele_318):clutch:6/13/25,2025-11-15 03:08:31.328432+00
b53f3e4a-0bd4-475e-871e-f336403ffb28,a62b4a8b-e21c-482e-8591-0c283f0a8d2b,aang,10/14/25,LEGACY:aang:ef1a:2xLynk:tdmSG(J)_(F1_of_allextdmScarlet3S2:H2B-tol2_(F1_of_al:clutch:10/14/25,2025-11-15 03:08:31.328432+00
b600b67f-e158-4351-a618-0f493908ee08,da6b5c4f-5e98-4862-8353-dfcbab6f3862,aang,10/28/25,LEGACY:aang:casper/rnfxmemrane_tdmScarlet3S2_(F1_of_all:clutch:10/28/25,2025-11-15 03:08:31.328432+00
b89cf2d2-3909-402c-9bff-09c2a30f648a,fdfbdd9d-f724-4cd3-a659-42b94a1b0577,korra,10/27/25,LEGACY:korra:ef1a:2xLynk:tdmSG(J)_(F1_of_allextdmScarlet3S2:H2B-tol2_(F1_of_al:clutch:10/27/25,2025-11-15 03:08:31.328432+00
