foundation	experiment_key	roi_folder	cams	channels	wavelengths_nm	file_exts	n_paths
Aang_Foundation	20250717_LLS-SIM_test	Aang_Foundation/20250717_LLS-SIM_test/GPUsirecon/FFT					3
Aang_Foundation	20250717_LLS-SIM_test	Aang_Foundation/20250717_LLS-SIM_test/GPUsirecon/job_logs					4
Aang_Foundation	20250717_LLS-SIM_test	Aang_Foundation/20250717_LLS-SIM_test/GPUsirecon/tmp					1
Aang_Foundation	20250717_LLS-SIM_test	Aang_Foundation/20250717_LLS-SIM_test/GPUsirecon_2/job_logs					2
Aang_Foundation	20250717_LLS-SIM_test	Aang_Foundation/20250717_LLS-SIM_test/GPUsirecon_2/resampled_85nm					1
Aang_Foundation	20250717_LLS-SIM_test	Aang_Foundation/20250717_LLS-SIM_test/GPUsirecon_2/tmp					1
Aang_Foundation	20250721_72hpf_mrna_mSG_organelle_LLS-SIM	Aang_Foundation/20250721_72hpf_mrna_mSG_organelle_LLS-SIM/er_roi1/GPUsirecon					1
Aang_Foundation	20250721_72hpf_mrna_mSG_organelle_LLS-SIM	Aang_Foundation/20250721_72hpf_mrna_mSG_organelle_LLS-SIM/er_roi1/LVScripts					1
Aang_Foundation	20250721_72hpf_mrna_mSG_organelle_LLS-SIM	Aang_Foundation/20250721_72hpf_mrna_mSG_organelle_LLS-SIM/er_roi1/Logs					1
Aang_Foundation	20250721_72hpf_mrna_mSG_organelle_LLS-SIM	Aang_Foundation/20250721_72hpf_mrna_mSG_organelle_LLS-SIM/er_roi1/job_logs					1
Aang_Foundation	20250721_72hpf_mrna_mSG_organelle_LLS-SIM	Aang_Foundation/20250721_72hpf_mrna_mSG_organelle_LLS-SIM/er_roi1/perf					1
Aang_Foundation	20250721_72hpf_mrna_mSG_organelle_LLS-SIM	Aang_Foundation/20250721_72hpf_mrna_mSG_organelle_LLS-SIM/er_roi2/LVScripts					1
Aang_Foundation	20250721_72hpf_mrna_mSG_organelle_LLS-SIM	Aang_Foundation/20250721_72hpf_mrna_mSG_organelle_LLS-SIM/er_roi2/Logs					1
Aang_Foundation	20250721_72hpf_mrna_mSG_organelle_LLS-SIM	Aang_Foundation/20250721_72hpf_mrna_mSG_organelle_LLS-SIM/er_roi2/perf					1
Aang_Foundation	20250721_72hpf_mrna_mSG_organelle_LLS-SIM	Aang_Foundation/20250721_72hpf_mrna_mSG_organelle_LLS-SIM/er_roi3/GPUsirecon					1
Aang_Foundation	20250721_72hpf_mrna_mSG_organelle_LLS-SIM	Aang_Foundation/20250721_72hpf_mrna_mSG_organelle_LLS-SIM/er_roi3/LVScripts					1
Aang_Foundation	20250721_72hpf_mrna_mSG_organelle_LLS-SIM	Aang_Foundation/20250721_72hpf_mrna_mSG_organelle_LLS-SIM/er_roi3/Logs					1
Aang_Foundation	20250721_72hpf_mrna_mSG_organelle_LLS-SIM	Aang_Foundation/20250721_72hpf_mrna_mSG_organelle_LLS-SIM/er_roi3/job_logs					1
Aang_Foundation	20250721_72hpf_mrna_mSG_organelle_LLS-SIM	Aang_Foundation/20250721_72hpf_mrna_mSG_organelle_LLS-SIM/er_roi3/perf					1
Aang_Foundation	20250721_72hpf_mrna_mSG_organelle_LLS-SIM	Aang_Foundation/20250721_72hpf_mrna_mSG_organelle_LLS-SIM/mito_roi1/GPUsirecon					9
Aang_Foundation	20250721_72hpf_mrna_mSG_organelle_LLS-SIM	Aang_Foundation/20250721_72hpf_mrna_mSG_organelle_LLS-SIM/mito_roi1/LVScripts					1
Aang_Foundation	20250721_72hpf_mrna_mSG_organelle_LLS-SIM	Aang_Foundation/20250721_72hpf_mrna_mSG_organelle_LLS-SIM/mito_roi1/Logs					1
Aang_Foundation	20250721_72hpf_mrna_mSG_organelle_LLS-SIM	Aang_Foundation/20250721_72hpf_mrna_mSG_organelle_LLS-SIM/mito_roi1/job_logs					1
Aang_Foundation	20250721_72hpf_mrna_mSG_organelle_LLS-SIM	Aang_Foundation/20250721_72hpf_mrna_mSG_organelle_LLS-SIM/mito_roi1/perf					1
Aang_Foundation	20250721_72hpf_mrna_mSG_organelle_LLS-SIM	Aang_Foundation/20250721_72hpf_mrna_mSG_organelle_LLS-SIM/mito_roi2/GPUsirecon					6
Aang_Foundation	20250721_72hpf_mrna_mSG_organelle_LLS-SIM	Aang_Foundation/20250721_72hpf_mrna_mSG_organelle_LLS-SIM/mito_roi2/LVScripts					1
Aang_Foundation	20250721_72hpf_mrna_mSG_organelle_LLS-SIM	Aang_Foundation/20250721_72hpf_mrna_mSG_organelle_LLS-SIM/mito_roi2/Logs					1
