priority	match_field	pattern	Slug	genotype_base_codes	genotype_allele_codes	treatment_rna_base_codes	treatment_plasmid_base_codes	notes	experiment_name	n_slots	n_tiffs_sum	example_roi_path
31	intent_key	20251114_mem-mito_mount1--roi1	mem_mito						20251114_mem-mito_mount1	4	11137	/clusterfs/vast/abcabc/Korra_Foundation/20251114_mem-mito_mount1/fish2_24hpf_roi1
33	intent_key	20251106_mem-mito--roi1	mem_mito						20251106_mem-mito	2	9487	/clusterfs/vast/abcabc/Korra_Foundation/20251106_mem-mito/fish2_48hpf_roi1
34	intent_key	20251002_mem_mito--roi1	mem_mito						20251002_mem_mito	10	9430	/clusterfs/vast/abcabc/Aang_Foundation/20251002_mem_mito/fish12_24hpf_roi1
37	intent_key	20250917_mem-mito--roi1	mem_mito						20250917_mem-mito	6	7429	/clusterfs/vast/abcabc/Aang_Foundation/20250917_mem-mito/fish4_48hpf_roi1
42	intent_key	20250808_mem_organelle--mem-mchilada_mito-msg	mem_mito						20250808_mem_organelle	4	4128	/clusterfs/vast/abcabc/Aang_Foundation/20250808_mem_organelle/fish4_24hpf_mem-mchilada_mito-mSG/roi1
6	intent_key	20250821_mem_mito--roi1	mem_mito						20250821_mem_mito	8	24459	/clusterfs/vast/abcabc/Aang_Foundation/20250821_mem_mito/fish8_48hpf_roi1
23	intent_key	20251114_mem-mito_mount2--roi1	mem_mito						20251114_mem-mito_mount2	5	12912	/clusterfs/vast/abcabc/Korra_Foundation/20251114_mem-mito_mount2/fish4_24hpf_roi1
57	intent_key	20250528_skittlez	Skittles						20250528_skittlez	1	118	/clusterfs/vast/abcabc/Korra_Foundation/20250528_skittlez/fish1
4	intent_key	20251203_mem-cytosolic--roi1	mem_cytosolic						20251203_mem-cytosolic	4	25662	/clusterfs/vast/abcabc/Korra_Foundation/20251203_mem-cytosolic/fish1_48hpf_roi1
9	intent_key	20251202_mem-cytosolic--roi1	mem_cytosolic						20251202_mem-cytosolic	4	20686	/clusterfs/vast/abcabc/Korra_Foundation/20251202_mem-cytosolic/fish1_24hpf_roi1
14	intent_key	20250429_mem_cytosol--mem-halo_48hpf	mem_cytosolic						20250429_mem_cytosol	2	18220	/clusterfs/vast/abcabc/Korra_Foundation/20250429_mem_cytosol/fish4_mem-halo_48hpf/roi1
20	intent_key	20250429_mem_cytosol	mem_cytosolic						20250429_mem_cytosol	4	14407	/clusterfs/vast/abcabc/Korra_Foundation/20250429_mem_cytosol/fish1_24hpf/roi1
22	intent_key	20250715_mem_organelle--mem_mito_halo_er_msc2	mem_mito_halo_er_msc2						20250715_mem_organelle	6	14129	/clusterfs/vast/abcabc/Korra_Foundation/20250715_mem_organelle/fish6_48hpf_mem_mito_halo_er_msc2/roi1
29	intent_key	20250801_mem-pcna--roi1	Mem-pcna						20250801_mem-PCNA	1	11386	/clusterfs/vast/abcabc/Korra_Foundation/20250801_mem-PCNA/fish3_72hpf_roi1
30	intent_key	20250715_mem_organelle--mem_mito_msc3_er_halo	mem_mito_msc3_er_halo						20250715_mem_organelle	8	11277	/clusterfs/vast/abcabc/Korra_Foundation/20250715_mem_organelle/fish8_72hpf_mem_mito_msc3_er_halo/roi1
36	intent_key	20250429_mem_cytosol--mem-halo_24hpf	mem_cytosolic						20250429_mem_cytosol	2	7923	/clusterfs/vast/abcabc/Korra_Foundation/20250429_mem_cytosol/fish3_mem-halo_24hpf/roi1
40	intent_key	20250723_mem-halo_er-msg	mem-halo_er-msg						20250723_mem-halo_ER-mSG	2	5649	/clusterfs/vast/abcabc/Korra_Foundation/20250723_mem-halo_ER-mSG/fish3_48hpf/roi1_mb
43	intent_key	20250620_mitomsg--roi1	mitomsg						20250620_mitomSG	1	4018	/clusterfs/vast/abcabc/Korra_Foundation/20250620_mitomSG/fish1_roi1
46	intent_key	20251017_microtubules--roi1_test	microtubules						20251017_microtubules	1	3114	/clusterfs/vast/abcabc/Korra_Foundation/20251017_microtubules/fish2_24hpf_roi1_test
47	intent_key	20250808_mem_organelle--mem-mchilada_lyso-msg	mem-mchilada_lyso-msg						20250808_mem_organelle	4	2002	/clusterfs/vast/abcabc/Aang_Foundation/20250808_mem_organelle/fish1_24hpf_mem-mchilada_lyso-mSG/roi1
48	intent_key	20250715_mem_organelle--mem_sg_mito_msc3	mem_sg_mito_msc3						20250715_mem_organelle	2	1104	/clusterfs/vast/abcabc/Korra_Foundation/20250715_mem_organelle/fish1_mem_sg_mito_msc3/roi1
49	intent_key	20250721_72hpf_mrna_msg_organelle_lls-sim							20250721_72hpf_mrna_mSG_organelle_LLS-SIM	1	1032	/clusterfs/vast/abcabc/Aang_Foundation/20250721_72hpf_mrna_mSG_organelle_LLS-SIM/er_roi1
52	intent_key	20251017_nuclear_envelope--roi1_test	nuclear_envelope						20251017_nuclear_envelope	1	456	/clusterfs/vast/abcabc/Aang_Foundation/20251017_nuclear_envelope/fish1_24hpf_roi1_test
53	intent_key	20250811_mem_cytosol_test--145	mem_cytosolic						20250811_mem_cytosol_test	1	241	/clusterfs/vast/abcabc/Korra_Foundation/20250811_mem_cytosol_test/fish3_145
55	intent_key	20250811_mem_cytosol_test--144	mem_cytosolic						20250811_mem_cytosol_test	1	181	/clusterfs/vast/abcabc/Korra_Foundation/20250811_mem_cytosol_test/fish2_144
56	intent_key	20251003_mem_tester--xscan_roi1_brain							20251003_mem_tester	1	151	/clusterfs/vast/abcabc/Aang_Foundation/20251003_mem_tester/fish1_48hpf_xscan_roi1_brain
58	intent_key	20250811_mem_cytosol_test--86	mem_cytosolic						20250811_mem_cytosol_test	1	80	/clusterfs/vast/abcabc/Korra_Foundation/20250811_mem_cytosol_test/fish1_86
60	intent_key	20251107_mem-centrioles--roi1	mem-centrioles						20251107_mem-centrioles	1	26	/clusterfs/vast/abcabc/Korra_Foundation/20251107_mem-centrioles/fish2_72hpf_roi1
