foundation	experiment_key	roi_folder	cams	channels	wavelengths_nm	file_exts	n_paths
Aang_Foundation	20250722_mem-halo_er-mSG	Aang_Foundation/20250722_mem-halo_er-mSG/fish1_24hpf_roi1					6
Aang_Foundation	20250722_mem-halo_er-mSG	Aang_Foundation/20250722_mem-halo_er-mSG/fish1_24hpf_roi2					4
Aang_Foundation	20250722_mem-halo_er-mSG	Aang_Foundation/20250722_mem-halo_er-mSG/fish1_24hpf_roi3					8
Aang_Foundation	20250722_mem-halo_er-mSG	Aang_Foundation/20250722_mem-halo_er-mSG/fish1_24hpf_roi4					4
Aang_Foundation	20250722_mem-halo_er-mSG	Aang_Foundation/20250722_mem-halo_er-mSG/fish1_24hpf_roi5					6
Aang_Foundation	20250722_mem-halo_er-mSG	Aang_Foundation/20250722_mem-halo_er-mSG/fish2_24hpf_roi1					6
Aang_Foundation	20250722_mem-halo_er-mSG	Aang_Foundation/20250722_mem-halo_er-mSG/fish2_24hpf_roi2					3
Aang_Foundation	20250722_mem-halo_er-mSG	Aang_Foundation/20250722_mem-halo_er-mSG/fish2_24hpf_roi3					3
Aang_Foundation	20250722_mem-halo_er-mSG	Aang_Foundation/20250722_mem-halo_er-mSG/fish2_24hpf_roi4					3
Aang_Foundation	20250722_mrna_mito-mSG_mem-mChilada	Aang_Foundation/20250722_mrna_mito-mSG_mem-mChilada/fish1_roi1					13
Aang_Foundation	20250722_mrna_mito-mSG_mem-mChilada	Aang_Foundation/20250722_mrna_mito-mSG_mem-mChilada/fish1_roi2					10
Aang_Foundation	20250722_mrna_mito-mSG_mem-mChilada	Aang_Foundation/20250722_mrna_mito-mSG_mem-mChilada/fish1_roi3					10
Aang_Foundation	20250722_mrna_mito-mSG_mem-mChilada	Aang_Foundation/20250722_mrna_mito-mSG_mem-mChilada/fish2_48hpf_roi1					10
Aang_Foundation	20250722_mrna_mito-mSG_mem-mChilada	Aang_Foundation/20250722_mrna_mito-mSG_mem-mChilada/fish2_48hpf_roi2					10
Aang_Foundation	20250722_mrna_mito-mSG_mem-mChilada	Aang_Foundation/20250722_mrna_mito-mSG_mem-mChilada/fish2_48hpf_roi3					10
Aang_Foundation	20250722_mrna_mito-mSG_mem-mChilada	Aang_Foundation/20250722_mrna_mito-mSG_mem-mChilada/fish2_48hpf_roi4					10
Aang_Foundation	20250722_mrna_mito-mSG_mem-mChilada	Aang_Foundation/20250722_mrna_mito-mSG_mem-mChilada/fish2_48hpf_roi5					10
Aang_Foundation	20250722_mrna_mito-mSG_mem-mChilada	Aang_Foundation/20250722_mrna_mito-mSG_mem-mChilada/fish3_48hpf_roi1					9
Aang_Foundation	20250722_mrna_mito-mSG_mem-mChilada	Aang_Foundation/20250722_mrna_mito-mSG_mem-mChilada/fish3_48hpf_roi2					9
Aang_Foundation	20250722_mrna_mito-mSG_mem-mChilada	Aang_Foundation/20250722_mrna_mito-mSG_mem-mChilada/fish3_48hpf_roi3					9
Aang_Foundation	20250722_mrna_mito-mSG_mem-mChilada	Aang_Foundation/20250722_mrna_mito-mSG_mem-mChilada/fish3_48hpf_roi4					9
Aang_Foundation	20250723_er-mSG_mem-mChilada	Aang_Foundation/20250723_er-mSG_mem-mChilada/fish1_24hpf_roi1					12
